# sourceSeal=e88dcd0 — S242/GRB-04. Splitting the exhausted pairs by WHY they are narrow.
# closed-fact-set = one sentence, one number moving, and the values form a contiguous run with
# no gaps — the pool IS the subject (a times table, a counting range). Widening these is wrong.
# cosmetic-only = every prompt keys the SAME ANSWER — the variation is a noun, not mathematics.
# Widening these raises a count and changes nothing a learner does; see CLAUDE.md rule 7.
# under-parameterised = everything else: the pool is narrow because a dimension is missing.
generator,form,verdict,distinctPrompts,distinctAnswers,shapes,varyingSlots,run,example
evt-candidates,default,under-parameterised,8,8,1,2,-,f(x) = x³ − 12x on [0  4]. Find the MAXIMUM value.
a2-logarithms,lg-scales__numeric,under-parameterised,8,8,1,1,2..9,A pH 8 units lower represents how many times greater hydrogen-ion concentration?
base-ten-build,default,under-parameterised,8,-1,1,1,12..19,What hides inside 16? Build it with tens and ones.
ladder-shift,mulTwice,under-parameterised,8,-1,1,1,0.02..0.09,0.04 × 10 × 10 = ?
ladder-shift,default,under-parameterised,8,-1,1,1,2..9,4 ÷ 10 = ? (enter as a decimal)
repeat-decimal,default,under-parameterised,8,-1,1,1,0.111..0.888,0.111… equals:
opt-box,beatEndpoint,under-parameterised,8,8,1,3,-,V(2) = 128  V(0) = 0  V(6) = 0. By how much does the best box beat the best endpoint?
trig-deriv,product,under-parameterised,8,8,1,1,2..9,f(x) = (x + 2)·sin x. Find f′(0).
nl-partition,newMarks,under-parameterised,8,8,1,1,3..10,You want to cut the 0→1 trip into 9 equal jumps. How many NEW marks do you draw between 
g7-scaled-area,unitAreaScale,under-parameterised,8,-1,1,1,3..10,At the scale 1 cm = 3 m  how many square meters does each 1 cm² of drawing represent?
g8-esn-context-compute,esnContextDivide,under-parameterised,8,-1,8,2,-,A signal travels 6 × 10⁶ meters at 2 × 10³ meters per second. How many seconds does the 
g2-fluency,FlNearDoublesNumeric,under-parameterised,8,8,1,2,-,4 + 5 = ?
a2-polynomials,pf-turning__numeric,under-parameterised,8,-1,1,1,2..9,A polynomial graph has exactly 2 turning points. What is the smallest possible degree?
a2-radicals,re-extraneous__buildExpression,under-parameterised,8,-1,1,3,-,Squaring √(x+42)=x gives candidates 7 and -6. Build the checked solution set.
a2-radicals,re-plusminus__buildExpression,under-parameterised,8,-1,1,2,-,Build the real solutions of x^(2/5)=25.
a2-statistics,si-margin__numeric,under-parameterised,8,8,1,1,100..10000,For p-hat=0.5 and n=625  estimate the 2-SE margin of error in percentage points.
exp-function,ratio,under-parameterised,8,-1,1,4,-,In the sequence 2  6  18  54  what is the constant ratio?
decimal-representation,moneyTenths,under-parameterised,8,8,1,1,2..9,A dime is one tenth of a dollar. Written as 0.?  what tenths digit represents 5 dimes?
proportional-plot,cgPairNext,under-parameterised,8,8,1,4,-,Start at 0 and add 4 each time. The pattern is 0  4  8  12. What number comes next?
quadrilaterals,cgEqualSidePerimeter,under-parameterised,8,8,1,1,5..12,A rhombus has four sides  each 12 units long. What is its perimeter?
g8-esn-context-compute,esnContextMixed,under-parameterised,8,-1,5,3,-,A shipping company moves 3 × 10³ containers  each holding 2 × 10² kilograms  then remove
g1-shapes-measure,Smg1ShapeSidesNumeric,under-parameterised,8,3,8,0,-,How many corners does a square have?
a1-radicals,rad-pythagorean-radical__numeric,under-parameterised,8,-1,1,2,-,A right triangle has legs 3 and 3. What is c^2 before taking the square root?
a1-radicals,rad-pythagorean__numeric,under-parameterised,8,-1,1,2,-,A right triangle has legs 5 and 12. Find the hypotenuse.
a2-statistics,si-claim-overreach__numeric,under-parameterised,8,-1,1,2,-,In 20000 people  prevalence is 1%  sensitivity is 95%  and false-positive rate is 5%. Ho
a2-statistics,si-standard-error__numeric,under-parameterised,8,-1,1,1,100..10000,Estimate the standard error in percentage points for p=0.5 and n=2500.
prob-fraction,trialTheoretical,under-parameterised,8,-1,6,-1,-,A fair number cube is rolled. Which fraction is the probability of rolling greater than 
ellipse-abc,default,under-parameterised,8,8,1,2,-,For an ellipse with a = 13 and b = 12  find c.
coord-perimeter,rhombus,under-parameterised,8,8,1,1,5..41,A rhombus has all four sides equal to 10 (built from a right-triangle slant). Perimeter 
a2-logarithms,lg-ln__numeric,under-parameterised,8,-1,1,1,2..9,Evaluate e^(ln 2).
deriv-explog,default,under-parameterised,8,8,1,1,2..25,f(x) = ln x. Find f′(5)  as a decimal.
multiplication-rule,withoutReplacement,under-parameterised,8,3,8,0,-,Draw 2 cards without replacement. P(both spades) is exactly 1/n. Find **n**.
pr-constant-k-g7,rrPartWholeBuild,under-parameterised,8,-1,1,2,-,Paint is mixed with 3 parts blue for every 5 parts yellow. Build the ratio of blue to th
a1-radicals,rad-distance__numeric,under-parameterised,8,-1,1,2,-,Find the distance from (0  0) to (5  12).
a2-radicals,re-extraneous__numeric,under-parameterised,8,-1,1,1,6..90,Solve √(x+6)=x. Give the valid solution.
a2-trig,tf-unit-circle__numeric,under-parameterised,8,3,1,1,0..630,Find cos 180°.
exp-solve,negExponent,under-parameterised,8,-1,1,2,-,Solve 2^x = 1/16.
angle-equation,default,under-parameterised,8,4,2,1,-,Angles x and 2x sit together on a straight line. Solve for x (in degrees).
double-double,timesEight,under-parameterised,7,7,1,1,3..9,9 × 8 = ?
cn-square,completeConstant,under-parameterised,7,7,1,1,6..18,What constant completes the square: x² + 10x + ___?
power-product,basicSquare,under-parameterised,7,7,1,3,-,What is 6^2 (6 × 6)?
directrix-ecc,ratio,under-parameterised,7,4,1,5,-,Vertex (5  0)  focus (2  0)  directrix x = 12.5. The focal distance is 3 and the directr
pct-of-number,rrFractionPercent,under-parameterised,7,7,1,2,-,Write 1/4 as a percent. Enter just the number.
order-decimals,default,under-parameterised,7,7,1,3,-,Which is the LEAST: 0.3  0.23  or 0.32?
pct-of-number,rrGridPercent,under-parameterised,7,7,1,2,-,On a 100-square grid  1/2 of the squares are shaded. What percent is shaded?
mvt-c,cubicDecimal,under-parameterised,7,7,1,1,2..8,f(x) = x³ on [0  2]. Find the c the MVT guarantees  as a decimal to three places.
g2-add-subtract-100,DoublesNumeric,under-parameterised,7,7,1,2,-,7 + 7 = ?
cn-i-def,coefSquared,under-parameterised,7,-1,1,1,3..9,What is (3i)²?
ten-frame-fill,decompose,under-parameterised,7,-1,1,3,-,6 crayons split between two boxes. One box has 2 — they are already in the frame. Add do
ten-frame-fill,default,under-parameterised,7,-1,1,1,2..8,4 dots are in the ten frame. Tap to add dots until the frame makes TEN.
pq-rhombus,otherDiagonal,under-parameterised,7,6,1,2,-,A rhombus has side 13 and one diagonal of length 10. Find the OTHER diagonal.
arith-series,multiples,under-parameterised,7,7,1,4,-,Find 4 + 8 + 12 + ⋯ + 40 (ten terms).
directrix-ecc,hypEcc,under-parameterised,7,7,1,2,-,For a hyperbola with a = 3  c = 5  the focus-directrix ratio equals e. Find it to two de
combination-count,handshakes,under-parameterised,7,7,1,1,6..12,9 people each shake hands once with every other person. How many handshakes happen?
times-five-ten,timesFive,under-parameterised,7,7,1,1,3..9,4 × 5 = ?
tens-problems,default,under-parameterised,7,7,1,1,3..9,A dime is worth 10 cents. How many cents are 5 dimes worth?
a2-trig,tf-ratios__numeric,under-parameterised,7,7,1,5,-,In a 9-40-41 right triangle  θ is opposite 9. If cosθ=n/41  find n.
root-solve,default,under-parameterised,7,-1,1,1,36..144,Which values solve x² = 49?
pq-rhombus,sideFromDiagonals,under-parameterised,7,7,1,2,-,A rhombus has diagonals 12 and 16. Find its side length.
order-decimals,greatestOf3,under-parameterised,7,7,1,3,-,Which is the GREATEST: 0.06  0.6  or 0.16?
power-product,default,under-parameterised,7,4,1,2,-,Evaluate 2^3 · 2^3.
eval-expression,square,under-parameterised,7,7,1,1,3..9,Evaluate x² at x = 3.
directrix-ecc,default,under-parameterised,7,5,1,2,-,An ellipse has a = 5 and e = 0.4. Its directrix is x = a/e. Find that value.
implicit-diff,default,under-parameterised,7,7,1,5,-,The tangent to x² + y² = 225 at (9  12) has slope −3/4. Find its y-intercept  as a decim
nl-unit,default,under-parameterised,7,-1,1,2,-,On a 0→1 line split into 7 equal jumps  place the marker at 1/7.
arith-series,paramsNegD,under-parameterised,7,7,1,2,-,a₁ = 8  d = −2  n = 8. Find S₈.
k0-count-100,kDecadeCrossHop,under-parameterised,7,-1,1,1,27..87,Start at 27 and count on 5. Tap where you land.
unit-trading,hundredsToTens,under-parameterised,7,7,1,1,2..8,4 hundreds are traded entirely into tens. How many tens are made?
a2-logarithms,lg-e__numeric,under-parameterised,7,7,1,1,2..8,Evaluate e^3 to three decimals.
negative-intro,default,under-parameterised,6,6,1,1,120..300,A valley floor sits 200 feet below sea level. Writing sea level as 0  what number is the
rolle-c,maxRoots,under-parameterised,6,6,1,1,2..7,f′ has exactly 3 zeros. What is the MAXIMUM number of roots f can have?
radian-convert,turnFraction,under-parameterised,6,6,6,1,-,How many radians in a EIGHTH turn (45°)? (Round to hundredths.)
