# sourceSeal=3f0bb4a window=10 — a windowDuplicate is the same widget twice inside 10 consecutive draws. distinctWidgets IS A LOWER BOUND: it cannot exceed the sample count, so a pair reporting 28 distinct in 30 draws has a pool of AT LEAST 28 and possibly far more. Only pairs that saturated well below their sample count (the pool-below-window rows) measure a true ceiling.
generator,form,widgetType,verdict,samples,distinctWidgets,windowDuplicates,globalDuplicates,globalDuplicateRate,window
g4-place-million,pvCommaPeriodsNumeric,numeric,pool-below-window,30,8,17,22,0.733,10
a2-radicals,re-extraneous__numeric,exactNumberLab,pool-below-window,30,8,17,22,0.733,10
geo-series,repeatDecimal,numeric,pool-below-window,30,8,16,22,0.733,10
exp-function,decayModel,exactNumberLab,pool-below-window,72,9,49,63,0.875,10
g1-tens-ones,TnoTenBundleNumeric,numeric,pool-below-window,63,9,41,54,0.857,10
pythagorean,ladder,numeric,pool-below-window,50,9,36,41,0.820,10
evt-candidates,candidateCount,numeric,pool-below-window,50,9,33,41,0.820,10
thales-right-angle,radiusFromLegs,numeric,pool-below-window,50,9,33,41,0.820,10
thales-right-angle,hypotenuse,numeric,pool-below-window,50,9,32,41,0.820,10
parabola-focal,focusPoint,numeric,pool-below-window,50,9,26,41,0.820,10
g2-fluency,FlFromTenNumeric,numeric,pool-below-window,36,9,24,27,0.750,10
round-half,tieTen,numberLinePlace,pool-below-window,34,9,23,25,0.735,10
g4-decimals,dTenthsWriteNumeric,numeric,pool-below-window,34,9,23,25,0.735,10
k0-count-100,kTensNextHop,numberLineHop,pool-below-window,34,9,22,25,0.735,10
g2-fluency,FlDoublesNumeric,numeric,pool-below-window,36,9,22,27,0.750,10
g2-fluency,FlTenPlusNumeric,numeric,pool-below-window,36,9,22,27,0.750,10
g4-decimals,dTenthToHundredthNumeric,numeric,pool-below-window,34,9,21,25,0.735,10
a1-polynomials,factor-difference-squares__numeric,numeric,pool-below-window,30,9,20,21,0.700,10
permutation-count,arrangeAll,numeric,pool-below-window,30,9,19,21,0.700,10
box-surface-area,sameVolumeDifference,numeric,pool-below-window,30,9,19,21,0.700,10
a1-polynomials,exponent-power__numeric,numeric,pool-below-window,30,9,19,21,0.700,10
a2-polynomials,pf-anatomy__numeric,exactNumberLab,pool-below-window,30,9,19,21,0.700,10
a2-trig,tf-exact-values__numeric,numeric,pool-below-window,30,9,19,21,0.700,10
nl-beyond-one,jumpsToWhole,numeric,pool-below-window,34,9,18,25,0.735,10
mass,kgToG,numeric,pool-below-window,34,9,18,25,0.735,10
g0-counting,countReadFlash,subitizeFlash,pool-below-window,30,9,18,21,0.700,10
g1-add-subtract,TensPartnersNumeric,numeric,pool-below-window,30,9,18,21,0.700,10
g3-mult-fluency,MultSquaresNumeric,numeric,pool-below-window,30,9,18,21,0.700,10
a1-polynomials,factor-difference-squares__buildExpression,buildExpression,pool-below-window,30,9,18,21,0.700,10
a2-logarithms,lg-product__numeric,exactNumberLab,pool-below-window,30,9,18,21,0.700,10
a2-radicals,re-var-radicals__buildExpression,buildExpression,pool-below-window,30,9,18,21,0.700,10
metric-convert,rrTimeDivide,numeric,pool-below-window,30,9,17,21,0.700,10
metric-convert,rrHoursSeconds,numeric,pool-below-window,30,9,17,21,0.700,10
box-surface-area,cubeSA,numeric,pool-below-window,30,9,17,21,0.700,10
a2-radicals,re-products__buildExpression,buildExpression,pool-below-window,30,9,17,21,0.700,10
a2-rationals,rf-mixed__buildExpression,buildExpression,pool-below-window,30,9,17,21,0.700,10
a1-solving-equations,multi-literal__numeric,numeric,pool-below-window,30,9,16,21,0.700,10
a2-trig,tf-reference__numeric,numeric,pool-below-window,30,9,16,21,0.700,10
radian-convert,arcRadians,numeric,pool-below-window,30,9,15,21,0.700,10
lcm-pair,divides,numeric,pool-below-window,30,9,15,21,0.700,10
geo-series,powers,numeric,pool-below-window,30,9,15,21,0.700,10
exp-function,startAmount,exactNumberLab,pool-below-window,72,10,49,62,0.861,10
exp-function,initialValue,exactNumberLab,pool-below-window,72,10,46,62,0.861,10
opt-setup,domainBound,numeric,pool-below-window,50,10,31,40,0.800,10
parabola-focal,dishForm,numeric,pool-below-window,50,10,30,40,0.800,10
hyperbola-cab,slope,numeric,pool-below-window,50,10,30,40,0.800,10
g3-div-fluency,DivBy2Numeric,numeric,pool-below-window,42,10,30,32,0.762,10
implicit-diff,quadForm,numeric,pool-below-window,50,10,29,40,0.800,10
area-vs-perimeter,areaGap,numeric,pool-below-window,50,10,29,40,0.800,10
g3-div-fluency,DivBy10Numeric,numeric,pool-below-window,42,10,26,32,0.762,10
g3-div-fluency,DivBy3Numeric,numeric,pool-below-window,42,10,25,32,0.762,10
pq-para-angle,ratioPair,numeric,pool-below-window,34,10,22,24,0.706,10
chord-dist,pipeDepth,numeric,pool-below-window,34,10,22,24,0.706,10
g2-measure-money-time,MmtBarGraphNumeric,numeric,pool-below-window,36,10,22,26,0.722,10
coord-area-box,legRoute,numeric,pool-below-window,34,10,19,24,0.706,10
reflect-compose,reverseOrder,mcq,pool-below-window,30,10,19,20,0.667,10
equiv-models,tradeEighths,numeric,pool-below-window,34,10,19,24,0.706,10
k0-add-subtract,KoaDiffs5Numeric,numeric,pool-below-window,30,10,19,20,0.667,10
lcm-pair,buses,numeric,pool-below-window,30,10,18,20,0.667,10
arith-series,findN,numeric,pool-below-window,30,10,18,20,0.667,10
count-prob,atLeastOne,numeric,pool-below-window,34,10,18,24,0.706,10
trig-inside,sumSolutions,numeric,pool-below-window,34,10,18,24,0.706,10
solve-trig-all,tanCount,numeric,pool-below-window,30,10,17,20,0.667,10
g4-lines-angles,laSymmetryApplicationNumeric,numeric,pool-below-window,30,10,17,20,0.667,10
a2-polynomials,pf-quad-form__buildExpression,buildExpression,pool-below-window,30,10,17,20,0.667,10
radian-convert,radToDeg,numeric,pool-below-window,30,10,16,20,0.667,10
times-five-ten,clockMinutes,numeric,pool-below-window,34,10,16,24,0.706,10
times-2,doubleIt,numeric,pool-below-window,34,10,16,24,0.706,10
pr-unit-rate-g7,lapsWholeA,numeric,pool-below-window,30,10,16,20,0.667,10
g1-data,GdTallyReadNumeric,numeric,pool-below-window,30,10,16,20,0.667,10
g3-mult-fluency,MultTable8Numeric,numeric,pool-below-window,30,10,16,20,0.667,10
radian-convert,nFromDegrees,numeric,pool-below-window,30,10,15,20,0.667,10
decimal-representation,rungCount,numeric,pool-below-window,30,10,15,20,0.667,10
g3-mult-fluency,MultTable5Numeric,numeric,pool-below-window,30,10,15,20,0.667,10
g3-mult-fluency,MultTable6Numeric,numeric,pool-below-window,30,10,15,20,0.667,10
g3-mult-fluency,MultTable7Numeric,numeric,pool-below-window,30,10,15,20,0.667,10
g3-mult-fluency,MultHardFactsNumeric,numeric,pool-below-window,30,10,13,20,0.667,10
conic-general,convertA,numeric,pool-above-window,100,11,58,89,0.890,10
polygon-angles,exteriorSum,exactNumberLab,pool-above-window,84,11,53,73,0.869,10
polygon-angles,regularInterior,exactNumberLab,pool-above-window,84,11,51,73,0.869,10
ellipse-axes,focalSum,numeric,pool-above-window,50,11,31,39,0.780,10
sigma-eval,sigmaPow,numeric,pool-above-window,50,11,29,39,0.780,10
time-set-clock,hour,clockSet,pool-above-window,50,11,28,39,0.780,10
g2-measure-money-time,MmtSkip5sNumeric,numeric,pool-above-window,36,11,21,25,0.694,10
eval-expression,parenDiv,numeric,pool-above-window,34,11,20,23,0.676,10
equiv-models,tradeInto,numeric,pool-above-window,34,11,19,23,0.676,10
g2-fluency,FlSums20Numeric,numeric,pool-above-window,36,11,19,25,0.694,10
g1-shapes-measure,Smg1FourthsFractionBar,fractionBar,pool-above-window,34,11,18,23,0.676,10
negative-intro,opposite,numeric,pool-above-window,30,11,17,19,0.633,10
g7-circumference,circRadius,numeric,pool-above-window,34,11,17,23,0.676,10
g3-mult-fluency,MultTable4Numeric,numeric,pool-above-window,30,11,17,19,0.633,10
g4-lines-angles,laParallelPerpIdentifyNumeric,numeric,pool-above-window,30,11,17,19,0.633,10
variable-meaning,divide,numeric,pool-above-window,30,11,16,19,0.633,10
perimeter,squarePerimeter,numeric,pool-above-window,34,11,16,23,0.676,10
g8-esn-power-meaning,esnPowerNegative,numeric,pool-above-window,30,11,16,19,0.633,10
g8-tm-congruence,tmCongruenceSort,dragBucket,pool-above-window,30,11,16,19,0.633,10
pr-unit-rate-g7,lapsWholeB,numeric,pool-above-window,30,11,15,19,0.633,10
g8-rns-root-estimate,rnsRoundA,numeric,pool-above-window,30,11,15,19,0.633,10
a2-polynomials,pf-div-theorems__numeric,numeric,pool-above-window,30,11,15,19,0.633,10
a2-radicals,re-products__numeric,exactNumberLab,pool-above-window,30,11,15,19,0.633,10
a2-series,sr-sigma-read__numeric,numeric,pool-above-window,30,11,15,19,0.633,10
variable-meaning,halfEval,numeric,pool-above-window,30,11,14,19,0.633,10
pct-of-number,rrBenchmarkFive,numeric,pool-above-window,30,11,14,19,0.633,10
g3-mult-fluency,MultTable3Numeric,numeric,pool-above-window,30,11,14,19,0.633,10
g3-mult-fluency,MultTable9Numeric,numeric,pool-above-window,30,11,14,19,0.633,10
a1-polynomials,poly-special-products__numeric,numeric,pool-above-window,30,11,14,19,0.633,10
g8-esn-power-meaning,esnPowerNegativeDeep,numeric,pool-above-window,30,11,13,19,0.633,10
g8-rns-root-estimate,rnsRoundB,numeric,pool-above-window,30,11,13,19,0.633,10
g3-mult-fluency,MultTable2Numeric,numeric,pool-above-window,30,11,13,19,0.633,10
g3-mult-fluency,MultTable10Numeric,numeric,pool-above-window,30,11,13,19,0.633,10
g8-rns-root-estimate,rnsRoundChallenge,numeric,pool-above-window,30,11,12,19,0.633,10
g4-multiply,mbPrimeCompositeNumeric,numeric,pool-above-window,30,11,12,19,0.633,10
pr-unit-rate-g7,milesWholeB,numeric,pool-above-window,30,11,11,19,0.633,10
parent-functions,evalParent,numeric,pool-above-window,100,12,59,88,0.880,10
polygon-angles,sidesFromSum,exactNumberLab,pool-above-window,84,12,54,72,0.857,10
polygon-angles,sidesFromExterior,exactNumberLab,pool-above-window,84,12,54,72,0.857,10
addition-rule,probOr,numeric,pool-above-window,50,12,30,38,0.760,10
sigma-eval,sigmaSq,numeric,pool-above-window,50,12,29,38,0.760,10
chord-perp,distFromChord,numeric,pool-above-window,50,12,28,38,0.760,10
power-product,missingPowerExponent,numeric,pool-above-window,46,12,27,34,0.739,10
inverse-pipeline,secondForm,inversePipeline,pool-above-window,34,12,17,22,0.647,10
addition-patterns,doubleDiagonal,numeric,pool-above-window,34,12,17,22,0.647,10
a1-radicals,rad-distribute__numeric,exactNumberLab,pool-above-window,36,12,17,24,0.667,10
a2-polynomials,pf-end-behavior__buildExpression,buildExpression,pool-above-window,30,12,17,18,0.600,10
g8-rns-root-estimate,rnsRoundC,numeric,pool-above-window,30,12,16,18,0.600,10
a1-quadratics,quad-square-root__numeric,numeric,pool-above-window,30,12,16,18,0.600,10
a2-series,sr-inf-sum__numeric,numeric,pool-above-window,30,12,16,18,0.600,10
negative-intro,doubleOpposite,numeric,pool-above-window,30,12,15,18,0.600,10
metric-convert,multistep,numeric,pool-above-window,30,12,15,18,0.600,10
g7-circle-parts,radiusToDiameter,numeric,pool-above-window,34,12,15,22,0.647,10
g8-esn-power-meaning,esnPowerFromDecimal,buildExpression,pool-above-window,30,12,15,18,0.600,10
g1-shapes-measure,Smg1HalvesFractionBar,fractionBar,pool-above-window,34,12,15,22,0.647,10
a1-quadratics,quad-diff-squares-solve__numeric,numeric,pool-above-window,30,12,15,18,0.600,10
a2-logarithms,lg-define__numeric,exactNumberLab,pool-above-window,30,12,15,18,0.600,10
a2-logarithms,lg-expand-condense__numeric,exactNumberLab,pool-above-window,30,12,15,18,0.600,10
a2-polynomials,pf-quad-form__numeric,numeric,pool-above-window,30,12,15,18,0.600,10
a2-trig,tf-transform__numeric,numeric,pool-above-window,30,12,15,18,0.600,10
k0-add-subtract,KoaPutTogetherNumeric,numeric,pool-above-window,30,12,14,18,0.600,10
g1-counting-120,ChartRowsNumeric,numeric,pool-above-window,30,12,14,18,0.600,10
a2-radicals,re-solve__numeric,exactNumberLab,pool-above-window,30,12,14,18,0.600,10
a2-trig,tf-solve-sides__numeric,numeric,pool-above-window,30,12,14,18,0.600,10
g13-integration-accumulation,integration-accumulation__in-signed-area__numeric,numeric,pool-above-window,30,12,14,18,0.600,10
g10-conditional-probability,conditional-probability__cpr-conditional-table__numeric,numeric,pool-above-window,30,12,14,18,0.600,10
pr-unit-rate-g7,recipeWhole,numeric,pool-above-window,30,12,13,18,0.600,10
a2-logarithms,lg-cob__numeric,exactNumberLab,pool-above-window,30,12,13,18,0.600,10
a2-logarithms,lg-e-solve__numeric,numeric,pool-above-window,30,12,13,18,0.600,10
a2-radicals,re-convert__buildExpression,buildExpression,pool-above-window,30,12,13,18,0.600,10
frac-unlike-addsub,subRewrite,fractionEntry,pool-above-window,30,12,12,18,0.600,10
pr-unit-rate-g7,mixedWhole,numeric,pool-above-window,30,12,12,18,0.600,10
k0-add-subtract,KoaModelStoryMcq,mcq,pool-above-window,30,12,12,18,0.600,10
g12-trig-graphs-inverses,trig-graphs-inverses__tg-cos-sin__numeric,numeric,pool-above-window,30,12,11,18,0.600,10
g8-tm-pythagorean-converse,tmDistanceOrigin,numeric,pool-above-window,30,12,10,18,0.600,10
g7-vertical-angles,adjacentObtuse,geometricConstraintLab,pool-above-window,167,13,95,154,0.922,10
missing-side,squareSide,geometricConstraintLab,pool-above-window,167,13,94,154,0.922,10
g8-les-systems-word,lesWordTickets,affineRelationshipLab,pool-above-window,125,13,66,112,0.896,10
make-ten-sum,biggerFirst,numeric,pool-above-window,100,13,57,87,0.870,10
range-floor,negMax,numeric,pool-above-window,50,13,26,37,0.740,10
unit-frac-divide,word,fractionEntry,pool-above-window,34,13,17,21,0.618,10
g7-circle-area,areaFromDiameter,numeric,pool-above-window,34,13,16,21,0.618,10
g7-cross-sections,matchCrossSections,matchPairs,pool-above-window,34,13,16,21,0.618,10
equivalent-fractions,findMark,numberLinePlace,pool-above-window,34,13,15,21,0.618,10
g1-data,GdTallyMakeNumeric,numeric,pool-above-window,30,13,15,17,0.567,10
g13-derivative-rules,derivative-rules__dr-derivative-function__numeric,numeric,pool-above-window,30,13,15,17,0.567,10
coord-area-box,cornerSubtract,numeric,pool-above-window,34,13,14,21,0.618,10
solve-trig-all,sinPair,mcq,pool-above-window,30,13,14,17,0.567,10
g13-curve-analysis,curve-analysis__ca-first-derivative-test__signChart,signChart,pool-above-window,30,13,14,17,0.567,10
g12-polynomial-rational-analysis,polynomial-rational-analysis__pra-rrt-test__numeric,exactNumberLab,pool-above-window,30,13,13,17,0.567,10
g7-tse-expression-build,tseDistPosA,buildExpression,pool-above-window,30,13,12,17,0.567,10
g1-data,GdBarCompareNumeric,numeric,pool-above-window,30,13,12,17,0.567,10
