# sourceSeal=1116fa8 draws=24 — S242/GRB-04. Distinct ANSWERS, not distinct widgets.
# constant = many prompts, one answer: re-asking cannot measure anything. Some are legitimate
# invariance lessons and some are decoration; the distinction has to be read, not computed.
generator,form,widgetType,verdict,distinctPrompts,distinctAnswers,topAnswerShare,topAnswer,examplePrompt
g12-function-analysis,function-analysis__fna-graph-read__buildExpression,buildExpression,constant,24,1,1,[ [   1       ∞   ) ],What is the range of y = |x − 3| + 1?  Reasoning check: Identify the representation and th
g12-limits-continuity,limits-continuity__lc-derivative__mcq,mcq,constant,24,1,1,2a,Taking h → 0 in the difference quotient 2a + h gives the derivative f′(a) =  Reasoning che
g12-limits-continuity,limits-continuity__lc-read-limit__mcq,mcq,constant,24,1,1,4,The curve approaches y = 4 at x = 2  but a filled dot marks (2  1). Then lim(x→2) f(x) equ
g12-polynomial-rational-analysis,polynomial-rational-analysis__pra-boundary-rule__buildExpression,buildExpression,constant,24,1,1,[ −4   ≤   x   <   2 ],Where is (x + 4)/(x − 2) ≤ 0?  Reasoning check: Identify the representation and the govern
g12-polynomial-rational-analysis,polynomial-rational-analysis__pra-conjugate__buildExpression,buildExpression,constant,24,1,1,[ x³   − x²   + 4x   − 4 ],The cubic with zeros 2i  −2i  and 1 (leading coefficient 1) is:  Reasoning check: Translat
g12-polynomial-rational-analysis,polynomial-rational-analysis__pra-portrait__buildExpression,buildExpression,constant,24,1,1,[ Vertical x = −2   and   slant y = 2x +,g(x) = (2x² + 5x + 1)/(x + 2). Which is its complete asymptote portrait?  Reasoning check:
g12-polynomial-rational-analysis,polynomial-rational-analysis__pra-rational-cuts__mcq,mcq,constant,24,1,1,The sign also flips at the excluded valu,A student charts x/(x − 5) using ONLY the cut x = 0. What goes wrong?  Reasoning check: Sk
g12-polynomial-rational-analysis,polynomial-rational-analysis__pra-rrt-test__buildExpression,buildExpression,constant,24,1,1,[ x =   2 ],g(x) = 2x³ − 3x² − 3x + 2. Which of these candidates is actually a zero?  Reasoning check:
g12-polynomial-rational-analysis,default,buildExpression,constant,24,1,1,[ −4   ≤   x   <   2 ],Where is (x + 4)/(x − 2) ≤ 0?  Reasoning check: Name what stays fixed before changing or c
g12-trig-graphs-inverses,trig-graphs-inverses__tg-cos-sin__buildExpression,buildExpression,constant,24,1,1,[ y = 5 cos(x   −   π/3   ) ],A sinusoid with amplitude 5  midline 0  period 2π has a PEAK at x = π/3. Its cosine form i
g12-vectors-matrices,vectors-matrices__vec-add__mcq,mcq,constant,24,1,1,⟨3  2⟩,Compute ⟨5  3⟩ − ⟨2  1⟩.  Reasoning check: Use the visible structure one step at a time an
g13-curve-analysis,curve-analysis__ca-concavity__mcq,mcq,constant,24,1,1,Falling  but the fall is levelling off —,A curve has f′ < 0 and f″ > 0. What is it doing?  Reasoning check: Translate the graph  ta
g13-curve-analysis,curve-analysis__ca-critical-point__mcq,mcq,constant,24,1,1,Because |x| has a minimum at its corner ,Why does the definition include 'f′ does not exist' as well as 'f′ = 0'?  Reasoning check:
g13-curve-analysis,curve-analysis__ca-evt__mcq,mcq,constant,24,1,1,It climbs all the way to 1 but never rea,Why does f(x) = x on the OPEN interval (0  1) have no maximum?  Reasoning check: Name what
g13-curve-analysis,curve-analysis__ca-optimisation-setup__dragOrder,dragOrder,constant,24,1,1,[ Write a formula for the quantity to be,Put an optimisation problem in the right order.  Reasoning check: Sketch or annotate the s
g13-curve-analysis,default,mcq,constant,24,1,1,Falling  but the fall is levelling off —,A curve has f′ < 0 and f″ > 0. What is it doing?  Reasoning check: Identify the representa
g13-derivative-rules,derivative-rules__dr-chain-nested__mcq,mcq,constant,24,1,1,Three — one for the root  one for the cu,How many factors will the derivative of √((2x + 1)³) have?  Reasoning check: Translate the
g13-derivative-rules,derivative-rules__dr-derivative-function__mcq,mcq,constant,24,1,1,A function — one slope for each input  h,You traced f′ for f(x) = x². What kind of object is f′?  Reasoning check: Mark the known q
g13-derivative-rules,derivative-rules__dr-flat-not-turning__mcq,mcq,constant,24,1,1,Neither — it flattens and keeps climbing,For f(x) = x³  f′(0) = 0. Does f have a peak or a valley at x = 0?  Reasoning check: Sketc
g13-derivative-rules,derivative-rules__dr-implicit__mcq,mcq,constant,24,1,1,2y·(dy/dx),Differentiating y² with respect to x gives what?  Reasoning check: Use the visible structu
g13-derivative-rules,derivative-rules__dr-limit-definition__mcq,mcq,constant,24,1,1,2x + h,f(x) = x². Simplify [f(x+h) − f(x)]/h before taking the limit.  Reasoning check: Use the v
g13-derivative-rules,derivative-rules__dr-local-linearity__mcq,mcq,constant,24,1,1,f is differentiable there — locally stra,You magnify a graph at a point and it becomes indistinguishable from a straight line. What
g13-derivative-rules,derivative-rules__dr-sign-of-derivative__matchPairs,matchPairs,constant,24,1,1,{ f is climbing steeply : f′ is large an,Match what f is doing to what f′ is doing.  Reasoning check: Translate the graph  table  o
g13-derivative-rules,derivative-rules__dr-trig-derivative__mcq,mcq,constant,24,1,1,Just past x = 0 the cosine is falling  s,Why does (cos x)′ = −sin x carry a minus sign?  Reasoning check: Use the visible structure
g13-derivatives-in-context,derivatives-in-context__dc-ladder__mcq,mcq,constant,24,1,1,2x(dx/dt) + 2y(dy/dt) = 0,Differentiate x² + y² = 100 with respect to time.  Reasoning check: Translate the graph  t
g13-derivatives-in-context,derivatives-in-context__dc-lhopital__mcq,mcq,constant,24,1,1,The form is not indeterminate — substitu,lim(x→0) (x² + 1)/(x + 1). A student applies L'Hôpital and gets 2x/1 = 0. What went wrong?
g13-derivatives-in-context,derivatives-in-context__dc-linearisation__mcq,mcq,constant,24,1,1,Too big — the tangent to a concave-down ,√x is concave down. Is the linear estimate of √9.1 too big or too small?  Reasoning check:
g13-differential-equations,differential-equations__de-euler__mcq,mcq,constant,24,1,1,y = eˣ is concave UP  so every tangent s,Euler gives 2.25 where the true answer is e ≈ 2.718. Why the undershoot?  Reasoning check:
g13-integration-accumulation,integration-accumulation__in-accumulation__mcq,mcq,constant,24,1,1,A dummy variable — it sweeps across the ,In A(x) = ∫₀ˣ f(t) dt  what is t?  Reasoning check: Translate the graph  table  or express
g13-integration-accumulation,integration-accumulation__in-choosing-u__mcq,mcq,constant,24,1,1,u = x³ + 1 — and du = 3x² dx  so x² dx =,For ∫ x²(x³ + 1)⁵ dx  what is u?  Reasoning check: Translate the graph  table  or expressi
g13-integration-accumulation,integration-accumulation__in-definite-integral__matchPairs,matchPairs,constant,24,1,1,{ ∫ : a stretched S — 'add them all up' ,Match each part of ∫ₐᵇ f(x) dx to what it was  back when it was rectangles.  Reasoning che
g13-integration-accumulation,integration-accumulation__in-ftc-unified__dragOrder,dragOrder,constant,24,1,1,[ A(x) = ∫ₐˣ f has A′ = f  so A is an an,Put the derivation of Part 2 in order.  Reasoning check: Use the visible structure one ste
g13-integration-accumulation,integration-accumulation__in-ftc2__mcq,mcq,constant,24,1,1,Two antiderivatives differ by a constant,Why can you use ANY antiderivative F when evaluating ∫ₐᵇ f?  Reasoning check: Identify the
g13-integration-accumulation,integration-accumulation__in-read-accumulation__matchPairs,matchPairs,constant,24,1,1,{ f is large and positive : A is climbin,Match what f is doing to what A is doing.  Reasoning check: Use the visible structure one 
g13-integration-accumulation,integration-accumulation__in-read-accumulation__mcq,mcq,constant,24,1,1,At x = 2  where f crosses zero from belo,f(x) = x − 2. Where is the accumulation A(x) = ∫₀ˣ f smallest?  Reasoning check: Translate
g13-integration-accumulation,integration-accumulation__in-signed-area__mcq,mcq,constant,24,1,1,∫ f = 2; the geometric area is 8.,f is above the axis with area 5  then below it with area 3. What is ∫ f  and what is the t
g13-integration-applications,integration-applications__ia-area-between__mcq,mcq,constant,24,1,1,y = x — test x = 0.5: it gives 0.5 again,On the interval (0  1)  which of y = x and y = x² is on top?  Reasoning check: Sketch or a
g13-integration-applications,default,mcq,constant,24,1,1,y = x — test x = 0.5: it gives 0.5 again,On the interval (0  1)  which of y = x and y = x² is on top?  Reasoning check: Identify th
g13-parametric-polar-calculus,parametric-polar-calculus__pc-arc-length__mcq,mcq,constant,24,1,1,The SPEED of the point — the magnitude o,What IS the quantity √((dx/dt)² + (dy/dt)²)?  Reasoning check: Mark the known quantities  
g13-parametric-polar-calculus,parametric-polar-calculus__pc-parametric-derivative__mcq,mcq,constant,24,1,1,When dy/dt = 0 and dx/dt ≠ 0 — y has sto,When does a parametric curve have a HORIZONTAL tangent?  Reasoning check: Use the visible 
g13-parametric-polar-calculus,parametric-polar-calculus__pc-polar-area__mcq,mcq,constant,24,1,1,A thin wedge is a TRIANGLE  and a triang,Why does the polar area formula carry a ½?  Reasoning check: Name what stays fixed before 
g13-parametric-polar-calculus,default,mcq,constant,24,1,1,The SPEED of the point — the magnitude o,What IS the quantity √((dx/dt)² + (dy/dt)²)?  Reasoning check: Use the visible structure o
g13-series-convergence,default,mcq,constant,24,1,1,Bouncing above and below  and closing in,The partial sums of 1 − 1/2 + 1/3 − 1/4 + … run 1  0.5  0.833  0.583  … What are they doin
g10-conditional-probability,conditional-probability__cpr-complement__mcq,mcq,constant,24,1,1,No heads at all (TTT),Three coins are flipped. What is the complement of  at least one head ?  Reasoning check: 
g10-conditional-probability,conditional-probability__cpr-indep-vs-disjoint__mcq,mcq,constant,24,1,1,Dependent — knowing it is a 5 drops P(ev,One die. A =  even   B =  shows a 5 . These are mutually exclusive. Are they independent? 
g10-conditional-probability,conditional-probability__cpr-joint-prob__matchPairs,matchPairs,constant,24,1,1,{ P(takes the bus) : 100/200   P(no spor,Match each probability to the count above 200.  Reasoning check: Translate the graph  tabl
g10-conditional-probability,conditional-probability__cpr-multiplication-rule__mcq,mcq,constant,24,1,1,When knowing A leaves the chance of B un,When can you compute P(A and B) as simply P(A) × P(B)?  Reasoning check: Name what stays f
