lesson,grade,course,concept,lesson class,current A/B interactions,current C/D interactions,misconception burden,candidate existing engine,expected learner gain,reuse potential,priority,decision,justification
pf-03-01,11,Algebra 2: Polynomial Functions,pf-long-div,A,0,6,3,algebraTiles,Learner could manipulate the algebraTiles model and observe a state-dependent consequence before symbolic/retrieval checks.,17,80.29,CHANGE,"Zero A/B interaction in an acquisition lesson; existing algebraTiles offers a causal model, so reuse should be audited before any new engine."
pf-04-01,11,Algebra 2: Polynomial Functions,pf-quad-form,A,0,6,3,algebraTiles,Learner could manipulate the algebraTiles model and observe a state-dependent consequence before symbolic/retrieval checks.,17,80.29,CHANGE,"Zero A/B interaction in an acquisition lesson; existing algebraTiles offers a causal model, so reuse should be audited before any new engine."
ee-02-01,6,Expressions & Equations,variables,A,0,6,3,solveBalance,Learner could manipulate the solveBalance model and observe a state-dependent consequence before symbolic/retrieval checks.,20,72.24,CHANGE,"Zero A/B interaction in an acquisition lesson; existing solveBalance offers a causal model, so reuse should be audited before any new engine."
ee-04-01,6,Expressions & Equations,equation-meaning,A,0,6,3,solveBalance,Learner could manipulate the solveBalance model and observe a state-dependent consequence before symbolic/retrieval checks.,20,72.24,CHANGE,"Zero A/B interaction in an acquisition lesson; existing solveBalance offers a causal model, so reuse should be audited before any new engine."
asv-01-01,6,"Area, Surface Area & Volume",triangle-area,A,0,6,2,areaModel,Learner could manipulate the areaModel model and observe a state-dependent consequence before symbolic/retrieval checks.,100,72.06,CHANGE,"Zero A/B interaction in an acquisition lesson; existing areaModel offers a causal model, so reuse should be audited before any new engine."
asv-02-01,6,"Area, Surface Area & Volume",decompose-lshape,A,0,6,2,areaModel,Learner could manipulate the areaModel model and observe a state-dependent consequence before symbolic/retrieval checks.,100,72.06,CHANGE,"Zero A/B interaction in an acquisition lesson; existing areaModel offers a causal model, so reuse should be audited before any new engine."
pf-05-03,11,Algebra 2: Polynomial Functions,pf-build,B,0,6,3,algebraTiles,Learner could manipulate the algebraTiles model and observe a state-dependent consequence before symbolic/retrieval checks.,17,66.9,CHANGE,"Zero A/B interaction in an transfer lesson; existing algebraTiles offers a causal model, so reuse should be audited before any new engine."
mc-02-01,4,Measure & Convert,area-formula,A,0,6,2,areaModel,Learner could manipulate the areaModel model and observe a state-dependent consequence before symbolic/retrieval checks.,100,66.06,CHANGE,"Zero A/B interaction in an acquisition lesson; existing areaModel offers a causal model, so reuse should be audited before any new engine."
vec-04-01,12,Precalculus: Vectors & Matrices,vec-matrix-arith,A,0,5,3,vectorExplore,Learner could manipulate the vectorExplore model and observe a state-dependent consequence before symbolic/retrieval checks.,9,65.38,CHANGE,"Zero A/B interaction in an acquisition lesson; existing vectorExplore offers a causal model, so reuse should be audited before any new engine."
tm-02-01,8,Grade 8: Transformations & Measurement,tm-congruence,A,0,6,3,triangleConstraintLab,Learner could manipulate the triangleConstraintLab model and observe a state-dependent consequence before symbolic/retrieval checks.,13,63.29,CHANGE,"Zero A/B interaction in an acquisition lesson; existing triangleConstraintLab offers a causal model, so reuse should be audited before any new engine."
ca-03-01,13,Calculus: Curve Analysis,ca-rolle,A,0,5,2,distributionCompareLab,Learner could manipulate the distributionCompareLab model and observe a state-dependent consequence before symbolic/retrieval checks.,28,61.83,CHANGE,"Zero A/B interaction in an acquisition lesson; existing distributionCompareLab offers a causal model, so reuse should be audited before any new engine."
asv-05-03,6,"Area, Surface Area & Volume",volume-applications,B,0,6,3,volumeBuilder,Learner could manipulate the volumeBuilder model and observe a state-dependent consequence before symbolic/retrieval checks.,19,59.3,CHANGE,"Zero A/B interaction in an transfer lesson; existing volumeBuilder offers a causal model, so reuse should be audited before any new engine."
bv-03-03,8,Grade 8: Bivariate Statistics,bv-prediction-limits,B,0,6,3,graphZoom,Learner could manipulate the graphZoom model and observe a state-dependent consequence before symbolic/retrieval checks.,17,57.35,CHANGE,"Zero A/B interaction in an transfer lesson; existing graphZoom offers a causal model, so reuse should be audited before any new engine."
sg-03-03,10,Geometry: Solid Geometry & Modeling,sg-sphere-justified,A,0,6,2,volumeBuilder,Learner could manipulate the volumeBuilder model and observe a state-dependent consequence before symbolic/retrieval checks.,19,55.34,CHANGE,"Zero A/B interaction in an acquisition lesson; existing volumeBuilder offers a causal model, so reuse should be audited before any new engine."
esn-01-01,8,"Grade 8: Exponents, Roots & Scientific Notation",esn-powers-of-ten-meaning,A,0,7,2,distributionCompareLab,Learner could manipulate the distributionCompareLab model and observe a state-dependent consequence before symbolic/retrieval checks.,28,52.99,CHANGE,"Zero A/B interaction in an acquisition lesson; existing distributionCompareLab offers a causal model, so reuse should be audited before any new engine."
dpv-02-01,5,Powers of Ten & Decimals,decimal-place-names,A,0,6,2,hundredthsGrid,Learner could manipulate the hundredthsGrid model and observe a state-dependent consequence before symbolic/retrieval checks.,36,51.95,CHANGE,"Zero A/B interaction in an acquisition lesson; existing hundredthsGrid offers a causal model, so reuse should be audited before any new engine."
tc-04-01,10,Triangle Congruence & Centers,tc-circumcenter,A,0,6,2,triangleConstraintLab,Learner could manipulate the triangleConstraintLab model and observe a state-dependent consequence before symbolic/retrieval checks.,13,49.23,CHANGE,"Zero A/B interaction in an acquisition lesson; existing triangleConstraintLab offers a causal model, so reuse should be audited before any new engine."
pp-04-01,12,Precalculus: Polar Coordinates & Parametric Curves,pp-parametric,A,0,5,3,polarTrace,Learner could manipulate the polarTrace model and observe a state-dependent consequence before symbolic/retrieval checks.,4,48.86,CHANGE,"Zero A/B interaction in an acquisition lesson; existing polarTrace offers a causal model, so reuse should be audited before any new engine."
pc-01-01,13,Calculus BC: Parametric & Polar,pc-parametric-derivative,A,0,5,3,polarTrace,Learner could manipulate the polarTrace model and observe a state-dependent consequence before symbolic/retrieval checks.,4,48.86,CHANGE,"Zero A/B interaction in an acquisition lesson; existing polarTrace offers a causal model, so reuse should be audited before any new engine."
fg-01-02,8,Grade 8: Functions,fg-function-test,A,0,6,3,lineExplore,Learner could manipulate the lineExplore model and observe a state-dependent consequence before symbolic/retrieval checks.,6,48.6,CHANGE,"Zero A/B interaction in an acquisition lesson; existing lineExplore offers a causal model, so reuse should be audited before any new engine."
cr-04-01,10,Geometry: Circle Theorems,cr-secant-angles,A,0,6,2,secantSlope,Learner could manipulate the secantSlope model and observe a state-dependent consequence before symbolic/retrieval checks.,10,45.17,CHANGE,"Zero A/B interaction in an acquisition lesson; existing secantSlope offers a causal model, so reuse should be audited before any new engine."
pra-04-03,12,Precalculus: Polynomial & Rational Analysis,pra-ineq-scratch,A,0,5,3,numberLineRay,Learner could manipulate the numberLineRay model and observe a state-dependent consequence before symbolic/retrieval checks.,3,43.88,CHANGE,"Zero A/B interaction in an acquisition lesson; existing numberLineRay offers a causal model, so reuse should be audited before any new engine."
bv-03-02,8,Grade 8: Bivariate Statistics,bv-interpret,B,0,6,3,lineExplore,Learner could manipulate the lineExplore model and observe a state-dependent consequence before symbolic/retrieval checks.,6,40.5,CHANGE,"Zero A/B interaction in an transfer lesson; existing lineExplore offers a causal model, so reuse should be audited before any new engine."
la-03-01,4,Lines & Angles,triangle-classification,A,0,6,2,triangleConstraintLab,Learner could manipulate the triangleConstraintLab model and observe a state-dependent consequence before symbolic/retrieval checks.,13,38.68,CHANGE,"Zero A/B interaction in an acquisition lesson; existing triangleConstraintLab offers a causal model, so reuse should be audited before any new engine."
tf-02-01,11,Algebra 2: Trigonometric Functions,tf-radians,A,0,6,1,lengthCompare,Learner could manipulate the lengthCompare model and observe a state-dependent consequence before symbolic/retrieval checks.,63,37.94,CHANGE,"Zero A/B interaction in an acquisition lesson; existing lengthCompare offers a causal model, so reuse should be audited before any new engine."
ee-05-01,6,Expressions & Equations,inequality-meaning,A,0,6,3,numberLineRay,Learner could manipulate the numberLineRay model and observe a state-dependent consequence before symbolic/retrieval checks.,3,37.62,CHANGE,"Zero A/B interaction in an acquisition lesson; existing numberLineRay offers a causal model, so reuse should be audited before any new engine."
g7-04-01,7,Grade 7: Geometry,g7-triangle-inequality,A,0,6,3,numberLineRay,Learner could manipulate the numberLineRay model and observe a state-dependent consequence before symbolic/retrieval checks.,3,37.62,CHANGE,"Zero A/B interaction in an acquisition lesson; existing numberLineRay offers a causal model, so reuse should be audited before any new engine."
esn-02-01,8,"Grade 8: Exponents, Roots & Scientific Notation",esn-square-root-solve,A,0,7,1,solveBalance,Learner could manipulate the solveBalance model and observe a state-dependent consequence before symbolic/retrieval checks.,20,24.08,CHANGE,"Zero A/B interaction in an acquisition lesson; existing solveBalance offers a causal model, so reuse should be audited before any new engine."
pp-05-01,12,Precalculus: Polar Coordinates & Parametric Curves,pp-projectile,A,0,5,1,polarTrace,Learner could manipulate the polarTrace model and observe a state-dependent consequence before symbolic/retrieval checks.,4,16.29,CHANGE,"Zero A/B interaction in an acquisition lesson; existing polarTrace offers a causal model, so reuse should be audited before any new engine."
rad-01-01,9,Algebra 1: Radicals & Rational Exponents,rad-perfect-square,A,0,7,3,exactNumberLab,Learner could manipulate the exactNumberLab model and observe a state-dependent consequence before symbolic/retrieval checks.,351,106.64,KEEP,"Potential conceptual gap, but no obvious existing-engine fit from the mechanical scan; requires human necessity audit before any implementation."
rad-02-01,9,Algebra 1: Radicals & Rational Exponents,rad-like-terms,A,0,7,3,exactNumberLab,Learner could manipulate the exactNumberLab model and observe a state-dependent consequence before symbolic/retrieval checks.,351,106.64,KEEP,"Potential conceptual gap, but no obvious existing-engine fit from the mechanical scan; requires human necessity audit before any implementation."
cn-04-01,11,Algebra 2: Complex Numbers & Quadratics,cn-neg-eq,A,0,6,3,exactNumberLab,Learner could manipulate the exactNumberLab model and observe a state-dependent consequence before symbolic/retrieval checks.,351,106.64,KEEP,"Potential conceptual gap, but no obvious existing-engine fit from the mechanical scan; requires human necessity audit before any implementation."
cn-05-01,11,Algebra 2: Complex Numbers & Quadratics,cn-sum-product,A,0,6,3,exactNumberLab,Learner could manipulate the exactNumberLab model and observe a state-dependent consequence before symbolic/retrieval checks.,351,106.64,KEEP,"Potential conceptual gap, but no obvious existing-engine fit from the mechanical scan; requires human necessity audit before any implementation."
re-01-01,11,Algebra 2: Radical Functions & Equations,re-convert,A,0,6,3,exactNumberLab,Learner could manipulate the exactNumberLab model and observe a state-dependent consequence before symbolic/retrieval checks.,351,106.64,KEEP,"Potential conceptual gap, but no obvious existing-engine fit from the mechanical scan; requires human necessity audit before any implementation."
re-02-01,11,Algebra 2: Radical Functions & Equations,re-rationalize,A,0,6,3,exactNumberLab,Learner could manipulate the exactNumberLab model and observe a state-dependent consequence before symbolic/retrieval checks.,351,106.64,KEEP,"Potential conceptual gap, but no obvious existing-engine fit from the mechanical scan; requires human necessity audit before any implementation."
re-03-01,11,Algebra 2: Radical Functions & Equations,re-sqrt-fn,A,0,6,3,exactNumberLab,Learner could manipulate the exactNumberLab model and observe a state-dependent consequence before symbolic/retrieval checks.,351,106.64,KEEP,"Potential conceptual gap, but no obvious existing-engine fit from the mechanical scan; requires human necessity audit before any implementation."
ns-04-02,6,The Number System,compare-negatives,C,0,6,3,numberLineHop,Learner could manipulate the numberLineHop model and observe a state-dependent consequence before symbolic/retrieval checks.,452,47.66,KEEP,Procedural-fluency purpose; preserve independent production unless a manual lesson read finds a conceptual bottleneck.
rr-02-03,6,Ratios & Rates,scale-tool-choice,C,0,6,3,numberLineHop,Learner could manipulate the numberLineHop model and observe a state-dependent consequence before symbolic/retrieval checks.,452,47.66,KEEP,Procedural-fluency purpose; preserve independent production unless a manual lesson read finds a conceptual bottleneck.
rns-02-03,8,Grade 8: The Real Number System,rns-density,C,0,6,3,numberLineHop,Learner could manipulate the numberLineHop model and observe a state-dependent consequence before symbolic/retrieval checks.,452,47.66,KEEP,Procedural-fluency purpose; preserve independent production unless a manual lesson read finds a conceptual bottleneck.
rt-05-04,10,Right Triangles & Trigonometry,rt-choose-tool,C,0,6,3,areaModel,Learner could manipulate the areaModel model and observe a state-dependent consequence before symbolic/retrieval checks.,100,42.04,KEEP,Procedural-fluency purpose; preserve independent production unless a manual lesson read finds a conceptual bottleneck.
in-01-03,13,Calculus: Integration & the Fundamental Theorem,in-definite-integral,C,0,5,3,areaModel,Learner could manipulate the areaModel model and observe a state-dependent consequence before symbolic/retrieval checks.,100,42.04,KEEP,Procedural-fluency purpose; preserve independent production unless a manual lesson read finds a conceptual bottleneck.
pp-01-03,12,Precalculus: Polar Coordinates & Parametric Curves,pp-to-polar,C,0,6,3,plotPoint,Learner could manipulate the plotPoint model and observe a state-dependent consequence before symbolic/retrieval checks.,66,38.35,KEEP,Procedural-fluency purpose; preserve independent production unless a manual lesson read finds a conceptual bottleneck.
rad-01-02,9,Algebra 1: Radicals & Rational Exponents,rad-simplify-factor,C,0,7,3,exactNumberLab,Learner could manipulate the exactNumberLab model and observe a state-dependent consequence before symbolic/retrieval checks.,351,35.55,KEEP,Procedural-fluency purpose; preserve independent production unless a manual lesson read finds a conceptual bottleneck.
rad-01-03,9,Algebra 1: Radicals & Rational Exponents,rad-fully-simplified,C,0,7,3,exactNumberLab,Learner could manipulate the exactNumberLab model and observe a state-dependent consequence before symbolic/retrieval checks.,351,35.55,KEEP,Procedural-fluency purpose; preserve independent production unless a manual lesson read finds a conceptual bottleneck.
rad-02-02,9,Algebra 1: Radicals & Rational Exponents,rad-multiply,C,0,7,3,exactNumberLab,Learner could manipulate the exactNumberLab model and observe a state-dependent consequence before symbolic/retrieval checks.,351,35.55,KEEP,Procedural-fluency purpose; preserve independent production unless a manual lesson read finds a conceptual bottleneck.
rad-02-03,9,Algebra 1: Radicals & Rational Exponents,rad-distribute,C,0,7,3,exactNumberLab,Learner could manipulate the exactNumberLab model and observe a state-dependent consequence before symbolic/retrieval checks.,351,35.55,KEEP,Procedural-fluency purpose; preserve independent production unless a manual lesson read finds a conceptual bottleneck.
cn-04-02,11,Algebra 2: Complex Numbers & Quadratics,cn-formula-complex,C,0,6,3,exactNumberLab,Learner could manipulate the exactNumberLab model and observe a state-dependent consequence before symbolic/retrieval checks.,351,35.55,KEEP,Procedural-fluency purpose; preserve independent production unless a manual lesson read finds a conceptual bottleneck.
cn-04-03,11,Algebra 2: Complex Numbers & Quadratics,cn-disc-full,C,0,6,3,exactNumberLab,Learner could manipulate the exactNumberLab model and observe a state-dependent consequence before symbolic/retrieval checks.,351,35.55,KEEP,Procedural-fluency purpose; preserve independent production unless a manual lesson read finds a conceptual bottleneck.
re-01-03,11,Algebra 2: Radical Functions & Equations,re-var-radicals,C,0,6,3,exactNumberLab,Learner could manipulate the exactNumberLab model and observe a state-dependent consequence before symbolic/retrieval checks.,351,35.55,KEEP,Procedural-fluency purpose; preserve independent production unless a manual lesson read finds a conceptual bottleneck.
re-02-02,11,Algebra 2: Radical Functions & Equations,re-products,C,0,6,3,exactNumberLab,Learner could manipulate the exactNumberLab model and observe a state-dependent consequence before symbolic/retrieval checks.,351,35.55,KEEP,Procedural-fluency purpose; preserve independent production unless a manual lesson read finds a conceptual bottleneck.
re-02-03,11,Algebra 2: Radical Functions & Equations,re-conjugates,C,0,6,3,exactNumberLab,Learner could manipulate the exactNumberLab model and observe a state-dependent consequence before symbolic/retrieval checks.,351,35.55,KEEP,Procedural-fluency purpose; preserve independent production unless a manual lesson read finds a conceptual bottleneck.
re-03-03,11,Algebra 2: Radical Functions & Equations,re-transform,C,0,6,3,exactNumberLab,Learner could manipulate the exactNumberLab model and observe a state-dependent consequence before symbolic/retrieval checks.,351,35.55,KEEP,Procedural-fluency purpose; preserve independent production unless a manual lesson read finds a conceptual bottleneck.
re-04-03,11,Algebra 2: Radical Functions & Equations,re-both-sides,C,0,6,3,exactNumberLab,Learner could manipulate the exactNumberLab model and observe a state-dependent consequence before symbolic/retrieval checks.,351,35.55,KEEP,Procedural-fluency purpose; preserve independent production unless a manual lesson read finds a conceptual bottleneck.
re-05-03,11,Algebra 2: Radical Functions & Equations,re-models,C,0,6,3,exactNumberLab,Learner could manipulate the exactNumberLab model and observe a state-dependent consequence before symbolic/retrieval checks.,351,35.55,KEEP,Procedural-fluency purpose; preserve independent production unless a manual lesson read finds a conceptual bottleneck.
lc-05-03,12,Precalculus: Limits & the Doorway to Calculus,lc-series-limit,C,0,5,3,proportionalReasoningLab,Learner could manipulate the proportionalReasoningLab model and observe a state-dependent consequence before symbolic/retrieval checks.,42,34.39,KEEP,Procedural-fluency purpose; preserve independent production unless a manual lesson read finds a conceptual bottleneck.
fr-01-03,3,Fractions from Scratch,build-fraction,C,0,6,3,fractionBar,Learner could manipulate the fractionBar model and observe a state-dependent consequence before symbolic/retrieval checks.,101,33.1,KEEP,Procedural-fluency purpose; preserve independent production unless a manual lesson read finds a conceptual bottleneck.
fr-01-04,3,Fractions from Scratch,num-denom,C,0,6,3,fractionBar,Learner could manipulate the fractionBar model and observe a state-dependent consequence before symbolic/retrieval checks.,101,33.1,KEEP,Procedural-fluency purpose; preserve independent production unless a manual lesson read finds a conceptual bottleneck.
fr-03-02,3,Fractions from Scratch,equiv-models,C,0,6,3,fractionBar,Learner could manipulate the fractionBar model and observe a state-dependent consequence before symbolic/retrieval checks.,101,33.1,KEEP,Procedural-fluency purpose; preserve independent production unless a manual lesson read finds a conceptual bottleneck.
fr-04-04,3,Fractions from Scratch,same-whole,C,0,6,3,fractionBar,Learner could manipulate the fractionBar model and observe a state-dependent consequence before symbolic/retrieval checks.,101,33.1,KEEP,Procedural-fluency purpose; preserve independent production unless a manual lesson read finds a conceptual bottleneck.
fa-03-02,4,Fractions That Add Up,subtract-like-denom,C,0,6,3,fractionBar,Learner could manipulate the fractionBar model and observe a state-dependent consequence before symbolic/retrieval checks.,101,33.1,KEEP,Procedural-fluency purpose; preserve independent production unless a manual lesson read finds a conceptual bottleneck.
fa-03-03,4,Fractions That Add Up,like-denom-word-problems,C,0,6,3,fractionBar,Learner could manipulate the fractionBar model and observe a state-dependent consequence before symbolic/retrieval checks.,101,33.1,KEEP,Procedural-fluency purpose; preserve independent production unless a manual lesson read finds a conceptual bottleneck.
fa-05-02,4,Fractions That Add Up,fraction-times-whole-word,C,0,6,3,fractionBar,Learner could manipulate the fractionBar model and observe a state-dependent consequence before symbolic/retrieval checks.,101,33.1,KEEP,Procedural-fluency purpose; preserve independent production unless a manual lesson read finds a conceptual bottleneck.
mc-05-02,4,Measure & Convert,line-plot-build,C,0,6,3,fractionBar,Learner could manipulate the fractionBar model and observe a state-dependent consequence before symbolic/retrieval checks.,101,33.1,KEEP,Procedural-fluency purpose; preserve independent production unless a manual lesson read finds a conceptual bottleneck.
mc-05-03,4,Measure & Convert,line-plot-questions,C,0,6,3,fractionBar,Learner could manipulate the fractionBar model and observe a state-dependent consequence before symbolic/retrieval checks.,101,33.1,KEEP,Procedural-fluency purpose; preserve independent production unless a manual lesson read finds a conceptual bottleneck.
lg-02-02,11,Algebra 2: Exponentials & Logarithms,lg-power,C,0,6,3,expLogExplore,Learner could manipulate the expLogExplore model and observe a state-dependent consequence before symbolic/retrieval checks.,28,30.91,KEEP,Procedural-fluency purpose; preserve independent production unless a manual lesson read finds a conceptual bottleneck.
lg-05-03,11,Algebra 2: Exponentials & Logarithms,lg-scales,C,0,6,3,expLogExplore,Learner could manipulate the expLogExplore model and observe a state-dependent consequence before symbolic/retrieval checks.,28,30.91,KEEP,Procedural-fluency purpose; preserve independent production unless a manual lesson read finds a conceptual bottleneck.
cn-05-02,11,Algebra 2: Complex Numbers & Quadratics,cn-build-quad,C,0,6,3,quadraticExplore,Learner could manipulate the quadraticExplore model and observe a state-dependent consequence before symbolic/retrieval checks.,25,29.96,KEEP,Procedural-fluency purpose; preserve independent production unless a manual lesson read finds a conceptual bottleneck.
rr-01-02,6,Ratios & Rates,part-part-whole,C,0,6,3,proportionalReasoningLab,Learner could manipulate the proportionalReasoningLab model and observe a state-dependent consequence before symbolic/retrieval checks.,42,29.48,KEEP,Procedural-fluency purpose; preserve independent production unless a manual lesson read finds a conceptual bottleneck.
rr-04-03,6,Ratios & Rates,percent-reason,C,0,6,3,proportionalReasoningLab,Learner could manipulate the proportionalReasoningLab model and observe a state-dependent consequence before symbolic/retrieval checks.,42,29.48,KEEP,Procedural-fluency purpose; preserve independent production unless a manual lesson read finds a conceptual bottleneck.
rr-05-02,6,Ratios & Rates,chain-convert,C,0,6,3,proportionalReasoningLab,Learner could manipulate the proportionalReasoningLab model and observe a state-dependent consequence before symbolic/retrieval checks.,42,29.48,KEEP,Procedural-fluency purpose; preserve independent production unless a manual lesson read finds a conceptual bottleneck.
rns-01-02,8,Grade 8: The Real Number System,rns-predict-terminate,C,0,7,3,hundredthsGrid,Learner could manipulate the hundredthsGrid model and observe a state-dependent consequence before symbolic/retrieval checks.,36,28.34,KEEP,Procedural-fluency purpose; preserve independent production unless a manual lesson read finds a conceptual bottleneck.
alg1-03-03,9,Algebra 1: Solving Linear Equations,multi-literal,C,0,6,3,solveBalance,Learner could manipulate the solveBalance model and observe a state-dependent consequence before symbolic/retrieval checks.,20,28.09,KEEP,Procedural-fluency purpose; preserve independent production unless a manual lesson read finds a conceptual bottleneck.
lg-03-03,11,Algebra 2: Exponentials & Logarithms,lg-log-solve,C,0,6,3,solveBalance,Learner could manipulate the solveBalance model and observe a state-dependent consequence before symbolic/retrieval checks.,20,28.09,KEEP,Procedural-fluency purpose; preserve independent production unless a manual lesson read finds a conceptual bottleneck.
re-01-02,11,Algebra 2: Radical Functions & Equations,re-rules,C,0,6,3,solveBalance,Learner could manipulate the solveBalance model and observe a state-dependent consequence before symbolic/retrieval checks.,20,28.09,KEEP,Procedural-fluency purpose; preserve independent production unless a manual lesson read finds a conceptual bottleneck.
re-05-02,11,Algebra 2: Radical Functions & Equations,re-plusminus,C,0,6,3,solveBalance,Learner could manipulate the solveBalance model and observe a state-dependent consequence before symbolic/retrieval checks.,20,28.09,KEEP,Procedural-fluency purpose; preserve independent production unless a manual lesson read finds a conceptual bottleneck.
rf-05-02,11,Algebra 2: Rational Functions,rf-work,C,0,6,3,solveBalance,Learner could manipulate the solveBalance model and observe a state-dependent consequence before symbolic/retrieval checks.,20,28.09,KEEP,Procedural-fluency purpose; preserve independent production unless a manual lesson read finds a conceptual bottleneck.
rf-05-03,11,Algebra 2: Rational Functions,rf-variation,C,0,6,3,solveBalance,Learner could manipulate the solveBalance model and observe a state-dependent consequence before symbolic/retrieval checks.,20,28.09,KEEP,Procedural-fluency purpose; preserve independent production unless a manual lesson read finds a conceptual bottleneck.
vec-04-03,12,Precalculus: Vectors & Matrices,vec-solve-systems,C,0,5,3,solveBalance,Learner could manipulate the solveBalance model and observe a state-dependent consequence before symbolic/retrieval checks.,20,28.09,KEEP,Procedural-fluency purpose; preserve independent production unless a manual lesson read finds a conceptual bottleneck.
sg-02-03,10,Geometry: Solid Geometry & Modeling,sg-cavalieri-limits,C,0,6,3,graphZoom,Learner could manipulate the graphZoom model and observe a state-dependent consequence before symbolic/retrieval checks.,17,26.76,KEEP,Procedural-fluency purpose; preserve independent production unless a manual lesson read finds a conceptual bottleneck.
pf-03-02,11,Algebra 2: Polynomial Functions,pf-synthetic,C,0,6,3,algebraTiles,Learner could manipulate the algebraTiles model and observe a state-dependent consequence before symbolic/retrieval checks.,17,26.76,KEEP,Procedural-fluency purpose; preserve independent production unless a manual lesson read finds a conceptual bottleneck.
pf-04-02,11,Algebra 2: Polynomial Functions,pf-grouping,C,0,6,3,algebraTiles,Learner could manipulate the algebraTiles model and observe a state-dependent consequence before symbolic/retrieval checks.,17,26.76,KEEP,Procedural-fluency purpose; preserve independent production unless a manual lesson read finds a conceptual bottleneck.
pf-04-03,11,Algebra 2: Polynomial Functions,pf-cubes,C,0,6,3,algebraTiles,Learner could manipulate the algebraTiles model and observe a state-dependent consequence before symbolic/retrieval checks.,17,26.76,KEEP,Procedural-fluency purpose; preserve independent production unless a manual lesson read finds a conceptual bottleneck.
rf-03-02,11,Algebra 2: Rational Functions,rf-lcd,C,0,6,3,algebraTiles,Learner could manipulate the algebraTiles model and observe a state-dependent consequence before symbolic/retrieval checks.,17,26.76,KEEP,Procedural-fluency purpose; preserve independent production unless a manual lesson read finds a conceptual bottleneck.
lc-02-03,12,Precalculus: Limits & the Doorway to Calculus,lc-rationalize,C,0,5,3,graphZoom,Learner could manipulate the graphZoom model and observe a state-dependent consequence before symbolic/retrieval checks.,17,26.76,KEEP,Procedural-fluency purpose; preserve independent production unless a manual lesson read finds a conceptual bottleneck.
pra-02-03,12,Precalculus: Polynomial & Rational Analysis,pra-build-mixed,C,0,5,3,algebraTiles,Learner could manipulate the algebraTiles model and observe a state-dependent consequence before symbolic/retrieval checks.,17,26.76,KEEP,Procedural-fluency purpose; preserve independent production unless a manual lesson read finds a conceptual bottleneck.
