engine,file,line_ref,verdict,leak_class,evidence,confidence
integerChips,src/components/widgets.tsx,5680-5757,CLEAN,NONE,"Read IntegerChipsW end to end. Visible text: prompt, ""{pos} + (-{neg}) = {sum}"", ""({n} zero pairs cancel)"", ""positive chips""/""negative chips"", ""Add a zero pair""/""Remove a zero pair"", and ""A +1 chip and a -1 chip change the representation but preserve the value."" - the last is mathematical prose about equivalence, not representation metadata. Not in describeState.ts.",HIGH
inversePipeline,src/components/widgets.tsx,8737-8928,CLEAN,NONE,"Read InversePipelineW end to end. Visible text: ""What f does to x"", ""Build f-1: undo it, last step first"", ""Steps you can use"", ""undo"" badge, ""Slot {n}"" accessible names, and the arithmetic check sentence. describeState.ts:514 speaks the forward chain and the built track. All function-composition vocabulary.",HIGH
lengthCompare,src/components/widgets.tsx,14334-14742,CLEAN,NONE,"Read the router plus both branches (LengthDifferenceW and LengthPickAlignW, covering pick and align modes). Visible text: ""how many more?"", ""start line"", ""Starting ends lined up - the compare is fair."", ""{n} units past the start line"", ""Each stripe is one {unit} - count them if it looks close."" Not a describeState case, so its actions entry at 934 never renders.",HIGH
lineExplore,src/components/widgets.tsx,12406-12712,CLEAN,NONE,"Read LineExploreW end to end including the MMIP morph/undo layer. Visible text: prompt, ""y = mx + b"", ""run""/""rise"" triangle labels, ""slope m""/""intercept b"", the two lock chips (""Slope is resting for a moment - it already matches...""), and ""Undo last move"". The transaction sentence at 12653 is sr-only and describes the mathematical move. describeState.ts:592 is purely the line and its target.",HIGH
lineRelationLab,src/components/widgets.tsx,15704,LEAK,PROCESS_TELEMETRY,"Active state renders a permanent readout tile ""moves"" showing ""{moves}/{spec.requiredMoves}"" (LabReadout label=""moves""), i.e. a running count of learner actions against an authoring-set move quota - process telemetry, not mathematics. The same telemetry is spoken in the learner disclosure: describeState.ts:311 ends ""... ${v.moves} meaningful moves recorded."" and the actions copy at describeState.ts:932 advertises ""live readouts name the relation, angle, and move count."" The sibling ""relation"" and ""angle"" tiles are legitimate.",HIGH
matchPairs,src/components/widgets.tsx,13150-13267,CLEAN,NONE,"Read MatchPairsW end to end. Visible text: prompt, ""Tap one on the left, then its match on the right. Tap a numbered one to unlink."", link numerals, and the live paired-claim list. Reveal arrows are tone===""info"" and aria-hidden. Not in describeState.ts.",HIGH
matrixTransform,src/components/widgets.tsx,15013-15139,CLEAN,NONE,"Read MatrixTransformW and its MatrixStepper helper. Visible text: ""i-hat lands at (a, c)"", ""j-hat lands at (b, d)"", the matrix bracket display, and ""det = a*d - b*c = n -> area xn"". spec.targetName is an authored human phrase (schema.ts:2837 ""e.g. a 90 degree counter-clockwise rotation""), not an internal token. describeState.ts:176 is purely linear-algebra. NOTE (not a focus leak): the actions copy at describeState.ts:941 says ""Four sliders"" but the controls are +/- steppers.",HIGH
mcq,src/components/widgets.tsx,283-365,CLEAN,NONE,"Read McqW end to end. The only rendered strings are spec.prompt, option labels, and the tone===""info"" reveal badges ""correct answer""/""your answer"" (aria-hidden, reveal phase only). No authoring metadata; the seeded-shuffle rationale lives in comments, never on screen. Not in describeState.ts.",HIGH
mixedRegroup,src/components/widgets.tsx,6070-6285,CLEAN,NONE,"Read MixedRegroupW and MRBars end to end (convert/add/subtract modes). Visible text: ""Wholes""/""Parts""/""Whole column""/""Parts column"", ""Make a whole ({den} parts -> 1)"", ""Break a whole (1 -> {den} parts)"", the exchange narration messages, ""Undo""/""Reset"". All unit-exchange vocabulary. Not in describeState.ts.",HIGH
moneyBoard,src/components/widgets.tsx,15140-15344,CLEAN,NONE,"Read MoneyBoardW end to end (count, compose and change modes). Visible text: coin denominations, ""Tap coins to count them - biggest first is fastest."", receipt rows ""Paid""/""Cost""/""Change"", ""Total"", and an sr-only ""target {n} cents"". describeState.ts:814 and the actions copy at 935 are both coin/arithmetic language.",HIGH
netFold,src/components/widgets.tsx,7676-7729,CLEAN,NONE,"Read NetFoldW end to end. Visible text: prompt, per-face areas, ""2(lxw) + 2(lxh) + 2(wxh) = SA"", ""(target {targetSurfaceArea})"", and slider labels ""prism length/width/height"". describeState.ts:776 narrates the box and its net. Stating the target surface area is goal framing, not authoring metadata.",HIGH
numberLineHop,src/components/widgets.tsx,13957-14193,CLEAN,NONE,"Read the router and both branches (HopSizeW and HopLandingW). Visible text: ""hit""/""skipped"" tick captions, LabReadouts ""stride"" and ""marks hit"" ({k} of {n} - a property of the mathematical object, not an action tally), ""hop size"", ""This stride lands on every mark - can a bigger one still do it?"", ""start at X -> land on Y"". Not in describeState.ts.",HIGH
numberLinePlace,src/components/widgets.tsx,11010-11162,CLEAN,NONE,"Read NumberLinePlaceW end to end including the fraction-denominator path. Visible text: tick labels, ""mark {n} of {den}"", ""distance from 0: {v}"", slider label ""marker"". Error chevron and reveal ghost are tone-gated and aria-hidden. Not in describeState.ts.",HIGH
numberLineRay,src/components/widgets/numberLineRay.tsx,110-682,CLEAN,NONE,"Read the whole module (it is the engine's only render path; widgets.tsx:16418 just dispatches). Visible text: ""ray runs toward larger/smaller numbers"", ""turn it round"", ""endpoint included""/""endpoint left out"", the solved form plus interval, ""Test a value""/""test the endpoint"", the membership sentence, and ""Undo last move"". The transaction ""notice"" at 655 is sr-only and mathematical. describeState.ts:876 returns relation text plus the solution sentence only.",HIGH
numeric,src/components/widgets.tsx,371-415,CLEAN,NONE,"Read NumericW end to end. Rendered strings are spec.prompt, spec.unit, and the tone===""info"" GhostChip ""Correct: {answer}"". Nothing else. Not in describeState.ts.",HIGH
oddEvenPairs,src/components/widgets.tsx,15551-15654,CLEAN,NONE,"Read OddEvenPairsW end to end. Visible text: ""{t} tens = {5t} full pairs - tens ALWAYS pair. Only the ones matter:"", ""Pair two"", ""even""/""odd"", ""{n} pairs made - keep pairing."" / ""One chip left over with no partner."" / ""Every chip found a partner."" describeState.ts:859 returns null so the disclosure never renders.",HIGH
percentBar,src/components/widgets.tsx,5415-5479,CLEAN,NONE,"Read PercentBarW end to end. Visible text: prompt, axis percentages and their values, ""{pct}% of {whole} = {amount}"", slider label ""percent"". The ""target"" tick is tone===""info"" and aria-hidden. Not in describeState.ts.",HIGH
percentChangeLab,src/components/widgets.tsx,5483-5546,CLEAN,NONE,"Read PercentChangeLabW end to end: ""Base price"", ""Your final-price claim"", ""base""/""selected"" bar captions and the ""{base} +/- {amount} = {claim}"" strip are all commerce/mathematics. Two judgement calls recorded, neither classed as a leak: (1) line 5518 renders the raw spec discriminant {spec.direction} as a visible bar label, but its values are the real words ""markup""/""markdown""; (2) the disclosure actions copy at describeState.ts:945 ends ""The chosen claim remains visible on reveal."" - mild render-phase vocabulary, weaker than the graphStoryLab case.",MEDIUM
placeCompare,src/components/widgets.tsx,676-861,CLEAN,NONE,"Read PlaceCompareW end to end (chart, blocks and expanded views). Visible text: place-name headers (""ones""/""tens""/""hdths""...), the digit cells, the </=/> buttons, and the tone-gated hints ""look at the {place} place"" / ""the {place} place decided it"" / ""every place matches"". All base-ten vocabulary. Not a describeState case.",HIGH
placeValue,src/components/widgets.tsx,8603-8660,CLEAN,NONE,"Read PlaceValueW end to end. Visible text: ""100x{h} + 10x{t} + {o} = {total}"", ""(target {target})"", slider labels ""hundreds""/""tens""/""ones"". The ""{n} short of""/""{n} past"" chip is tone===""info"" and aria-hidden. Not in describeState.ts.",HIGH
placeValueTransformLab,src/lib/describeState.ts,376,LEAK,AUTHORING_LABEL,"The learner-facing accessible description opens with ""Base-ten task ${spec.task}."" - the raw camelCase authoring enum is printed verbatim (schema task values include e.g. divisionFirstMove, placeExponent, exponentChain), so a learner hears ""Base-ten task divisionFirstMove."" It continues with ""{n} of {m} derived stages inspected"" (process telemetry). On the active screen, widgets.tsx:6956 renders ""{revealed.length} valid base-ten stage{s} inspected; {spec.requiredExplorations} required before grading."" Actions copy at describeState.ts:953 adds ""reveal uses a separate ghost and never overwrites your work.""",HIGH
plotPoint,src/components/widgets.tsx,13416-13528,CLEAN,NONE,"Read PlotPointW end to end. Rendered text is only spec.xLabels/yLabels (or ""column {n}""/""row {n}"" fallbacks) and the dots; ghost rings are tone===""info"" and aria-hidden. describeState.ts:498 reports marked cells and ""{k} of {n} targets are marked so far"" - a property of the mathematical selection, not an authoring tally.",HIGH
pointEntry,src/components/widgets.tsx,564-673,CLEAN,NONE,"Read PointEntryW end to end. Visible text: prompt, the delimiters and comma, the typed values; accessible slot names are spec.slotLabels or ""first value""/""second value"". Mini-grid is aria-hidden. Only extra text is the tone===""info"" GhostChip. Not a describeState case.",HIGH
pointSetReasoningLab,src/lib/describeState.ts,378,LEAK,AUTHORING_LABEL,"The learner-facing accessible description opens with ""Point-set task ${spec.task}."" - the raw camelCase authoring enum printed verbatim, then ""{n} of {m} exact states inspected."" On the active screen, widgets.tsx:6971 renders the stage grid with ""Stage {n}"" kickers, ""Closed - activate to derive this point-set state."", ""Exact state: {value}"", and the counter ""{revealed.length} valid state{s} inspected; {spec.requiredExplorations} required before grading."" - an exploration tally naming the authoring quota and the grading system.",HIGH
polarTrace,src/components/widgets.tsx,3093-3186,CLEAN,NONE,"Read PolarTraceW end to end (rose and limacon modes). Visible text: ""r = cos({v}theta) -> {n} petals"", ""n is odd -> n petals"", ""r = {v} + 2cos theta -> a dimpled limacon"", slider labels ""n, inside the cosine"" / ""a, the constant out front"". The ""target"" marker is tone===""info"" and aria-hidden. describeState.ts:483 is pure polar-curve prose.",HIGH
probabilityArea,src/components/widgets.tsx,10700-10765,CLEAN,NONE,"Read ProbabilityAreaW end to end. Visible text: prompt, ""{n}/{total} = {decimal} ({reduced})"", slider label ""shaded = {n}"". Target staircase is tone===""info"" and aria-hidden. Not in describeState.ts.",HIGH
proportionalReasoningLab,src/components/widgets.tsx,6894,LEAK,PROCESS_TELEMETRY,"Active state renders ""{validRevealed.length} proportional check{s} completed; {spec.requiredExplorations} required before grading."" - a tally of learner reveal actions against an authoring quota that names the grading system. Same telemetry in the learner disclosure at describeState.ts:365: ""${explored} proportional checks have been opened; ${spec.requiredExplorations} are required."" Actions copy at describeState.ts:952 additionally describes the authoring design (""The initial view never states proportionality or the final result... and reveal uses a separate ghost without replacing learner work.""). Also renders ""percent stage: {n}%"" and ""Build stage {n}: {label}"".",HIGH
quadDrag,src/components/widgets.tsx,4022-4213,CLEAN,NONE,"Read QuadDragW end to end. Visible text: side lengths on edges, ""right now it is {quadName}"", ""sides ... - diagonals ..."", the midsegment readout, slider labels ""corner across""/""corner up"". Target polygon is tone===""info"" and aria-hidden. describeState.ts:462 names pinned vertices and spec.targetName (an authored human phrase).",HIGH
quadraticExplore,src/components/widgets.tsx,12104-12354,CLEAN,NONE,"Read the router plus both forms (QuadraticRootsW and QuadraticVertexW). Visible text: factored/expanded equation, LabReadouts ""discriminant b2 - 4ac"" and ""real solutions"", slider labels ""first root""/""second root""/""leading coefficient a"" and ""a (stretch/flip)""/""h (left/right)""/""k (up/down)"". describeState.ts:217 handles both forms in pure algebra.",HIGH
quotientReasoningLab,src/components/widgets.tsx,7179,LEAK,AUTHORING_LABEL,"Active state renders ""Task mode: {spec.task.replaceAll(/([A-Z])/g, "" $1"").toLowerCase()}."" - the internal authoring task discriminant (schema.ts:5907 enum: remainderContext, invalidRemainder, decimalClassify, repeatToFraction, ...) printed to the learner as ""Task mode: invalid remainder."" It sits under a ""Source state"" kicker (7177). The disclosure is worse: describeState.ts:416 returns ""Exact quotient task ${spec.task}."" with the raw camelCase token unmodified. Also renders ""Stage {n}"", ""Exact state: {value}"" and ""{revealed.length} exact state{s} inspected; {spec.requiredExplorations} required before grading."" (7198).",HIGH
radicalCheck,src/components/widgets.tsx,4216-4269,CLEAN,NONE,"Read RadicalCheckW end to end. Visible text: ""the SQUARED equation: x + {n} = x2"", ""the ORIGINAL equation: sqrt(x + {n}) = x"", the two satisfied/not-satisfied lines, ""this candidate passes the squared equation and FAILS the original"", slider label ""the candidate x"". All extraneous-root vocabulary. Not in describeState.ts.",HIGH
ratioTable,src/components/widgets.tsx,7730-7808,CLEAN,NONE,"Read RatioTableW end to end. Visible text: the table caption ""Equivalent ratio table"", spec.colA/colB headers, the row values, and ""missing value = {b}"". The strategy/reversal instrumentation is emitted through onEvent only and never rendered. Not in describeState.ts.",HIGH
