verdict,lesson,step,file,target,current_showTarget,prompt,reason
HIDE,g4x-01-03,i1,content/courses/fraction-multiply-g4/lessons/g4x-01-03.json,4/6,true (inherited default),Build 4 × 1/6 as a single fraction.,target is not derivable from the prompt without doing the step's mathematics
HIDE,g4x-01-03,i2,content/courses/fraction-multiply-g4/lessons/g4x-01-03.json,4/6,true (inherited default),Build 4 × 1/6 as a single fraction.,target is not derivable from the prompt without doing the step's mathematics
HIDE,g4x-01-04,i1,content/courses/fraction-multiply-g4/lessons/g4x-01-04.json,10/8,true (inherited default),Build 5 × 2/8 as a single fraction.,target is not derivable from the prompt without doing the step's mathematics
HIDE,g4x-01-04,i2,content/courses/fraction-multiply-g4/lessons/g4x-01-04.json,10/8,true (inherited default),Build 5 × 2/8 as a single fraction.,target is not derivable from the prompt without doing the step's mathematics
HIDE,g4x-02-02,i1,content/courses/fraction-multiply-g4/lessons/g4x-02-02.json,12/8,true (inherited default),Build the total shaded by 4 × 3/8.,target is not derivable from the prompt without doing the step's mathematics
HIDE,g4x-02-02,i2,content/courses/fraction-multiply-g4/lessons/g4x-02-02.json,12/8,true (inherited default),Build the total shaded by 4 × 3/8.,target is not derivable from the prompt without doing the step's mathematics
HIDE,g4x-02-03,i1,content/courses/fraction-multiply-g4/lessons/g4x-02-03.json,9/4,true (inherited default),Build 3 × 3/4 and compare it to one whole.,target is not derivable from the prompt without doing the step's mathematics
HIDE,g4x-02-03,i2,content/courses/fraction-multiply-g4/lessons/g4x-02-03.json,9/4,true (inherited default),Build 3 × 3/4 and compare it to one whole.,target is not derivable from the prompt without doing the step's mathematics
HIDE,g4x-03-01,i1,content/courses/fraction-multiply-g4/lessons/g4x-03-01.json,12/6,true (inherited default),Six bags each hold 2/6 kilogram. Build the total.,target is not derivable from the prompt without doing the step's mathematics
HIDE,g4x-03-01,i2,content/courses/fraction-multiply-g4/lessons/g4x-03-01.json,12/6,true (inherited default),Six bags each hold 2/6 kilogram. Build the total.,target is not derivable from the prompt without doing the step's mathematics
HIDE,g4x-03-02,i1,content/courses/fraction-multiply-g4/lessons/g4x-03-02.json,12/4,true (inherited default),Four batches each use 3/4 cup. Build the total cups.,target is not derivable from the prompt without doing the step's mathematics
HIDE,g4x-03-02,i2,content/courses/fraction-multiply-g4/lessons/g4x-03-02.json,12/4,true (inherited default),Four batches each use 3/4 cup. Build the total cups.,target is not derivable from the prompt without doing the step's mathematics
HIDE,g5f-01-03,i1,content/courses/fraction-division-g5/lessons/g5f-01-03.json,1/4,true (inherited default),13 ÷ 4 as a mixed number: build the FRACTION part.,target is not derivable from the prompt without doing the step's mathematics
HIDE,g5f-01-03,i2,content/courses/fraction-division-g5/lessons/g5f-01-03.json,1/4,true (inherited default),13 ÷ 4 as a mixed number: build the FRACTION part.,target is not derivable from the prompt without doing the step's mathematics
HIDE,g5f-02-02,i1,content/courses/fraction-division-g5/lessons/g5f-02-02.json,12/4,true (inherited default),How many fourths fit in 3 wholes? Build that count as ?/4.,target is not derivable from the prompt without doing the step's mathematics
HIDE,g5f-02-02,i2,content/courses/fraction-division-g5/lessons/g5f-02-02.json,12/4,true (inherited default),How many fourths fit in 3 wholes? Build that count as ?/4.,target is not derivable from the prompt without doing the step's mathematics
HIDE,g5f-02-04,i1,content/courses/fraction-division-g5/lessons/g5f-02-04.json,12/3,true (inherited default),How many thirds fit in 4 wholes? Build that count as ?/3.,target is not derivable from the prompt without doing the step's mathematics
HIDE,g5f-02-04,i2,content/courses/fraction-division-g5/lessons/g5f-02-04.json,12/3,true (inherited default),How many thirds fit in 4 wholes? Build that count as ?/3.,target is not derivable from the prompt without doing the step's mathematics
HIDE,g5u-01-05,i1,content/courses/unlike-fractions-g5/lessons/g5u-01-05.json,7/12,true (inherited default),Add 3/12 + 4/12 and build the total.,target is not derivable from the prompt without doing the step's mathematics
HIDE,g5u-01-05,i2,content/courses/unlike-fractions-g5/lessons/g5u-01-05.json,7/12,true (inherited default),Add 3/12 + 4/12 and build the total.,target is not derivable from the prompt without doing the step's mathematics
HIDE,g5u-02-01,i1,content/courses/unlike-fractions-g5/lessons/g5u-02-01.json,5/12,true (inherited default),Subtract 4/12 from 9/12 and build what is left.,target is not derivable from the prompt without doing the step's mathematics
HIDE,g5u-02-01,i2,content/courses/unlike-fractions-g5/lessons/g5u-02-01.json,5/12,true (inherited default),Subtract 4/12 from 9/12 and build what is left.,target is not derivable from the prompt without doing the step's mathematics
HIDE,g5u-02-02,i1,content/courses/unlike-fractions-g5/lessons/g5u-02-02.json,5/8,true (inherited default),Add the fraction parts of 2 3/8 + 1 2/8.,target is not derivable from the prompt without doing the step's mathematics
HIDE,g5u-02-02,i2,content/courses/unlike-fractions-g5/lessons/g5u-02-02.json,5/8,true (inherited default),Add the fraction parts of 2 3/8 + 1 2/8.,target is not derivable from the prompt without doing the step's mathematics
HIDE,g5u-02-04,i1,content/courses/unlike-fractions-g5/lessons/g5u-02-04.json,9/8,true (inherited default),"After trading one whole, 4 1/8 has how many eighths in its fraction part? Build it.",target is not derivable from the prompt without doing the step's mathematics
HIDE,g5u-02-04,i2,content/courses/unlike-fractions-g5/lessons/g5u-02-04.json,9/8,true (inherited default),"After trading one whole, 4 1/8 has how many eighths in its fraction part? Build it.",target is not derivable from the prompt without doing the step's mathematics
HIDE,g5u-03-03,i1,content/courses/unlike-fractions-g5/lessons/g5u-03-03.json,9/12,true (inherited default),A jug holds 5/12 litre and 4/12 more is poured in. Build the total.,target is not derivable from the prompt without doing the step's mathematics
HIDE,g5u-03-03,i2,content/courses/unlike-fractions-g5/lessons/g5u-03-03.json,9/12,true (inherited default),A jug holds 5/12 litre and 4/12 more is poured in. Build the total.,target is not derivable from the prompt without doing the step's mathematics
CONTESTED,g3f-03-01,i1,content/courses/fractions-deeper-g3/lessons/g3f-03-01.json,6/6,true (inherited default),Build a fraction that equals exactly one whole using sixths.,every number in the target is named in the prompt — the value is given and only the fraction NOTATION is the work
CONTESTED,g3f-03-01,i2,content/courses/fractions-deeper-g3/lessons/g3f-03-01.json,6/6,true (inherited default),Build a fraction that equals exactly one whole using sixths.,every number in the target is named in the prompt — the value is given and only the fraction NOTATION is the work
CONTESTED,g3f-03-04,i1,content/courses/fractions-deeper-g3/lessons/g3f-03-04.json,5/6,true (inherited default),A ribbon is cut into 6 equal pieces and 5 are used. Build the fraction used.,every number in the target is named in the prompt — the value is given and only the fraction NOTATION is the work
CONTESTED,g3f-03-04,i2,content/courses/fractions-deeper-g3/lessons/g3f-03-04.json,5/6,true (inherited default),A ribbon is cut into 6 equal pieces and 5 are used. Build the fraction used.,every number in the target is named in the prompt — the value is given and only the fraction NOTATION is the work
CONTESTED,g5f-01-01,i1,content/courses/fraction-division-g5/lessons/g5f-01-01.json,3/4,true (inherited default),3 sandwiches shared among 4 people. Build one person's share.,every number in the target is named in the prompt — the value is given and only the fraction NOTATION is the work
CONTESTED,g5f-01-01,i2,content/courses/fraction-division-g5/lessons/g5f-01-01.json,3/4,true (inherited default),3 sandwiches shared among 4 people. Build one person's share.,every number in the target is named in the prompt — the value is given and only the fraction NOTATION is the work
CONTESTED,g5f-01-04,i1,content/courses/fraction-division-g5/lessons/g5f-01-04.json,7/8,true (inherited default),7 metres of rope shared among 8 people. Build one share.,every number in the target is named in the prompt — the value is given and only the fraction NOTATION is the work
CONTESTED,g5f-01-04,i2,content/courses/fraction-division-g5/lessons/g5f-01-04.json,7/8,true (inherited default),7 metres of rope shared among 8 people. Build one share.,every number in the target is named in the prompt — the value is given and only the fraction NOTATION is the work
ALREADY_HIDDEN,smg1-02-01,k1,content/courses/shapes-measure-g1/lessons/smg1-02-01.json,1/2,false,Split the bar into equal parts so each part is a half.,authored with showTarget:false
ALREADY_HIDDEN,smg1-02-02,k1,content/courses/shapes-measure-g1/lessons/smg1-02-02.json,1/4,false,Split the bar into equal parts so each part is a fourth.,authored with showTarget:false
ALREADY_HIDDEN,ssg2-03-02,i1,content/courses/shapes-shares-g2/lessons/ssg2-03-02.json,1/3,false,Split the bar into equal parts so each part is a third.,authored with showTarget:false
ALREADY_HIDDEN,ssg2-03-02,k1,content/courses/shapes-shares-g2/lessons/ssg2-03-02.json,1/3,false,Split the bar into equal parts so each part is a third.,authored with showTarget:false
ALREADY_HIDDEN,ssg2-03-02,k3,content/courses/shapes-shares-g2/lessons/ssg2-03-02.json,1/3,false,Split the bar into equal sections so each section is a third.,authored with showTarget:false
KEEP,fa-01-01,i1,content/courses/fractions-add/lessons/fa-01-01.json,1/2,true (inherited default),Build ANY fraction that covers exactly as much bar as 1/2.,prompt states the fraction
KEEP,fa-01-02,i1,content/courses/fractions-add/lessons/fa-01-02.json,2/3,true (inherited default),Build a fraction equal to 2/3 that uses NINE pieces in the whole (denominator 9).,prompt states the fraction
KEEP,fa-04-01,i1,content/courses/fractions-add/lessons/fa-04-01.json,7/4,true (inherited default),Build 1 3/4 as a single fraction — an improper one.,prompt states it as a mixed number
KEEP,fm-01-01,i1,content/courses/fractions-multiply/lessons/fm-01-01.json,1/4,true (inherited default),Build a fraction equal to 1/4 whose denominator is 12 — the common cut you would use to add 1/4 and 1/6.,prompt states the fraction
KEEP,fm-04-01,i1,content/courses/fractions-multiply/lessons/fm-04-01.json,3/4,true (inherited default),Build 3/4 and compare the bar to one whole — that comparison is the whole answer.,prompt states the fraction
KEEP,fm-04-02,i2,content/courses/fractions-multiply/lessons/fm-04-02.json,4/3,true (inherited default),Build 4/3 and watch where it lands against one whole — that comparison decides the answer.,prompt states the fraction
KEEP,fr-03-01,e1,content/courses/fractions/lessons/fr-03-01.json,1/2,true (inherited default),Slide numerator and denominator to make a fraction equal to 1/2.,prompt states the fraction
KEEP,g3f-01-01,i1,content/courses/fractions-deeper-g3/lessons/g3f-01-01.json,1/4,true (inherited default),Build a bar cut into 4 equal pieces with 1 shaded: make 1/4.,prompt states the fraction
KEEP,g3f-01-01,i2,content/courses/fractions-deeper-g3/lessons/g3f-01-01.json,1/4,true (inherited default),Build a bar cut into 4 equal pieces with 1 shaded: make 1/4.,prompt states the fraction
KEEP,g3f-01-02,i1,content/courses/fractions-deeper-g3/lessons/g3f-01-02.json,1/6,true (inherited default),Build the unit fraction 1/6: one piece of a whole cut into six.,prompt states the fraction
KEEP,g3f-01-02,i2,content/courses/fractions-deeper-g3/lessons/g3f-01-02.json,1/6,true (inherited default),Build the unit fraction 1/6: one piece of a whole cut into six.,prompt states the fraction
KEEP,g3f-01-03,i1,content/courses/fractions-deeper-g3/lessons/g3f-01-03.json,3/4,true (inherited default),Collect three fourths: build 3/4 from unit pieces.,prompt states the fraction
KEEP,g3f-01-03,i2,content/courses/fractions-deeper-g3/lessons/g3f-01-03.json,3/4,true (inherited default),Collect three fourths: build 3/4 from unit pieces.,prompt states the fraction
KEEP,g3f-02-03,i1,content/courses/fractions-deeper-g3/lessons/g3f-02-03.json,2/4,true (inherited default),Find a fraction equal to 1/2 using fourths: build it.,prompt states the fraction
KEEP,g3f-02-03,i2,content/courses/fractions-deeper-g3/lessons/g3f-02-03.json,2/4,true (inherited default),Find a fraction equal to 1/2 using fourths: build it.,prompt states the fraction
KEEP,g3f-02-05,i1,content/courses/fractions-deeper-g3/lessons/g3f-02-05.json,6/3,true (inherited default),Build 6/3 and see how many wholes it makes.,prompt states the fraction
KEEP,g3f-02-05,i2,content/courses/fractions-deeper-g3/lessons/g3f-02-05.json,6/3,true (inherited default),Build 6/3 and see how many wholes it makes.,prompt states the fraction
KEEP,g3f-03-02,i1,content/courses/fractions-deeper-g3/lessons/g3f-03-02.json,5/8,true (inherited default),Both wholes are the same size. Build the greater of 3/8 and 5/8.,prompt states the fraction
KEEP,g3f-03-02,i2,content/courses/fractions-deeper-g3/lessons/g3f-03-02.json,5/8,true (inherited default),Both wholes are the same size. Build the greater of 3/8 and 5/8.,prompt states the fraction
KEEP,g3f-03-03,i1,content/courses/fractions-deeper-g3/lessons/g3f-03-03.json,1/3,true (inherited default),"Build the largest unit fraction among 1/3, 1/4, and 1/6.",prompt states the fraction
KEEP,g3f-03-03,i2,content/courses/fractions-deeper-g3/lessons/g3f-03-03.json,1/3,true (inherited default),"Build the largest unit fraction among 1/3, 1/4, and 1/6.",prompt states the fraction
KEEP,g4x-02-04,i1,content/courses/fraction-multiply-g4/lessons/g4x-02-04.json,10/4,true (inherited default),Build 10/4 and find how many wholes it holds.,prompt states the fraction
KEEP,g4x-02-04,i2,content/courses/fraction-multiply-g4/lessons/g4x-02-04.json,10/4,true (inherited default),Build 10/4 and find how many wholes it holds.,prompt states the fraction
KEEP,g5f-01-02,i1,content/courses/fraction-division-g5/lessons/g5f-01-02.json,5/8,true (inherited default),Write 5 ÷ 8 as a fraction and build it.,prompt states it as a division to rewrite
KEEP,g5f-01-02,i2,content/courses/fraction-division-g5/lessons/g5f-01-02.json,5/8,true (inherited default),Write 5 ÷ 8 as a fraction and build it.,prompt states it as a division to rewrite
KEEP,g5f-02-01,i1,content/courses/fraction-division-g5/lessons/g5f-02-01.json,3/12,true (inherited default),One fourth is about to be shared 3 ways. Build that fourth as twelfths first.,prompt names it in words
KEEP,g5f-02-01,i2,content/courses/fraction-division-g5/lessons/g5f-02-01.json,3/12,true (inherited default),One fourth is about to be shared 3 ways. Build that fourth as twelfths first.,prompt names it in words
KEEP,g5f-02-03,i1,content/courses/fraction-division-g5/lessons/g5f-02-03.json,3/4,true (inherited default),Model 3 ÷ 4: build the share one person receives.,prompt states it as a division to rewrite
KEEP,g5f-02-03,i2,content/courses/fraction-division-g5/lessons/g5f-02-03.json,3/4,true (inherited default),Model 3 ÷ 4: build the share one person receives.,prompt states it as a division to rewrite
KEEP,g5f-03-01,i1,content/courses/fraction-division-g5/lessons/g5f-03-01.json,12/4,true (inherited default),Check that 3 ÷ 1/4 = 12: build 12 × 1/4 as a single fraction.,prompt states it as a division to rewrite
KEEP,g5f-03-01,i2,content/courses/fraction-division-g5/lessons/g5f-03-01.json,12/4,true (inherited default),Check that 3 ÷ 1/4 = 12: build 12 × 1/4 as a single fraction.,prompt states it as a division to rewrite
KEEP,g5u-01-01,i1,content/courses/unlike-fractions-g5/lessons/g5u-01-01.json,3/6,true (inherited default),Rename 1/2 as sixths so it can meet 1/3.,prompt states the fraction
KEEP,g5u-01-01,i2,content/courses/unlike-fractions-g5/lessons/g5u-01-01.json,3/6,true (inherited default),Rename 1/2 as sixths so it can meet 1/3.,prompt states the fraction
KEEP,g5u-01-02,i1,content/courses/unlike-fractions-g5/lessons/g5u-01-02.json,4/12,true (inherited default),Rename 1/3 as twelfths.,prompt states the fraction
KEEP,g5u-01-02,i2,content/courses/unlike-fractions-g5/lessons/g5u-01-02.json,4/12,true (inherited default),Rename 1/3 as twelfths.,prompt states the fraction
KEEP,g5u-01-03,i1,content/courses/unlike-fractions-g5/lessons/g5u-01-03.json,3/12,true (inherited default),Rename 1/4 into the LEAST size it shares with sixths.,prompt states the fraction
KEEP,g5u-01-03,i2,content/courses/unlike-fractions-g5/lessons/g5u-01-03.json,3/12,true (inherited default),Rename 1/4 into the LEAST size it shares with sixths.,prompt states the fraction
KEEP,g5u-01-04,i1,content/courses/unlike-fractions-g5/lessons/g5u-01-04.json,2/12,true (inherited default),Rename 1/6 into twelfths.,prompt states the fraction
KEEP,g5u-01-04,i2,content/courses/unlike-fractions-g5/lessons/g5u-01-04.json,2/12,true (inherited default),Rename 1/6 into twelfths.,prompt states the fraction
KEEP,g5u-02-03,i1,content/courses/unlike-fractions-g5/lessons/g5u-02-03.json,3/8,true (inherited default),Convert 2 3/8 to an improper fraction and build it.,prompt states the fraction
KEEP,g5u-02-03,i2,content/courses/unlike-fractions-g5/lessons/g5u-02-03.json,3/8,true (inherited default),Convert 2 3/8 to an improper fraction and build it.,prompt states the fraction
KEEP,g5u-02-05,i1,content/courses/unlike-fractions-g5/lessons/g5u-02-05.json,2/3,true (inherited default),Simplify 8/12 and build the result.,prompt states the fraction
KEEP,g5u-02-05,i2,content/courses/unlike-fractions-g5/lessons/g5u-02-05.json,2/3,true (inherited default),Simplify 8/12 and build the result.,prompt states the fraction
KEEP,ns-01-03,i1,content/courses/number-system/lessons/ns-01-03.json,7/3,true (inherited default),"Build 2 1/3 as ONE improper fraction: set the denominator to thirds, then add thirds until the bar reaches two wholes and one more third.",prompt states it as a mixed number
KEEP,smg1-02-03,i1,content/courses/shapes-measure-g1/lessons/smg1-02-03.json,2/4,true (inherited default),Make fourths until your bar reaches the half mark. How many fourths did it take?,prompt names it in words
KEEP,ssg2-03-01,i1,content/courses/shapes-shares-g2/lessons/ssg2-03-01.json,1/3,true (inherited default),Show one third of the bar.,prompt names it in words
