figure_id,authored_uses,grade_span,sample_lessons,current_role,priority,decision,requirement
count-on-hops,798,0|1|2|3|4|5,koa-01-01:c1|koa-01-01:c2|koa-01-02:c1|koa-01-02:c2|koa-01-03:c1|koa-01-03:c2,concept-support,P0,REDESIGN_OR_VALIDATE_AT_SCALE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
ia-strip-to-disc,6,13,ia-01-01:c1|ia-01-02:c1|ia-01-02:c2|ia-01-03:c1|ia-01-03:c2|ia-02-01:c1,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
in-ftc-slope-is-height,6,13,in-02-01:c1|in-02-02:c1|in-02-03:c1|in-03-01:c1|in-03-02:c1|in-03-03:c1,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
indirect-measurement,6,10,sy-01-03:c3|sy-05-01:c1|sy-05-01:c2|sy-05-02:c1|sy-05-02:c2|sy-05-02:c3,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
parabola-vertex,6,9|11,cn-01-03:c1|qu-01-01:c1|qu-01-02:c1|qu-01-03:c1|qu-04-01:c1|qu-04-03:c1,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
probability-line,6,7,sp-03-01:c1|sp-03-01:c3|sp-03-02:c1|sp-03-03:c1|sp-03-03:c2|sp-03-03:c3,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
pv3-times-tens,6,3|4,mb-03-01:c1|mb-03-01:c2|pv-04-01:c1|pv-04-01:c2|pv-04-03:c1|pv-04-03:c2,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
quad-family-tree,6,5|10,cg-03-02:c1|cg-04-02:c1|pq-03-03:c1|pq-04-01:c1|pq-05-02:c1|pq-05-03:c1,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
si-sampling-dist-sizes,6,11,si-02-01:c2|si-02-02:c1|si-02-02:c2|si-02-02:rc1|si-02-03:c1|si-02-03:rc1,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
base-ten-blocks,5,1,tno-01-02:c1|tno-01-03:c1|tno-03-01:c1|tno-03-02:c1|tno-03-03:c1,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
circle-parts,5,7|10,cr-01-01:c1|g7-02-01:c1|g7-02-02:c1|g7-02-03:c1|g7-04-03:c1,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
decimal-shift,5,5|6|9,dop-05-03:c2|dpv-01-03:c1|dpv-01-03:c2|ns-02-03:c2|alg1-02-03:c1,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
dop-long-division,5,4|5|6,dop-03-02:c1|dop-03-02:c2|mb-04-02:c1|mb-04-02:c2|ns-02-01:c1,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
dop-remainder,5,4|5|6,dop-03-03:c1|dop-03-03:c2|mb-04-03:c1|mb-04-03:c2|ns-02-01:c2,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
foil-box,5,9|11,cn-03-02:c1|ep-03-02:c1|ep-03-03:c1|ep-04-02:c1|ep-04-03:c1,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
fraction-unit-rate,5,7,pr-01-01:c1|pr-01-01:c2|pr-01-02:c1|pr-01-02:c2|pr-01-03:c1,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
function-machine,5,8|9|11,ft-01-02:c1|ft-04-01:c1|fn-01-01:c1|fn-01-03:c1|fg-01-01:c1,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
les-distribute,5,7|8,les-01-03:c1|les-01-03:c2|tse-03-01:c2|tse-03-02:c2|tse-03-03:c2,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
md3-perimeter,5,3|4,mc-02-02:c1|mc-02-02:c2|mc-02-03:c2|md-05-01:c1|md-05-01:c2,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
mult3-missing-factor,5,3,mult-02-03:c1|mult-02-03:c2|mult-04-02:c1|mult-04-03:c1|mult-04-03:c2,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
negative-number-line,5,6,ns-04-01:c1|ns-04-02:c1|ns-04-02:c2|ns-05-03:c1|ns-05-03:c2,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
parabola-roots,5,9,qu-02-01:c1|qu-02-02:c1|qu-02-03:c1|qu-03-01:c1|qu-03-02:c1,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
proportionality-test,5,7,pr-02-01:c1|pr-02-02:c1|pr-02-02:c2|pr-02-03:c1|pr-02-03:c3,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
pv3-round-hundred,5,3,pv-02-02:c1|pv-02-02:c2|pv-02-04:c1|pv-03-04:c1|pv-03-04:c2,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
rno-add-opposite,5,7,rno-02-01:c2|rno-02-01:c3|rno-02-03:c2|rno-02-03:c3|rno-04-02:c2,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
ruler-measure,5,2,mmt-01-01:c1|mmt-01-02:c1|mmt-01-03:c1|mmt-02-02:c1|mmt-02-03:c1,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
sample-to-population,5,7,sp-01-01:c1|sp-01-02:c1|sp-01-02:c3|sp-01-03:c1|sp-01-03:c3,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
si-null-pile,5,11,si-04-01:c1|si-04-01:c2|si-04-01:rc1|si-04-02:c1|si-04-02:rc1,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
skip-count-line,5,2|3,mult-01-03:c1|mult-01-03:c2|pv1000-02-01:c1|pv1000-02-02:c1|pv1000-02-03:c1,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
two-population-compare,5,7,sp-02-01:c1|sp-02-02:c1|sp-02-03:c1|sp-02-03:c2|sp-02-03:c3,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
angle-types,4,4|8,la-03-01:c1|tm-03-02:c1|tm-03-03:c1|tm-03-03:c2,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
asv-coord-area,4,6,asv-03-02:c1|asv-03-02:c2|asv-03-03:c1|asv-03-03:c2,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
balance-scale,4,6,ee-04-01:c1|ee-04-01:c2|ee-04-02:c1|ee-04-02:c2,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
ca-first-derivative-story,4,13,ca-01-02:c1|ca-01-02:c2|ca-04-02:c1|ca-04-02:c2,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
ca-mvt-parallel,4,13,ca-03-01:c1|ca-03-02:c1|ca-03-02:c2|ca-03-03:c1,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
cpr-conditional-venn,4,10,cpr-03-01:c2|cpr-03-02:c2|cpr-03-03:c2|cpr-04-01:c2,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
cpr-indep-vs-disjoint,4,10,cpr-04-01:rc1|cpr-04-03:c1|cpr-04-03:c2|cpr-04-03:rc1,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
dc-lhopital-tangents,4,13,dc-04-01:c1|dc-04-01:c2|dc-04-02:c1|dc-04-02:c2,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
de-slope-field-threads,4,13,de-01-01:c1|de-01-01:c2|de-01-02:c1|de-02-01:c2,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
dilation,4,8,tm-02-02:c1|tm-02-02:c2|tm-02-03:c1|tm-02-03:c2,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
dilation-scale,4,8|10,sy-01-01:c1|sy-01-01:c2|sy-06-01:c2|tm-01b-03:c2,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
dop-count-places,4,5|6,dop-05-01:c2|dop-05-02:c1|dop-05-03:c1|ns-02-03:c1,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
dop-two-by-two,4,4|5,dop-02-03:c1|dop-02-03:c2|mb-03-03:c1|mb-03-03:c2,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
dr-corner-no-tangent,4,13,dr-01-03:c1|dr-01-03:c2|dr-01-03:rc1|dc-03-03:c2,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
equation-solution-types,4,8,les-02-01:c1|les-02-01:c2|les-02-03:c1|les-02-03:c2,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
exponent-repeat,4,8|9,ep-01-01:c1|ep-01-02:c1|ep-01-03:c1|esn-01b-01:c1,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
fa-add-like,4,4,fa-03-01:c1|fa-03-01:c2|fa-03-03:c1|fa-03-03:c2,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
fa-repeated-add,4,4,fa-05-01:c1|fa-05-01:c2|fa-05-02:c1|fa-05-02:c2,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
fg-compare-rates,4,8,fg-03-02:c1|fg-03-02:c2|fg-03-03:c1|fg-03-03:c2,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
flat-vs-solid,4,0,ks-01-01:c1|ks-01-01:rem-ks0101-c|ks-02-01:c1|ks-02-01:rem-ks0201-c,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
fm-scaling,4,5,fm-04-01:c1|fm-04-01:c2|fm-04-02:c1|fm-04-02:c2,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
frac-compare-same-numer,4,3,fr-04-02:c1|fr-04-02:c2|fr-04-03:c1|fr-04-03:c2,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
hundred-tens-ones,4,2,pv1000-01-01:c1|pv1000-01-02:c1|pv1000-01-03:c1|pv1000-03-01:c1,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
isosceles-base-angles,4,10,tc-03-01:c1|tc-03-01:c2|tc-03-02:c1|tc-03-02:c2,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
la-angle-rays,4,4,la-01-02:c1|la-01-02:c2|la-01-03:c1|la-01-03:c2,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
line-plot,4,4,mc-05-02:c1|mc-05-02:c2|mc-05-03:c1|mc-05-03:c2,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
md3-bargraph,4,3,md-03-02:c1|md-03-02:c2|md-03-03:c1|md-03-03:c2,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
mult3-which-op,4,3,mult-04-01:c1|mult-04-01:c2|mult-04-02:c2|mult-04-04:c1,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
number-line-between-integers,4,8,rns-03-01:c1|rns-03-01:c2|rns-03-02:c1|rns-03-02:c2,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
parent-functions,4,11,ft-01-01:c1|ft-01-03:c1|pf-01-01:c1|re-03-01:c1,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
pv4-compare,4,4,pv2-05-01:c1|pv2-05-01:c2|pv2-05-02:c1|pv2-05-02:c2,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
pv4-round-place,4,4,pv2-03-01:c1|pv2-03-01:c2|pv2-03-02:c1|pv2-03-02:c2,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
pythagorean-proof,4,8|10,rt-01-01:c1|rt-05-01:c2|tm-04-01:c1|tm-04-01:c2,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
rigid-transformations,4,8,tm-01-01:c1|tm-01-02:c1|tm-01-02:c2|tm-01-03:c1,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
sas-criterion,4,10,tc-01-01:c2|tc-01-03:c1|tc-02-02:c2|tc-02-03:c3,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
sc-taylor-hug-peel,4,13,sc-02-01:c2|sc-02-02:c1|sc-02-02:c2|sc-03-01:c1,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
scatter-best-fit,4,8|9,bv-02-01:c1|bv-02-02:c1|bv-03-03:c1|dm-02-01:c1,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
si-effect-vs-significance,4,11,si-04-02:c2|si-04-03:c1|si-04-03:rc1|si-05-02:c2,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
transformation-shifts,4,11,ft-02-01:c1|ft-02-02:c1|ft-02-03:c1|ft-03-03:c1,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
angle-pairs,3,7,g7-03-01:c1|g7-03-02:c1|g7-03-03:c1,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
arith-vs-geo,3,9,fn-04-01:c1|fn-04-02:c1|fn-04-03:c1,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
arithmetic-steps,3,9,fn-02-01:c1|fn-02-02:c1|fn-02-03:c1,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
asv-boxes-fit,3,6,asv-04-03:c2|asv-05-03:c1|asv-05-03:c2,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
bar-part-whole,3,0|1,as-05-02:c1|kc-04-03:c1|kc-04-03:rem-kc0403-c,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
box-layers,3,5|6,asv-05-01:c1|asv-05-01:c2|vm-04-01:c1,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
clock-face,3,1,smg1-04-01:c1|smg1-04-02:c1|smg1-04-03:c1,concept-support,P2,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
