engine,file,line_ref,verdict,leak_class,evidence,confidence
circleAngleExplore,src/components/widgets.tsx,2091-2210,CLEAN,NONE,"Read CircleAngleExploreW in full plus describeState.ts:616-621. Mode label maps to 'central angle'/'angle at P'/'tangent-chord angle'/'the OPPOSITE angle' -- human strings, not the raw mode enum. No metadata.",HIGH
circleMeasureExplore,src/components/widgets.tsx,2852-2856 (CircleRadiusScaleW 2863-2923; CircleChordTangentArcW 2926-3088),CLEAN,NONE,"Read the router and both branches plus describeState.ts:770-775. Note CircleRadiusScaleW:2900 interpolates spec.askQuantity into 'target: {askQuantity} {value}', but that enum's values are 'diameter'/'circumference'/'area' -- mathematical words, and the LabReadouts spell out 'diameter 2r', 'circumference 2\u03c0r', 'area \u03c0r\u00b2'.",HIGH
clockSet,src/components/widgets.tsx,8663-8726,CLEAN,NONE,"Read ClockSetW in full. Copy: the clock face numerals, 'h:mm', 'hour = n', 'minute = mm'; reveal-only dashed ghost hands carry no text. No describeState case.",HIGH
columnCalc,src/components/widgets.tsx,6315-6550,CLEAN,NONE,"Read ColumnCalcW in full including every st.msg string produced by resolve/commitCarry/borrow/commitLead. All are place-value narration ('ones: wrote 4, carry 1 waiting', 'Broke a ten: tens down one, ones up ten'). Closing line 'All columns worked out - check when ready.' is a next-action cue. No describeState case.",HIGH
compassConstruct,src/components/widgets.tsx,3715-3810 (ClassicalConstructW 3947-4017; CLASSICAL table 3906-3945),CLEAN,NONE,"Read the router, the perpBisector/hexagon branch, ClassicalConstructW, and every warrant/shortfall string in the CLASSICAL table. All are geometric justifications ('both crossings are the same distance from each ARM...'). Aside (not a focus violation): describeState.ts:809-812 hard-codes goal text for only perpBisector vs hexagon, so the five classical modes are described as 'a regular hexagon stepped around the circle' -- a correctness bug worth a separate ticket.",HIGH
compositeAreaLab,src/components/widgets.tsx,1563-1624,CLEAN,NONE,"Read CompositeAreaLabW in full plus describeState.ts:103-112. Copy: 'Piece n', 'Signed area ledger', 'Cut and reattach...', 'Choose the exact area claim that this geometry supports.' All mathematical. Minor note: describeState prints spec.scene de-hyphenated ('piece ledger') and actionsFor (describeState.ts:951) ends 'Your selected claim stays visible on reveal.' -- 'on reveal' names an internal phase, but reads as ordinary English in a help panel.",MEDIUM
compoundEventLab,src/components/widgets.tsx,1499-1558,CLEAN,NONE,"Read CompoundEventLabW in full plus describeState.ts:93-102. 'Stage {n}' here labels stages of the compound EXPERIMENT (spec.stages, each with its own outcome list), not an authoring stage -- verified against the schema usage. Other copy: 'Complete ordered sample space', 'Sample-space size', 'Favourable outcomes / all outcomes'.",HIGH
conditionalTableLab,src/lib/describeState.ts,describeState.ts:439 (also widgets.tsx:15946),LEAK,RAW_STATE_TOKEN,"describeState.ts:439 (condition mode, reached whenever mode!=='read') returns: ""The selected condition is {condition}; the selected intersection is {cell}. {n} condition changes have been recorded."" -- condition is the raw enum row0|row1|col0|col1 and cell is r0c0|r0c1|r1c0|r1c1 (schema.ts:5967-5969), so the 'Describe this model' panel speaks 'The selected condition is col0; the selected intersection is r0c1' while the screen shows 'Given Boys'. The widget itself has conditionLabel()/cellLabel() human strings (widgets.tsx:15919-15920) and does not use them here. Same class as the S215 RotationLabW raw-tone defect. widgets.tsx:15946 additionally renders 'Condition changes recorded: {n}/{spec.requiredSwitches}' in active state.",HIGH
conicLocusLab,src/components/widgets.tsx,16002-16060,CLEAN,NONE,"Read ConicLocusLabW in full plus describeState.ts:441-444. LabReadout 'family' holds the CONIC family (circle/ellipse/parabola/hyperbola), not a transfer family -- a false positive for any transferFamily grep. Note the LabReadout 'samples {n}/{spec.requiredSamples}' counter surfaces an authoring gate value, but it reads as a next-action cue rather than system vocabulary.",MEDIUM
coordinateProofLab,src/components/widgets.tsx,15758-15778,CLEAN,NONE,"Read CoordinateProofLabW in full plus describeState.ts:320-323. LabReadouts are 'claim', 'vertex D', 'proof moves {n}/{spec.requiredMoves}'; buttons 'Inspect slopes/midpoints/distances'; evidence readouts are slopes, midpoints, lengths. Note the 'proof moves n/m' counter exposes the authoring requiredMoves threshold -- flagged as a borderline process counter, not system vocabulary.",MEDIUM
covariationScrubber,src/components/widgets.tsx,15821-15822,CLEAN,NONE,"Read CovariationScrubberW (minified, two lines) plus describeState.ts:336-339. Renders spec.contextTemplate, the table with spec.inputLabel/outputLabel headers, the graph, and LabReadouts 'equation', 'unit rate', 'current pair'. All mathematical; no counters or enums.",HIGH
derivativeRuleLab,src/components/widgets.tsx,16063-16157,CLEAN,NONE,"Read all four modes (product, quotient, substitution, chain) plus describeState.ts:446-451. Copy is calculus ('x-world \u00b7 spot the fingerprint', 'ordered numerator', 'inner rate'/'outer rate'). Note describeState ends each mode with '{n} moves are recorded.' -- a bare interaction counter; flagged as borderline process wording, not authoring metadata.",MEDIUM
derivativeTrace,src/components/widgets.tsx,4271-4429,CLEAN,NONE,"Read DerivativeTraceW in full plus describeState.ts:631-649. Copy: pane labels 'f', 'f\u2032', 'f\u2033', 'corner', 'drag x, and watch f\u2032 draw itself', 'slide the whole curve up or down - C'. Reveal-only 'target'/'target f\u2032 = n'. No metadata.",HIGH
dilationExplore,src/components/widgets.tsx,10320-10324 (SideSplitterW 3820-3897; AltitudeMeanW 10331-10415; DilationScaleW 10428-10571),CLEAN,NONE,"Read the router and all three branches plus describeState.ts:300-306. Copy: 'AD / DB', 'AE / EC', 'altitude (h)', 'perimeter x k', 'area x k\u00b2', 'volume x k\u00b3', 'scale factor k'. All mathematical.",HIGH
distanceGrid,src/components/widgets.tsx,1265-1325,CLEAN,NONE,"Read DistanceGridW in full plus describeState.ts:684-693. Copy: leg lengths, the Pythagorean readout, 'point x'/'point y'; reveal-only 'target' ring. No metadata.",HIGH
distributionCompareLab,src/components/widgets.tsx,8308-8431,CLEAN,NONE,"Read both modes plus describeState.ts:123-132. The S218 retry/reveal evidence overlay prints 'gap \u2248 n variability-units' and 'overlap \u2248 n%' -- statistics, not telemetry. Tone drives colour only; the tone token is never printed.",HIGH
dotPlot,src/components/widgets.tsx,8167-8169 (DotPlotReadW 8088-8164; DotPlotBuildW 8171-8236),CLEAN,NONE,"Read the router and both branches plus describeState.ts:133-143. Copy: 'counted: n', 'marked length: ...', 'at {v}', and the reveal-only 'dashed = target height' note. No metadata.",HIGH
doubleNumberLine,src/components/widgets.tsx,7809-7897,CLEAN,NONE,"Read DoubleNumberLineW in full. Copy: spec.topLabel/bottomLabel, tick values, 'value at the marked tick'; reveal-only 'target {n}'. No describeState case.",HIGH
dragBucket,src/components/widgets.tsx,13076-13145,CLEAN,NONE,"Read DragBucketW in full. Copy: item labels, bucket labels/icons, per-bucket running counts, 'empty'; reveal-only '-> {bucket}' chip. No describeState case.",HIGH
dragOrder,src/components/widgets.tsx,12966-13071,CLEAN,NONE,"Read DragOrderW in full. Copy: 'Your order: ...', item labels, position numbers, 'Move X up/down'; reveal-only '#n' badge. No describeState case.",HIGH
elapsedTime,src/components/widgets.tsx,1213-1260,CLEAN,NONE,"Read ElapsedTimeW in full. Copy: 'start h:mm', 'finish h:mm', the duration, 'time that passes'; reveal-only 'target: ...' text. No describeState case.",HIGH
equationOutcomeLab,src/components/widgets.tsx,5580 (also describeState.ts:70),LEAK,PROCESS_TELEMETRY,"widgets.tsx:5580, unconditional in transform mode (active and retry): ""{stageIds.length} of {spec.operations.length} operations applied; {spec.requiredMoves} required before grading."" -- 'required before grading' names the grading system and surfaces the authoring gate spec.requiredMoves. Secondary: describeState.ts:70 (classify mode) speaks ""Normalized outcome {equationOutcomeTruth(spec)}"", printing the raw internal token 'one' | 'none' | 'infinite' (schema.ts:2094) as prose.",HIGH
estimateSlider,src/components/widgets.tsx,13893-13896 (DiscreteEstimateCompareW 13642-13807; LogEstimateSliderW 13810-13890),CLEAN,NONE,"Read the router and both branches. Copy: 'stated actual length', 'your estimate', 'distance between them', 'The scale stretches - each step multiplies...'; '\u2713 Best estimate'/'\u00d7 Too far' are graded-state feedback, '- answer' and 'best estimate' are reveal-only. Note actionsFor (describeState.ts:943) names the engine modes ('Continuous mode', 'Exact-comparison mode') in the help panel.",HIGH
evalOrder,src/components/widgets.tsx,7559-7671,CLEAN,NONE,"Read EvalOrderW in full. Copy: the token chips, 'Fully collapsed: n' / '{expr} - tap an operator to work it out.', Undo/Reset; reveal-only 'collapses to: n'. No describeState case.",HIGH
exactNumberLab,src/components/widgets.tsx,7004 and 7006 (also describeState.ts:393),LEAK,AUTHORING_LABEL,"widgets.tsx:7004 renders unconditionally in active/retry: ""Task: {spec.task.replaceAll(/([A-Z])/g,' $1').toLowerCase()}."" -- spec.task is the internal ExactNumberTask enum (schema.ts:5012-5024), so learners read 'Task: density witness.', 'Task: logarithm sum quadratic.', 'Task: rational exponent evaluate.' -- an authoring taxonomy key de-camelCased onto the screen. Line 7006 adds ""{n} valid exact state{s} inspected; {spec.requiredExplorations} required before grading."" describeState.ts:393 repeats the same raw task token as the first words of the accessible description. Sibling quotientReasoningLab does the same at widgets.tsx:7179 with the even more explicit label 'Task mode:'.",HIGH
expLogExplore,src/components/widgets.tsx,2327-2421,CLEAN,NONE,"Read ExpLogExploreW in full plus describeState.ts:600-604. Copy: 'y = b^x' / 'y = log_b(x)', 'its mirror across y = x', 'the base', 'goal {v}'; reveal-only dashed target curve labelled 'base n'. No metadata.",HIGH
extraneousRootLab,src/components/widgets.tsx,10066-10195,CLEAN,NONE,"Read ExtraneousRootLabW in full plus describeState.ts:748-760. Copy: 'square both sides'/'squared \u2713', 'probe x = n', '\u221a side / line side' readout, spec.signRegionFeedback; reveal-only 'the phantom sits at x = n'. All mathematical.",HIGH
fractionBar,src/components/widgets.tsx,989-1191,CLEAN,NONE,"Read FractionBarW in full. Copy: 'your bar'/'your fraction', 'target', 'Same magnitude on a number line', 'Repartition \u00d72', 'Simplify \u00f72', 'numerator'/'denominator' (or 'shaded parts'/'equal parts' in words mode); 'target fill' ghost is tone==='info' only. 'Same magnitude on a number line' is a mathematical caption, not a representation-metadata label. No describeState case.",HIGH
fractionCompare,src/components/widgets.tsx,15447-15550,CLEAN,NONE,"Read FractionCompareW end to end. Visible text is only the prompt, ""{num}/{den}"" bar captions, ""They're equal"", and an sr-only ""You chose the first bar, 3/4."" status. describeState.ts:857 returns null for this type, so the ""Describe this model"" disclosure (and its actions copy) never renders.",HIGH
fractionEntry,src/components/widgets.tsx,417-556,CLEAN,NONE,"Read FractionEntryW end to end. Field names are ""whole number"", ""numerator"", ""denominator"", plus ""negative sign"" and spec.unit; the live preview bar is aria-hidden. Only extra text is the GhostChip gated on tone===""info"" (reveal, out of active/retry scope). Not present in describeState.ts.",HIGH
fractionGrid,src/components/widgets.tsx,15345-15446,CLEAN,NONE,"Read FractionGridW end to end. Slider labels ""row count"", ""shade in rows"", ""column count"", ""shade in columns"" and the readout ""{a}/{b} x {c}/{d} -> overlap n/m"" are all mathematical. describeState.ts:849 narrates rows/columns/overlap only; actions copy at 937 describes the four sliders.",HIGH
fractionOfSet,src/components/widgets.tsx,8024-8087,CLEAN,NONE,"Read FractionOfSetW end to end. Visible text: prompt, ""{n} of {setSize} chosen"", ""({den} equal groups of {perGroup})"", slider label ""how many"". Reveal rings are tone===""info"" and aria-hidden. Not in describeState.ts.",HIGH
functionMachine,src/components/widgets.tsx,11164-11265,CLEAN,NONE,"Read FunctionMachineW end to end. Box captions ""input"", ""rule"", ""middle"", ""then"", ""output""; table headers ""Input""/""Output""; readout ""(target {targetOutput})"". All mathematical/instructional. Not in describeState.ts.",HIGH
geometricConstraintLab,src/components/widgets.tsx,6987,LEAK,PROCESS_TELEMETRY,"Active-state counter renders ""{revealed.length} valid geometric state{s} inspected; {spec.requiredExplorations} required before grading."" - an exploration-action tally against an authoring quota (requiredExplorations) that names the grading system. Reinforced in the learner-facing disclosure: describeState.ts:385 returns ""${spec.task.replaceAll(/([A-Z])/g,"" $1"")}: ..."", i.e. the internal task discriminant (coordinateProof/perimeterMissing/aaSimilarity) de-camelized and printed as the leading label. Stage cards also print ""Stage {n}"" and ""Exact state: {value}"".",HIGH
graphRead,src/components/widgets.tsx,7350-7441,CLEAN,NONE,"Read GraphReadW end to end including all three modes (tally/picture/bar). Visible text: prompt, spec.categoryLabel, ""(no marks at all)"", numeric scale buttons, ""Tap the number the graph shows."", and the tone===""info"" counting hint. describeState.ts:157 narrates the display only.",HIGH
graphStoryLab,src/lib/describeState.ts,954,LEAK,AUTHORING_LABEL,"The ""How to change it"" copy rendered inside the learner's ""Describe this model"" disclosure (WidgetRenderer renders actionsFor whenever describeWidgetState is non-null; graphStoryLab returns non-null at describeState.ts:418) reads ""... and reveal draws a separate dashed target without overwriting learner work."" - internal render-phase and program vocabulary (""reveal"", ""learner work"") describing the authoring system rather than the mathematics or the controls. Secondary: widgets.tsx:7314/7325 render ""Graph segment stage bank"", ""Assembled story stages"", ""No stages assembled yet."", ""Back one stage"" and 7276 ""Add story stages to draw the graph."" - ""stage"" used as engine vocabulary for graph segments.",MEDIUM
graphZoom,src/components/widgets.tsx,2215-2326,CLEAN,NONE,"Read GraphZoomW end to end. Visible text: prompt, ""x = {a}"", ""magnification x{n}"", ""from the left y -> ... from the right y -> ..."", buttons ""zoom in""/""zoom out""/""the limit exists""/""no limit"". describeState.ts:605 narrates sides and verdict only. All calculus vocabulary.",HIGH
hundredthsGrid,src/components/widgets.tsx,10767-10852,CLEAN,NONE,"Read HundredthsGridW end to end (tenths and hundredths modes). Visible text: prompt, column numerals, ""{n}/{total} = {dec}"", ""shaded = {n} ({prefilled} given)"". Reveal boundary is tone===""info"" and aria-hidden. Not a describeState case, so its actions entry at 936 never renders.",HIGH
integerChips,src/components/widgets.tsx,5680-5757,CLEAN,NONE,"Read IntegerChipsW end to end. Visible text: prompt, ""{pos} + (-{neg}) = {sum}"", ""({n} zero pairs cancel)"", ""positive chips""/""negative chips"", ""Add a zero pair""/""Remove a zero pair"", and ""A +1 chip and a -1 chip change the representation but preserve the value."" - the last is mathematical prose about equivalence, not representation metadata. Not in describeState.ts.",HIGH
inversePipeline,src/components/widgets.tsx,8737-8928,CLEAN,NONE,"Read InversePipelineW end to end. Visible text: ""What f does to x"", ""Build f-1: undo it, last step first"", ""Steps you can use"", ""undo"" badge, ""Slot {n}"" accessible names, and the arithmetic check sentence. describeState.ts:514 speaks the forward chain and the built track. All function-composition vocabulary.",HIGH
lengthCompare,src/components/widgets.tsx,14334-14742,CLEAN,NONE,"Read the router plus both branches (LengthDifferenceW and LengthPickAlignW, covering pick and align modes). Visible text: ""how many more?"", ""start line"", ""Starting ends lined up - the compare is fair."", ""{n} units past the start line"", ""Each stripe is one {unit} - count them if it looks close."" Not a describeState case, so its actions entry at 934 never renders.",HIGH
lineExplore,src/components/widgets.tsx,12406-12712,CLEAN,NONE,"Read LineExploreW end to end including the MMIP morph/undo layer. Visible text: prompt, ""y = mx + b"", ""run""/""rise"" triangle labels, ""slope m""/""intercept b"", the two lock chips (""Slope is resting for a moment - it already matches...""), and ""Undo last move"". The transaction sentence at 12653 is sr-only and describes the mathematical move. describeState.ts:592 is purely the line and its target.",HIGH
lineRelationLab,src/components/widgets.tsx,15704,LEAK,PROCESS_TELEMETRY,"Active state renders a permanent readout tile ""moves"" showing ""{moves}/{spec.requiredMoves}"" (LabReadout label=""moves""), i.e. a running count of learner actions against an authoring-set move quota - process telemetry, not mathematics. The same telemetry is spoken in the learner disclosure: describeState.ts:311 ends ""... ${v.moves} meaningful moves recorded."" and the actions copy at describeState.ts:932 advertises ""live readouts name the relation, angle, and move count."" The sibling ""relation"" and ""angle"" tiles are legitimate.",HIGH
matchPairs,src/components/widgets.tsx,13150-13267,CLEAN,NONE,"Read MatchPairsW end to end. Visible text: prompt, ""Tap one on the left, then its match on the right. Tap a numbered one to unlink."", link numerals, and the live paired-claim list. Reveal arrows are tone===""info"" and aria-hidden. Not in describeState.ts.",HIGH
matrixTransform,src/components/widgets.tsx,15013-15139,CLEAN,NONE,"Read MatrixTransformW and its MatrixStepper helper. Visible text: ""i-hat lands at (a, c)"", ""j-hat lands at (b, d)"", the matrix bracket display, and ""det = a*d - b*c = n -> area xn"". spec.targetName is an authored human phrase (schema.ts:2837 ""e.g. a 90 degree counter-clockwise rotation""), not an internal token. describeState.ts:176 is purely linear-algebra. NOTE (not a focus leak): the actions copy at describeState.ts:941 says ""Four sliders"" but the controls are +/- steppers.",HIGH
mcq,src/components/widgets.tsx,283-365,CLEAN,NONE,"Read McqW end to end. The only rendered strings are spec.prompt, option labels, and the tone===""info"" reveal badges ""correct answer""/""your answer"" (aria-hidden, reveal phase only). No authoring metadata; the seeded-shuffle rationale lives in comments, never on screen. Not in describeState.ts.",HIGH
mixedRegroup,src/components/widgets.tsx,6070-6285,CLEAN,NONE,"Read MixedRegroupW and MRBars end to end (convert/add/subtract modes). Visible text: ""Wholes""/""Parts""/""Whole column""/""Parts column"", ""Make a whole ({den} parts -> 1)"", ""Break a whole (1 -> {den} parts)"", the exchange narration messages, ""Undo""/""Reset"". All unit-exchange vocabulary. Not in describeState.ts.",HIGH
moneyBoard,src/components/widgets.tsx,15140-15344,CLEAN,NONE,"Read MoneyBoardW end to end (count, compose and change modes). Visible text: coin denominations, ""Tap coins to count them - biggest first is fastest."", receipt rows ""Paid""/""Cost""/""Change"", ""Total"", and an sr-only ""target {n} cents"". describeState.ts:814 and the actions copy at 935 are both coin/arithmetic language.",HIGH
netFold,src/components/widgets.tsx,7676-7729,CLEAN,NONE,"Read NetFoldW end to end. Visible text: prompt, per-face areas, ""2(lxw) + 2(lxh) + 2(wxh) = SA"", ""(target {targetSurfaceArea})"", and slider labels ""prism length/width/height"". describeState.ts:776 narrates the box and its net. Stating the target surface area is goal framing, not authoring metadata.",HIGH
numberLineHop,src/components/widgets.tsx,13957-14193,CLEAN,NONE,"Read the router and both branches (HopSizeW and HopLandingW). Visible text: ""hit""/""skipped"" tick captions, LabReadouts ""stride"" and ""marks hit"" ({k} of {n} - a property of the mathematical object, not an action tally), ""hop size"", ""This stride lands on every mark - can a bigger one still do it?"", ""start at X -> land on Y"". Not in describeState.ts.",HIGH
numberLinePlace,src/components/widgets.tsx,11010-11162,CLEAN,NONE,"Read NumberLinePlaceW end to end including the fraction-denominator path. Visible text: tick labels, ""mark {n} of {den}"", ""distance from 0: {v}"", slider label ""marker"". Error chevron and reveal ghost are tone-gated and aria-hidden. Not in describeState.ts.",HIGH
numberLineRay,src/components/widgets/numberLineRay.tsx,110-682,CLEAN,NONE,"Read the whole module (it is the engine's only render path; widgets.tsx:16418 just dispatches). Visible text: ""ray runs toward larger/smaller numbers"", ""turn it round"", ""endpoint included""/""endpoint left out"", the solved form plus interval, ""Test a value""/""test the endpoint"", the membership sentence, and ""Undo last move"". The transaction ""notice"" at 655 is sr-only and mathematical. describeState.ts:876 returns relation text plus the solution sentence only.",HIGH
numeric,src/components/widgets.tsx,371-415,CLEAN,NONE,"Read NumericW end to end. Rendered strings are spec.prompt, spec.unit, and the tone===""info"" GhostChip ""Correct: {answer}"". Nothing else. Not in describeState.ts.",HIGH
oddEvenPairs,src/components/widgets.tsx,15551-15654,CLEAN,NONE,"Read OddEvenPairsW end to end. Visible text: ""{t} tens = {5t} full pairs - tens ALWAYS pair. Only the ones matter:"", ""Pair two"", ""even""/""odd"", ""{n} pairs made - keep pairing."" / ""One chip left over with no partner."" / ""Every chip found a partner."" describeState.ts:859 returns null so the disclosure never renders.",HIGH
percentBar,src/components/widgets.tsx,5415-5479,CLEAN,NONE,"Read PercentBarW end to end. Visible text: prompt, axis percentages and their values, ""{pct}% of {whole} = {amount}"", slider label ""percent"". The ""target"" tick is tone===""info"" and aria-hidden. Not in describeState.ts.",HIGH
percentChangeLab,src/components/widgets.tsx,5483-5546,CLEAN,NONE,"Read PercentChangeLabW end to end: ""Base price"", ""Your final-price claim"", ""base""/""selected"" bar captions and the ""{base} +/- {amount} = {claim}"" strip are all commerce/mathematics. Two judgement calls recorded, neither classed as a leak: (1) line 5518 renders the raw spec discriminant {spec.direction} as a visible bar label, but its values are the real words ""markup""/""markdown""; (2) the disclosure actions copy at describeState.ts:945 ends ""The chosen claim remains visible on reveal."" - mild render-phase vocabulary, weaker than the graphStoryLab case.",MEDIUM
placeCompare,src/components/widgets.tsx,676-861,CLEAN,NONE,"Read PlaceCompareW end to end (chart, blocks and expanded views). Visible text: place-name headers (""ones""/""tens""/""hdths""...), the digit cells, the </=/> buttons, and the tone-gated hints ""look at the {place} place"" / ""the {place} place decided it"" / ""every place matches"". All base-ten vocabulary. Not a describeState case.",HIGH
placeValue,src/components/widgets.tsx,8603-8660,CLEAN,NONE,"Read PlaceValueW end to end. Visible text: ""100x{h} + 10x{t} + {o} = {total}"", ""(target {target})"", slider labels ""hundreds""/""tens""/""ones"". The ""{n} short of""/""{n} past"" chip is tone===""info"" and aria-hidden. Not in describeState.ts.",HIGH
placeValueTransformLab,src/lib/describeState.ts,376,LEAK,AUTHORING_LABEL,"The learner-facing accessible description opens with ""Base-ten task ${spec.task}."" - the raw camelCase authoring enum is printed verbatim (schema task values include e.g. divisionFirstMove, placeExponent, exponentChain), so a learner hears ""Base-ten task divisionFirstMove."" It continues with ""{n} of {m} derived stages inspected"" (process telemetry). On the active screen, widgets.tsx:6956 renders ""{revealed.length} valid base-ten stage{s} inspected; {spec.requiredExplorations} required before grading."" Actions copy at describeState.ts:953 adds ""reveal uses a separate ghost and never overwrites your work.""",HIGH
plotPoint,src/components/widgets.tsx,13416-13528,CLEAN,NONE,"Read PlotPointW end to end. Rendered text is only spec.xLabels/yLabels (or ""column {n}""/""row {n}"" fallbacks) and the dots; ghost rings are tone===""info"" and aria-hidden. describeState.ts:498 reports marked cells and ""{k} of {n} targets are marked so far"" - a property of the mathematical selection, not an authoring tally.",HIGH
pointEntry,src/components/widgets.tsx,564-673,CLEAN,NONE,"Read PointEntryW end to end. Visible text: prompt, the delimiters and comma, the typed values; accessible slot names are spec.slotLabels or ""first value""/""second value"". Mini-grid is aria-hidden. Only extra text is the tone===""info"" GhostChip. Not a describeState case.",HIGH
pointSetReasoningLab,src/lib/describeState.ts,378,LEAK,AUTHORING_LABEL,"The learner-facing accessible description opens with ""Point-set task ${spec.task}."" - the raw camelCase authoring enum printed verbatim, then ""{n} of {m} exact states inspected."" On the active screen, widgets.tsx:6971 renders the stage grid with ""Stage {n}"" kickers, ""Closed - activate to derive this point-set state."", ""Exact state: {value}"", and the counter ""{revealed.length} valid state{s} inspected; {spec.requiredExplorations} required before grading."" - an exploration tally naming the authoring quota and the grading system.",HIGH
polarTrace,src/components/widgets.tsx,3093-3186,CLEAN,NONE,"Read PolarTraceW end to end (rose and limacon modes). Visible text: ""r = cos({v}theta) -> {n} petals"", ""n is odd -> n petals"", ""r = {v} + 2cos theta -> a dimpled limacon"", slider labels ""n, inside the cosine"" / ""a, the constant out front"". The ""target"" marker is tone===""info"" and aria-hidden. describeState.ts:483 is pure polar-curve prose.",HIGH
