engine,file,line_ref,verdict,leak_class,evidence,confidence
circleAngleExplore,src/components/widgets.tsx,2091-2210,CLEAN,NONE,"Read CircleAngleExploreW in full plus describeState.ts:616-621. Mode label maps to 'central angle'/'angle at P'/'tangent-chord angle'/'the OPPOSITE angle' -- human strings, not the raw mode enum. No metadata.",HIGH
circleMeasureExplore,src/components/widgets.tsx,2852-2856 (CircleRadiusScaleW 2863-2923; CircleChordTangentArcW 2926-3088),CLEAN,NONE,"Read the router and both branches plus describeState.ts:770-775. Note CircleRadiusScaleW:2900 interpolates spec.askQuantity into 'target: {askQuantity} {value}', but that enum's values are 'diameter'/'circumference'/'area' -- mathematical words, and the LabReadouts spell out 'diameter 2r', 'circumference 2\u03c0r', 'area \u03c0r\u00b2'.",HIGH
clockSet,src/components/widgets.tsx,8663-8726,CLEAN,NONE,"Read ClockSetW in full. Copy: the clock face numerals, 'h:mm', 'hour = n', 'minute = mm'; reveal-only dashed ghost hands carry no text. No describeState case.",HIGH
columnCalc,src/components/widgets.tsx,6315-6550,CLEAN,NONE,"Read ColumnCalcW in full including every st.msg string produced by resolve/commitCarry/borrow/commitLead. All are place-value narration ('ones: wrote 4, carry 1 waiting', 'Broke a ten: tens down one, ones up ten'). Closing line 'All columns worked out - check when ready.' is a next-action cue. No describeState case.",HIGH
compassConstruct,src/components/widgets.tsx,3715-3810 (ClassicalConstructW 3947-4017; CLASSICAL table 3906-3945),CLEAN,NONE,"Read the router, the perpBisector/hexagon branch, ClassicalConstructW, and every warrant/shortfall string in the CLASSICAL table. All are geometric justifications ('both crossings are the same distance from each ARM...'). Aside (not a focus violation): describeState.ts:809-812 hard-codes goal text for only perpBisector vs hexagon, so the five classical modes are described as 'a regular hexagon stepped around the circle' -- a correctness bug worth a separate ticket.",HIGH
compositeAreaLab,src/components/widgets.tsx,1563-1624,CLEAN,NONE,"Read CompositeAreaLabW in full plus describeState.ts:103-112. Copy: 'Piece n', 'Signed area ledger', 'Cut and reattach...', 'Choose the exact area claim that this geometry supports.' All mathematical. Minor note: describeState prints spec.scene de-hyphenated ('piece ledger') and actionsFor (describeState.ts:951) ends 'Your selected claim stays visible on reveal.' -- 'on reveal' names an internal phase, but reads as ordinary English in a help panel.",MEDIUM
compoundEventLab,src/components/widgets.tsx,1499-1558,CLEAN,NONE,"Read CompoundEventLabW in full plus describeState.ts:93-102. 'Stage {n}' here labels stages of the compound EXPERIMENT (spec.stages, each with its own outcome list), not an authoring stage -- verified against the schema usage. Other copy: 'Complete ordered sample space', 'Sample-space size', 'Favourable outcomes / all outcomes'.",HIGH
conditionalTableLab,src/lib/describeState.ts,describeState.ts:439 (also widgets.tsx:15946),LEAK,RAW_STATE_TOKEN,"describeState.ts:439 (condition mode, reached whenever mode!=='read') returns: ""The selected condition is {condition}; the selected intersection is {cell}. {n} condition changes have been recorded."" -- condition is the raw enum row0|row1|col0|col1 and cell is r0c0|r0c1|r1c0|r1c1 (schema.ts:5967-5969), so the 'Describe this model' panel speaks 'The selected condition is col0; the selected intersection is r0c1' while the screen shows 'Given Boys'. The widget itself has conditionLabel()/cellLabel() human strings (widgets.tsx:15919-15920) and does not use them here. Same class as the S215 RotationLabW raw-tone defect. widgets.tsx:15946 additionally renders 'Condition changes recorded: {n}/{spec.requiredSwitches}' in active state.",HIGH
conicLocusLab,src/components/widgets.tsx,16002-16060,CLEAN,NONE,"Read ConicLocusLabW in full plus describeState.ts:441-444. LabReadout 'family' holds the CONIC family (circle/ellipse/parabola/hyperbola), not a transfer family -- a false positive for any transferFamily grep. Note the LabReadout 'samples {n}/{spec.requiredSamples}' counter surfaces an authoring gate value, but it reads as a next-action cue rather than system vocabulary.",MEDIUM
coordinateProofLab,src/components/widgets.tsx,15758-15778,CLEAN,NONE,"Read CoordinateProofLabW in full plus describeState.ts:320-323. LabReadouts are 'claim', 'vertex D', 'proof moves {n}/{spec.requiredMoves}'; buttons 'Inspect slopes/midpoints/distances'; evidence readouts are slopes, midpoints, lengths. Note the 'proof moves n/m' counter exposes the authoring requiredMoves threshold -- flagged as a borderline process counter, not system vocabulary.",MEDIUM
covariationScrubber,src/components/widgets.tsx,15821-15822,CLEAN,NONE,"Read CovariationScrubberW (minified, two lines) plus describeState.ts:336-339. Renders spec.contextTemplate, the table with spec.inputLabel/outputLabel headers, the graph, and LabReadouts 'equation', 'unit rate', 'current pair'. All mathematical; no counters or enums.",HIGH
derivativeRuleLab,src/components/widgets.tsx,16063-16157,CLEAN,NONE,"Read all four modes (product, quotient, substitution, chain) plus describeState.ts:446-451. Copy is calculus ('x-world \u00b7 spot the fingerprint', 'ordered numerator', 'inner rate'/'outer rate'). Note describeState ends each mode with '{n} moves are recorded.' -- a bare interaction counter; flagged as borderline process wording, not authoring metadata.",MEDIUM
derivativeTrace,src/components/widgets.tsx,4271-4429,CLEAN,NONE,"Read DerivativeTraceW in full plus describeState.ts:631-649. Copy: pane labels 'f', 'f\u2032', 'f\u2033', 'corner', 'drag x, and watch f\u2032 draw itself', 'slide the whole curve up or down - C'. Reveal-only 'target'/'target f\u2032 = n'. No metadata.",HIGH
dilationExplore,src/components/widgets.tsx,10320-10324 (SideSplitterW 3820-3897; AltitudeMeanW 10331-10415; DilationScaleW 10428-10571),CLEAN,NONE,"Read the router and all three branches plus describeState.ts:300-306. Copy: 'AD / DB', 'AE / EC', 'altitude (h)', 'perimeter x k', 'area x k\u00b2', 'volume x k\u00b3', 'scale factor k'. All mathematical.",HIGH
distanceGrid,src/components/widgets.tsx,1265-1325,CLEAN,NONE,"Read DistanceGridW in full plus describeState.ts:684-693. Copy: leg lengths, the Pythagorean readout, 'point x'/'point y'; reveal-only 'target' ring. No metadata.",HIGH
distributionCompareLab,src/components/widgets.tsx,8308-8431,CLEAN,NONE,"Read both modes plus describeState.ts:123-132. The S218 retry/reveal evidence overlay prints 'gap \u2248 n variability-units' and 'overlap \u2248 n%' -- statistics, not telemetry. Tone drives colour only; the tone token is never printed.",HIGH
dotPlot,src/components/widgets.tsx,8167-8169 (DotPlotReadW 8088-8164; DotPlotBuildW 8171-8236),CLEAN,NONE,"Read the router and both branches plus describeState.ts:133-143. Copy: 'counted: n', 'marked length: ...', 'at {v}', and the reveal-only 'dashed = target height' note. No metadata.",HIGH
doubleNumberLine,src/components/widgets.tsx,7809-7897,CLEAN,NONE,"Read DoubleNumberLineW in full. Copy: spec.topLabel/bottomLabel, tick values, 'value at the marked tick'; reveal-only 'target {n}'. No describeState case.",HIGH
dragBucket,src/components/widgets.tsx,13076-13145,CLEAN,NONE,"Read DragBucketW in full. Copy: item labels, bucket labels/icons, per-bucket running counts, 'empty'; reveal-only '-> {bucket}' chip. No describeState case.",HIGH
dragOrder,src/components/widgets.tsx,12966-13071,CLEAN,NONE,"Read DragOrderW in full. Copy: 'Your order: ...', item labels, position numbers, 'Move X up/down'; reveal-only '#n' badge. No describeState case.",HIGH
elapsedTime,src/components/widgets.tsx,1213-1260,CLEAN,NONE,"Read ElapsedTimeW in full. Copy: 'start h:mm', 'finish h:mm', the duration, 'time that passes'; reveal-only 'target: ...' text. No describeState case.",HIGH
equationOutcomeLab,src/components/widgets.tsx,5580 (also describeState.ts:70),LEAK,PROCESS_TELEMETRY,"widgets.tsx:5580, unconditional in transform mode (active and retry): ""{stageIds.length} of {spec.operations.length} operations applied; {spec.requiredMoves} required before grading."" -- 'required before grading' names the grading system and surfaces the authoring gate spec.requiredMoves. Secondary: describeState.ts:70 (classify mode) speaks ""Normalized outcome {equationOutcomeTruth(spec)}"", printing the raw internal token 'one' | 'none' | 'infinite' (schema.ts:2094) as prose.",HIGH
estimateSlider,src/components/widgets.tsx,13893-13896 (DiscreteEstimateCompareW 13642-13807; LogEstimateSliderW 13810-13890),CLEAN,NONE,"Read the router and both branches. Copy: 'stated actual length', 'your estimate', 'distance between them', 'The scale stretches - each step multiplies...'; '\u2713 Best estimate'/'\u00d7 Too far' are graded-state feedback, '- answer' and 'best estimate' are reveal-only. Note actionsFor (describeState.ts:943) names the engine modes ('Continuous mode', 'Exact-comparison mode') in the help panel.",HIGH
evalOrder,src/components/widgets.tsx,7559-7671,CLEAN,NONE,"Read EvalOrderW in full. Copy: the token chips, 'Fully collapsed: n' / '{expr} - tap an operator to work it out.', Undo/Reset; reveal-only 'collapses to: n'. No describeState case.",HIGH
exactNumberLab,src/components/widgets.tsx,7004 and 7006 (also describeState.ts:393),LEAK,AUTHORING_LABEL,"widgets.tsx:7004 renders unconditionally in active/retry: ""Task: {spec.task.replaceAll(/([A-Z])/g,' $1').toLowerCase()}."" -- spec.task is the internal ExactNumberTask enum (schema.ts:5012-5024), so learners read 'Task: density witness.', 'Task: logarithm sum quadratic.', 'Task: rational exponent evaluate.' -- an authoring taxonomy key de-camelCased onto the screen. Line 7006 adds ""{n} valid exact state{s} inspected; {spec.requiredExplorations} required before grading."" describeState.ts:393 repeats the same raw task token as the first words of the accessible description. Sibling quotientReasoningLab does the same at widgets.tsx:7179 with the even more explicit label 'Task mode:'.",HIGH
expLogExplore,src/components/widgets.tsx,2327-2421,CLEAN,NONE,"Read ExpLogExploreW in full plus describeState.ts:600-604. Copy: 'y = b^x' / 'y = log_b(x)', 'its mirror across y = x', 'the base', 'goal {v}'; reveal-only dashed target curve labelled 'base n'. No metadata.",HIGH
extraneousRootLab,src/components/widgets.tsx,10066-10195,CLEAN,NONE,"Read ExtraneousRootLabW in full plus describeState.ts:748-760. Copy: 'square both sides'/'squared \u2713', 'probe x = n', '\u221a side / line side' readout, spec.signRegionFeedback; reveal-only 'the phantom sits at x = n'. All mathematical.",HIGH
fractionBar,src/components/widgets.tsx,989-1191,CLEAN,NONE,"Read FractionBarW in full. Copy: 'your bar'/'your fraction', 'target', 'Same magnitude on a number line', 'Repartition \u00d72', 'Simplify \u00f72', 'numerator'/'denominator' (or 'shaded parts'/'equal parts' in words mode); 'target fill' ghost is tone==='info' only. 'Same magnitude on a number line' is a mathematical caption, not a representation-metadata label. No describeState case.",HIGH
