lesson,grade,course,concept,lesson class,current A/B interactions,current C/D interactions,misconception burden,candidate existing engine,expected learner gain,reuse potential,priority,decision,justification
koa-01-04,0,Adding & Taking Away,koa-act-out,C,2,4,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,0.5,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
koa-01-05,0,Adding & Taking Away,koa-write-addition,C,2,4,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,0.5,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
koa-02-01,0,Adding & Taking Away,koa-take-away,A,2,4,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,1.5,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
koa-02-02,0,Adding & Taking Away,koa-sub-drawings,C,2,4,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,0.5,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
koa-02-03,0,Adding & Taking Away,koa-sub-act-out,C,2,4,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,0.5,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
koa-02-04,0,Adding & Taking Away,koa-write-subtraction,C,2,4,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,0.5,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
koa-02-05,0,Adding & Taking Away,koa-how-many-left,C,2,4,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,0.5,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
koa-03-01,0,Adding & Taking Away,koa-add-to-story,D,2,4,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,0.25,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
koa-03-02,0,Adding & Taking Away,koa-take-from-story,D,2,4,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,0.25,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
koa-03-03,0,Adding & Taking Away,koa-put-together-story,D,2,4,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,0.25,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
koa-03-04,0,Adding & Taking Away,koa-choose-operation,D,2,4,3,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,0.75,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
koa-03-05,0,Adding & Taking Away,koa-model-story,D,2,4,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,0.25,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
koa-03-06,0,Adding & Taking Away,koa-sums-5,D,2,4,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,0.25,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
koa-03-07,0,Adding & Taking Away,koa-diffs-5,D,2,4,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,0.25,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
koa-03-08,0,Adding & Taking Away,koa-plus-minus-one,D,2,4,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,0.25,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
koa-03-09,0,Adding & Taking Away,koa-zero-fact,D,2,4,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,0.25,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
koa-03-10,0,Adding & Taking Away,koa-fluency-5,D,2,4,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,0.25,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
as100-01-01,2,Addition & Subtraction within 100,doubles,D,1,5,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,0.25,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
as100-01-02,2,Addition & Subtraction within 100,near-doubles,D,1,5,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,0.25,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
as100-01-03,2,Addition & Subtraction within 100,fluency-20,D,1,5,2,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,0.5,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
as100-02-01,2,Addition & Subtraction within 100,add-tens,A,1,5,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,1.5,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
as100-02-02,2,Addition & Subtraction within 100,add-ones,C,1,5,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,0.5,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
as100-02-03,2,Addition & Subtraction within 100,add-2digit,C,1,5,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,0.5,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
as100-02-04,2,Addition & Subtraction within 100,regroup-add,C,1,5,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,0.5,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
as100-03-01,2,Addition & Subtraction within 100,sub-tens,A,1,5,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,1.5,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
as100-03-02,2,Addition & Subtraction within 100,sub-ones,C,1,5,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,0.5,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
as100-03-03,2,Addition & Subtraction within 100,sub-2digit,C,1,5,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,0.5,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
as100-03-04,2,Addition & Subtraction within 100,unbundle-sub,C,1,5,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,0.5,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
as100-04-01,2,Addition & Subtraction within 100,two-step,A,0,7,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,1.5,KEEP,"Potential conceptual gap, but no obvious existing-engine fit from the mechanical scan; requires human necessity audit before any implementation."
as100-04-02,2,Addition & Subtraction within 100,two-step-trade,C,0,6,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,0.5,KEEP,Procedural-fluency purpose; preserve independent production unless a manual lesson read finds a conceptual bottleneck.
as100-04-03,2,Addition & Subtraction within 100,choose-steps,C,0,6,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,0.5,KEEP,Procedural-fluency purpose; preserve independent production unless a manual lesson read finds a conceptual bottleneck.
as100-05-01,2,Addition & Subtraction within 100,odd-even,A,3,3,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,1.5,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
as100-05-02,2,Addition & Subtraction within 100,parity-sum,C,0,6,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,0.5,KEEP,Procedural-fluency purpose; preserve independent production unless a manual lesson read finds a conceptual bottleneck.
g2b-01-01,2,"Adding & Subtracting Within 1,000",g2b-add-hundreds,A,2,4,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,1.5,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
g2b-01-02,2,"Adding & Subtracting Within 1,000",g2b-add-no-trade,C,2,4,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,0.5,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
g2b-01-03,2,"Adding & Subtracting Within 1,000",g2b-trade-ones,C,2,4,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,0.5,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
g2b-01-04,2,"Adding & Subtracting Within 1,000",g2b-trade-tens,C,2,4,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,0.5,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
g2b-01-05,2,"Adding & Subtracting Within 1,000",g2b-two-trades,C,2,4,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,0.5,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
g2b-02-01,2,"Adding & Subtracting Within 1,000",g2b-sub-no-trade,A,2,4,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,1.5,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
g2b-02-02,2,"Adding & Subtracting Within 1,000",g2b-break-ten,C,2,4,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,0.5,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
g2b-02-03,2,"Adding & Subtracting Within 1,000",g2b-break-hundred,C,2,4,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,0.5,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
g2b-02-04,2,"Adding & Subtracting Within 1,000",g2b-across-zero,C,2,4,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,0.5,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
g2b-02-05,2,"Adding & Subtracting Within 1,000",g2b-mental-ten,C,2,4,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,0.5,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
g2b-02-06,2,"Adding & Subtracting Within 1,000",g2b-mental-hundred,C,2,4,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,0.5,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
g2b-03-01,2,"Adding & Subtracting Within 1,000",g2b-open-line,A,2,4,2,numberLineHop,Learner could manipulate the numberLineHop model and observe a state-dependent consequence before symbolic/retrieval checks.,452,79.44,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
g2b-03-02,2,"Adding & Subtracting Within 1,000",g2b-why-trade,A,2,4,2,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,3.0,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
g2b-03-03,2,"Adding & Subtracting Within 1,000",g2b-explain,A,2,4,2,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,3.0,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
g2b-03-04,2,"Adding & Subtracting Within 1,000",g2b-story,A,2,4,2,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,3.0,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
g2b-03-05,2,"Adding & Subtracting Within 1,000",g2b-method,A,2,4,2,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,3.0,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
g3a-01-01,3,"Fluent to 1,000",g3a-add,A,2,4,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,1.65,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
g3a-01-02,3,"Fluent to 1,000",g3a-two-regroup,C,2,4,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,0.55,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
g3a-01-03,3,"Fluent to 1,000",g3a-sub,C,2,4,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,0.55,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
g3a-01-04,3,"Fluent to 1,000",g3a-sub-two,C,2,4,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,0.55,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
g3a-02-01,3,"Fluent to 1,000",g3a-two-zeros,A,2,4,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,1.65,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
g3a-02-02,3,"Fluent to 1,000",g3a-open-line,C,2,4,1,numberLineHop,Learner could manipulate the numberLineHop model and observe a state-dependent consequence before symbolic/retrieval checks.,452,14.56,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
g3a-02-03,3,"Fluent to 1,000",g3a-compensate,C,2,4,2,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,1.1,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
g3a-03-01,3,"Fluent to 1,000",g3a-check-inverse,A,2,4,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,1.65,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
g3a-03-02,3,"Fluent to 1,000",g3a-story,C,2,4,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,0.55,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
g3a-03-03,3,"Fluent to 1,000",g3a-strategy,C,2,4,2,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,1.1,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
as-01-01,1,Addition & Subtraction within 20,counting-on,A,3,3,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,1.5,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
as-01-02,1,Addition & Subtraction within 20,count-on-small,C,1,5,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,0.5,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
as-01-03,1,Addition & Subtraction within 20,bigger-first,C,2,4,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,0.5,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
as-02-01,1,Addition & Subtraction within 20,tens-partners,A,2,4,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,1.5,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
as-02-02,1,Addition & Subtraction within 20,make-ten-first,C,2,4,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,0.5,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
as-02-03,1,Addition & Subtraction within 20,make-ten-add,C,2,4,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,0.5,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
as-02-04,1,Addition & Subtraction within 20,make-ten-add,C,2,4,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,0.5,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
as-03-01,1,Addition & Subtraction within 20,take-away,A,2,4,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,1.5,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
as-03-02,1,Addition & Subtraction within 20,count-back,C,2,4,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,0.5,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
as-03-03,1,Addition & Subtraction within 20,difference,C,2,4,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,0.5,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
as-03-04,1,Addition & Subtraction within 20,sub-facts,D,2,4,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,0.25,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
as-04-01,1,Addition & Subtraction within 20,fact-family,A,0,6,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,1.5,KEEP,"Potential conceptual gap, but no obvious existing-engine fit from the mechanical scan; requires human necessity audit before any implementation."
as-04-02,1,Addition & Subtraction within 20,equal-sign,C,0,6,2,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,1.0,KEEP,Procedural-fluency purpose; preserve independent production unless a manual lesson read finds a conceptual bottleneck.
as-04-03,1,Addition & Subtraction within 20,unknown,C,2,4,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,0.5,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
as-05-01,1,Addition & Subtraction within 20,result-unknown,A,2,4,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,1.5,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
as-05-02,1,Addition & Subtraction within 20,part-whole,C,2,4,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,0.5,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
as-05-03,1,Addition & Subtraction within 20,compare,B,2,4,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,1.25,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
g1t-01-01,1,Adding Three Numbers,g1t-three-addends,A,2,4,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,1.5,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
g1t-01-02,1,Adding Three Numbers,g1t-find-ten-first,C,2,4,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,0.5,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
g1t-01-03,1,Adding Three Numbers,g1t-doubles-first,C,2,4,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,0.5,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
g1t-01-04,1,Adding Three Numbers,g1t-any-order,C,2,4,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,0.5,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
g1t-02-01,1,Adding Three Numbers,g1t-grouping,A,2,4,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,1.5,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
g1t-02-02,1,Adding Three Numbers,g1t-story,C,2,4,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,0.5,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
g1t-02-03,1,Adding Three Numbers,g1t-choose-pair,C,2,4,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,0.5,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
g1t-03-01,1,Adding Three Numbers,g1t-past-ten,A,2,4,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,1.5,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
g1t-03-02,1,Adding Three Numbers,g1t-missing-addend,C,2,4,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,0.5,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
g1t-03-03,1,Adding Three Numbers,g1t-strategy-choice,C,2,4,2,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,1.0,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
g1a-01-01,1,Adding Within 100,g1a-add-ones,A,2,4,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,1.5,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
g1a-01-02,1,Adding Within 100,g1a-ones-make-ten,C,2,4,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,0.5,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
g1a-01-03,1,Adding Within 100,g1a-add-tens,C,2,4,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,0.5,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
g1a-01-04,1,Adding Within 100,g1a-tens-tens,C,2,4,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,0.5,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
g1a-02-01,1,Adding Within 100,g1a-mental-ten,A,2,4,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,1.5,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
g1a-02-02,1,Adding Within 100,g1a-chart-add,B,2,4,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,1.25,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
g1a-02-03,1,Adding Within 100,g1a-line-add,C,2,4,1,numberLineHop,Learner could manipulate the numberLineHop model and observe a state-dependent consequence before symbolic/retrieval checks.,452,13.24,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
g1a-02-04,1,Adding Within 100,g1a-decompose-add,C,2,4,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,0.5,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
g1a-02-05,1,Adding Within 100,g1a-sub-tens,C,2,4,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,0.5,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
g1a-02-06,1,Adding Within 100,g1a-chart-sub,C,2,4,1,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,0.5,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
g1a-03-01,1,Adding Within 100,g1a-explain,A,2,4,2,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,3.0,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
g1a-03-02,1,Adding Within 100,g1a-story-add,C,2,4,2,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,1.0,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
g1a-03-03,1,Adding Within 100,g1a-story-sub,C,2,4,2,NONE—manual fit audit,Manual review required to identify whether manipulation adds a distinct causal insight beyond the existing explanation.,0,1.0,KEEP,Already has at least one A/B engine instance; not a zero-rich closure candidate.
