widget_type,authored_uses,grade_reach,manipulation,consequence,error_model,adaptive,accessibility,mobile,polish,learner_harm,frequency,visibility,strategic_importance,priority_product,decision
conditionalTableLab,15,2,3,3,3,3,3,3,3,2,3,5,3,90,KEEP
equationOutcomeLab,15,2,2,3,3,3,3,3,3,2,3,5,3,90,KEEP
trialProbabilityLab,15,1,2,3,3,0,3,3,3,2,3,5,3,90,KEEP
triangleSolve,15,2,2,2,3,0,3,2,3,2,3,5,3,90,KEEP
dotPlot,13,4,2,2,3,0,3,2,3,2,2,5,4,80,KEEP
circleMeasureExplore,11,3,2,2,3,0,3,2,3,2,2,5,4,80,KEEP
ratioTable,11,4,2,2,3,3,3,2,2,2,2,5,4,80,KEEP
scatterFit,11,3,3,2,3,3,3,2,3,2,2,5,4,80,KEEP
secantSlope,11,3,2,3,3,0,3,2,3,2,2,5,4,80,KEEP
functionMachine,10,4,2,3,3,3,3,2,2,2,2,5,4,80,KEEP
distanceGrid,9,4,2,2,3,0,3,2,3,2,2,5,4,80,KEEP
samplingBiasLab,7,4,3,3,3,3,3,3,3,2,2,5,4,80,KEEP
angleMeasure,6,3,2,2,3,3,3,2,3,2,2,5,4,80,KEEP
spinnerSim,6,3,2,2,3,0,3,2,3,2,2,5,4,80,KEEP
netFold,5,3,2,2,3,0,3,2,2,2,2,5,4,80,KEEP
treeDiagram,5,4,2,2,3,0,3,2,2,2,2,5,4,80,KEEP
triangleAngleLab,4,3,3,3,3,3,3,3,3,2,2,5,4,80,KEEP
graphStoryLab,14,1,3,3,3,0,3,3,3,2,2,5,3,60,KEEP
pointSetReasoningLab,14,2,3,3,3,2,3,3,3,2,2,5,3,60,KEEP
triangleConstraintLab,13,2,3,3,3,3,3,3,3,2,2,5,3,60,KEEP
compassConstruct,12,2,3,2,3,0,3,1,2,2,2,5,3,60,POLISH
inversePipeline,11,2,3,2,3,0,3,3,2,2,2,5,3,60,KEEP
shapeParts,11,2,3,3,3,0,3,3,2,2,2,5,3,60,KEEP
binomialAreaLab,10,2,3,3,3,3,3,2,2,2,2,5,3,60,KEEP
percentBar,10,2,2,2,3,3,3,2,3,2,2,5,3,60,KEEP
slopeTriangle,10,2,2,3,3,0,3,2,2,2,2,5,3,60,KEEP
percentChangeLab,9,1,2,3,3,3,3,3,3,2,2,5,3,60,KEEP
signedFractionLab,9,1,2,3,3,3,3,3,3,2,2,5,3,60,KEEP
transformExplore,9,2,2,3,3,3,3,2,2,2,2,5,3,60,KEEP
vectorExplore,9,2,3,3,3,0,3,2,2,2,2,5,3,60,KEEP
compoundEventLab,8,1,2,3,3,3,3,3,3,2,2,5,3,60,KEEP
accumulateArea,7,1,2,3,3,0,3,2,2,2,2,5,3,60,KEEP
argandExplore,7,2,2,3,3,0,3,2,3,2,2,5,3,60,KEEP
mixedRegroup,7,1,2,3,3,0,3,3,2,2,2,5,3,60,KEEP
quadDrag,7,2,3,2,3,3,3,2,3,2,2,5,3,60,KEEP
solidSliceLab,7,1,3,3,3,3,3,3,3,2,2,5,3,60,KEEP
lineExplore,6,2,2,3,3,3,3,2,3,2,2,5,3,60,KEEP
scaledCircleLab,6,2,2,3,3,3,3,3,3,2,2,5,3,60,KEEP
slopeField,6,1,2,3,3,0,3,2,2,2,2,5,3,60,KEEP
systemsExplore,6,2,2,3,3,3,3,1,3,2,2,5,3,60,POLISH
boxPlot,5,2,2,2,3,0,3,2,3,2,2,5,3,60,KEEP
circleAngleExplore,5,1,2,2,3,0,3,2,3,2,2,5,3,60,KEEP
conicLocusLab,5,1,3,3,3,3,3,3,3,2,2,5,3,60,KEEP
coordinateProofLab,5,1,3,3,3,3,3,3,3,2,2,5,3,60,KEEP
evalOrder,5,2,2,3,3,0,3,3,2,2,2,5,3,60,KEEP
sliceSum,5,1,2,3,3,0,3,2,2,2,2,5,3,60,KEEP
derivativeRuleLab,4,1,3,3,3,3,3,3,3,2,2,5,3,60,KEEP
fractionGrid,4,1,2,3,3,3,3,2,3,2,2,5,3,60,KEEP
integerChips,4,1,2,2,3,3,3,2,2,2,2,5,3,60,KEEP
matrixTransform,4,1,2,3,3,3,3,1,2,2,2,5,3,60,POLISH
polarTrace,4,1,2,3,3,0,3,2,2,2,2,5,3,60,KEEP
riemannSum,4,1,2,3,3,0,3,2,2,2,2,5,3,60,KEEP
absValueLine,3,1,1,2,3,0,3,2,3,4,1,5,3,60,REDESIGN
covariationScrubber,3,3,3,3,1,3,3,3,3,3,1,5,4,60,KEEP
fractionCompare,3,1,1,2,3,3,3,2,3,4,1,5,3,60,REDESIGN
doubleNumberLine,3,2,2,3,3,3,3,2,3,2,1,5,3,30,KEEP
lineRelationLab,3,2,3,3,3,3,3,3,3,2,1,5,3,30,KEEP
numberLineRay,3,2,2,3,3,3,3,3,3,2,1,5,3,30,KEEP
placeValue,3,2,2,2,3,0,3,2,2,2,1,5,3,30,KEEP
relatedRatesLab,3,1,3,3,3,3,3,3,3,2,1,5,3,30,KEEP
sampleSim,3,1,2,2,3,0,3,2,2,2,1,5,3,30,KEEP
taylorApprox,3,1,2,3,3,0,3,2,3,2,1,5,3,30,KEEP
extraneousRootLab,2,1,3,3,3,3,3,2,2,2,1,5,3,30,KEEP
rotationLab,2,1,3,3,3,0,3,2,3,2,1,5,3,30,KEEP
shuffleTest,2,1,2,2,3,0,3,2,2,2,1,5,3,30,KEEP
verticalLineScanner,2,2,3,3,3,3,3,3,3,2,1,5,3,30,KEEP
ciCapture,1,1,2,2,3,0,3,2,2,2,1,5,3,30,KEEP
elapsedTime,1,1,2,2,3,0,3,2,2,2,1,5,3,30,KEEP
fractionOfSet,1,1,2,2,3,0,3,2,2,2,1,5,3,30,KEEP
triangleClosureLab,1,1,3,3,3,3,3,3,3,2,1,5,3,30,KEEP
toggleExplore,0,0,1,2,1,0,3,2,2,4,1,5,1,20,DEPRECATE_CANDIDATE
radicalCheck,0,0,0,1,1,0,2,2,2,5,1,3,1,15,DEPRECATE_CANDIDATE
