lesson_id,step_id,field,include_arithmetic,pattern,detail,text
avp-01-03,k1,explanationVariants,true,WORD_TEARING,"…= −4, and th⟦e +1⟧…","x + 4 = 0 at x = −4, and the +1 outside lifts the vertex to height 1, so the vertex is (−4, 1)."
avp-01-03,k1,widget.options[].feedback,true,WORD_TEARING,"…d the outsid⟦e +1⟧…","Yes — x + 4 = 0 at x = −4, and the outside +1 raises the floor to 1."
avp-01-03,k1,widget.options[].feedback,true,WORD_TEARING,"…The outsid⟦e +1⟧…","The outside +1 lifts the V; it does not lower it."
avp-01-03,k2,widget.commonErrors[].feedback,true,WORD_TEARING,"…n the outsid⟦e −3⟧…","The bars were dropped: |5 − 2| = 3, and then the outside −3 still has to be applied."
avp-01-03,k3,widget.options[].feedback,true,WORD_TEARING,"…nored and th⟦e +2⟧…","Two errors: the flip is ignored and the +2 is read as lowering the graph."
avp-01-03,ch1,widget.commonErrors[].feedback,true,WORD_TEARING,"…the vertex a⟦t +6⟧…","The sign flip is being applied twice. The rule already reads x − h, so h = 6 puts the vertex at +6."
avp-01-03,rem-avp-v-transform-k,explanationVariants,true,WORD_TEARING,"…= −4, and th⟦e +1⟧…","x + 4 = 0 at x = −4, and the +1 outside lifts the vertex to height 1, so the vertex is (−4, 1)."
avp-01-03,rem-avp-v-transform-k,widget.options[].feedback,true,WORD_TEARING,"…d the outsid⟦e +1⟧…","Yes — x + 4 = 0 at x = −4, and the outside +1 raises the floor to 1."
avp-01-03,rem-avp-v-transform-k,widget.options[].feedback,true,WORD_TEARING,"…The outsid⟦e +1⟧…","The outside +1 lifts the V; it does not lower it."
avp-02-01,i1,widget.successFeedback,true,WORD_TEARING,"…−5: positio⟦n −5⟧…","−5: position −5, distance 5. Both −5 and 5 answer |x| = 5, which is what “two numbers share a distance” means."
avp-02-01,i1,widget.successFeedback,true,WORD_TEARING,"…tance 5. Bot⟦h −5⟧…","−5: position −5, distance 5. Both −5 and 5 answer |x| = 5, which is what “two numbers share a distance” means."
avp-02-01,k1,explanationVariants,true,WORD_TEARING,"…nside is 7 o⟦r −7⟧…","|x| = 7 means the inside is 7 or −7, giving x = 7 and x = −7."
avp-02-01,k2,widget.commonErrors[].feedback,true,WORD_TEARING,"…the center a⟦s −1⟧…","That treats the center as −1. The inside is x − 1, so the cases are x − 1 = ±4 and the negative case lands at −3."
avp-02-01,k2,widget.commonErrors[].feedback,true,WORD_TEARING,"…case lands a⟦t −3⟧…","That treats the center as −1. The inside is x − 1, so the cases are x − 1 = ±4 and the negative case lands at −3."
avp-02-01,k3,explanationVariants,true,WORD_TEARING,"… 3, not 4, s⟦o −2⟧…","|−2 − 1| = |−3| = 3, not 4, so −2 is not a solution."
avp-02-01,ch1,explanationVariants,true,WORD_TEARING,"…ons are 5 an⟦d −3⟧…","The solutions are 5 and −3, and 5 + (−3) = 2."
avp-02-01,ch1,hints,true,WORD_TEARING,"…ons are 5 an⟦d −3⟧…","The solutions are 5 and −3 — now add them."
avp-02-01,ch1,widget.fallbackFeedback,true,WORD_TEARING,"…ons are 5 an⟦d −3⟧…","The solutions are 5 and −3; their sum is 2 — exactly twice the center x = 1."
avp-02-01,ch1,widget.commonErrors[].feedback,true,WORD_TEARING,"…ons are 5 an⟦d −3⟧…","That doubles the distance instead of adding the solutions. The solutions are 5 and −3."
avp-02-01,r1,takeaways,true,WORD_TEARING,"…to expressio⟦n = k⟧…","|expression| = k splits into expression = k and expression = −k."
avp-02-01,rem-avp-abs-equations-k,explanationVariants,true,WORD_TEARING,"…nside is 7 o⟦r −7⟧…","|x| = 7 means the inside is 7 or −7, giving x = 7 and x = −7."
avp-02-02,k1,explanationVariants,true,WORD_TEARING,"…n never equa⟦l −3⟧…","|anything| ≥ 0 always, so it can never equal −3."
avp-02-02,k1,widget.options[].feedback,true,WORD_TEARING,"… treating th⟦e −3⟧…","Those come from treating the −3 as if it were 3. The equation as written asks for a negative distance."
avp-02-02,k1,widget.options[].feedback,true,WORD_TEARING,"…− 7| = 0, no⟦t −3⟧…","x = 7 makes the inside 0, so |x − 7| = 0, not −3."
avp-02-02,rem-avp-solution-count-k,explanationVariants,true,WORD_TEARING,"…n never equa⟦l −3⟧…","|anything| ≥ 0 always, so it can never equal −3."
avp-02-02,rem-avp-solution-count-k,widget.options[].feedback,true,WORD_TEARING,"… treating th⟦e −3⟧…","Those come from treating the −3 as if it were 3. The equation as written asks for a negative distance."
avp-02-02,rem-avp-solution-count-k,widget.options[].feedback,true,WORD_TEARING,"…− 7| = 0, no⟦t −3⟧…","x = 7 makes the inside 0, so |x − 7| = 0, not −3."
avp-02-03,c1,body,true,WORD_TEARING,"… origin, fro⟦m −3⟧…","|x| < 3 asks which points are CLOSER than three units to zero — a band around the origin, from −3 to 3. |x| > 3 asks the opposite: points farther out than three units, which is everything beyond −3 on the left and beyond 3 on the right. One band, or two rays."
avp-02-03,c1,body,true,WORD_TEARING,"…ything beyon⟦d −3⟧…","|x| < 3 asks which points are CLOSER than three units to zero — a band around the origin, from −3 to 3. |x| > 3 asks the opposite: points farther out than three units, which is everything beyond −3 on the left and beyond 3 on the right. One band, or two rays."
avp-02-03,i1,widget.successFeedback,true,WORD_TEARING,"…the band run⟦s −3 < x < 3⟧…","+3: the band runs −3 < x < 3, and both edges sit exactly three units from zero. The edge itself is excluded, because the inequality is strict."
avp-02-03,k3,explanationVariants,true,WORD_TEARING,"…and 7 > 4, s⟦o −7⟧…","|−7| = 7, and 7 > 4, so −7 satisfies |x| > 4."
avp-03-01,k1,widget.options[].feedback,true,WORD_TEARING,"…+ 1 = −5. Bu⟦t −3⟧…","That uses the second branch: 2(−3) + 1 = −5. But −3 does not satisfy x ≥ 0."
avp-03-01,ch1,widget.successFeedback,true,WORD_TEARING,"…p with a ≤ o⟦r ≥ o⟧…","1 — the boundary itself. Real definitions close that gap with a ≤ or ≥ on one side."
avp-03-01,rem-avp-piecewise-define-k,widget.options[].feedback,true,WORD_TEARING,"…+ 1 = −5. Bu⟦t −3⟧…","That uses the second branch: 2(−3) + 1 = −5. But −3 does not satisfy x ≥ 0."
avp-03-02,i1,widget.successFeedback,true,WORD_TEARING,"…(1, 2): th⟦e ≥ b⟧…","(1, 2): the ≥ branch owns the boundary, so the filled dot sits there and the other branch gets an open circle at (1, 4)."
avp-03-02,k1,explanationVariants,true,WORD_TEARING,"…Th⟦e ≥ b⟧…","The ≥ branch includes its endpoint, so it supplies f(1)."
avp-03-02,k3,widget.commonErrors[].feedback,true,WORD_TEARING,"…h, 2(−1). Bu⟦t −1⟧…","That is the second branch, 2(−1). But −1 satisfies x < 1, so the first branch governs."
avp-03-02,k3,widget.commonErrors[].feedback,true,WORD_TEARING,"…input here i⟦s −1⟧…","That is f evaluated at 1 on the first branch. The input here is −1: −1 + 3 = 2."
avp-03-02,rem-avp-piecewise-graph-k,explanationVariants,true,WORD_TEARING,"…Th⟦e ≥ b⟧…","The ≥ branch includes its endpoint, so it supplies f(1)."
as100-01-02,k3,widget.options[].feedback,true,WORD_TEARING,"…+ 6 = 12 the⟦n +1⟧…","6 + 6 = 12 then +1 gives 13, too big. Double the smaller, THEN add 1: 10 + 1 = 11."
as100-01-02,r1,takeaways,true,WORD_TEARING,"…Neighbor⟦s = d⟧…","Neighbors = double the smaller, add 1."
as100-01-02,r1,takeaways,true,WORD_TEARING,"…Double⟦s + n⟧…","Doubles + near doubles cover many facts."
as100-01-03,i1,widget.missFeedback,true,WORD_TEARING,"…r double. Bi⟦g + m⟧…","Same numbers → double. Neighbors → near double. Big + medium → make ten. Adding 1–3 → count on."
as100-02-01,c1,body,true,WORD_TEARING,"… ones. 3 ten⟦s + 4⟧…","Adding tens is like adding ones. 3 tens + 4 tens = 7 tens, so 30 + 40 = 70."
as100-02-01,c1,body,true,WORD_TEARING,"…tens + 4 ten⟦s = 7⟧…","Adding tens is like adding ones. 3 tens + 4 tens = 7 tens, so 30 + 40 = 70."
as100-02-01,k1,explanationVariants,true,WORD_TEARING,"…2 ten⟦s + 5⟧…","2 tens + 5 tens = 7 tens: 20 + 50 = 70."
as100-02-01,k1,explanationVariants,true,WORD_TEARING,"…tens + 5 ten⟦s = 7⟧…","2 tens + 5 tens = 7 tens: 20 + 50 = 70."
as100-02-01,k1,widget.fallbackFeedback,true,WORD_TEARING,"…2 ten⟦s + 5⟧…","2 tens + 5 tens = 7 tens = 70."
as100-02-01,k1,widget.fallbackFeedback,true,WORD_TEARING,"…tens + 5 ten⟦s = 7⟧…","2 tens + 5 tens = 7 tens = 70."
as100-02-01,k1,widget.fallbackFeedback,true,WORD_TEARING,"…tens = 7 ten⟦s = 70⟧…","2 tens + 5 tens = 7 tens = 70."
as100-02-01,k1,widget.commonErrors[].feedback,true,WORD_TEARING,"… + 5 = 7 ten⟦s = 70⟧…","That squeezed the digits together. Add the tens: 2 + 5 = 7 tens = 70."
as100-02-01,k2,explanationVariants,true,WORD_TEARING,"…4 ten⟦s + 4⟧…","4 tens + 4 tens is the double: 8 tens = 80."
as100-02-01,k2,explanationVariants,true,WORD_TEARING,"…ouble: 8 ten⟦s = 80⟧…","4 tens + 4 tens is the double: 8 tens = 80."
as100-02-01,k2,widget.fallbackFeedback,true,WORD_TEARING,"…ens is 8 ten⟦s = 80⟧…","Double 4 tens is 8 tens = 80."
as100-02-01,k3,explanationVariants,true,WORD_TEARING,"… tens: 9 ten⟦s = 90⟧…","60 + 30 adds 6 tens and 3 tens: 9 tens = 90."
as100-02-01,k3,widget.options[].feedback,true,WORD_TEARING,"…Yes — 6 ten⟦s + 3⟧…","Yes — 6 tens + 3 tens = 9 tens = 90."
as100-02-01,k3,widget.options[].feedback,true,WORD_TEARING,"…tens + 3 ten⟦s = 9⟧…","Yes — 6 tens + 3 tens = 9 tens = 90."
as100-02-01,k3,widget.options[].feedback,true,WORD_TEARING,"…tens = 9 ten⟦s = 90⟧…","Yes — 6 tens + 3 tens = 9 tens = 90."
as100-02-01,ch1,explanationVariants,true,WORD_TEARING,"…6 ten⟦s + 4⟧…","6 tens + 4 tens = 10 tens, and ten tens make 100."
as100-02-01,ch1,explanationVariants,true,WORD_TEARING,"…tens + 4 ten⟦s = 10⟧…","6 tens + 4 tens = 10 tens, and ten tens make 100."
as100-02-01,ch1,widget.fallbackFeedback,true,WORD_TEARING,"…+ 4 = 10 ten⟦s = 100⟧…","6 + 4 = 10 tens = 100."
as100-02-01,ch1,widget.commonErrors[].feedback,true,WORD_TEARING,"…igits. 6 ten⟦s + 4⟧…","That squeezed the digits. 6 tens + 4 tens = 10 tens = 100."
as100-02-01,ch1,widget.commonErrors[].feedback,true,WORD_TEARING,"…tens + 4 ten⟦s = 10⟧…","That squeezed the digits. 6 tens + 4 tens = 10 tens = 100."
as100-02-01,ch1,widget.commonErrors[].feedback,true,WORD_TEARING,"…ens = 10 ten⟦s = 100⟧…","That squeezed the digits. 6 tens + 4 tens = 10 tens = 100."
as100-02-01,r1,takeaways,true,WORD_TEARING,"…3 ten⟦s + 4⟧…","3 tens + 4 tens = 7 tens."
as100-02-01,r1,takeaways,true,WORD_TEARING,"…tens + 4 ten⟦s = 7⟧…","3 tens + 4 tens = 7 tens."
as100-02-01,rem-at-k,explanationVariants,true,WORD_TEARING,"…1 te⟦n + 2⟧…","1 ten + 2 tens = 3 tens = 30."
as100-02-01,rem-at-k,explanationVariants,true,WORD_TEARING,"… ten + 2 ten⟦s = 3⟧…","1 ten + 2 tens = 3 tens = 30."
as100-02-01,rem-at-k,explanationVariants,true,WORD_TEARING,"…tens = 3 ten⟦s = 30⟧…","1 ten + 2 tens = 3 tens = 30."
as100-02-01,rem-at-k,widget.fallbackFeedback,true,WORD_TEARING,"… + 2 = 3 ten⟦s = 30⟧…","1 + 2 = 3 tens = 30."
as100-02-01,rem-at-k,widget.commonErrors[].feedback,true,WORD_TEARING,"…gether. 1 te⟦n + 2⟧…","That squeezed 1 and 2 together. 1 ten + 2 tens = 30."
as100-02-01,rem-at-k,widget.commonErrors[].feedback,true,WORD_TEARING,"… ten + 2 ten⟦s = 30⟧…","That squeezed 1 and 2 together. 1 ten + 2 tens = 30."
as100-02-02,k1,widget.fallbackFeedback,true,WORD_TEARING,"…2 one⟦s + 6⟧…","2 ones + 6 ones = 8 ones: 58."
as100-02-02,k1,widget.fallbackFeedback,true,WORD_TEARING,"…ones + 6 one⟦s = 8⟧…","2 ones + 6 ones = 8 ones: 58."
as100-02-02,k2,widget.fallbackFeedback,true,WORD_TEARING,"…3 one⟦s + 4⟧…","3 ones + 4 ones = 7 ones: 27."
as100-02-02,k2,widget.fallbackFeedback,true,WORD_TEARING,"…ones + 4 one⟦s = 7⟧…","3 ones + 4 ones = 7 ones: 27."
as100-02-02,ch1,widget.fallbackFeedback,true,WORD_TEARING,"…1 on⟦e + 8⟧…","1 one + 8 ones = 9 ones: 79."
as100-02-02,ch1,widget.fallbackFeedback,true,WORD_TEARING,"… one + 8 one⟦s = 9⟧…","1 one + 8 ones = 9 ones: 79."
as100-02-04,i1,widget.missFeedback,true,WORD_TEARING,"…12 one⟦s = 1⟧…","12 ones = 1 rod + 2 ones. So 5+1 = 6 tens, 2 ones."
as100-02-04,i1,widget.missFeedback,true,WORD_TEARING,"… ones = 1 ro⟦d + 2⟧…","12 ones = 1 rod + 2 ones. So 5+1 = 6 tens, 2 ones."
as100-02-04,k1,hints,true,WORD_TEARING,"…5+1 ten⟦s = 6⟧…","5+1 tens = 6 tens: 62."
as100-02-04,k1,widget.fallbackFeedback,true,WORD_TEARING,"…6 tens 2 one⟦s = 62⟧…","Ones 7+5=12 → trade → 6 tens 2 ones = 62."
as100-02-04,k1,widget.commonErrors[].feedback,true,WORD_TEARING,"…6 tens 2 one⟦s = 62⟧…","That wrote the 12 next to the 5 tens. Trade ten of the 12: 6 tens 2 ones = 62."
as100-02-04,k2,hints,true,WORD_TEARING,"…7+1 ten⟦s = 8⟧…","7+1 tens = 8 tens: 84."
as100-02-04,k2,widget.fallbackFeedback,true,WORD_TEARING,"…8 tens 4 one⟦s = 84⟧…","Ones 8+6=14 → trade → 8 tens 4 ones = 84."
as100-02-04,k2,widget.commonErrors[].feedback,true,WORD_TEARING,"…8 tens 4 one⟦s = 84⟧…","That wrote 14 next to the 7 tens. Trade ten of the 14: 8 tens 4 ones = 84."
as100-02-04,k3,hints,true,WORD_TEARING,"…Ten one⟦s = o⟧…","Ten ones = one rod."
as100-02-04,ch1,hints,true,WORD_TEARING,"…3+1 ten⟦s = 4⟧…","3+1 tens = 4 tens: 46."
as100-02-04,ch1,widget.fallbackFeedback,true,WORD_TEARING,"…4 tens 6 one⟦s = 46⟧…","Ones 9+7=16 → trade → 4 tens 6 ones = 46."
as100-02-04,ch1,widget.commonErrors[].feedback,true,WORD_TEARING,"…4 tens 6 one⟦s = 46⟧…","That wrote 16 next to the 3 tens. Trade ten of the 16: 4 tens 6 ones = 46."
as100-02-04,rem-rg-k,widget.fallbackFeedback,true,WORD_TEARING,"…3 tens 2 one⟦s = 32⟧…","Ones 5+7=12 → trade → 3 tens 2 ones = 32."
as100-02-04,rem-rg-k,widget.commonErrors[].feedback,true,WORD_TEARING,"…3 tens 2 one⟦s = 32⟧…","That wrote 12 next to the 2 tens. Trade: 3 tens 2 ones = 32."
as100-03-01,c1,body,true,WORD_TEARING,"… ones. 7 ten⟦s − 3⟧…","Subtracting tens is like subtracting ones. 7 tens − 3 tens = 4 tens, so 70 − 30 = 40."
as100-03-01,c1,body,true,WORD_TEARING,"…tens − 3 ten⟦s = 4⟧…","Subtracting tens is like subtracting ones. 7 tens − 3 tens = 4 tens, so 70 − 30 = 40."
as100-03-01,k1,explanationVariants,true,WORD_TEARING,"…9 ten⟦s − 5⟧…","9 tens − 5 tens = 4 tens: 90 − 50 = 40."
as100-03-01,k1,explanationVariants,true,WORD_TEARING,"…tens − 5 ten⟦s = 4⟧…","9 tens − 5 tens = 4 tens: 90 − 50 = 40."
as100-03-01,k1,widget.fallbackFeedback,true,WORD_TEARING,"…9 ten⟦s − 5⟧…","9 tens − 5 tens = 4 tens = 40."
as100-03-01,k1,widget.fallbackFeedback,true,WORD_TEARING,"…tens − 5 ten⟦s = 4⟧…","9 tens − 5 tens = 4 tens = 40."
as100-03-01,k1,widget.fallbackFeedback,true,WORD_TEARING,"…tens = 4 ten⟦s = 40⟧…","9 tens − 5 tens = 4 tens = 40."
as100-03-01,k2,explanationVariants,true,WORD_TEARING,"…10 ten⟦s − 5⟧…","10 tens − 5 tens = 5 tens: 100 − 50 = 50."
as100-03-01,k2,explanationVariants,true,WORD_TEARING,"…tens − 5 ten⟦s = 5⟧…","10 tens − 5 tens = 5 tens: 100 − 50 = 50."
as100-03-01,k2,widget.fallbackFeedback,true,WORD_TEARING,"…10 ten⟦s − 5⟧…","10 tens − 5 tens = 5 tens = 50."
as100-03-01,k2,widget.fallbackFeedback,true,WORD_TEARING,"…tens − 5 ten⟦s = 5⟧…","10 tens − 5 tens = 5 tens = 50."
as100-03-01,k2,widget.fallbackFeedback,true,WORD_TEARING,"…tens = 5 ten⟦s = 50⟧…","10 tens − 5 tens = 5 tens = 50."
as100-03-01,k3,explanationVariants,true,WORD_TEARING,"… tens: 6 ten⟦s = 60⟧…","80 − 20 takes 2 tens from 8 tens: 6 tens = 60."
as100-03-01,k3,widget.options[].feedback,true,WORD_TEARING,"…Yes — 8 ten⟦s − 2⟧…","Yes — 8 tens − 2 tens = 6 tens = 60."
as100-03-01,k3,widget.options[].feedback,true,WORD_TEARING,"…tens − 2 ten⟦s = 6⟧…","Yes — 8 tens − 2 tens = 6 tens = 60."
as100-03-01,k3,widget.options[].feedback,true,WORD_TEARING,"…tens = 6 ten⟦s = 60⟧…","Yes — 8 tens − 2 tens = 6 tens = 60."
as100-03-01,ch1,explanationVariants,true,WORD_TEARING,"…6 ten⟦s − 4⟧…","6 tens − 4 tens = 2 tens: 60 − 40 = 20."
as100-03-01,ch1,explanationVariants,true,WORD_TEARING,"…tens − 4 ten⟦s = 2⟧…","6 tens − 4 tens = 2 tens: 60 − 40 = 20."
as100-03-01,ch1,widget.fallbackFeedback,true,WORD_TEARING,"…6 ten⟦s − 4⟧…","6 tens − 4 tens = 2 tens = 20."
as100-03-01,ch1,widget.fallbackFeedback,true,WORD_TEARING,"…tens − 4 ten⟦s = 2⟧…","6 tens − 4 tens = 2 tens = 20."
as100-03-01,ch1,widget.fallbackFeedback,true,WORD_TEARING,"…tens = 2 ten⟦s = 20⟧…","6 tens − 4 tens = 2 tens = 20."
as100-03-01,r1,takeaways,true,WORD_TEARING,"…7 ten⟦s − 3⟧…","7 tens − 3 tens = 4 tens."
as100-03-01,r1,takeaways,true,WORD_TEARING,"…tens − 3 ten⟦s = 4⟧…","7 tens − 3 tens = 4 tens."
as100-03-01,rem-st-k,explanationVariants,true,WORD_TEARING,"…3 ten⟦s − 1⟧…","3 tens − 1 ten = 2 tens = 20."
as100-03-01,rem-st-k,explanationVariants,true,WORD_TEARING,"… tens − 1 te⟦n = 2⟧…","3 tens − 1 ten = 2 tens = 20."
as100-03-01,rem-st-k,explanationVariants,true,WORD_TEARING,"… ten = 2 ten⟦s = 20⟧…","3 tens − 1 ten = 2 tens = 20."
as100-03-01,rem-st-k,widget.fallbackFeedback,true,WORD_TEARING,"… − 1 = 2 ten⟦s = 20⟧…","3 − 1 = 2 tens = 20."
as100-03-02,k1,widget.fallbackFeedback,true,WORD_TEARING,"…9 one⟦s − 6⟧…","9 ones − 6 ones = 3 ones: 73."
as100-03-02,k1,widget.fallbackFeedback,true,WORD_TEARING,"…ones − 6 one⟦s = 3⟧…","9 ones − 6 ones = 3 ones: 73."
as100-03-02,k2,widget.fallbackFeedback,true,WORD_TEARING,"…7 one⟦s − 3⟧…","7 ones − 3 ones = 4 ones: 44."
as100-03-02,k2,widget.fallbackFeedback,true,WORD_TEARING,"…ones − 3 one⟦s = 4⟧…","7 ones − 3 ones = 4 ones: 44."
as100-03-02,ch1,widget.fallbackFeedback,true,WORD_TEARING,"…5 one⟦s − 4⟧…","5 ones − 4 ones = 1 one: 61."
as100-03-02,ch1,widget.fallbackFeedback,true,WORD_TEARING,"…ones − 4 one⟦s = 1⟧…","5 ones − 4 ones = 1 one: 61."
as100-04-01,c2,body,true,WORD_TEARING,"…. A word lik⟦e *t⟧…","The order matters: do the **first thing that happens** first. A word like *then* or *after* points to step two."
as100-04-01,c2,body,true,WORD_TEARING,"…rd like *the⟦n* o⟧…","The order matters: do the **first thing that happens** first. A word like *then* or *after* points to step two."
as100-04-01,c2,body,true,WORD_TEARING,"…ike *then* o⟦r *a⟧…","The order matters: do the **first thing that happens** first. A word like *then* or *after* points to step two."
as100-04-01,c2,body,true,WORD_TEARING,"…en* or *afte⟦r* p⟧…","The order matters: do the **first thing that happens** first. A word like *then* or *after* points to step two."
as100-04-02,rem-2t-c,body,true,WORD_TEARING,"…41 − 15, the⟦n + 6⟧…","Slow down. 41 − 15, then + 6. Step 1 breaks a ten: 41 − 15 = 26. Step 2: 26 + 6 = 32."
as100-04-03,k1,explanationVariants,true,WORD_TEARING,"…15 = 25, the⟦n + 12 = 37⟧…","'Left' after giving some away is a subtraction: 40 − 15 = 25, then + 12 = 37."
as100-04-03,c2,body,true,WORD_TEARING,"…d trap: *mor⟦e* d⟧…","Beware the keyword trap: *more* does not always mean add. ""How many **more** does Sam have?"" is a compare — that's a subtraction."
as100-04-03,k3,hints,true,WORD_TEARING,"…Comparin⟦g = d⟧…","Comparing = difference."
as100-05-01,r1,takeaways,true,WORD_TEARING,"…Eve⟦n = p⟧…","Even = pairs up with none left over."
as100-05-01,r1,takeaways,true,WORD_TEARING,"…Od⟦d = o⟧…","Odd = one left over."
as100-05-02,c1,body,true,WORD_TEARING,"…s too. **eve⟦n + e⟧…","Two evens always make an even: 4 + 6 = 10. Both pair up cleanly, so their total does too. **even + even = even.**"
as100-05-02,c1,body,true,WORD_TEARING,"…**even + eve⟦n = e⟧…","Two evens always make an even: 4 + 6 = 10. Both pair up cleanly, so their total does too. **even + even = even.**"
as100-05-02,i1,widget.successFeedback,true,WORD_TEARING,"…ke every eve⟦n + e⟧…","14 — even, just like every even + even!"
as100-05-02,k1,explanationVariants,true,WORD_TEARING,"…od⟦d + o⟧…","odd + odd = even: the lonely dots find each other. 3 + 5 = 8."
as100-05-02,k1,explanationVariants,true,WORD_TEARING,"…odd + od⟦d = e⟧…","odd + odd = even: the lonely dots find each other. 3 + 5 = 8."
as100-05-02,k1,widget.fallbackFeedback,true,WORD_TEARING,"…+ 5 = 8 — od⟦d + o⟧…","3 + 5 = 8 — odd + odd = even."
