# sourceSeal=245605c — S242/ENG-01 R4. dragOrder plots numeric labels by value during active work.
# oracle = correctOrder is monotone in the plotted value, so the staircase IS the answer.
# misleading = labels parse as numbers but the correct order is not monotone in them: the plot
# draws a zigzag for the RIGHT answer. text = not all labels numeric, so no plot renders.
lesson,step,kind,verdict,items,direction,correctOrderValues,prompt
pv2-05-02,i1,interactive,oracle,4,ascending,6000 45000 45300 450000,Put these four numbers in order  least to greatest.
pv1000-03-03,i2,interactive,oracle,4,ascending,267 276 627 672,Drag the four numbers into order  least to greatest. Every one uses only the digits 2  6  
pv-01-03,i1,interactive,oracle,4,ascending,89 98 140 401,Order these from smallest to largest: 89  401  98  140.
ns-04-02,i2,interactive,oracle,4,ascending,-8 -5 -1 0,Arrange these from SMALLEST to largest: 0  -5  -1  -8.
ns-05-03,i2,interactive,oracle,4,ascending,-2 -0.5 0.75 1.5,Arrange from SMALLEST to largest: 0.75  -2  1.5  -1/2.
mult-01-03,i1,interactive,oracle,4,ascending,2 4 6 8,These numbers come from counting by 2s  but they got scrambled. Put them in counting order
mult-02-02,i2,interactive,oracle,4,descending,15 10 5 0,A squirrel hides 15 acorns  burying 5 per hole. Put the countdown in order  starting from 
mult-03-01,i2,interactive,oracle,4,ascending,2 4 8 16,Each number doubles the one before it. Put the doubling chain in order  smallest first.
mult-03-03,i2,interactive,oracle,4,ascending,3 6 12 24,3 × 8 by doubling: put the chain in order  starting from 3.
mult-05-03,i2,interactive,oracle,4,ascending,3 6 9 12,Put the 3s row in order  starting from 3 — then watch the parity rhythm it beats.
fa-02-03,i1,interactive,oracle,4,ascending,0.1 0.4444444444444444 0.625 0.9,Put these four fractions in order  least to greatest.
fr-02-03,i2,interactive,oracle,4,ascending,0.2 0.4 0.8 1,Order these landings from CLOSEST to 0 up to closest to 1.
fr-04-01,i1,interactive,oracle,4,ascending,0.2857142857142857 0.42857142857142855 0.7142857142857143 0.8571428571428571,Order these from SMALLEST to biggest — all pieces are sevenths of the same bar.
fr-04-03,i1,interactive,oracle,4,descending,0.5 0.3333333333333333 0.16666666666666666 0.125,Order these single pieces of the same bar from BIGGEST to smallest.
dpv-03-03,i2,interactive,oracle,4,ascending,0.38 0.4 0.409 0.5,Drag least to greatest: 0.4  0.38  0.409  0.5
dd-03-02,i1,interactive,oracle,4,ascending,2 4 7 9,Arrange the data 9  2  7  4 from SMALLEST to LARGEST — the required first move for any med
kc-02-03,i1,interactive,oracle,3,ascending,2 5 7,Drag the numbers into counting order  smallest first.
k100-01-01,i2,interactive,oracle,5,ascending,21 22 23 24 25,Drag these into counting order  smallest first.
k100-01-02,i2,interactive,oracle,5,ascending,28 29 30 31 32,Drag these into counting order  smallest first.
k100-01-03,i2,interactive,oracle,5,ascending,43 44 45 46 47,Drag these into counting order  smallest first.
k100-01-04,i2,interactive,oracle,5,ascending,58 59 60 61 62,Drag these into counting order  smallest first.
k100-01-05,i2,interactive,oracle,5,ascending,87 88 89 90 91,Drag these into counting order  smallest first.
k100-01-06,i2,interactive,oracle,5,ascending,96 97 98 99 100,Drag these into counting order  smallest first.
k100-02-01,i2,interactive,oracle,5,ascending,10 20 30 40 50,Drag these into counting order  smallest first.
k100-02-02,i2,interactive,oracle,5,ascending,60 70 80 90 100,Drag these into counting order  smallest first.
k100-02-03,i2,interactive,oracle,5,ascending,14 24 34 44 54,Drag these into counting order  smallest first.
k100-02-04,i2,interactive,oracle,5,ascending,30 40 50 60 70,Drag these into counting order  smallest first.
k100-02-05,i2,interactive,oracle,5,ascending,20 30 40 50 60,Drag these into counting order  smallest first.
k100-03-01,i2,interactive,oracle,5,ascending,9 10 11 12 13,Drag these into counting order  smallest first.
k100-03-02,i2,interactive,oracle,5,ascending,56 57 58 59 60,Drag these into counting order  smallest first.
k100-03-03,i2,interactive,oracle,5,ascending,46 47 48 49 50,Drag these into counting order  smallest first.
k100-03-04,i2,interactive,oracle,5,ascending,88 89 90 91 92,Drag these into counting order  smallest first.
k100-03-05,i2,interactive,oracle,5,ascending,28 29 30 31 32,Drag these into counting order  smallest first.
k100-03-06,i2,interactive,oracle,5,ascending,71 72 73 74 75,Drag these into counting order  smallest first.
k100-03-07,i2,interactive,oracle,5,ascending,14 15 16 17 18,Drag these into counting order  smallest first.
c120-01-01,i2,interactive,oracle,5,ascending,22 23 24 25 26,Drag these into counting order  smallest first.
c120-01-03,i1,interactive,oracle,5,ascending,36 37 38 39 40,Drag these into counting order  smallest first.
c120-01-03,i2,interactive,oracle,5,ascending,44 45 46 47 48,Drag these into counting order  smallest first.
c120-02-01,i2,interactive,oracle,5,ascending,31 32 33 34 35,Drag these into the order they appear across a row.
c120-02-02,i2,interactive,oracle,5,ascending,43 44 45 46 47,Drag these into the order they appear across the row.
c120-04-01,i2,interactive,oracle,4,ascending,15 25 35 45,Put this tens-count in order: it starts at 15 and jumps by ten.
c120-04-03,i2,interactive,oracle,4,ascending,90 100 110 120,Put these tens in counting order.
rns-03-03,i1,interactive,text,4,-,? 1.5 ? 1.8,Order from least to greatest.
alg1-03-03,i1,interactive,text,3,-,? ? ?,Solve C = (F − 32)·5/9 for F. Drag the undo steps into order.
sy-02-03,i3,interactive,text,4,-,? ? ? ?,DE ∥ BC in △ABC (D on AB  E on AC). Prove △ADE ~ △ABC. Order the steps.
geo-01-03,i2,interactive,text,3,-,? ? ?,Order these clubs from the LOOSEST (most members) to the STRICTEST (fewest)  as nested box
sr-04-01,i2,interactive,text,4,-,? ? ? ?,Put the shift-and-subtract derivation in order.
rr-05-02,i2,interactive,text,4,-,? ? ? ?,Put the steps in order to convert 2 kilometers into centimeters.
pv2-01-01,i1,interactive,text,4,-,? ? ? ?,Put these place-value names in order  smallest to largest.
pv2-05-02,i2,interactive,text,4,-,? ? ? ?,Ashville: 'six hundred four thousand  twelve.' Bridgeton: 604 102. Cedar Falls: 89 999. Du
pv-03-01,i2,interactive,text,4,-,? ? ? ?,Put the friendly-first jump plan for 385 + 46 in order.
pv-03-03,i2,interactive,text,4,-,? ? ? ?,Put the steps of 305 − 128 in working order.
pv-04-02,i1,interactive,text,4,-,? ? ? ?,Order the ladder from the smallest fact to the biggest.
mb-02-01,i2,interactive,text,3,-,? ? ?,Put 16's factor pairs in order  starting from the one with the SMALLEST first number.
mb-05-02,i1,interactive,text,3,-,? ? ?,A gardener plants 5 rows of 12 tomato plants. A rabbit eats 7 of them. Then she plants 2 m
mult-04-04,i1,interactive,text,4,-,? ? ? ?,Ella buys 3 packs of 4 pencils  then gives 5 pencils away. Put the solution plan in order.
md-01-02,i2,interactive,text,4,-,? ? ? ?,Order these times from EARLIEST to latest — translate the names first.
md-03-02,i2,interactive,text,4,-,? ? ? ?,Scale climbs by 10s. Order these bars from SHORTEST to tallest by real value.
mc-01-02,i2,interactive,text,4,-,? ? ? ?,Put these length units in order  smallest to largest.
les-01-01,i1,interactive,text,3,-,? ? ?,Solve 4x + 8 = 28. Drag the steps into the right order.
les-01-02,i1,interactive,text,3,-,? ? ?,Solve 5x + 2 = 3x + 10. Drag the steps into order.
les-04-01,i2,interactive,text,3,-,? ? ?,Solve y = 3x and 2x + y = 10 by substitution. Order the steps.
ft-05-02,i1,interactive,text,3,-,? ? ?,f(x) = 3x − 4 does ×3 then −4. Put the INVERSE's steps in the order they run.
dd-03-01,i2,interactive,text,3,-,? ? ?,Arrange the fair-share moves in the only order that works  top to bottom.
dd-05-03,i1,interactive,text,4,-,? ? ? ?,Arrange the full data-detective workflow  first step on top.
c120-05-03,i1,interactive,text,3,-,? ? ?,From 34: do ten more  then one more. Drag the steps in order.
cp-03-03,i2,interactive,text,4,-,? ? ? ?,Put the perpendicular-bisector proof in logical order.
cp-04-02,i3,interactive,text,4,-,? ? ? ?,Given M is the midpoint of AB  order the proof that AM = ½AB.
cp-04-03,i2,interactive,text,4,-,? ? ? ?,Two lines cross  forming ∠1 and ∠3 vertical  with ∠2 adjacent to each. Order the proof tha
cp-05-02,i1,interactive,text,4,-,? ? ? ?,Lines ℓ ∥ m are cut by transversal t. Prove ∠3 (alt. interior) = ∠1. Order the proof.
cp-05-02,i2,interactive,text,4,-,? ? ? ?,Lines ℓ ∥ m cut by transversal t. Prove co-interior angles ∠3 and ∠4 sum to 180°. Order th
as100-04-03,i2,interactive,text,3,-,? ? ?,23 apples  buy 40  then use 18 for pie. Drag the steps in order.
