lesson,grade,step,fk_grade,gap,meta_term,prompt
pv2-01-01,4,ch1,11.6,7.6,,"Climbing the ladder from ones all the way to millions (ones → tens → hundreds → thousands → ten-thousands → hundred-thousands → millions), how many ×10 rungs do you climb"
kgb-02-05,0,ch1,7.6,7.6,,Which solid rolls most easily because its surface is curved all the way around?
fa-05-02,4,i1,11.5,7.5,,"Build the shortcut for 6 × (1/4): whole × numerator, over the denominator."
kgb-01-01,0,k1,7.4,7.4,,What is the opposite position of “above”?
kgb-01-02,0,k2,7.4,7.4,,What is the opposite position of “behind”?
kgb-01-03,0,k2,7.4,7.4,,What is the opposite position of “inside”?
smg1-01-02,1,ch1,8.2,7.2,,How many curved surfaces does a cylinder have?
la-02-02,4,i1,11.1,7.1,,"Rotate the active blue line until it is perpendicular to the dark line, then translate it and confirm the 90° crossing survives."
mc-01-02,4,k3,11.0,7.0,,"2 kilometers = how many centimeters? Two crossings, through meters."
kcm-03-03,0,k1,6.7,6.7,,"Drag the numbers into counting order, smallest first."
kcm-03-03,0,k3,6.7,6.7,,"Drag the numbers into counting order, smallest first."
kcm-03-04,0,k2,6.7,6.7,,"Drag the numbers into counting order, smallest first."
kc-02-03,0,i1,6.7,6.7,,"Drag the numbers into counting order, smallest first."
fa-03-03,4,i2,10.7,6.7,,Sort each sum by comparing its numerator to its denominator.
mc-02-02,4,i1,10.7,6.7,,Match each rectangle's dimensions to its perimeter.
g4m-02-01,4,k1,10.7,6.7,,"Before computing 38 × 52, which estimate is most useful?"
g4m-02-01,4,k3,10.7,6.7,,"Before computing 38 × 52, which estimate is most useful?"
kcw-01-01,0,i1,6.7,6.7,,Show what the numeral 3 promises — build its amount.
kcw-01-01,0,i2,6.7,6.7,,Show what the numeral 3 promises — build its amount.
g3w-02-04,3,k1,9.7,6.7,,"Before computing 7 × 48 − 96, what is the most useful estimate?"
g3w-02-04,3,k3,9.7,6.7,,"Before computing 7 × 48 − 96, what is the most useful estimate?"
g3w-03-02,3,ch1,9.7,6.7,,"Before computing 7 × 48 − 96, what is the most useful estimate?"
fr-03-03,3,k1,9.6,6.6,,Which fraction equals exactly 3?
mult-02-04,3,i1,9.6,6.6,,Match each multiplication to a division from its own family.
kcw-02-05,0,k2,6.6,6.6,,Which pair makes exactly 10?
knb-02-04,0,k2,6.6,6.6,,Which pair makes exactly 10?
knb-03-04,0,k2,6.6,6.6,,Which pair makes exactly 10?
kc-02-03,0,k1,6.4,6.4,,"Drag into counting order, smallest first."
kc-02-03,0,k3,6.4,6.4,,"Drag into counting order, smallest first."
g2g-03-01,2,k2,8.4,6.4,,18 + 13 = ? (Tuesday's and Wednesday's counts put together)
kcw-01-01,0,k1,6.4,6.4,,"What is a written numeral, really?"
smg1-03-01,1,i1,7.4,6.4,,"Measure the pencil. Align zero, use one-paperclip units, and cover it with five units exactly."
knb-01-01,0,k2,6.4,6.4,,What does the numeral 14 secretly say?
knb-01-04,0,k2,6.4,6.4,,What does the numeral 14 secretly say?
k100-02-03,0,k1,6.3,6.3,,"On the hundred chart, what number sits directly BELOW 23?"
k100-02-03,0,k2,6.3,6.3,,"On the hundred chart, what number sits directly BELOW 45?"
k100-02-03,0,ch1,6.3,6.3,,"On the hundred chart, what number sits directly BELOW 67?"
k100-03-05,0,k2,6.3,6.3,,"On the hundred chart, what number sits directly BELOW 52?"
k100-03-06,0,k3,6.3,6.3,,"On the hundred chart, what number sits directly BELOW 38?"
g1e-01-04,1,k1,7.2,6.2,,15 = 2 + __. Which number completes the true equation?
g1e-01-04,1,k2,7.2,6.2,,9 = 2 + __. Which number completes the true equation?
g1e-01-04,1,k3,7.2,6.2,,13 = 10 + __. Which number completes the true equation?
g1e-03-03,1,k2,7.2,6.2,,Which choice is an equation rather than only an expression?
fr-01-04,3,i1,9.1,6.1,,Whose job is it — the numerator (top) or the denominator (bottom)?
fr-04-04,3,i1,9.1,6.1,,"Sort each matchup: fair comparison, or meaningless?"
mult-05-02,3,i1,9.1,6.1,,Tap every SQUARE number — a number that is something times itself.
geo-01-02,3,i1,9.1,6.1,,"Build a square from attributes: four sides, four right angles, four equal sides, and two parallel pairs."
g4v-01-01,4,k2,10.0,6.0,,"A route measures 2 kilometers, and each kilometer is 1000 meters. Compute 2 × 1000."
g4v-01-01,4,ch1,10.0,6.0,,"A route measures 9 kilometers, and each kilometer is 1000 meters. Compute 9 × 1000."
g4v-01-02,4,k2,10.0,6.0,,"A route measures 9 kilometers, and each kilometer is 1000 meters. Compute 9 × 1000."
g4v-01-02,4,k3,10.0,6.0,,"A trail measures 700 centimeters, and each meter is 100 centimeters. Compute 700 ÷ 100."
g4v-01-02,4,ch1,10.0,6.0,,"A route measures 5 kilometers, and each kilometer is 1000 meters. Compute 5 × 1000."
g4v-01-03,4,k1,10.0,6.0,,"A route measures 7 kilometers, and each kilometer is 1000 meters. Compute 7 × 1000."
g4v-01-03,4,k2,10.0,6.0,,"A trail measures 700 centimeters, and each meter is 100 centimeters. Compute 700 ÷ 100."
g4v-01-03,4,ch1,10.0,6.0,,"A trail measures 600 centimeters, and each meter is 100 centimeters. Compute 600 ÷ 100."
g4v-02-01,4,k2,10.0,6.0,,"A jug measures 7000 milliliters, and each liter is 1000 milliliters. Compute 7000 ÷ 1000."
g4v-02-03,4,ch1,10.0,6.0,,"A trail measures 500 centimeters, and each meter is 100 centimeters. Compute 500 ÷ 100."
g4s-02-03,4,i1,10.0,6.0,,7 × 68 − 90 — slide to estimate before computing.
g4s-02-03,4,i2,10.0,6.0,,7 × 68 − 90 — slide to estimate before computing.
kgb-01-01,0,k2,6.0,6.0,,What do position words like ABOVE and BESIDE always need?
khm-01-05,0,k2,5.9,5.9,,The stickers are scattered everywhere. What is the best counting plan?
khm-02-05,0,k1,5.9,5.9,,The stickers are scattered everywhere. What is the best counting plan?
kmd-03-03,0,k3,5.9,5.9,,"After sorting shapes into groups, what does counting each group add?"
kmd-03-04,0,ch1,5.9,5.9,,"After sorting shapes into groups, what does counting each group add?"
kcw-01-03,0,k1,5.9,5.9,,"A numeral written backwards, like a flipped 3 — what is the risk?"
ssg2-01-03,2,i1,7.9,5.9,,Build a pentagon. Use the side control first; other attributes can vary without changing the family name.
khm-02-02,0,i1,5.8,5.8,,You counted 6 shells. Show the answer again — without recounting.
khm-02-02,0,i2,5.8,5.8,,You counted 6 shells. Show the answer again — without recounting.
kmd-01-01,0,k3,5.8,5.8,,"Which question does a seesaw answer, and which does a ruler answer?"
kmd-01-04,0,ch1,5.8,5.8,,"Which question does a seesaw answer, and which does a ruler answer?"
md-05-03,3,i2,8.8,5.8,,"Sort each statement about area and perimeter: always true, or a myth?"
kcw-03-04,0,k1,5.8,5.8,,"Numeral 4, the word “four”, and a picture of 4 dots — how are they related?"
pv2-02-02,4,i2,9.8,5.8,,"Sort each number: does its reading SKIP a silent zero digit, or does every digit speak normally?"
g1a-03-04,1,i1,6.7,5.7,,Check a chosen strategy against the actual hop.
g1a-03-04,1,i2,6.7,5.7,,Check a chosen strategy against the actual hop.
k100-01-01,0,i2,5.7,5.7,,"Drag these into counting order, smallest first."
k100-01-02,0,i2,5.7,5.7,,"Drag these into counting order, smallest first."
k100-01-03,0,i2,5.7,5.7,,"Drag these into counting order, smallest first."
k100-01-04,0,i2,5.7,5.7,,"Drag these into counting order, smallest first."
k100-01-05,0,i2,5.7,5.7,,"Drag these into counting order, smallest first."
k100-01-06,0,i2,5.7,5.7,,"Drag these into counting order, smallest first."
k100-02-01,0,i2,5.7,5.7,,"Drag these into counting order, smallest first."
k100-02-02,0,i2,5.7,5.7,,"Drag these into counting order, smallest first."
k100-02-03,0,i2,5.7,5.7,,"Drag these into counting order, smallest first."
k100-02-04,0,i2,5.7,5.7,,"Drag these into counting order, smallest first."
k100-02-05,0,i2,5.7,5.7,,"Drag these into counting order, smallest first."
k100-03-01,0,i2,5.7,5.7,,"Drag these into counting order, smallest first."
k100-03-02,0,i2,5.7,5.7,,"Drag these into counting order, smallest first."
k100-03-03,0,i2,5.7,5.7,,"Drag these into counting order, smallest first."
k100-03-04,0,i2,5.7,5.7,,"Drag these into counting order, smallest first."
k100-03-05,0,i2,5.7,5.7,,"Drag these into counting order, smallest first."
k100-03-06,0,i2,5.7,5.7,,"Drag these into counting order, smallest first."
k100-03-07,0,i2,5.7,5.7,,"Drag these into counting order, smallest first."
kmd-01-04,0,i1,5.7,5.7,,The frame already has 2 red buttons. Add 3 blue buttons so it shows 5 buttons altogether.
kmd-01-04,0,i2,5.7,5.7,,The frame already has 2 red buttons. Add 3 blue buttons so it shows 5 buttons altogether.
kmd-01-04,0,k2,5.7,5.7,,The frame already has 3 red buttons. Add 4 blue buttons so it shows 7 buttons altogether.
kmd-03-03,0,i1,5.7,5.7,,The frame already has 3 red buttons. Add 4 blue buttons so it shows 7 buttons altogether.
kmd-03-03,0,k1,5.7,5.7,,The frame already has 3 red buttons. Add 3 blue buttons so it shows 6 buttons altogether.
kmd-03-03,0,i2,5.7,5.7,,The frame already has 3 red buttons. Add 4 blue buttons so it shows 7 buttons altogether.
kmd-03-03,0,ch1,5.7,5.7,,The frame already has 2 red buttons. Add 5 blue buttons so it shows 7 buttons altogether.
pv2-03-03,4,k2,9.7,5.7,,"Using front-end estimation, what is 68,412 + 21,955 estimated as?"
smg1-01-03,1,k2,6.7,5.7,,How many edges does a rectangular prism have?
g2b-01-05,2,i1,7.6,5.6,,"Build 523 standard — imagine it arrived as 4 flats, 11 rods, 13 cubes."
g2b-01-05,2,i2,7.6,5.6,,"Build 523 standard — imagine it arrived as 4 flats, 11 rods, 13 cubes."
c120-03-02,1,k3,6.6,5.6,,Which numeral is 'fourteen'?
g2p-03-01,2,i1,7.6,5.6,,"The story's two bars, aligned: which quantity is longer?"
g2p-03-01,2,i2,7.6,5.6,,"The story's two bars, aligned: which quantity is longer?"
g4v-01-03,4,k3,9.6,5.6,,"Converting 5 kilograms into grams, do you multiply or divide by 1,000?"
g4v-01-04,4,k2,9.6,5.6,,"Converting 5 kilograms into grams, do you multiply or divide by 1,000?"
g4v-02-02,4,k3,9.6,5.6,,"Converting 5 kilograms into grams, do you multiply or divide by 1,000?"
fa-04-01,4,i2,9.5,5.5,,"Sort each improper fraction: does it convert to an EXACT whole number, or a true mixed number with a fraction part?"
pv2-05-02,4,ch1,9.5,5.5,,"A fifth town, Elmsworth, has a population of 'six hundred four thousand fifty.' Ordering all five towns (Ashville, Bridgeton, Cedar Falls, Dunmore, Elmsworth) from least "
c120-04-02,1,k2,6.4,5.4,,How many leftover ONES are in 85?
g2g-02-02,2,k1,7.4,5.4,,The picture graph shows 5 stickers pictures for Wednesday. Each picture equals 1 sticker. How many stickers on Wednesday?
md-02-02,3,k1,8.4,5.4,,Which measurement is given in LITERS?
pv-02-02,3,k1,8.4,5.4,,Rounding 368 to the nearest hundred — which digit decides the answer?
geo-01-01,3,i2,8.4,5.4,,"Tap every shape that follows the triangle rules (3 straight sides, closed) — ignore color and size."
geo-01-02,3,k3,8.4,5.4,,"Which of these is a quadrilateral: a rectangle, a rhombus, a trapezoid, or a square?"
fa-01-02,4,k3,9.3,5.3,,2/6 was made by slicing every piece of a smaller fraction into 2 pieces each. What was the ORIGINAL fraction's numerator (before slicing)?
kcm-02-03,0,ch1,5.2,5.2,,Which number comes between 5 and 7?
kcm-02-04,0,k2,5.2,5.2,,What number comes right after 17?
kcm-02-04,0,ch1,5.2,5.2,,Which number comes between 7 and 9?
kcm-03-01,0,k2,5.2,5.2,,What number comes right after 5?
kcm-03-01,0,ch1,5.2,5.2,,Which number comes between 2 and 4?
kcm-03-03,0,k2,5.2,5.2,,What number comes right after 16?
kcm-03-03,0,ch1,5.2,5.2,,Which number comes between 6 and 8?
k100-01-02,0,k2,5.2,5.2,,What number comes right after 39?
k100-01-06,0,k3,5.2,5.2,,What number comes right after 99?
kc-01-03,0,k1,5.2,5.2,,What number comes right after 6?
kc-01-03,0,k3,5.2,5.2,,Which number comes right after 8?
kc-02-03,0,k2,5.2,5.2,,Which number comes between 7 and 9?
kc-02-03,0,ch1,5.2,5.2,,"Drag ALL FOUR into counting order, smallest first."
kc-03-02,0,k1,5.2,5.2,,What number comes right after 19?
g2g-03-02,2,i1,7.2,5.2,,A compare question begins with a careful read: Thursday's bar.
g2g-03-02,2,i2,7.2,5.2,,A compare question begins with a careful read: Thursday's bar.
khm-01-03,0,k2,5.2,5.2,,Which number comes between 3 and 5?
khm-03-01,0,k1,5.2,5.2,,What number comes right after 14?
khm-03-01,0,k3,5.2,5.2,,What number comes right after 13?
khm-03-01,0,ch1,5.2,5.2,,Which number comes between 5 and 7?
khm-03-02,0,k2,5.2,5.2,,What number comes right after 15?
khm-03-02,0,ch1,5.2,5.2,,What number comes right after 15?
kcw-01-04,0,k1,5.2,5.2,,What does the numeral 0 promise?
kcw-02-05,0,k1,5.2,5.2,,What does the numeral 20 report?
pv2-04-03,4,i2,9.2,5.2,,Match each minuend to how many zeros its borrow chain must pass through (when borrowing into the rightmost digit).
pv-04-01,3,i1,8.2,5.2,,"Build the tens version of 4 × 60, finished answer included."
ks-01-02,0,k3,5.2,5.2,,What decides a shape's name?
kgb-01-03,0,ch1,5.2,5.2,,What is the opposite position of “left of”?
ssg2-02-01,2,k1,7.2,5.2,,A rectangle is partitioned into 2 rows and 5 columns of unit squares. How many unit squares in all?
ssg2-02-01,2,i2,7.2,5.2,,A rectangle is partitioned into 4 rows and 4 columns of unit squares. How many unit squares in all?
ssg2-02-01,2,i3,7.2,5.2,,A rectangle is partitioned into 1 rows and 6 columns of unit squares. How many unit squares in all?
ssg2-02-01,2,k2,7.2,5.2,,A rectangle is partitioned into 3 rows and 5 columns of unit squares. How many unit squares in all?
ssg2-02-01,2,k3,7.2,5.2,,A rectangle is partitioned into 5 rows and 2 columns of unit squares. How many unit squares in all?
ssg2-02-01,2,ch1,7.2,5.2,,A rectangle is partitioned into 6 rows and 4 columns of unit squares. How many unit squares in all?
ssg2-02-02,2,i1,7.2,5.2,,A rectangle is partitioned into 5 rows and 5 columns of unit squares. How many unit squares in all?
ssg2-02-02,2,k1,7.2,5.2,,A rectangle is partitioned into 7 rows and 2 columns of unit squares. How many unit squares in all?
ssg2-02-02,2,i2,7.2,5.2,,A rectangle is partitioned into 2 rows and 7 columns of unit squares. How many unit squares in all?
ssg2-02-02,2,i3,7.2,5.2,,A rectangle is partitioned into 6 rows and 6 columns of unit squares. How many unit squares in all?
ssg2-02-02,2,k2,7.2,5.2,,A rectangle is partitioned into 3 rows and 7 columns of unit squares. How many unit squares in all?
ssg2-02-02,2,k3,7.2,5.2,,A rectangle is partitioned into 8 rows and 3 columns of unit squares. How many unit squares in all?
ssg2-02-02,2,ch1,7.2,5.2,,A rectangle is partitioned into 7 rows and 7 columns of unit squares. How many unit squares in all?
ssg2-02-03,2,i1,7.2,5.2,,A rectangle is partitioned into 4 rows and 6 columns of unit squares. How many unit squares in all?
ssg2-02-03,2,k1,7.2,5.2,,A rectangle is partitioned into 3 rows and 3 columns of unit squares. How many unit squares in all?
ssg2-02-03,2,i2,7.2,5.2,,A rectangle is partitioned into 8 rows and 8 columns of unit squares. How many unit squares in all?
ssg2-02-03,2,i3,7.2,5.2,,A rectangle is partitioned into 4 rows and 5 columns of unit squares. How many unit squares in all?
ssg2-02-03,2,k2,7.2,5.2,,A rectangle is partitioned into 5 rows and 4 columns of unit squares. How many unit squares in all?
ssg2-02-03,2,k3,7.2,5.2,,A rectangle is partitioned into 6 rows and 3 columns of unit squares. How many unit squares in all?
ssg2-02-03,2,ch1,7.2,5.2,,A rectangle is partitioned into 9 rows and 4 columns of unit squares. How many unit squares in all?
knb-02-01,0,ch1,5.2,5.2,,What number comes right after 17?
knb-03-02,0,ch1,5.2,5.2,,What number comes right after 17?
g4x-03-04,4,k1,9.1,5.1,,"Roughly how big is 7 × 5/6, without computing exactly?"
g4x-03-04,4,k3,9.1,5.1,,"Roughly how big is 7 × 5/6, without computing exactly?"
fa-03-02,4,i2,9.1,5.1,,"Sort each answer: is it a CORRECT difference, or does it fall into the denominator trap?"
la-02-02,4,i2,9.1,5.1,,"Sort each example: perpendicular, or just crossing?"
mb-02-01,4,i1,9.1,5.1,,Tap every rectangle that uses EXACTLY 12 tiles with none left over.
mb-02-03,4,i2,9.1,5.1,,"Tap every PRIME number (only a 1×n rectangle, exactly two factors)."
kcm-01-03,0,k2,5.0,5.0,,When can your eyes alone compare two groups safely?
kcm-02-02,0,k1,5.0,5.0,,When can your eyes alone compare two groups safely?
g2g-01-01,2,i1,7.0,5.0,,Measure this ribbon of the group with one-unit blocks: align its start and tile it exactly.
g2g-01-01,2,i2,7.0,5.0,,Measure this ribbon of the group with one-unit blocks: align its start and tile it exactly.
g2p-01-03,2,i1,7.0,5.0,,"Measure the ribbon with one-unit blocks: align its start, place four with no gaps or overlaps."
g2p-01-03,2,i2,7.0,5.0,,"Measure the ribbon with one-unit blocks: align its start, place four with no gaps or overlaps."
kgb-01-02,0,k1,5.0,5.0,,What is the opposite position of “in front of”?
kgb-01-05,0,k1,5.0,5.0,,A triangle — how many sides and how many corners?
kgb-01-05,0,ch1,5.0,5.0,,A square — how many sides and how many corners?
kgb-02-01,0,ch1,5.0,5.0,,A triangle — how many sides and how many corners?
kgb-02-03,0,k1,5.0,5.0,,A square — how many sides and how many corners?
kgb-02-04,0,k1,5.0,5.0,,A triangle — how many sides and how many corners?
kgb-02-04,0,ch1,5.0,5.0,,A square — how many sides and how many corners?
kgb-02-05,0,k1,5.0,5.0,,What separates a FLAT shape from a SOLID shape?
kgb-02-05,0,k2,5.0,5.0,,Why can cans be stacked into a steady tower?
kgb-03-02,0,ch1,5.0,5.0,,A triangle — how many sides and how many corners?
knb-01-02,0,k2,5.0,5.0,,Why build the ten BEFORE adding the extra ones?
g2g-02-02,2,ch1,6.9,4.9,,Tuesday has 5 votes and Wednesday has 9 votes. How many more votes on Wednesday?
g2g-02-04,2,k2,6.9,4.9,,Tuesday has 3 votes and Wednesday has 7 votes. How many more votes on Wednesday?
g2g-03-02,2,k1,6.9,4.9,,Tuesday has 3 votes and Wednesday has 8 votes. How many more votes on Wednesday?
mult-03-01,3,k3,7.9,4.9,,Rico reads 9 pages every morning and 9 pages every evening. How many pages does he read each day?
g4s-01-02,4,i1,8.9,4.9,,"6 boxes of 9 pencils, 14 given away, 20 bought — estimate what remains."
g4s-01-02,4,i2,8.9,4.9,,"6 boxes of 9 pencils, 14 given away, 20 bought — estimate what remains."
kc-04-03,0,k2,4.8,4.8,,6 cherries shared EQUALLY between two bowls. How many in each bowl?
dgr1-02-02,1,ch1,5.8,4.8,,"Votes: Grapes 5, Melon 4, Kiwi 2. How many votes in all?"
fa-04-03,4,i2,8.8,4.8,,"Sort each operation: does it need regrouping (carrying or borrowing), or not?"
md-04-01,3,i2,7.8,4.8,,"Sort each cover: does it measure area honestly (no gaps, no overlaps)?"
kcw-02-01,0,i1,4.8,4.8,,"Count the group of 9, then show the amount your numeral must record."
kcw-02-01,0,i2,4.8,4.8,,"Count the group of 9, then show the amount your numeral must record."
kgb-02-01,0,i1,4.8,4.8,,"Measure the rectangle's long side. Align zero with its start, then place 5 one-unit blocks with no gaps or overlaps."
kgb-02-01,0,i2,4.8,4.8,,"Measure the rectangle's long side. Align zero with its start, then place 5 one-unit blocks with no gaps or overlaps."
geo-01-01,3,i1,7.8,4.8,,Sort each feature of a triangle: is it an entry RULE (defining) or just a COSTUME (non-defining)?
g1s-03-03,1,k3,5.7,4.7,,How can a hexagon be taken apart?
c120-01-01,1,i2,5.7,4.7,,"Drag these into counting order, smallest first."
c120-01-03,1,i1,5.7,4.7,,"Drag these into counting order, smallest first."
c120-01-03,1,i2,5.7,4.7,,"Drag these into counting order, smallest first."
c120-04-03,1,k3,5.7,4.7,,"Counting by ones, what comes right after 100?"
g2g-02-01,2,i1,6.7,4.7,,"Build the picture graph: Monday 4 finds, Tuesday 6, Wednesday 3."
g2g-02-01,2,i2,6.7,4.7,,"Build the picture graph: Monday 4 finds, Tuesday 6, Wednesday 3."
fa-01-03,4,k3,8.7,4.7,,Simplify 15/20 to lowest terms. What is the denominator (bottom) of the simplified fraction?
pv2-04-03,4,k3,8.7,4.7,,"When a borrow chain reaches past two zero digits to find a nonzero one, what happens to those two zeros?"
ssg2-01-02,2,k3,6.7,4.7,,How many vertices does a square pyramid have?
df3-03-04,3,i2,7.6,4.6,,Build an array showing 56 apples split evenly into 8 bags.
md-02-03,3,i1,7.6,4.6,,Connect each story phrase to the operation it signals.
mult-04-03,3,i1,7.6,4.6,,"Turn a story into an equation with a letter, then catch the letter's number."
pv-02-03,3,i2,7.6,4.6,,"Sort each number: is it exactly halfway (rule needed), or does it have a closer neighbor?"
geo-01-03,3,i2,7.6,4.6,,"Order these clubs from the LOOSEST (most members) to the STRICTEST (fewest), as nested boxes."
k100-02-01,0,k2,4.5,4.5,,Counting by tens — what comes after 30?
k100-02-02,0,k2,4.5,4.5,,Counting by tens — what comes after 80?
k100-02-02,0,k3,4.5,4.5,,Counting by tens — what comes after 90?
k100-02-04,0,k1,4.5,4.5,,Counting by tens — what comes after 30?
k100-02-04,0,k3,4.5,4.5,,Counting by tens — what comes after 80?
k100-02-04,0,ch1,4.5,4.5,,Counting by tens — what comes after 60?
k100-02-05,0,k3,4.5,4.5,,Counting by tens — what comes after 20?
fa-01-02,4,i1,8.5,4.5,,Build a fraction equal to 2/3 that uses NINE pieces in the whole (denominator 9).
fa-03-01,4,k1,8.5,4.5,,2/11 + 5/11 = 7/?. What is the denominator?
fa-03-01,4,k3,8.5,4.5,,6/13 + 5/13 = 11/?. What is the denominator?
fa-03-02,4,k1,8.5,4.5,,7/9 − 2/9 = 5/?. What is the denominator?
mc-05-03,4,ch1,8.5,4.5,,"Using the button-width plot (1/4×2, 3/8×1, 1/2×3, 5/8×1, 3/4×1): how many MORE buttons measured at least 1/2 inch than measured less than 1/2 inch?"
ks-01-03,0,k2,4.5,4.5,,What is the OPPOSITE of above?
ks-02-02,0,i1,4.5,4.5,,Tap every solid that can ROLL.
knb-02-04,0,k1,4.5,4.5,,Which equation tells the truth about 15?
dgr1-01-01,1,ch1,5.4,4.4,,A class wants to collect data about favorite colors. Which is a good survey question?
g2g-03-01,2,k1,6.4,4.4,,20 + 19 = ? (Thursday's and Friday's counts put together)
g2g-03-01,2,ch1,6.4,4.4,,29 + 33 = ? (Thursday's and Friday's counts put together)
g2g-03-02,2,k3,6.4,4.4,,36 + 22 = ? (Thursday's and Friday's counts put together)
fa-02-02,4,i2,8.4,4.4,,"Sort each pair: does the halfway stepping stone settle the comparison, or do you need another method?"
la-02-01,4,ch1,8.4,4.4,,"A parking lot has painted lines dividing it into equal-width spaces, each line staying the same distance from its neighbors along its whole length. Are neighboring lines "
la-02-03,4,k2,8.4,4.4,,A tic-tac-toe grid has 2 horizontal lines and 2 vertical lines. How many perpendicular crossing PAIRS are there in total?
la-04-03,4,ch1,8.4,4.4,,"A road sign is shaped like an equilateral triangle, with all three angles measuring 60° (which you learned classifies it as an acute triangle). How many lines of symmetry"
mc-01-03,4,i1,8.4,4.4,,Match each amount to its equivalent in a different unit.
mc-05-01,4,k2,8.4,4.4,,"A measurement reads 4/8 inch. Simplified to lowest terms, what is the denominator?"
g1m-02-01,1,k1,5.4,4.4,,Exactly 9 same-size cubes cover a ribbon with no gaps and no overlaps. How long is the ribbon in cubes?
g1m-02-01,1,k3,5.4,4.4,,Exactly 8 same-size cubes cover a ribbon with no gaps and no overlaps. How long is the ribbon in cubes?
g1m-02-02,1,k2,5.4,4.4,,Exactly 5 same-size cubes cover a ribbon with no gaps and no overlaps. How long is the ribbon in cubes?
g1m-02-03,1,k1,5.4,4.4,,Exactly 6 same-size cubes cover a ribbon with no gaps and no overlaps. How long is the ribbon in cubes?
g1m-02-03,1,k2,5.4,4.4,,Exactly 9 same-size cubes cover a ribbon with no gaps and no overlaps. How long is the ribbon in cubes?
g1m-03-01,1,k1,5.4,4.4,,Exactly 9 same-size cubes cover a ribbon with no gaps and no overlaps. How long is the ribbon in cubes?
g1m-03-02,1,k2,5.4,4.4,,Exactly 7 same-size cubes cover a ribbon with no gaps and no overlaps. How long is the ribbon in cubes?
g1m-03-03,1,k3,5.4,4.4,,Exactly 8 same-size cubes cover a ribbon with no gaps and no overlaps. How long is the ribbon in cubes?
g4m-01-01,4,k2,8.4,4.4,,Why does knowing 3 × 4 = 12 immediately give you 30 × 4 = 120?
g4m-03-01,4,k2,8.4,4.4,,"Before computing 3,612 ÷ 6, which estimate helps most?"
g4m-03-04,4,k1,8.4,4.4,,"Before computing 3,612 ÷ 6, which estimate helps most?"
g4m-03-04,4,k3,8.4,4.4,,"Before computing 3,612 ÷ 6, which estimate helps most?"
g4s-02-01,4,k3,8.4,4.4,,74 hikers ride buses holding 9. The division gives 8 remainder 2. How many buses?
pv1000-03-01,2,k3,6.4,4.4,,"What number is ""six hundred nineteen""?"
g2b-01-01,2,k3,6.3,4.3,,"Before computing 367 + 173, about how big should the answer be?"
g2b-01-02,2,k3,6.3,4.3,,"Before computing 382 + 234, about how big should the answer be?"
g2b-02-01,2,k3,6.3,4.3,,"Before computing 477 + 244, about how big should the answer be?"
g2b-03-05,2,k3,6.3,4.3,,"Before computing 273 + 242, about how big should the answer be?"
