severity,lesson,step,widget,file,phrase,prompt
REFERS_TO_ABSENT_FIGURE,exp-04-01,i3,numeric,content/courses/exponential-functions/lessons/exp-04-01.json,The graph,The graph of f(x) = 7 * 2^x has what y-intercept?
REFERS_TO_ABSENT_FIGURE,exp-04-01,k2,mcq,content/courses/exponential-functions/lessons/exp-04-01.json,the graph,Which describes the graph of f(x) = 6 * (1/2)^x?
REFERS_TO_ABSENT_FIGURE,exp-04-01,ch1,exactNumberLab,content/courses/exponential-functions/lessons/exp-04-01.json,The graph,The graph of f(x) = 4 * 5^x crosses the y-axis at what value?
REFERS_TO_ABSENT_FIGURE,ee-05-02,k2,buildExpression,content/courses/expressions-equations/lessons/ee-05-02.json,this graph,A number line shows a CLOSED circle at 4 with the arrow pointing RIGHT. Which inequality does this graph?
REFERS_TO_ABSENT_FIGURE,ee-05-02,k3,mcq,content/courses/expressions-equations/lessons/ee-05-02.json,The graph,"The graph shows x < 0 (open circle at 0, arrow left). Does x = -3 satisfy it?"
REFERS_TO_ABSENT_FIGURE,ee-05-02,ch1,mcq,content/courses/expressions-equations/lessons/ee-05-02.json,the graph,"A cooler holds ""at most 8"" drinks: w ≤ 8. On the graph (closed circle at 8, arrow left), does w = 8 itself satisfy the inequality?"
REFERS_TO_ABSENT_FIGURE,g5f-02-02,k2,mcq,content/courses/fraction-division-g5/lessons/g5f-02-02.json,the picture,"To model 3 ÷ 1/4, what does the picture show?"
REFERS_TO_ABSENT_FIGURE,g5f-02-03,k1,mcq,content/courses/fraction-division-g5/lessons/g5f-02-03.json,the picture,"To model 3 ÷ 1/4, what does the picture show?"
REFERS_TO_ABSENT_FIGURE,g5f-02-03,ch1,mcq,content/courses/fraction-division-g5/lessons/g5f-02-03.json,the picture,"To model 3 ÷ 1/4, what does the picture show?"
REFERS_TO_ABSENT_FIGURE,fna-01-02,k2,mcq,content/courses/function-analysis/lessons/fna-01-02.json,the picture,A secant through two points on a curve is perfectly horizontal. What does that say about the function on that interval?
REFERS_TO_ABSENT_FIGURE,fna-03-01,k3,mcq,content/courses/function-analysis/lessons/fna-03-01.json,the picture,A graph is symmetric about the y-axis. What must be true?
REFERS_TO_ABSENT_FIGURE,ft-02-01,k1,numeric,content/courses/function-transformations/lessons/ft-02-01.json,the graph,"On the graph of y = x² − 4, what is y when x = 3?"
REFERS_TO_ABSENT_FIGURE,ft-02-01,i2,mcq,content/courses/function-transformations/lessons/ft-02-01.json,the graph,Which rule moves the graph of y = |x| DOWN 7 units?
REFERS_TO_ABSENT_FIGURE,ft-02-01,k3,mcq,content/courses/function-transformations/lessons/ft-02-01.json,the graph,"Compared to y = √x, the graph of y = √x + 3 is moved…"
REFERS_TO_ABSENT_FIGURE,ft-02-01,ch1,numeric,content/courses/function-transformations/lessons/ft-02-01.json,the graph,"On the graph of y = x³ − 6, what is y when x = 2?"
REFERS_TO_ABSENT_FIGURE,ft-02-02,k3,numeric,content/courses/function-transformations/lessons/ft-02-02.json,the graph,"On the graph of y = (x − 4)², what is y when x = 6?"
REFERS_TO_ABSENT_FIGURE,ft-02-02,ch1,numeric,content/courses/function-transformations/lessons/ft-02-02.json,the graph,"On the graph of y = |x − 5|, what is y when x = 1?"
REFERS_TO_ABSENT_FIGURE,ft-02-02,r1,(none),content/courses/function-transformations/lessons/ft-02-02.json,the graph,
REFERS_TO_ABSENT_FIGURE,ft-03-01,k1,mcq,content/courses/function-transformations/lessons/ft-03-01.json,the graph,What does the graph of y = −|x| look like?
REFERS_TO_ABSENT_FIGURE,ft-03-01,i2,numeric,content/courses/function-transformations/lessons/ft-03-01.json,the graph,"On the graph of y = √(−x), what is y when x = −9?"
REFERS_TO_ABSENT_FIGURE,ft-03-01,k2,numeric,content/courses/function-transformations/lessons/ft-03-01.json,the graph,"On the graph of y = −x³, what is y when x = 2?"
DATA_INLINE_BUT_CALLS_IT_A_FIGURE,ft-03-01,ch1,numeric,content/courses/function-transformations/lessons/ft-03-01.json,the graph,"The point (2, 4) sits on y = x². On the graph of y = −x², what is y at x = 2?"
REFERS_TO_ABSENT_FIGURE,ft-03-02,k1,numeric,content/courses/function-transformations/lessons/ft-03-02.json,the graph,"On the graph of y = ½x², what is y when x = 4?"
REFERS_TO_ABSENT_FIGURE,ft-03-02,i2,mcq,content/courses/function-transformations/lessons/ft-03-02.json,the graph,"Compared to y = |x|, the graph of y = 4|x| is…"
REFERS_TO_ABSENT_FIGURE,ft-03-02,k2,numeric,content/courses/function-transformations/lessons/ft-03-02.json,the graph,"On the graph of y = 2√x, what is y when x = 9?"
REFERS_TO_ABSENT_FIGURE,ft-03-02,ch1,numeric,content/courses/function-transformations/lessons/ft-03-02.json,the graph,"On the graph of y = −2x², what is y when x = 3?"
REFERS_TO_ABSENT_FIGURE,ft-03-03,k2,numeric,content/courses/function-transformations/lessons/ft-03-03.json,the graph,"On the graph of y = −2(x − 1)² + 8, what is y when x = 3?"
REFERS_TO_ABSENT_FIGURE,ft-03-03,ch1,numeric,content/courses/function-transformations/lessons/ft-03-03.json,the graph,"On the graph of y = 3(x + 2)² − 5, what is y when x = 0?"
DATA_INLINE_BUT_CALLS_IT_A_FIGURE,gf-03-02,i1,mcq,content/courses/geometry-foundations/lessons/gf-03-02.json,the image,"What is the image of (3, 7) reflected over the x-axis?"
REFERS_TO_ABSENT_FIGURE,gf-03-02,k1,numeric,content/courses/geometry-foundations/lessons/gf-03-02.json,the image,"Reflect (−4, 6) over the y-axis. What is the image's x-coordinate?"
DATA_INLINE_BUT_CALLS_IT_A_FIGURE,gf-03-02,k3,numeric,content/courses/geometry-foundations/lessons/gf-03-02.json,the image,"Reflect (7, 3) over the line y = x. What is the image's x-coordinate?"
DATA_INLINE_BUT_CALLS_IT_A_FIGURE,gf-03-03,i1,mcq,content/courses/geometry-foundations/lessons/gf-03-03.json,the image,"What is the image of (3, 5) rotated 180° about the origin?"
DATA_INLINE_BUT_CALLS_IT_A_FIGURE,gf-03-03,k1,numeric,content/courses/geometry-foundations/lessons/gf-03-03.json,the image,"Rotate (4, 1) by 90° counterclockwise about the origin. What is the image's y-coordinate?"
DATA_INLINE_BUT_CALLS_IT_A_FIGURE,gf-03-03,k2,numeric,content/courses/geometry-foundations/lessons/gf-03-03.json,the image,"Rotate (1, 7) by 270° counterclockwise about the origin. What is the image's y-coordinate?"
REFERS_TO_ABSENT_FIGURE,la-01-03,i1,matchPairs,content/courses/lines-angles/lessons/la-01-03.json,the figure,"A figure has point A, ray AB, ray AC, and angle BAC. Match each label to what it is."
REFERS_TO_ABSENT_FIGURE,la-03-03,ch1,mcq,content/courses/lines-angles/lessons/la-03-03.json,The picture,"A picture frame has corners measuring 90°, 90°, 90°, and 88°. Is it a true rectangle?"
REFERS_TO_ABSENT_FIGURE,lg-01-03,i2,mcq,content/courses/logarithms/lessons/lg-01-03.json,the graph,Where does y = log₂ x cross the x-axis?
REFERS_TO_ABSENT_FIGURE,lg-01-03,k3,mcq,content/courses/logarithms/lessons/lg-01-03.json,the graph,"For large x, the graph of y = log₂ x:"
REFERS_TO_ABSENT_FIGURE,mc-05-02,k2,numeric,content/courses/measure-convert/lessons/mc-05-02.json,the plot,"A line plot has 3 marks at 1/2, 1 mark at 3/4, and 1 mark at 5/8. How many measurements are on the plot in all?"
REFERS_TO_ABSENT_FIGURE,mc-05-03,i1,numeric,content/courses/measure-convert/lessons/mc-05-03.json,the plot,"Using the button-width plot (1/4×2, 3/8×1, 1/2×3, 5/8×1, 3/4×1), how many buttons measured MORE than 1/2 inch?"
REFERS_TO_ABSENT_FIGURE,mmt-05-01,k1,numeric,content/courses/measure-money-time/lessons/mmt-05-01.json,The picture,The picture graph shows 7 apple pictures for Tuesday. Each picture equals 1 vote. How many votes on Tuesday?
REFERS_TO_ABSENT_FIGURE,mmt-05-01,k2,numeric,content/courses/measure-money-time/lessons/mmt-05-01.json,The picture,The picture graph shows 5 apple pictures for Friday. Each picture equals 1 vote. How many votes on Friday?
REFERS_TO_ABSENT_FIGURE,mmt-05-01,k3,numeric,content/courses/measure-money-time/lessons/mmt-05-01.json,The picture,The picture graph shows 0 apple pictures for Saturday. Each picture equals 1 vote. How many votes on Saturday?
REFERS_TO_ABSENT_FIGURE,mmt-05-01,ch1,numeric,content/courses/measure-money-time/lessons/mmt-05-01.json,The picture,The picture graph shows 12 apple pictures for Sunday. Each picture equals 1 vote. How many votes on Sunday?
REFERS_TO_ABSENT_FIGURE,mmt-05-01,r1,(none),content/courses/measure-money-time/lessons/mmt-05-01.json,the picture,
REFERS_TO_ABSENT_FIGURE,md-03-03,i2,dragBucket,content/courses/measurement-data/lessons/md-03-03.json,this graph,"Graph: apples 5, bananas 8, grapes 5, pears 2. Sort each statement."
REFERS_TO_ABSENT_FIGURE,mult-01-04,k1,mcq,content/courses/multiplication-division/lessons/mult-01-04.json,the picture,"A number line shows a rabbit making 4 hops of 5, starting at 0. Which multiplication matches the picture?"
REFERS_TO_ABSENT_FIGURE,ns-01-01,i2,matchPairs,content/courses/number-system/lessons/ns-01-01.json,the picture,"Match each ""how many fit"" question to its answer."
REFERS_TO_ABSENT_FIGURE,pf-02-02,k1,mcq,content/courses/polynomial-functions/lessons/pf-02-02.json,the graph,"In f(x) = (x + 1)³(x − 2)², what does the graph do at x = −1?"
REFERS_TO_ABSENT_FIGURE,pf-02-02,ch1,mcq,content/courses/polynomial-functions/lessons/pf-02-02.json,the graph,"For f(x) = x²(x − 4), what does the graph do at its zeros?"
REFERS_TO_ABSENT_FIGURE,pf-05-01,k1,buildExpression,content/courses/polynomial-functions/lessons/pf-05-01.json,the graph,"For f(x) = (x + 2)(x − 1)², what does the graph do at its zeros?"
REFERS_TO_ABSENT_FIGURE,pf-05-01,k3,mcq,content/courses/polynomial-functions/lessons/pf-05-01.json,the graph,"For g(x) = (x − 3)(x + 3) · x², what does the graph do at x = 0?"
DATA_INLINE_BUT_CALLS_IT_A_FIGURE,pr-03-02,i2,numeric,content/courses/proportional-relationships/lessons/pr-03-02.json,The graphed,"The graphed point (1, 6) represents a proportional relationship. What is the unit rate?"
DATA_INLINE_BUT_CALLS_IT_A_FIGURE,pr-03-02,i3,numeric,content/courses/proportional-relationships/lessons/pr-03-02.json,The graphed,"The graphed point (4, 20) represents a proportional relationship. What is the unit rate?"
DATA_INLINE_BUT_CALLS_IT_A_FIGURE,pr-03-02,k3,numeric,content/courses/proportional-relationships/lessons/pr-03-02.json,The graphed,"The graphed point (3, 18) represents a proportional relationship. What is the unit rate?"
DATA_INLINE_BUT_CALLS_IT_A_FIGURE,pr-03-02,ch1,numeric,content/courses/proportional-relationships/lessons/pr-03-02.json,The graphed,"The graphed point (8, 24) represents a proportional relationship. What is the unit rate?"
DATA_INLINE_BUT_CALLS_IT_A_FIGURE,pr-03-03,i1,numeric,content/courses/proportional-relationships/lessons/pr-03-03.json,The graphed,"The graphed point (4, 20) represents a car trip. What is the rate?"
DATA_INLINE_BUT_CALLS_IT_A_FIGURE,pr-03-03,k1,numeric,content/courses/proportional-relationships/lessons/pr-03-03.json,The graphed,"The graphed point (2, 18) represents a recipe. What is the rate?"
DATA_INLINE_BUT_CALLS_IT_A_FIGURE,pr-03-03,i3,numeric,content/courses/proportional-relationships/lessons/pr-03-03.json,The graphed,"The graphed point (6, 24) represents a walking trip. What is the rate?"
DATA_INLINE_BUT_CALLS_IT_A_FIGURE,pr-03-03,k2,numeric,content/courses/proportional-relationships/lessons/pr-03-03.json,The graphed,"The graphed point (5, 35) represents a factory's output. What is the rate?"
DATA_INLINE_BUT_CALLS_IT_A_FIGURE,pr-03-03,ch1,numeric,content/courses/proportional-relationships/lessons/pr-03-03.json,The graphed,"The graphed point (6, 42) represents a delivery route's distance over time. What is the rate?"
REFERS_TO_ABSENT_FIGURE,qu-01-03,i1,mcq,content/courses/quadratics/lessons/qu-01-03.json,the graph,"Compared with y = x^2, the graph of y = 3x^2 is..."
REFERS_TO_ABSENT_FIGURE,qu-01-03,k3,mcq,content/courses/quadratics/lessons/qu-01-03.json,The graph,The graph of y = (x - 3)^2 - 4 is y = x^2 shifted how?
REFERS_TO_ABSENT_FIGURE,re-03-01,k3,mcq,content/courses/radical-functions/lessons/re-03-01.json,the graph,Which point is NOT on the graph of f(x) = √x?
REFERS_TO_ABSENT_FIGURE,re-03-02,k3,mcq,content/courses/radical-functions/lessons/re-03-02.json,the graph,Where does the graph of f(x) = √(x − 3) START?
REFERS_TO_ABSENT_FIGURE,sy-01-01,i2,mcq,content/courses/similarity/lessons/sy-01-01.json,The image,A dilation has scale factor k = ½. The image is…
REFERS_TO_ABSENT_FIGURE,sy-06-01,k1,numeric,content/courses/similarity/lessons/sy-06-01.json,the image,"The rectangle's bottom side is 3 units long. After dilating by k = 2, how long is the image's bottom side?"
REFERS_TO_ABSENT_FIGURE,sg-03-02,i2,mcq,content/courses/solid-geometry/lessons/sg-03-02.json,The figure,The figure shows the cone inside its matching cylinder. The space BETWEEN them (cylinder minus cone) holds:
REFERS_TO_ABSENT_FIGURE,alg1-04-01,k3,mcq,content/courses/solving-equations/lessons/alg1-04-01.json,The graph,The graph of x < 4 has its arrow pointing which way?
DATA_INLINE_BUT_CALLS_IT_A_FIGURE,tm-01-02,i1,mcq,content/courses/transformations-measurement/lessons/tm-01-02.json,the image,"Reflect the point (3, 5) across the x-axis. What is the image?"
DATA_INLINE_BUT_CALLS_IT_A_FIGURE,tm-01-03,i1,mcq,content/courses/transformations-measurement/lessons/tm-01-03.json,the image,"Rotate (2, 3) by 180° around the origin. What is the image?"
REFERS_TO_ABSENT_FIGURE,tm-01-03,i2,mcq,content/courses/transformations-measurement/lessons/tm-01-03.json,the image,"Rotate (−5, 2) by 180° around the origin. What is the image?"
DATA_INLINE_BUT_CALLS_IT_A_FIGURE,tm-01b-01,ch1,numeric,content/courses/transformations-measurement/lessons/tm-01b-01.json,the image,"Under (x, y) → (x − 2, y + 6), a point lands at (3, 10). What was its original x-coordinate?"
REFERS_TO_ABSENT_FIGURE,tm-01b-02,k2,numeric,content/courses/transformations-measurement/lessons/tm-01b-02.json,The image,"Reflect (−3, 7) across the x-axis. The image is (−3, b). What is b?"
DATA_INLINE_BUT_CALLS_IT_A_FIGURE,tm-02-02,i1,mcq,content/courses/transformations-measurement/lessons/tm-02-02.json,the image,"Dilate (3, 4) by a scale factor of 2 from the origin. What is the image?"
REFERS_TO_ABSENT_FIGURE,tm-02-02,k3,mcq,content/courses/transformations-measurement/lessons/tm-02-02.json,the image,A shape is dilated by a factor of 3. Is the image congruent to the original?
REFERS_TO_ABSENT_FIGURE,tg-01-01,k1,mcq,content/courses/trig-graphs-inverses/lessons/tg-01-01.json,The graph,The graph of y = sin(x + π/3) is the sine wave shifted:
REFERS_TO_ABSENT_FIGURE,tg-02-01,k2,mcq,content/courses/trig-graphs-inverses/lessons/tg-02-01.json,the graph,"For y = 2 cos x + 3, where does the graph FIRST cross its midline (x > 0)?"
DATA_INLINE_BUT_CALLS_IT_A_FIGURE,vm-02-01,k1,mcq,content/courses/volume-measurement/lessons/vm-02-01.json,the plot,"In the plot (1/4 → XX, 1/2 → XXX, 3/4 → X, 1 → XX), which length is MOST common?"
DATA_INLINE_BUT_CALLS_IT_A_FIGURE,vm-02-02,k1,fractionEntry,content/courses/volume-measurement/lessons/vm-02-02.json,the plot,"Total length of all ribbons in the plot (1/4 → XX, 1/2 → XXX, 3/4 → X)?"
DATA_INLINE_BUT_CALLS_IT_A_FIGURE,vm-02-02,k2,fractionEntry,content/courses/volume-measurement/lessons/vm-02-02.json,the plot,"In the plot (1/4 → XX, 1/2 → XXX, 3/4 → X), how much longer is the longest ribbon than the shortest?"
REFERS_TO_ABSENT_FIGURE,vm-02-02,k3,numeric,content/courses/volume-measurement/lessons/vm-02-02.json,the plot,Write the plot's total in quarters: 2/4 + 6/4 + 3/4 = ?/4. What is the numerator?
DATA_INLINE_BUT_CALLS_IT_A_FIGURE,vm-02-02,ch1,fractionEntry,content/courses/volume-measurement/lessons/vm-02-02.json,the plot,"Total length of the plot 1/4 → X, 1/2 → XX, 3/4 → X?"
REFERS_TO_ABSENT_FIGURE,vm-02-02,r1,(none),content/courses/volume-measurement/lessons/vm-02-02.json,The plot,
