widget_type,component_fn,line,class,x_axis_named,y_axis_named,tick_values_drawn,authored_uses,evidence
pointSetReasoningLab,PointSetReasoningLabW,6985,COORDINATE_PLANE,yes,yes,no,14,"PointSetDiagram (helper for pointSetReasoningLab) L6984: 2D branch draws spec.xLabel / spec.yLabel as SVG text naming both axes (well-labelled); no numeric tick values on either axis. 1D branch (no y in points) falls back to a SINGLE_AXIS number line, still xLabel-named, still no ticks."
graphStoryLab,GraphStoryLabW,7293,COORDINATE_PLANE,yes,yes,no,14,"GraphStoryPlot (helper) L7269,7275-7276: spec.xAxisLabel / spec.yAxisLabel drawn as real SVG text naming both axes (well-labelled). Gridlines are drawn but with no numeric tick values at all."
secantSlope,SecantSlopeW,2433,COORDINATE_PLANE,no,no,no,12,"SecantSlopeW: function-curve plane with points A/B labelled, no axis title or tick numbers."
vectorExplore,VectorExploreW,2716,COORDINATE_PLANE,no,no,no,11,"VectorExploreW L2770-2777: gridlines through origin, vectors labelled 'u'/'v' but no numeric ticks and no axis title. AMBIGUOUS — an abstract vector-space grid; 'what x/y measure' may not have a sensible answer here. Needs human ruling."
slopeTriangle,SlopeTriangleW,6641,COORDINATE_PLANE,no,no,no,10,"SlopeTriangleW L6745-6750: gridlines (origin line highlighted) but no <text> tick numbers and no x/y axis title; points labelled only with their own coordinates (e.g. B (3,2))."
distanceGrid,DistanceGridW,1265,COORDINATE_PLANE,no,no,no,9,"DistanceGridW L1284-1309: gridScales plane, plain unlabeled gridlines, distance-leg values are labelled but there are no coordinate tick numbers and no axis title."
accumulateArea,AccumulateAreaW,4539,COORDINATE_PLANE,no,no,no,7,"AccumulateAreaW: area-under-curve plane, no axis title or tick numbers (7 <text> are value annotations)."
quadDrag,QuadDragW,4029,COORDINATE_PLANE,no,no,no,7,"QuadDragW L4092-4098: visible unlabeled grid (plain gridlines only), no tick numbers, no axis title."
argandExplore,ArgandExploreW,2593,COORDINATE_PLANE,yes,yes,no,7,"ArgandExploreW L2642-2643: axes ARE explicitly labelled 'real' and 'imaginary' in the SVG. NOT actually ambiguous or unlabelled, despite Argand diagrams being cited as a typically-hard case — this one already names its axes. Missing only numeric tick values."
lineExplore,LineExploreW,12420,COORDINATE_PLANE,no,no,no,6,"LineExploreW: gridScales-based plane, plain gridlines, aria describes slope/intercept but no drawn axis title or tick numbers (304-line component; svg block has no tick <text> loop)."
systemsExplore,SystemsExploreW,11700,COORDINATE_PLANE,no,no,no,6,"SystemsExploreW: gridScales plane (L11734), two lines plotted; no axis title, no tick numbers drawn on the grid."
slopeField,SlopeFieldW,4815,COORDINATE_PLANE,no,no,no,6,"SlopeFieldW: direction-field plane (XMIN..XMAX, YMIN..YMAX custom scale), no gridlines, ticks, or axis title drawn."
polarTrace,PolarTraceW,3100,COORDINATE_PLANE,no,no,no,6,"PolarTraceW L3141-3143: two perpendicular reference lines and a polar curve (rose/limaçon). AMBIGUOUS — this is a polar (r,θ) plot, not a Cartesian x/y plane; whether 'axis' framing even applies needs a human ruling, similar to the unit-circle case."
coordinateProofLab,CoordinateProofLabW,15829,COORDINATE_PLANE,no,no,yes,6,"CoordinateProofLabW L15899: full numeric tick loop drawn on BOTH grid edges (e.g. every integer from gridMin..gridMax labelled), but no axis title/name anywhere. Good example of ticks-present/name-absent, the opposite defect from most other engines here."
matrixTransform,MatrixTransformW,15032,COORDINATE_PLANE,no,no,no,5,"MatrixTransformW L15158-15165: gridlines through origin (same pattern as vectorExplore), no ticks, no axis title. AMBIGUOUS — abstract linear-transformation plane; needs human ruling on whether axis names even apply."
relatedRatesLab,RelatedRatesLabW,16231,COORDINATE_PLANE,no,no,no,5,"RelatedRatesLabW L16300: wall/ground reference lines framed as 'x² + y² = L²' (a physical ladder-against-wall diagram doubling as a circle-quadrant plot); no numeric ticks, no 'x'/'y' axis titles drawn."
rotationLab,RotationLabW,10221,COORDINATE_PLANE,no,no,no,4,"RotationLabW L10269-10270: two perpendicular axis lines through the centre, no gridlines beyond them, no tick numbers, no axis title. Also has no aria-label at all (only a <title>), a separate a11y gap."
riemannSum,RiemannSumW,4448,COORDINATE_PLANE,no,no,no,4,"RiemannSumW L4479-4487: function-curve plane with rectangle strips, no axis title or tick numbers."
taylorApprox,TaylorApproxW,4913,COORDINATE_PLANE,no,no,no,3,"TaylorApproxW: function-curve plane, no gridlines/ticks/axis title found (4 <text> are value/curve annotations only)."
verticalLineScanner,VerticalLineScannerW,15885,COORDINATE_PLANE,no,no,no,3,"VerticalLineScannerW: gridScales plane, plain unlabeled gridlines only (integers() loop draws lines but no <text> ticks), no axis title."
covariationScrubber,CovariationScrubberW,15893,COORDINATE_PLANE,no,no,no,3,"CovariationScrubberW: single line segment (y=ax+b) on a gridScales-derived plane with no gridlines drawn, no ticks, no axis title."
extraneousRootLab,ExtraneousRootLabW,10080,COORDINATE_PLANE,no,no,no,2,"ExtraneousRootLabW: two-curve plane (squared vs original), aria mentions 'x-axis' generically; no drawn tick numbers or axis title found."
numberLineHop,NumberLineHopW,13971,SINGLE_AXIS,no,no,yes,462,HopSizeW L14029 / HopLandingW: number line with landing dots and target tick values printed as text; no axis title.
dragOrder,DragOrderW,12980,SINGLE_AXIS,no,no,no,93,"DragOrderW L13003: mini value-by-rank polyline plot; no axis line, no tick numbers, no axis title."
barBuilder,BarBuilderW,10590,SINGLE_AXIS,no,conditional,yes,70,"BarBuilderW L10671-10693 (bar/histogram mode): y-scale gridlines with numeric tick text (yes); spec.axisLabel is optional and only rendered if authored (conditional). Category axis has bar labels, not a title. Tally/pictograph modes (same widget_type) are NON_CARTESIAN mark-counting, not scaled."
lengthCompare,LengthCompareW,14348,SINGLE_AXIS,yes,n/a,no,66,"LengthDifferenceW L14467 / LengthPickAlignW: each bar's length is labelled with spec.unitLabel (e.g. ""5 cm""), so the measured quantity IS named; per-unit divider ticks drawn but no shared numeric scale."
numberLinePlace,NumberLinePlaceW,11024,SINGLE_AXIS,no,no,yes,53,"NumberLinePlaceW L11046-11058: tick loop over spec.min..max with numeric text (deliberately blanked interior ticks only in fraction/den mode — an authored choice, not a bug); no axis title."
unitRuler,UnitRulerW,15954,SINGLE_AXIS,no,no,yes,45,UnitRulerW: 0..20 integer tick scale drawn with numeric text under a ruler line; no axis title (no units word rendered on the SVG itself).
distributionCompareLab,DistributionCompareLabW,8322,SINGLE_AXIS,no,no,yes,34,DistributionCompareLabW: dot-plot/box-plot style comparison along one measured axis (8 <text> elements are value labels); no axis title found.
sequenceBuild,SequenceBuildW,3505,SINGLE_AXIS,no,no,no,31,"SequenceDialW L3376-3409: bar chart of partial sums against a value axis; annotated value labels ('ceiling X', 'target X') exist but there is no regular numeric tick scale and no axis title. SequenceReasoningW branch has no SVG."
signChart,SignChartW,3195,SINGLE_AXIS,no,no,partial,29,SignChartW L3256-3298: number line with root/pole x-values labelled at their own positions (not a regular tick scale) and no axis title; probe control's aria says 'x-axis' but that text is not drawn in the SVG.
slider,SliderW,12727,SINGLE_AXIS,no,no,partial,28,"SliderW L12839 numberline visual: ticked number line with numeric labels (yes, ticks). L12813 bar visual and L12897 conic (parabola/ellipse) visuals have no axis at all (see ambiguous note). One widget_type, three SVG shapes."
graphRead,GraphReadW,7364,SINGLE_AXIS,yes,n/a,yes,24,GraphReadW bar mode (L7411-7423): tick text 0..scaleMax drawn; spec.categoryLabel captioned above the graph names what's counted. Tally/picture modes are NON_CARTESIAN mark-counting.
percentBar,PercentBarW,5422,SINGLE_AXIS,yes,n/a,yes,16,PercentBarW L5443-5449: ticks at 0/25/50/75/100% with '%' suffix (self-naming) and corresponding amounts labelled.
dotPlot,DotPlotW,8181,SINGLE_AXIS,no,no,yes,15,DotPlotBuildW L8201-8209: value tick text drawn under every stack; no axis title (no units/label).
trialProbabilityLab,TrialProbabilityLabW,1636,SINGLE_AXIS,partial,n/a,yes,15,"TrialProbabilityLabW L1685-1690: endpoints labelled '0' and 'whole = N' (names what the axis spans, not a formal title) with tick marks; sparse but present."
boxPlot,BoxPlotW,8254,SINGLE_AXIS,no,no,yes,8,"BoxPlotW L8274: three tick values (axisMin, midpoint, axisMax) labelled; no axis title naming the measured quantity."
samplingBiasLab,SamplingBiasLabW,15896,SINGLE_AXIS,no,no,yes,7,"SamplingBiasLabW: 0/25/50/75/100 tick values drawn along the estimate line plus a dashed 'population 50%' reference; no axis title (the % context is only in the aria-label / caption, not as SVG axis text)."
absValueLine,AbsValueLineW,14765,SINGLE_AXIS,no,no,yes,3,AbsValueLineW L14856: number line with signed integer tick labels at every bracket point; no axis title.
doubleNumberLine,DoubleNumberLineW,7823,SINGLE_AXIS,yes,yes,yes,3,"DoubleNumberLineW L7875-7876,7884-7899: spec.topLabel / spec.bottomLabel drawn as SVG text naming each line, plus regular numeric tick values on both lines. Not a defect — already well-labelled."
sampleSim,SampleSimW,1817,SINGLE_AXIS,no,no,yes,3,"SampleSimW L1855-1871: 0..1 tick scale with numeric text at regular bins, plus a dashed population-value line; no axis title."
numberLineRay,NumberLineRayW,110,SINGLE_AXIS,no,no,yes,3,NumberLineRayW (src/components/widgets/numberLineRay.tsx) L377-381: axis line with a tick loop drawing numeric labels at each tickStep; no axis title naming the variable.
shuffleTest,ShuffleTestW,2005,SINGLE_AXIS,no,no,yes,2,"ShuffleTestW L2046-2051: tick scale centred at 0 with numeric text, dashed observed-value line; no axis title."
ciCapture,CiCaptureW,1909,SINGLE_AXIS,no,no,no,1,"CiCaptureW L1951-1954: only the 'truth X%' reference value is labelled; no regular tick scale, no axis title."
areaModel,AreaModelW,8598,NON_CARTESIAN,n/a,n/a,n/a,102,"AreaModelW dispatches to CountGridW/AreaBuildW — rectangle area-shading models, no axes."
fractionBar,FractionBarW,989,NON_CARTESIAN,n/a,n/a,n/a,101,"FractionBarW L1092-1137 (fraction bar, primary render) is an area/length model; a secondary embedded number line (L1140) has tick numbers 0..N but no axis title. Predominant visual is the bar, so classed NON_CARTESIAN with the embedded number line noted."
geometricConstraintLab,GeometricConstraintLabW,6999,NON_CARTESIAN,conditional,conditional,no,66,"GeometricConstraintDiagram (helper) dispatches on spec.task: 5 of 6 branches (perimeterMissing, coordinateArea, scaledArea, angleCrossing, aaSimilarity, pythagorean) are plain geometry/area diagrams with no axes. The 'coordinateProof' branch (L6991) draws two axis lines through the origin captioned 'horizontal differences' / 'vertical differences' — real but non-standard axis names, no tick values. Classed NON_CARTESIAN for the dominant behaviour; the coordinateProof branch is the exception."
clockSet,ClockSetW,8677,NON_CARTESIAN,n/a,n/a,n/a,40,"ClockSetW: analog clock face, no axes."
hundredthsGrid,HundredthsGridW,10781,NON_CARTESIAN,n/a,n/a,n/a,36,"HundredthsGridW: 10x10 shaded decimal grid, an area model with no axes."
solveBalance,SolveBalanceW,8943,NON_CARTESIAN,n/a,n/a,n/a,28,"SolveBalanceW: balance-beam diagram, no axes."
algebraTiles,AlgebraTilesW,5021,NON_CARTESIAN,n/a,n/a,n/a,27,"AlgebraTilesW: algebra-tile area model, no axes."
volumeBuilder,VolumeBuilderW,5773,NON_CARTESIAN,n/a,n/a,n/a,20,"Dispatches to RoundSolidBuilderW / FractionalPrismW / PrismVolumeBuilderW — 3D solid diagrams, no axes."
triangleSolve,TriangleSolveW,3514,NON_CARTESIAN,n/a,n/a,n/a,20,"Dispatches to SasSssTriangleW / TriangleRatiosW — static triangle diagrams, no axes."
triangleConstraintLab,TriangleConstraintLabW,15782,NON_CARTESIAN,n/a,n/a,n/a,20,"TriangleConstraintLabW: SSS/SAS triangle-family diagram, no axes."
unitChain,UnitChainW,7456,NON_CARTESIAN,n/a,n/a,n/a,19,"UnitChainW: a fixed-length bar split by conversion steps, not a coordinate/measured axis."
shapeHierarchyLab,ShapeHierarchyLabW,15917,NON_CARTESIAN,n/a,n/a,n/a,19,"ShapeHierarchyLabW: triangle diagram + Venn-style circle relationship diagram, no axes."
subitizeFlash,SubitizeFlashW,14926,NON_CARTESIAN,n/a,n/a,n/a,18,"SubitizeFlashW: a dot pattern flash card, no axes."
probabilityArea,ProbabilityAreaW,10714,NON_CARTESIAN,n/a,n/a,n/a,15,ProbabilityAreaW: shaded rows x cols unit grid (area/probability model) built with the gridScales helper as a coordinate-to-pixel utility only; no visible axis lines or ticks.
compositeAreaLab,CompositeAreaLabW,1570,NON_CARTESIAN,n/a,n/a,n/a,15,"CompositeAreaLabW: composite-shape area diagrams, no axes."
compassConstruct,CompassConstructW,3722,NON_CARTESIAN,n/a,n/a,n/a,14,"CompassConstructW / ClassicalConstructW: compass-and-straightedge construction diagrams, no axes."
binomialAreaLab,BinomialAreaLabW,9899,NON_CARTESIAN,n/a,n/a,n/a,12,"BinomialAreaLabW: rectangle area model (like FOIL/binomial squares), no axes."
circleMeasureExplore,CircleMeasureExploreW,2859,NON_CARTESIAN,n/a,n/a,n/a,12,"Dispatches to CircleRadiusScaleW / CircleChordTangentArcW — circle-geometry diagrams, no axes."
shapeParts,ShapePartsW,9831,NON_CARTESIAN,n/a,n/a,n/a,11,"ShapePartsW: shape decomposition diagram, no axes."
balanceScale,BalanceScaleW,9585,NON_CARTESIAN,n/a,n/a,n/a,9,"BalanceScaleW: balance-beam diagram, no axes."
conicLocusLab,ConicLocusLabW,16074,NON_CARTESIAN,n/a,n/a,n/a,9,"ConicLocusLabW: circle/ellipse/parabola/hyperbola family diagram over a decorative background grid; focus/directrix are named by role, not by axis. No coordinate axes to label."
angleMeasure,AngleMeasureW,9657,NON_CARTESIAN,n/a,n/a,n/a,8,"AngleMeasureW: protractor diagram, no axes."
scaledCircleLab,ScaledCircleLabW,1391,NON_CARTESIAN,n/a,n/a,n/a,8,"ScaledCircleLabW: circle diagrams, no axes."
solidSliceLab,SolidSliceLabW,15852,NON_CARTESIAN,n/a,n/a,n/a,7,"SolidSliceLabW: 3D solid cross-section diagram, no axes."
spinnerSim,SpinnerSimW,1730,NON_CARTESIAN,n/a,n/a,n/a,6,"SpinnerSimW: a spinner wheel, no axes."
triangleAngleLab,TriangleAngleLabW,15871,NON_CARTESIAN,n/a,n/a,n/a,6,"TriangleAngleLabW: triangle diagram, no axes."
shapeFamilyBuilder,ShapeFamilyBuilderW,15952,NON_CARTESIAN,n/a,n/a,n/a,6,"ShapeFamilyBuilderW: polygon-attribute builder, no axes."
netFold,NetFoldW,7690,NON_CARTESIAN,n/a,n/a,n/a,5,"NetFoldW: a net of a 3D solid, no axes."
treeDiagram,TreeDiagramW,1329,NON_CARTESIAN,n/a,n/a,n/a,5,"TreeDiagramW: probability tree, no axes."
sliceSum,SliceSumW,4655,NON_CARTESIAN,n/a,n/a,n/a,5,"SliceSumW: solid-of-revolution / polar-sector slicing diagram (aria: ""a polar region cut into...""), not a Cartesian plot."
circleAngleExplore,CircleAngleExploreW,2098,NON_CARTESIAN,n/a,n/a,n/a,5,"CircleAngleExploreW: circle/arc-angle diagram, no axes."
fractionGrid,FractionGridW,15374,NON_CARTESIAN,n/a,n/a,n/a,4,"FractionGridW: unit-square area-shading model (rows x cols grid), no axes to label."
integerChips,IntegerChipsW,5694,NON_CARTESIAN,n/a,n/a,n/a,4,"IntegerChipsW: a chip board, no axes."
lineRelationLab,LineRelationLabW,15734,NON_CARTESIAN,n/a,n/a,n/a,4,"LineRelationLabW: two rotating lines over a decorative dotted background pattern (not a scaled grid), no ticks, no axis title."
derivativeRuleLab,DerivativeRuleLabW,16135,NON_CARTESIAN,n/a,n/a,n/a,4,"Only the 'product' mode has an SVG (a rectangle area-decomposition diagram, L16207-16212); quotient/substitution/chain modes render no SVG at all (HTML only)."
fractionCompare,FractionCompareW,15476,NON_CARTESIAN,n/a,n/a,n/a,3,"FractionCompareW: two fraction-bar/number-line strips for A/B comparison, not a scaled measurement axis."
placeValue,PlaceValueW,8617,NON_CARTESIAN,n/a,n/a,n/a,3,"PlaceValueW: base-ten block diagram, no axes."
fractionOfSet,FractionOfSetW,8038,NON_CARTESIAN,n/a,n/a,n/a,1,"FractionOfSetW: a set of discrete icons, no axes."
elapsedTime,ElapsedTimeW,1213,NON_CARTESIAN,n/a,n/a,n/a,1,"ElapsedTimeW: two clock faces, no axes."
triangleClosureLab,TriangleClosureLabW,1450,NON_CARTESIAN,n/a,n/a,n/a,1,"TriangleClosureLabW: hinged-beam/triangle diagram, no axes."
