lesson,step,widget,verdict,figure_key_present,figure_registered,withheld_in_queue,data_in_prompt,evidence
dd-02-01,k1,numeric,DATA_INLINE,no,n/a,no,yes,"figure key absent on step k1 (steps.3); not in ILLUSTRATION_REPLACEMENT queue for dd-02-01; prompt/options fully specify the numbers or relationships needed (""Add up ALL the dots in the pets plot (stacks of 1, 2, 3, 1, 1). How many students does the plot show?"") so it grades and is answerable without ever seeing an image -- 'the plot' is decorative wording, not a missing dependency."
dd-02-01,ch1,numeric,DATA_INLINE,no,n/a,no,yes,"figure key absent on step ch1 (steps.8); not in ILLUSTRATION_REPLACEMENT queue for dd-02-01; prompt/options fully specify the numbers or relationships needed (""In the reading plot (2 dots over 10, 3 over 15, 2 over 20, 1 over 25), how many students read MORE than 15 minutes?"") so it grades and is answerable without ever seeing an image -- 'the plot' is decorative wording, not a missing dependency."
dd-02-03,k1,mcq,DATA_INLINE,no,n/a,no,yes,"figure key absent on step k1 (steps.2); not in ILLUSTRATION_REPLACEMENT queue for dd-02-03; prompt/options fully specify the numbers or relationships needed (""The plot of 1,2,2,3,3,3,4,4,5 peaks at 3, with 3 dots below the peak and 3 above. What's its shape?"") so it grades and is answerable without ever seeing an image -- 'the plot' is decorative wording, not a missing dependency."
dd-02-03,k2,mcq,DATA_INLINE,no,n/a,no,yes,"figure key absent on step k2 (steps.4); not in ILLUSTRATION_REPLACEMENT queue for dd-02-03; prompt/options fully specify the numbers or relationships needed (""In the plot of 1,1,1,2,2,3,4,8 — what is the 8?"") so it grades and is answerable without ever seeing an image -- 'the plot' is decorative wording, not a missing dependency."
dd-04b-01,k1,numeric,DATA_INLINE,no,n/a,no,yes,"figure key absent on step k1 (steps.2); not in ILLUSTRATION_REPLACEMENT queue for dd-04b-01; prompt/options fully specify the numbers or relationships needed (""A box plot has its whisker starting at 2, box edges at 7 and 16, median line at 12, and whisker ending at 20. What is Q1?"") so it grades and is answerable without ever seeing an image -- 'the picture' is decorative wording, not a missing dependency."
g2g-02-01,k1,numeric,DATA_INLINE,no,n/a,no,yes,"figure key absent on step k1 (steps.2); not in ILLUSTRATION_REPLACEMENT queue for g2g-02-01; prompt/options fully specify the numbers or relationships needed (""The picture graph shows 8 shells pictures for Tuesday. Each picture equals 1 shell. How many shells on Tuesday?"") so it grades and is answerable without ever seeing an image -- 'the picture' is decorative wording, not a missing dependency."
g2g-02-01,k2,numeric,DATA_INLINE,no,n/a,no,yes,"figure key absent on step k2 (steps.5); not in ILLUSTRATION_REPLACEMENT queue for g2g-02-01; prompt/options fully specify the numbers or relationships needed (""The picture graph shows 5 pinecones pictures for Tuesday. Each picture equals 1 find. How many finds on Tuesday?"") so it grades and is answerable without ever seeing an image -- 'the picture' is decorative wording, not a missing dependency."
g2g-02-01,ch1,numeric,DATA_INLINE,no,n/a,no,yes,"figure key absent on step ch1 (steps.7); not in ILLUSTRATION_REPLACEMENT queue for g2g-02-01; prompt/options fully specify the numbers or relationships needed (""The picture graph shows 4 apples pictures for Thursday. Each picture equals 1 vote. How many votes on Thursday?"") so it grades and is answerable without ever seeing an image -- 'the picture' is decorative wording, not a missing dependency."
g2g-02-02,k1,numeric,DATA_INLINE,no,n/a,no,yes,"figure key absent on step k1 (steps.2); not in ILLUSTRATION_REPLACEMENT queue for g2g-02-02; prompt/options fully specify the numbers or relationships needed (""The picture graph shows 5 stickers pictures for Wednesday. Each picture equals 1 sticker. How many stickers on Wednesday?"") so it grades and is answerable without ever seeing an image -- 'the picture' is decorative wording, not a missing dependency."
g2g-02-02,k3,numeric,DATA_INLINE,no,n/a,no,yes,"figure key absent on step k3 (steps.6); not in ILLUSTRATION_REPLACEMENT queue for g2g-02-02; prompt/options fully specify the numbers or relationships needed (""The picture graph shows 9 stickers pictures for Monday. Each picture equals 1 sticker. How many stickers on Monday?"") so it grades and is answerable without ever seeing an image -- 'the picture' is decorative wording, not a missing dependency."
exp-04-01,i1,expLogExplore,FIGURE_PRESENT_FALSE_POSITIVE,no,n/a,no,n/a,"widget.type=expLogExplore; ExpLogExploreW (src/components/widgets.tsx ~L2334) renders its own <svg> curve (expPath/logPath via a `curve()` builder) directly in the widget body -- the step does draw a diagram, just not through the `figure` field/FigureView path the detector checked."
exp-04-01,i3,numeric,DATA_INLINE,no,n/a,no,yes,"figure key absent on step i3 (steps.6); not in ILLUSTRATION_REPLACEMENT queue for exp-04-01; prompt/options fully specify the numbers or relationships needed (""The graph of f(x) = 7 * 2^x has what y-intercept?"") so it grades and is answerable without ever seeing an image -- 'the graph' is decorative wording, not a missing dependency."
exp-04-01,k2,mcq,DATA_INLINE,no,n/a,no,yes,"figure key absent on step k2 (steps.7); not in ILLUSTRATION_REPLACEMENT queue for exp-04-01; prompt/options fully specify the numbers or relationships needed (""Which describes the graph of f(x) = 6 * (1/2)^x?"") so it grades and is answerable without ever seeing an image -- 'the graph' is decorative wording, not a missing dependency."
exp-04-01,ch1,exactNumberLab,DATA_INLINE,no,n/a,no,yes,"figure key absent on step ch1 (steps.9); not in ILLUSTRATION_REPLACEMENT queue for exp-04-01; prompt/options fully specify the numbers or relationships needed (""The graph of f(x) = 4 * 5^x crosses the y-axis at what value?"") so it grades and is answerable without ever seeing an image -- 'the graph' is decorative wording, not a missing dependency."
ee-05-02,k2,buildExpression,DATA_INLINE,no,n/a,no,yes,"figure key absent on step k2 (steps.4); not in ILLUSTRATION_REPLACEMENT queue for ee-05-02; prompt/options fully specify the numbers or relationships needed (""A number line shows a CLOSED circle at 4 with the arrow pointing RIGHT. Which inequality does this graph?"") so it grades and is answerable without ever seeing an image -- 'the this graph' is decorative wording, not a missing dependency."
ee-05-02,k3,mcq,DATA_INLINE,no,n/a,no,yes,"figure key absent on step k3 (steps.6); not in ILLUSTRATION_REPLACEMENT queue for ee-05-02; prompt/options fully specify the numbers or relationships needed (""The graph shows x < 0 (open circle at 0, arrow left). Does x = -3 satisfy it?"") so it grades and is answerable without ever seeing an image -- 'the graph' is decorative wording, not a missing dependency."
ee-05-02,ch1,mcq,DATA_INLINE,no,n/a,no,yes,"figure key absent on step ch1 (steps.7); not in ILLUSTRATION_REPLACEMENT queue for ee-05-02; prompt/options fully specify the numbers or relationships needed (""A cooler holds 'at most 8' drinks: w ≤ 8. On the graph (closed circle at 8, arrow left), does w = 8 itself satisfy the inequality?"") so it grades and is answerable without ever seeing an image -- 'the graph' is decorative wording, not a missing dependency."
g5f-02-02,k2,mcq,DATA_INLINE,no,n/a,no,yes,"figure key absent on step k2 (steps.5); not in ILLUSTRATION_REPLACEMENT queue for g5f-02-02; prompt/options fully specify the numbers or relationships needed (""To model 3 ÷ 1/4, what does the picture show?"") so it grades and is answerable without ever seeing an image -- 'the picture' is decorative wording, not a missing dependency."
g5f-02-03,k1,mcq,DATA_INLINE,no,n/a,no,yes,"figure key absent on step k1 (steps.2); not in ILLUSTRATION_REPLACEMENT queue for g5f-02-03; prompt/options fully specify the numbers or relationships needed (""To model 3 ÷ 1/4, what does the picture show?"") so it grades and is answerable without ever seeing an image -- 'the picture' is decorative wording, not a missing dependency."
g5f-02-03,ch1,mcq,DATA_INLINE,no,n/a,no,yes,"figure key absent on step ch1 (steps.7); not in ILLUSTRATION_REPLACEMENT queue for g5f-02-03; prompt/options fully specify the numbers or relationships needed (""To model 3 ÷ 1/4, what does the picture show?"") so it grades and is answerable without ever seeing an image -- 'the picture' is decorative wording, not a missing dependency."
fna-01-02,k2,mcq,DATA_INLINE,no,n/a,no,yes,"figure key absent on step k2 (steps.4); not in ILLUSTRATION_REPLACEMENT queue for fna-01-02; prompt/options fully specify the numbers or relationships needed (""A secant through two points on a curve is perfectly horizontal. What does that say about the function on that interval?"") so it grades and is answerable without ever seeing an image -- 'the picture' is decorative wording, not a missing dependency."
fna-03-01,k3,mcq,DATA_INLINE,no,n/a,no,yes,"figure key absent on step k3 (steps.5); not in ILLUSTRATION_REPLACEMENT queue for fna-03-01; prompt/options fully specify the numbers or relationships needed (""A graph is symmetric about the y-axis. What must be true?"") so it grades and is answerable without ever seeing an image -- 'the picture' is decorative wording, not a missing dependency."
ft-02-01,k1,numeric,DATA_INLINE,no,n/a,no,yes,"figure key absent on step k1 (steps.3); not in ILLUSTRATION_REPLACEMENT queue for ft-02-01; prompt/options fully specify the numbers or relationships needed (""On the graph of y = x² − 4, what is y when x = 3?"") so it grades and is answerable without ever seeing an image -- 'the graph' is decorative wording, not a missing dependency."
ft-02-01,i2,mcq,DATA_INLINE,no,n/a,no,yes,"figure key absent on step i2 (steps.4); not in ILLUSTRATION_REPLACEMENT queue for ft-02-01; prompt/options fully specify the numbers or relationships needed (""Which rule moves the graph of y = |x| DOWN 7 units?"") so it grades and is answerable without ever seeing an image -- 'the graph' is decorative wording, not a missing dependency."
ft-02-01,k3,mcq,DATA_INLINE,no,n/a,no,yes,"figure key absent on step k3 (steps.6); not in ILLUSTRATION_REPLACEMENT queue for ft-02-01; prompt/options fully specify the numbers or relationships needed (""Compared to y = √x, the graph of y = √x + 3 is moved…"") so it grades and is answerable without ever seeing an image -- 'the graph' is decorative wording, not a missing dependency."
ft-02-01,ch1,numeric,DATA_INLINE,no,n/a,no,yes,"figure key absent on step ch1 (steps.7); not in ILLUSTRATION_REPLACEMENT queue for ft-02-01; prompt/options fully specify the numbers or relationships needed (""On the graph of y = x³ − 6, what is y when x = 2?"") so it grades and is answerable without ever seeing an image -- 'the graph' is decorative wording, not a missing dependency."
ft-02-02,k3,numeric,DATA_INLINE,no,n/a,no,yes,"figure key absent on step k3 (steps.6); not in ILLUSTRATION_REPLACEMENT queue for ft-02-02; prompt/options fully specify the numbers or relationships needed (""On the graph of y = (x − 4)², what is y when x = 6?"") so it grades and is answerable without ever seeing an image -- 'the graph' is decorative wording, not a missing dependency."
ft-02-02,ch1,numeric,DATA_INLINE,no,n/a,no,yes,"figure key absent on step ch1 (steps.7); not in ILLUSTRATION_REPLACEMENT queue for ft-02-02; prompt/options fully specify the numbers or relationships needed (""On the graph of y = |x − 5|, what is y when x = 1?"") so it grades and is answerable without ever seeing an image -- 'the graph' is decorative wording, not a missing dependency."
ft-02-02,r1,(none),NO_FIGURE_AUTHORED,no,n/a,no,n/a,"kind=recap, no widget/prompt; body text ('Inside numbers move the graph sideways...') references 'the graph' narratively but no figure key was ever authored on this or a rendering-eligible step; not a gradable item so no data-in-prompt question applies."
ft-03-01,k1,mcq,DATA_INLINE,no,n/a,no,yes,"figure key absent on step k1 (steps.3); not in ILLUSTRATION_REPLACEMENT queue for ft-03-01; prompt/options fully specify the numbers or relationships needed (""What does the graph of y = −|x| look like?"") so it grades and is answerable without ever seeing an image -- 'the graph' is decorative wording, not a missing dependency."
ft-03-01,i2,numeric,DATA_INLINE,no,n/a,no,yes,"figure key absent on step i2 (steps.4); not in ILLUSTRATION_REPLACEMENT queue for ft-03-01; prompt/options fully specify the numbers or relationships needed (""On the graph of y = √(−x), what is y when x = −9?"") so it grades and is answerable without ever seeing an image -- 'the graph' is decorative wording, not a missing dependency."
ft-03-01,k2,numeric,DATA_INLINE,no,n/a,no,yes,"figure key absent on step k2 (steps.5); not in ILLUSTRATION_REPLACEMENT queue for ft-03-01; prompt/options fully specify the numbers or relationships needed (""On the graph of y = −x³, what is y when x = 2?"") so it grades and is answerable without ever seeing an image -- 'the graph' is decorative wording, not a missing dependency."
ft-03-01,ch1,numeric,DATA_INLINE,no,n/a,no,yes,"figure key absent on step ch1 (steps.7); not in ILLUSTRATION_REPLACEMENT queue for ft-03-01; prompt/options fully specify the numbers or relationships needed (""The point (2, 4) sits on y = x². On the graph of y = −x², what is y at x = 2?"") so it grades and is answerable without ever seeing an image -- 'the graph' is decorative wording, not a missing dependency."
ft-03-02,k1,numeric,DATA_INLINE,no,n/a,no,yes,"figure key absent on step k1 (steps.3); not in ILLUSTRATION_REPLACEMENT queue for ft-03-02; prompt/options fully specify the numbers or relationships needed (""On the graph of y = ½x², what is y when x = 4?"") so it grades and is answerable without ever seeing an image -- 'the graph' is decorative wording, not a missing dependency."
ft-03-02,i2,mcq,DATA_INLINE,no,n/a,no,yes,"figure key absent on step i2 (steps.4); not in ILLUSTRATION_REPLACEMENT queue for ft-03-02; prompt/options fully specify the numbers or relationships needed (""Compared to y = |x|, the graph of y = 4|x| is…"") so it grades and is answerable without ever seeing an image -- 'the graph' is decorative wording, not a missing dependency."
ft-03-02,k2,numeric,DATA_INLINE,no,n/a,no,yes,"figure key absent on step k2 (steps.5); not in ILLUSTRATION_REPLACEMENT queue for ft-03-02; prompt/options fully specify the numbers or relationships needed (""On the graph of y = 2√x, what is y when x = 9?"") so it grades and is answerable without ever seeing an image -- 'the graph' is decorative wording, not a missing dependency."
ft-03-02,ch1,numeric,DATA_INLINE,no,n/a,no,yes,"figure key absent on step ch1 (steps.7); not in ILLUSTRATION_REPLACEMENT queue for ft-03-02; prompt/options fully specify the numbers or relationships needed (""On the graph of y = −2x², what is y when x = 3?"") so it grades and is answerable without ever seeing an image -- 'the graph' is decorative wording, not a missing dependency."
ft-03-03,k2,numeric,DATA_INLINE,no,n/a,no,yes,"figure key absent on step k2 (steps.5); not in ILLUSTRATION_REPLACEMENT queue for ft-03-03; prompt/options fully specify the numbers or relationships needed (""On the graph of y = −2(x − 1)² + 8, what is y when x = 3?"") so it grades and is answerable without ever seeing an image -- 'the graph' is decorative wording, not a missing dependency."
ft-03-03,ch1,numeric,DATA_INLINE,no,n/a,no,yes,"figure key absent on step ch1 (steps.7); not in ILLUSTRATION_REPLACEMENT queue for ft-03-03; prompt/options fully specify the numbers or relationships needed (""On the graph of y = 3(x + 2)² − 5, what is y when x = 0?"") so it grades and is answerable without ever seeing an image -- 'the graph' is decorative wording, not a missing dependency."
gf-03-02,i1,mcq,DATA_INLINE,no,n/a,no,yes,"figure key absent on step i1 (steps.1); not in ILLUSTRATION_REPLACEMENT queue for gf-03-02; prompt/options fully specify the numbers or relationships needed (""What is the image of (3, 7) reflected over the x-axis?"") so it grades and is answerable without ever seeing an image -- 'the image' is decorative wording, not a missing dependency."
gf-03-02,k1,numeric,DATA_INLINE,no,n/a,no,yes,"figure key absent on step k1 (steps.2); not in ILLUSTRATION_REPLACEMENT queue for gf-03-02; prompt/options fully specify the numbers or relationships needed (""Reflect (−4, 6) over the y-axis. What is the image's x-coordinate?"") so it grades and is answerable without ever seeing an image -- 'the image' is decorative wording, not a missing dependency."
gf-03-02,k3,numeric,DATA_INLINE,no,n/a,no,yes,"figure key absent on step k3 (steps.7); not in ILLUSTRATION_REPLACEMENT queue for gf-03-02; prompt/options fully specify the numbers or relationships needed (""Reflect (7, 3) over the line y = x. What is the image's x-coordinate?"") so it grades and is answerable without ever seeing an image -- 'the image' is decorative wording, not a missing dependency."
gf-03-03,i1,mcq,DATA_INLINE,no,n/a,no,yes,"figure key absent on step i1 (steps.1); not in ILLUSTRATION_REPLACEMENT queue for gf-03-03; prompt/options fully specify the numbers or relationships needed (""What is the image of (3, 5) rotated 180° about the origin?"") so it grades and is answerable without ever seeing an image -- 'the image' is decorative wording, not a missing dependency."
gf-03-03,k1,numeric,DATA_INLINE,no,n/a,no,yes,"figure key absent on step k1 (steps.2); not in ILLUSTRATION_REPLACEMENT queue for gf-03-03; prompt/options fully specify the numbers or relationships needed (""Rotate (4, 1) by 90° counterclockwise about the origin. What is the image's y-coordinate?"") so it grades and is answerable without ever seeing an image -- 'the image' is decorative wording, not a missing dependency."
gf-03-03,k2,numeric,DATA_INLINE,no,n/a,no,yes,"figure key absent on step k2 (steps.5); not in ILLUSTRATION_REPLACEMENT queue for gf-03-03; prompt/options fully specify the numbers or relationships needed (""Rotate (1, 7) by 270° counterclockwise about the origin. What is the image's y-coordinate?"") so it grades and is answerable without ever seeing an image -- 'the image' is decorative wording, not a missing dependency."
la-01-03,i1,matchPairs,DATA_INLINE,no,n/a,no,yes,"figure key absent on step i1 (steps.1); not in ILLUSTRATION_REPLACEMENT queue for la-01-03; prompt/options fully specify the numbers or relationships needed (""A figure has point A, ray AB, ray AC, and angle BAC. Match each label to what it is."") so it grades and is answerable without ever seeing an image -- 'the figure' is decorative wording, not a missing dependency."
la-03-03,ch1,mcq,DATA_INLINE,no,n/a,no,yes,"figure key absent on step ch1 (steps.7); not in ILLUSTRATION_REPLACEMENT queue for la-03-03; prompt/options fully specify the numbers or relationships needed (""A picture frame has corners measuring 90°, 90°, 90°, and 88°. Is it a true rectangle?"") so it grades and is answerable without ever seeing an image -- 'the picture' is decorative wording, not a missing dependency."
lg-01-03,i2,mcq,DATA_INLINE,no,n/a,no,yes,"figure key absent on step i2 (steps.4); not in ILLUSTRATION_REPLACEMENT queue for lg-01-03; prompt/options fully specify the numbers or relationships needed (""Where does y = log₂ x cross the x-axis?"") so it grades and is answerable without ever seeing an image -- 'the graph' is decorative wording, not a missing dependency."
lg-01-03,k3,mcq,DATA_INLINE,no,n/a,no,yes,"figure key absent on step k3 (steps.6); not in ILLUSTRATION_REPLACEMENT queue for lg-01-03; prompt/options fully specify the numbers or relationships needed (""For large x, the graph of y = log₂ x:"") so it grades and is answerable without ever seeing an image -- 'the graph' is decorative wording, not a missing dependency."
mc-05-02,k2,numeric,DATA_INLINE,no,n/a,no,yes,"figure key absent on step k2 (steps.4); not in ILLUSTRATION_REPLACEMENT queue for mc-05-02; prompt/options fully specify the numbers or relationships needed (""A line plot has 3 marks at 1/2, 1 mark at 3/4, and 1 mark at 5/8. How many measurements are on the plot in all?"") so it grades and is answerable without ever seeing an image -- 'the plot' is decorative wording, not a missing dependency."
mc-05-03,i1,numeric,DATA_INLINE,no,n/a,no,yes,"figure key absent on step i1 (steps.1); not in ILLUSTRATION_REPLACEMENT queue for mc-05-03; prompt/options fully specify the numbers or relationships needed (""Using the button-width plot (1/4×2, 3/8×1, 1/2×3, 5/8×1, 3/4×1), how many buttons measured MORE than 1/2 inch?"") so it grades and is answerable without ever seeing an image -- 'the plot' is decorative wording, not a missing dependency."
mmt-05-01,k1,numeric,DATA_INLINE,no,n/a,no,yes,"figure key absent on step k1 (steps.2); not in ILLUSTRATION_REPLACEMENT queue for mmt-05-01; prompt/options fully specify the numbers or relationships needed (""The picture graph shows 7 apple pictures for Tuesday. Each picture equals 1 vote. How many votes on Tuesday?"") so it grades and is answerable without ever seeing an image -- 'the picture' is decorative wording, not a missing dependency."
mmt-05-01,k2,numeric,DATA_INLINE,no,n/a,no,yes,"figure key absent on step k2 (steps.7); not in ILLUSTRATION_REPLACEMENT queue for mmt-05-01; prompt/options fully specify the numbers or relationships needed (""The picture graph shows 5 apple pictures for Friday. Each picture equals 1 vote. How many votes on Friday?"") so it grades and is answerable without ever seeing an image -- 'the picture' is decorative wording, not a missing dependency."
mmt-05-01,k3,numeric,DATA_INLINE,no,n/a,no,yes,"figure key absent on step k3 (steps.8); not in ILLUSTRATION_REPLACEMENT queue for mmt-05-01; prompt/options fully specify the numbers or relationships needed (""The picture graph shows 0 apple pictures for Saturday. Each picture equals 1 vote. How many votes on Saturday?"") so it grades and is answerable without ever seeing an image -- 'the picture' is decorative wording, not a missing dependency."
mmt-05-01,ch1,numeric,DATA_INLINE,no,n/a,no,yes,"figure key absent on step ch1 (steps.9); not in ILLUSTRATION_REPLACEMENT queue for mmt-05-01; prompt/options fully specify the numbers or relationships needed (""The picture graph shows 12 apple pictures for Sunday. Each picture equals 1 vote. How many votes on Sunday?"") so it grades and is answerable without ever seeing an image -- 'the picture' is decorative wording, not a missing dependency."
mmt-05-01,r1,(none),NO_FIGURE_AUTHORED,no,n/a,no,n/a,"kind=recap, no widget/prompt; body text ('When each picture equals 1...') references 'the picture' narratively; no figure key authored; not a gradable item."
md-03-03,i2,dragBucket,DATA_INLINE,no,n/a,no,yes,"figure key absent on step i2 (steps.5); not in ILLUSTRATION_REPLACEMENT queue for md-03-03; prompt/options fully specify the numbers or relationships needed (""Graph: apples 5, bananas 8, grapes 5, pears 2. Sort each statement."") so it grades and is answerable without ever seeing an image -- 'the this graph' is decorative wording, not a missing dependency."
mult-01-04,k1,mcq,DATA_INLINE,no,n/a,no,yes,"figure key absent on step k1 (steps.2); not in ILLUSTRATION_REPLACEMENT queue for mult-01-04; prompt/options fully specify the numbers or relationships needed (""A number line shows a rabbit making 4 hops of 5, starting at 0. Which multiplication matches the picture?"") so it grades and is answerable without ever seeing an image -- 'the picture' is decorative wording, not a missing dependency."
ns-01-01,i2,matchPairs,DATA_INLINE,no,n/a,no,yes,"figure key absent on step i2 (steps.5); not in ILLUSTRATION_REPLACEMENT queue for ns-01-01; prompt/options fully specify the numbers or relationships needed (""Match each 'how many fit' question to its answer."") so it grades and is answerable without ever seeing an image -- 'the picture' is decorative wording, not a missing dependency."
pf-02-02,k1,mcq,DATA_INLINE,no,n/a,no,yes,"figure key absent on step k1 (steps.3); not in ILLUSTRATION_REPLACEMENT queue for pf-02-02; prompt/options fully specify the numbers or relationships needed (""In f(x) = (x + 1)³(x − 2)², what does the graph do at x = −1?"") so it grades and is answerable without ever seeing an image -- 'the graph' is decorative wording, not a missing dependency."
pf-02-02,ch1,mcq,DATA_INLINE,no,n/a,no,yes,"figure key absent on step ch1 (steps.7); not in ILLUSTRATION_REPLACEMENT queue for pf-02-02; prompt/options fully specify the numbers or relationships needed (""For f(x) = x²(x − 4), what does the graph do at its zeros?"") so it grades and is answerable without ever seeing an image -- 'the graph' is decorative wording, not a missing dependency."
pf-05-01,k1,buildExpression,DATA_INLINE,no,n/a,no,yes,"figure key absent on step k1 (steps.3); not in ILLUSTRATION_REPLACEMENT queue for pf-05-01; prompt/options fully specify the numbers or relationships needed (""For f(x) = (x + 2)(x − 1)², what does the graph do at its zeros?"") so it grades and is answerable without ever seeing an image -- 'the graph' is decorative wording, not a missing dependency."
pf-05-01,k3,mcq,DATA_INLINE,no,n/a,no,yes,"figure key absent on step k3 (steps.6); not in ILLUSTRATION_REPLACEMENT queue for pf-05-01; prompt/options fully specify the numbers or relationships needed (""For g(x) = (x − 3)(x + 3) · x², what does the graph do at x = 0?"") so it grades and is answerable without ever seeing an image -- 'the graph' is decorative wording, not a missing dependency."
pr-03-02,i2,numeric,DATA_INLINE,no,n/a,no,yes,"figure key absent on step i2 (steps.4); not in ILLUSTRATION_REPLACEMENT queue for pr-03-02; prompt/options fully specify the numbers or relationships needed (""The graphed point (1, 6) represents a proportional relationship. What is the unit rate?"") so it grades and is answerable without ever seeing an image -- 'the graphed' is decorative wording, not a missing dependency."
pr-03-02,i3,numeric,DATA_INLINE,no,n/a,no,yes,"figure key absent on step i3 (steps.6); not in ILLUSTRATION_REPLACEMENT queue for pr-03-02; prompt/options fully specify the numbers or relationships needed (""The graphed point (4, 20) represents a proportional relationship. What is the unit rate?"") so it grades and is answerable without ever seeing an image -- 'the graphed' is decorative wording, not a missing dependency."
pr-03-02,k3,numeric,DATA_INLINE,no,n/a,no,yes,"figure key absent on step k3 (steps.8); not in ILLUSTRATION_REPLACEMENT queue for pr-03-02; prompt/options fully specify the numbers or relationships needed (""The graphed point (3, 18) represents a proportional relationship. What is the unit rate?"") so it grades and is answerable without ever seeing an image -- 'the graphed' is decorative wording, not a missing dependency."
pr-03-02,ch1,numeric,DATA_INLINE,no,n/a,no,yes,"figure key absent on step ch1 (steps.9); not in ILLUSTRATION_REPLACEMENT queue for pr-03-02; prompt/options fully specify the numbers or relationships needed (""The graphed point (8, 24) represents a proportional relationship. What is the unit rate?"") so it grades and is answerable without ever seeing an image -- 'the graphed' is decorative wording, not a missing dependency."
pr-03-03,i1,numeric,DATA_INLINE,no,n/a,no,yes,"figure key absent on step i1 (steps.1); not in ILLUSTRATION_REPLACEMENT queue for pr-03-03; prompt/options fully specify the numbers or relationships needed (""The graphed point (4, 20) represents a car trip. What is the rate?"") so it grades and is answerable without ever seeing an image -- 'the graphed' is decorative wording, not a missing dependency."
