bucket,lesson,step,course,title,widget,prompt
FIGURE_IS_THE_SKILL,ee-05-02,ch1,expressions-equations,Graphing Inequalities,mcq,"A cooler holds ""at most 8"" drinks: w ≤ 8. On the graph (closed circle at 8, arrow left), does w = 8 itself satisfy the inequality?"
FIGURE_IS_THE_SKILL,exp-04-01,i3,exponential-functions,Reading Exponential Graphs,numeric,The graph of f(x) = 7 * 2^x has what y-intercept?
FIGURE_IS_THE_SKILL,exp-04-01,k2,exponential-functions,Reading Exponential Graphs,mcq,Which describes the graph of f(x) = 6 * (1/2)^x?
FIGURE_IS_THE_SKILL,exp-04-01,ch1,exponential-functions,Reading Exponential Graphs,exactNumberLab,The graph of f(x) = 4 * 5^x crosses the y-axis at what value?
FIGURE_IS_THE_SKILL,g2g-02-01,k1,data-line-plots-g2,Building a Picture Graph,numeric,The picture graph shows 8 shells pictures for Tuesday. Each picture equals 1 shell. How many shells on Tuesday?
FIGURE_IS_THE_SKILL,g2g-02-01,k2,data-line-plots-g2,Building a Picture Graph,numeric,The picture graph shows 5 pinecones pictures for Tuesday. Each picture equals 1 find. How many finds on Tuesday?
FIGURE_IS_THE_SKILL,g2g-02-01,ch1,data-line-plots-g2,Building a Picture Graph,numeric,The picture graph shows 4 apples pictures for Thursday. Each picture equals 1 vote. How many votes on Thursday?
FIGURE_IS_THE_SKILL,g2g-02-02,k1,data-line-plots-g2,Reading a Picture Graph,numeric,The picture graph shows 5 stickers pictures for Wednesday. Each picture equals 1 sticker. How many stickers on Wednesday?
FIGURE_IS_THE_SKILL,g2g-02-02,k3,data-line-plots-g2,Reading a Picture Graph,numeric,The picture graph shows 9 stickers pictures for Monday. Each picture equals 1 sticker. How many stickers on Monday?
FIGURE_IS_THE_SKILL,la-01-03,i1,lines-angles,Reading Geometric Figures,matchPairs,"A figure has point A, ray AB, ray AC, and angle BAC. Match each label to what it is."
FIGURE_IS_THE_SKILL,lg-01-03,i2,logarithms,The Logarithmic Graph,mcq,Where does y = log₂ x cross the x-axis?
FIGURE_IS_THE_SKILL,lg-01-03,k3,logarithms,The Logarithmic Graph,mcq,"For large x, the graph of y = log₂ x:"
FIGURE_IS_THE_SKILL,mc-05-02,k2,measure-convert,Building a Line Plot,numeric,"A line plot has 3 marks at 1/2, 1 mark at 3/4, and 1 mark at 5/8. How many measurements are on the plot in all?"
FIGURE_IS_THE_SKILL,mc-05-03,i1,measure-convert,Reading Line Plot Questions,numeric,"Using the button-width plot (1/4×2, 3/8×1, 1/2×3, 5/8×1, 3/4×1), how many buttons measured MORE than 1/2 inch?"
FIGURE_IS_THE_SKILL,md-03-03,i2,measurement-data,Asking the Graph Questions,dragBucket,"Graph: apples 5, bananas 8, grapes 5, pears 2. Sort each statement."
FIGURE_IS_THE_SKILL,mmt-05-01,k1,measure-money-time,Reading a Picture Graph,numeric,The picture graph shows 7 apple pictures for Tuesday. Each picture equals 1 vote. How many votes on Tuesday?
FIGURE_IS_THE_SKILL,mmt-05-01,k2,measure-money-time,Reading a Picture Graph,numeric,The picture graph shows 5 apple pictures for Friday. Each picture equals 1 vote. How many votes on Friday?
FIGURE_IS_THE_SKILL,mmt-05-01,k3,measure-money-time,Reading a Picture Graph,numeric,The picture graph shows 0 apple pictures for Saturday. Each picture equals 1 vote. How many votes on Saturday?
FIGURE_IS_THE_SKILL,mmt-05-01,ch1,measure-money-time,Reading a Picture Graph,numeric,The picture graph shows 12 apple pictures for Sunday. Each picture equals 1 vote. How many votes on Sunday?
FIGURE_IS_THE_SKILL,pr-03-03,i1,proportional-relationships,Reading a Story from a Graph,numeric,"The graphed point (4, 20) represents a car trip. What is the rate?"
FIGURE_IS_THE_SKILL,pr-03-03,k1,proportional-relationships,Reading a Story from a Graph,numeric,"The graphed point (2, 18) represents a recipe. What is the rate?"
FIGURE_IS_THE_SKILL,pr-03-03,i3,proportional-relationships,Reading a Story from a Graph,numeric,"The graphed point (6, 24) represents a walking trip. What is the rate?"
FIGURE_IS_THE_SKILL,pr-03-03,k2,proportional-relationships,Reading a Story from a Graph,numeric,"The graphed point (5, 35) represents a factory's output. What is the rate?"
FIGURE_IS_THE_SKILL,pr-03-03,ch1,proportional-relationships,Reading a Story from a Graph,numeric,"The graphed point (6, 42) represents a delivery route's distance over time. What is the rate?"
FIGURE_IS_THE_SKILL,tg-01-01,k1,trig-graphs-inverses,Phase Shift: Sliding the Wave,mcq,The graph of y = sin(x + π/3) is the sine wave shifted:
FIGURE_IS_THE_SKILL,tg-02-01,k2,trig-graphs-inverses,Cosine's Graph: Starting at the Top,mcq,"For y = 2 cos x + 3, where does the graph FIRST cross its midline (x > 0)?"
FIGURE_IS_THE_SKILL,tm-01b-01,ch1,transformations-measurement,Translations as Coordinate Rules,numeric,"Under (x, y) → (x − 2, y + 6), a point lands at (3, 10). What was its original x-coordinate?"
FIGURE_IS_THE_SKILL,tm-01b-02,k2,transformations-measurement,Reflections as Coordinate Rules,numeric,"Reflect (−3, 7) across the x-axis. The image is (−3, b). What is b?"
FIGURE_IS_THE_SKILL,vm-02-01,k1,volume-measurement,Reading a Line Plot,mcq,"In the plot (1/4 → XX, 1/2 → XXX, 3/4 → X, 1 → XX), which length is MOST common?"
FIGURE_IS_THE_SKILL,vm-02-02,k1,volume-measurement,Using Line Plot Data,fractionEntry,"Total length of all ribbons in the plot (1/4 → XX, 1/2 → XXX, 3/4 → X)?"
FIGURE_IS_THE_SKILL,vm-02-02,k2,volume-measurement,Using Line Plot Data,fractionEntry,"In the plot (1/4 → XX, 1/2 → XXX, 3/4 → X), how much longer is the longest ribbon than the shortest?"
FIGURE_IS_THE_SKILL,vm-02-02,k3,volume-measurement,Using Line Plot Data,numeric,Write the plot's total in quarters: 2/4 + 6/4 + 3/4 = ?/4. What is the numerator?
FIGURE_IS_THE_SKILL,vm-02-02,ch1,volume-measurement,Using Line Plot Data,fractionEntry,"Total length of the plot 1/4 → X, 1/2 → XX, 3/4 → X?"
WORDING_DEFECT,dd-02-03,k1,data-distributions,The Shape of Data,mcq,"The plot of 1,2,2,3,3,3,4,4,5 peaks at 3, with 3 dots below the peak and 3 above. What's its shape?"
WORDING_DEFECT,dd-02-03,k2,data-distributions,The Shape of Data,mcq,"In the plot of 1,1,1,2,2,3,4,8 — what is the 8?"
WORDING_DEFECT,g5f-02-02,k2,fraction-division-g5,Dividing a Whole Number by a Unit Fraction,mcq,"To model 3 ÷ 1/4, what does the picture show?"
WORDING_DEFECT,g5f-02-03,k1,fraction-division-g5,Using a Visual Model,mcq,"To model 3 ÷ 1/4, what does the picture show?"
WORDING_DEFECT,g5f-02-03,ch1,fraction-division-g5,Using a Visual Model,mcq,"To model 3 ÷ 1/4, what does the picture show?"
WORDING_DEFECT,mult-01-04,k1,multiplication-division,Hops on the Number Line,mcq,"A number line shows a rabbit making 4 hops of 5, starting at 0. Which multiplication matches the picture?"
WORDING_DEFECT,pr-03-02,i2,proportional-relationships,The Point That Shows the Unit Rate,numeric,"The graphed point (1, 6) represents a proportional relationship. What is the unit rate?"
WORDING_DEFECT,pr-03-02,i3,proportional-relationships,The Point That Shows the Unit Rate,numeric,"The graphed point (4, 20) represents a proportional relationship. What is the unit rate?"
WORDING_DEFECT,pr-03-02,k3,proportional-relationships,The Point That Shows the Unit Rate,numeric,"The graphed point (3, 18) represents a proportional relationship. What is the unit rate?"
WORDING_DEFECT,pr-03-02,ch1,proportional-relationships,The Point That Shows the Unit Rate,numeric,"The graphed point (8, 24) represents a proportional relationship. What is the unit rate?"
WORDING_DEFECT,sg-03-02,i2,solid-geometry,The One-Third Story,mcq,The figure shows the cone inside its matching cylinder. The space BETWEEN them (cylinder minus cone) holds:
NO_FIGURE_AUTHORED,dm-01-01,k1,data-and-models,"One Dataset's Shape, Two Datasets Compared",numeric,"On this plot, how many students scored an 8?"
NO_FIGURE_AUTHORED,ft-02-02,r1,function-transformations,Horizontal Shifts,,Inside numbers move the graph sideways — against the sign.
NO_FIGURE_AUTHORED,mmt-05-01,r1,measure-money-time,Reading a Picture Graph,,"When each picture equals 1, the picture count IS the total."
NO_FIGURE_AUTHORED,vm-02-02,r1,volume-measurement,Using Line Plot Data,,The plot is a dataset.
FALSE_POSITIVE_ABSTRACT_REFERENCE,alg1-04-01,k3,solving-equations,Solving Inequalities,mcq,The graph of x < 4 has its arrow pointing which way?
FALSE_POSITIVE_ABSTRACT_REFERENCE,avp-01-03,ch1,absolute-value-piecewise,Shifting and Flipping the V,numeric,y = |x − h| + 1 has its vertex at x = 6. What is h?
FALSE_POSITIVE_ABSTRACT_REFERENCE,avp-02-02,k3,absolute-value-piecewise,"No Solution, One, or Two",mcq,"Graphically, why does |x| = −2 have no solutions?"
FIGURE_PRESENT_FALSE_POSITIVE,exp-04-01,i1,exponential-functions,Reading Exponential Graphs,expLogExplore,"The graph passes through (2, 16). Slide the base until your curve does too."
FALSE_POSITIVE_ABSTRACT_REFERENCE,fna-01-02,k2,function-analysis,Secant Lines: Seeing the Rate,mcq,A secant through two points on a curve is perfectly horizontal. What does that say about the function on that interval?
FALSE_POSITIVE_ABSTRACT_REFERENCE,fna-03-01,k3,function-analysis,Even & Odd: The Symmetry Test,mcq,A graph is symmetric about the y-axis. What must be true?
FALSE_POSITIVE_ABSTRACT_REFERENCE,ft-02-01,k1,function-transformations,Vertical Shifts,numeric,"On the graph of y = x² − 4, what is y when x = 3?"
FALSE_POSITIVE_ABSTRACT_REFERENCE,ft-02-01,i2,function-transformations,Vertical Shifts,mcq,Which rule moves the graph of y = |x| DOWN 7 units?
FALSE_POSITIVE_ABSTRACT_REFERENCE,ft-02-01,k3,function-transformations,Vertical Shifts,mcq,"Compared to y = √x, the graph of y = √x + 3 is moved…"
FALSE_POSITIVE_ABSTRACT_REFERENCE,ft-02-01,ch1,function-transformations,Vertical Shifts,numeric,"On the graph of y = x³ − 6, what is y when x = 2?"
FALSE_POSITIVE_ABSTRACT_REFERENCE,ft-02-02,k3,function-transformations,Horizontal Shifts,numeric,"On the graph of y = (x − 4)², what is y when x = 6?"
FALSE_POSITIVE_ABSTRACT_REFERENCE,ft-02-02,ch1,function-transformations,Horizontal Shifts,numeric,"On the graph of y = |x − 5|, what is y when x = 1?"
FALSE_POSITIVE_ABSTRACT_REFERENCE,ft-03-01,k1,function-transformations,Reflections,mcq,What does the graph of y = −|x| look like?
FALSE_POSITIVE_ABSTRACT_REFERENCE,ft-03-01,i2,function-transformations,Reflections,numeric,"On the graph of y = √(−x), what is y when x = −9?"
FALSE_POSITIVE_ABSTRACT_REFERENCE,ft-03-01,k2,function-transformations,Reflections,numeric,"On the graph of y = −x³, what is y when x = 2?"
FALSE_POSITIVE_ABSTRACT_REFERENCE,ft-03-01,ch1,function-transformations,Reflections,numeric,"The point (2, 4) sits on y = x². On the graph of y = −x², what is y at x = 2?"
FALSE_POSITIVE_ABSTRACT_REFERENCE,ft-03-02,k1,function-transformations,Stretches & Compressions,numeric,"On the graph of y = ½x², what is y when x = 4?"
FALSE_POSITIVE_ABSTRACT_REFERENCE,ft-03-02,i2,function-transformations,Stretches & Compressions,mcq,"Compared to y = |x|, the graph of y = 4|x| is…"
FALSE_POSITIVE_ABSTRACT_REFERENCE,ft-03-02,k2,function-transformations,Stretches & Compressions,numeric,"On the graph of y = 2√x, what is y when x = 9?"
FALSE_POSITIVE_ABSTRACT_REFERENCE,ft-03-02,ch1,function-transformations,Stretches & Compressions,numeric,"On the graph of y = −2x², what is y when x = 3?"
FALSE_POSITIVE_ABSTRACT_REFERENCE,ft-03-03,k2,function-transformations,Reading the Full Rule,numeric,"On the graph of y = −2(x − 1)² + 8, what is y when x = 3?"
FALSE_POSITIVE_ABSTRACT_REFERENCE,ft-03-03,ch1,function-transformations,Reading the Full Rule,numeric,"On the graph of y = 3(x + 2)² − 5, what is y when x = 0?"
FALSE_POSITIVE_ABSTRACT_REFERENCE,gf-03-02,i1,geometry-foundations,Reflections as Functions,mcq,"What is the image of (3, 7) reflected over the x-axis?"
FALSE_POSITIVE_ABSTRACT_REFERENCE,gf-03-02,k1,geometry-foundations,Reflections as Functions,numeric,"Reflect (−4, 6) over the y-axis. What is the image's x-coordinate?"
FALSE_POSITIVE_ABSTRACT_REFERENCE,gf-03-02,k3,geometry-foundations,Reflections as Functions,numeric,"Reflect (7, 3) over the line y = x. What is the image's x-coordinate?"
FALSE_POSITIVE_ABSTRACT_REFERENCE,gf-03-03,i1,geometry-foundations,Rotations as Functions,mcq,"What is the image of (3, 5) rotated 180° about the origin?"
FALSE_POSITIVE_ABSTRACT_REFERENCE,gf-03-03,k1,geometry-foundations,Rotations as Functions,numeric,"Rotate (4, 1) by 90° counterclockwise about the origin. What is the image's y-coordinate?"
FALSE_POSITIVE_ABSTRACT_REFERENCE,gf-03-03,k2,geometry-foundations,Rotations as Functions,numeric,"Rotate (1, 7) by 270° counterclockwise about the origin. What is the image's y-coordinate?"
FALSE_POSITIVE_ABSTRACT_REFERENCE,la-03-03,ch1,lines-angles,Classifying Quadrilaterals,mcq,"A picture frame has corners measuring 90°, 90°, 90°, and 88°. Is it a true rectangle?"
FALSE_POSITIVE_ABSTRACT_REFERENCE,ns-01-01,i2,number-system,How Many Fit?,matchPairs,"Match each ""how many fit"" question to its answer."
FALSE_POSITIVE_ABSTRACT_REFERENCE,pf-02-02,k1,polynomial-functions,Multiplicity: Bounce or Cross,mcq,"In f(x) = (x + 1)³(x − 2)², what does the graph do at x = −1?"
FALSE_POSITIVE_ABSTRACT_REFERENCE,pf-02-02,ch1,polynomial-functions,Multiplicity: Bounce or Cross,mcq,"For f(x) = x²(x − 4), what does the graph do at its zeros?"
FALSE_POSITIVE_ABSTRACT_REFERENCE,pf-05-01,k1,polynomial-functions,Sketching from Factored Form,buildExpression,"For f(x) = (x + 2)(x − 1)², what does the graph do at its zeros?"
FALSE_POSITIVE_ABSTRACT_REFERENCE,pf-05-01,k3,polynomial-functions,Sketching from Factored Form,mcq,"For g(x) = (x − 3)(x + 3) · x², what does the graph do at x = 0?"
FALSE_POSITIVE_ABSTRACT_REFERENCE,qu-01-03,i1,quadratics,"Stretch, Flip, and Shift",mcq,"Compared with y = x^2, the graph of y = 3x^2 is..."
FALSE_POSITIVE_ABSTRACT_REFERENCE,qu-01-03,k3,quadratics,"Stretch, Flip, and Shift",mcq,The graph of y = (x - 3)^2 - 4 is y = x^2 shifted how?
FALSE_POSITIVE_ABSTRACT_REFERENCE,re-03-01,k3,radical-functions,The Square-Root Function,mcq,Which point is NOT on the graph of f(x) = √x?
FALSE_POSITIVE_ABSTRACT_REFERENCE,re-03-02,k3,radical-functions,Domains of Radical Functions,mcq,Where does the graph of f(x) = √(x − 3) START?
FALSE_POSITIVE_ABSTRACT_REFERENCE,sy-01-01,i2,similarity,Dilations & Scale Factor,mcq,A dilation has scale factor k = ½. The image is…
FALSE_POSITIVE_ABSTRACT_REFERENCE,sy-06-01,k1,similarity,Dilations and Parallel Lines,numeric,"The rectangle's bottom side is 3 units long. After dilating by k = 2, how long is the image's bottom side?"
FALSE_POSITIVE_ABSTRACT_REFERENCE,tm-01-02,i1,transformations-measurement,Flipping with Reflections,mcq,"Reflect the point (3, 5) across the x-axis. What is the image?"
FALSE_POSITIVE_ABSTRACT_REFERENCE,tm-01-03,i1,transformations-measurement,Turning with Rotations,mcq,"Rotate (2, 3) by 180° around the origin. What is the image?"
FALSE_POSITIVE_ABSTRACT_REFERENCE,tm-01-03,i2,transformations-measurement,Turning with Rotations,mcq,"Rotate (−5, 2) by 180° around the origin. What is the image?"
FALSE_POSITIVE_ABSTRACT_REFERENCE,tm-02-02,i1,transformations-measurement,Dilations,mcq,"Dilate (3, 4) by a scale factor of 2 from the origin. What is the image?"
FALSE_POSITIVE_ABSTRACT_REFERENCE,tm-02-02,k3,transformations-measurement,Dilations,mcq,A shape is dilated by a factor of 3. Is the image congruent to the original?
