lesson,step,current_widget,trigger_phrase,proposed_engine,same_course_precedent,confidence,prompt,resolution
cr-06-01,ch1,mcq,Radius doubles from 4 to 8,scaledCircleLab,yes,high,Radius doubles from 4 to 8. The 2r piece goes from 8 to 16. The r² piece goes from 16 to 64. Which piece grew by the LARGER factor?,DONE i3 scaledCircleLab (r^2 at the doubled radius 8)
ft-03-02,k3,mcq,For which value of a is y = a·x² WIDER,quadraticExplore,yes,high,For which value of a is y = a·x² WIDER (flatter) than the parent y = x²?,"NOT POSSIBLE - quadraticExplore targetA/aMin/aMax are z.number().int(), so the 0 < a < 1 ""wider"" case being graded cannot be drawn; only the distractors could."
exp-04-02,k2,mcq,which grows faster,expLogExplore,yes,high,Which grows faster: f(x) = 5 * 2^x or g(x) = 1 * 4^x?,DONE i3b expLogExplore (slide base to 4 so b^3 reads 64)
exp-04-03,k3,mcq,which eventually grows larger,expLogExplore,yes,high,"Which eventually grows larger: linear +100 each step, or exponential ×2 each step?",ALREADY SERVED - i2 is the closest possible expLogExplore instance and its prompt already names the comparison; the engine draws no linear curve.
ns-01-01,k2,mcq,is 5 ÷ 1/3 bigger or smaller than 5,numberLineHop,yes,high,"Without computing exactly, is 5 ÷ 1/3 bigger or smaller than 5?",DONE i1b numberLineHop (12 quarter-hops to 3)
dr-01-03,k3,mcq,magnify a graph at a point and it becomes indistinguishable,derivativeTrace,yes,high,You magnify a graph at a point and it becomes indistinguishable from a straight line. What have you shown?,"DONE i2 derivativeTrace (smooth x^2, the contrast to i1 |x|)"
sc-02-02,k1,mcq,what happens if you add more terms,taylorApprox,yes,high,"At x = 2, the series 1 + x + x² + … has terms 1, 2, 4, 8, … What happens if you add more terms?",ALREADY SERVED - i1 is the exact taylorApprox radius lab; terms mode has no legal targetN at x = 2 because the series diverges.
rf-02-02,k3,mcq,which value becomes newly excluded because of the flip,signChart,yes,high,"When dividing BY (x − 2)/(x + 3), which value becomes newly excluded because of the flip?",DONE i2b signChart (the divisor BEFORE the flip)
pr-04b-02,k3,mcq,order doubles from $100 to $200 ... what happens to the total charge,percentBar,yes,high,A service charges a flat $5 fee plus 3% of the order. The order doubles from $100 to $200. What happens to the total charge?,"NOT POSSIBLE - percentBar has no flat-fee affordance, and fee-vs-percent IS the check; a bar for 3% of $200 would print the answer."
pc-03-01,k2,mcq,A particle moves on the unit circle ... is it accelerating,vectorExplore,yes,high,"A particle moves on the unit circle: r = ⟨cos t, sin t⟩. Its speed is 1 at every instant. Is it accelerating?",DONE i1b vectorExplore add (velocity change over a quarter turn)
cpr-05-03,k2,mcq,"what happens if you use C(5,3) = 10 over 8P3 = 336",probabilityArea,yes,high,"P(all red) = 10/56 uses combinations top and bottom. What happens if you use C(5,3) = 10 over 8P3 = 336?","ALREADY SERVED - i1 is literally this manipulative (""Shade the all-red groups: 10 of the 56"")."
pv-03-03,k1,mcq,the 6 becomes a 5 and the 3 becomes 13,columnCalc,yes,high,"In 63 − 38, the 6 becomes a 5 and the 3 becomes 13. What happened?","DONE i1b columnCalc (412 - 157, two trades)"
pv2-04-03,k3,mcq,what happens to those two zeros,columnCalc,yes,high,"When a borrow chain reaches past two zero digits to find a nonzero one, what happens to those two zeros?","DONE i2b columnCalc (6002 - 1348, chain across two zeros)"
iar-03-01,ch1,mcq,Add a flour limit x ≤ 4. What happens to the corner,systemsExplore,yes,medium,"Add a flour limit x ≤ 4. What happens to the corner (6, 0)?","NOT POSSIBLE - systemsExplore draws y = mx + b with integer m,b; the added constraint is VERTICAL (x <= 4)."
iar-03-03,ch1,numeric,"the dough limit relaxes to x ≤ 5, the best profit becomes",systemsExplore,yes,medium,"If the dough limit relaxes to x ≤ 5, the best profit becomes…",NOT POSSIBLE - same; the constraint is x <= 5.
pp-04-01,k1,mcq,as t increases the point moves,polarTrace,yes,medium,"For x = t + 1, y = 2t, as t increases the point moves:",NOT POSSIBLE - polarTrace grades rose-petal count / limacon a; this check is direction of travel on a parametric line.
pp-04-01,k2,mcq,"At t = π/2 it reaches (0, 1), so it travels",polarTrace,yes,medium,"x = cos t, y = sin t starts at (1, 0). At t = π/2 it reaches (0, 1), so it travels:",NOT POSSIBLE - same; this check is orientation of a circle traversal.
fna-03-03,k3,mcq,what happens to C(w) as a parcel's weight crosses,NONE,no,medium,What happens to C(w) as a parcel's weight crosses from 2 kg to just over 2 kg?,NO ENGINE - step-function jump discontinuity; CSV proposed_engine is NONE. Inventing one was out of scope; dressing an unrelated engine in front of it would be padding.
tg-04-02,ch1,mcq,as x grows without bound,NONE,no,medium,What happens to arctan(x) as x grows without bound?,NO ENGINE - arctan horizontal asymptote; CSV proposed_engine is NONE.
tg-04-03,k2,mcq,As its input increases from −1 to 1,NONE,no,medium,"As its input increases from −1 to 1, arccos:",NO ENGINE - arccos decreasing direction; CSV proposed_engine is NONE.
kgb-03-03,ch1,mcq,Four small equal triangles slide together,NONE,no,low,Four small equal triangles slide together. What can they build?,"NO ENGINE - ""four triangles slide together""; CSV proposed_engine is NONE."
kgb-03-04,ch1,mcq,Four small equal triangles slide together,NONE,no,low,Four small equal triangles slide together. What can they build?,NO ENGINE - same construction shape; CSV proposed_engine is NONE.
