json_path_shape,audit_rows,render_mode,component,file_line,notes
title,6,RAW,LessonPlayer header / SyllabusClient / CatalogClient,"src/components/LessonPlayer.tsx:371,524; src/components/SyllabusClient.tsx:104,175; src/components/CatalogClient.tsx:42,166","Lesson/chapter/course titles are interpolated bare (`{st.lesson.title}`, `{ch.title}`, `{l.title}`, `{c.title}`) with no MathProse wrapper at any of the 6 sites."
steps[].figure,4,RAW,none (used only as a lookup key),src/components/LessonPlayer.tsx:583-585 (FigureView id={s.figure}),`figure` selects which diagram component to mount; the id string itself is never rendered as text.
steps[].widget.hotspots[].label,4,RAW,TapW,"src/components/widgets.tsx:12958,12972",Bare in `aria-label={h.label}` and in the reveal GhostChip's joined text.
steps[].widget.hotspots[].icon,4,RAW,TapW,src/components/widgets.tsx:12965,Bare `{h.icon}` repeated h.count times inside the hotspot button.
steps[].conceptTag,4,RAW,none (never displayed),n/a — mastery/routing key only,"No render/interpolation site found anywhere in src/components or src/lib that displays this field's text on screen; it is consumed only as a computation input or matching key, so ascii notation here never reaches the learner visually. Traced, not guessed — listed as RAW because there is definitively no math-typesetting path, not because a bare-text site is unverified."
steps[].variant.form,4,RAW,none (never displayed),src/lib/variants.ts:40388 (generator selection key),"No render/interpolation site found anywhere in src/components or src/lib that displays this field's text on screen; it is consumed only as a computation input or matching key, so ascii notation here never reaches the learner visually. Traced, not guessed — listed as RAW because there is definitively no math-typesetting path, not because a bare-text site is unverified."
remedials[].check.widget.values[].label,3,RAW,ExactNumberLabW,"src/components/widgets.tsx:7013,7016",Same sourceText join/render. remedials[].concept and remedials[].check are TStep objects injected verbatim into the step queue (src/lib/lessonState.ts:79-82 stepIndex()); they render through the exact same code path as the corresponding steps[].* shape.
steps[].widget.approxFormula.right.op,3,RAW,none (never displayed),src/lib/schema.ts:5559-5560 (computation only),"No render/interpolation site found anywhere in src/components or src/lib that displays this field's text on screen; it is consumed only as a computation input or matching key, so ascii notation here never reaches the learner visually. Traced, not guessed — listed as RAW because there is definitively no math-typesetting path, not because a bare-text site is unverified."
steps[].widget.approxFormula.right.left.op,3,RAW,none (never displayed),src/lib/schema.ts:5559-5560 (computation only),"No render/interpolation site found anywhere in src/components or src/lib that displays this field's text on screen; it is consumed only as a computation input or matching key, so ascii notation here never reaches the learner visually. Traced, not guessed — listed as RAW because there is definitively no math-typesetting path, not because a bare-text site is unverified."
steps[].widget.choices[].claim,3,RAW,none (never displayed),"src/components/widgets.tsx:1443,3491,3499 (comparison/derived-badge key only)","No render/interpolation site found anywhere in src/components or src/lib that displays this field's text on screen; it is consumed only as a computation input or matching key, so ascii notation here never reaches the learner visually. Traced, not guessed — listed as RAW because there is definitively no math-typesetting path, not because a bare-text site is unverified."
steps[].widget.approxFormula.right.right.op,3,RAW,none (never displayed),src/lib/schema.ts:5559-5560 (computation only),"No render/interpolation site found anywhere in src/components or src/lib that displays this field's text on screen; it is consumed only as a computation input or matching key, so ascii notation here never reaches the learner visually. Traced, not guessed — listed as RAW because there is definitively no math-typesetting path, not because a bare-text site is unverified."
steps[].widget.approxFormula.left.right.op,1,RAW,none (never displayed),src/lib/schema.ts:5559-5560 (computation only),"No render/interpolation site found anywhere in src/components or src/lib that displays this field's text on screen; it is consumed only as a computation input or matching key, so ascii notation here never reaches the learner visually. Traced, not guessed — listed as RAW because there is definitively no math-typesetting path, not because a bare-text site is unverified."
remedials[].conceptTag,1,RAW,none (never displayed),n/a — mastery/routing key only,"No render/interpolation site found anywhere in src/components or src/lib that displays this field's text on screen; it is consumed only as a computation input or matching key, so ascii notation here never reaches the learner visually. Traced, not guessed — listed as RAW because there is definitively no math-typesetting path, not because a bare-text site is unverified."
remedials[].check.conceptTag,1,RAW,none (never displayed),n/a — mastery/routing key only,"No render/interpolation site found anywhere in src/components or src/lib that displays this field's text on screen; it is consumed only as a computation input or matching key, so ascii notation here never reaches the learner visually. Traced, not guessed — listed as RAW because there is definitively no math-typesetting path, not because a bare-text site is unverified."
steps[].widget.approxFormula.left.op,1,RAW,none (never displayed),src/lib/schema.ts:5559-5560 (computation only),"No render/interpolation site found anywhere in src/components or src/lib that displays this field's text on screen; it is consumed only as a computation input or matching key, so ascii notation here never reaches the learner visually. Traced, not guessed — listed as RAW because there is definitively no math-typesetting path, not because a bare-text site is unverified."
steps[].widget.operations[].label,1,RAW,EquationOutcomeLabW,"src/components/widgets.tsx:5583,5584",Bare `{operation.label}` on the operation-bank button and in the applied-operations list.
steps[].widget.authoredStages[].body,1,RAW,ExactNumberLabW / GeometricConstraintLabW / AffineRelationshipLabW / PointSetReasoningLabW,"src/components/widgets.tsx:7019 (also 7137, 6991-area, 79-area)",Bare `{authored?.body??stage.value}` once a stage is revealed; shared pattern across the 4 stage-reveal widget families.
remedials[].check.widget.choices[].claim,1,RAW,none (never displayed),"src/components/widgets.tsx:1443,3491,3499","No render/interpolation site found anywhere in src/components or src/lib that displays this field's text on screen; it is consumed only as a computation input or matching key, so ascii notation here never reaches the learner visually. Traced, not guessed — listed as RAW because there is definitively no math-typesetting path, not because a bare-text site is unverified."
steps[].widget.prompt,947,MATHPROSE,~150 widget components (spec.prompt),src/components/widgets.tsx:311 (e.g.; repeats ~150x through line 16299),"Every `spec.prompt` usage in widgets.tsx renders via <MathProse text={spec.prompt} /> with no includeArithmetic prop — grep confirms zero non-MathProse, non-aria-label uses of spec.prompt in the file."
steps[].widget.options[].label,467,MATHPROSE,McqW,src/components/widgets.tsx:343,<span ...><MathProse text={o.label} /></span> inside the mcq widget; this is the only widget type with an options[].label shape.
remedials[].check.widget.options[].label,157,MATHPROSE,McqW,src/components/widgets.tsx:343,Same McqW site. remedials[].concept and remedials[].check are TStep objects injected verbatim into the step queue (src/lib/lessonState.ts:79-82 stepIndex()); they render through the exact same code path as the corresponding steps[].* shape.
remedials[].check.widget.prompt,146,MATHPROSE,~150 widget components (spec.prompt),src/components/widgets.tsx:311 (same ~150 sites),Same MathProse sites as steps[].widget.prompt. remedials[].concept and remedials[].check are TStep objects injected verbatim into the step queue (src/lib/lessonState.ts:79-82 stepIndex()); they render through the exact same code path as the corresponding steps[].* shape.
steps[].predict.prompt,100,MATHPROSE,LessonPlayer predict card,src/components/LessonPlayer.tsx:600,<MathProse text={s.predict.prompt} /> (no includeArithmetic).
steps[].predict.options[].label,78,MATHPROSE,LessonPlayer predict card,"src/components/LessonPlayer.tsx:611 (also 625, 822, 827)",<MathProse text={o.label} /> for each predict option; no includeArithmetic at any of the 4 sites.
steps[].predict.reveal,66,MATHPROSE,LessonPlayer predict reveal,src/components/LessonPlayer.tsx:830,<MathProse text={s.predict.reveal} /> (no includeArithmetic).
steps[].teaser,9,MATHPROSE,LessonPlayer recap teaser,src/components/LessonPlayer.tsx:711,<MathProse text={s.teaser} /> (no includeArithmetic).
steps[].body,1292,MATHPROSE_ARITH,Rich(),src/components/playerChrome.tsx:85 (called from LessonPlayer.tsx:589),Rich() splits on '**' and wraps every segment in <MathProse includeArithmetic>.
steps[].explanationVariants[],1142,MATHPROSE_ARITH,LessonPlayer explanation block,src/components/LessonPlayer.tsx:837,<MathProse text={s.explanationVariants[st.variant]} includeArithmetic />.
steps[].widget.commonErrors[].feedback,766,MATHPROSE_ARITH,evaluate.ts feedback resolver -> LessonPlayer StatusBanner,"src/lib/evaluate.ts (per-widget-type feedback resolution) -> src/components/LessonPlayer.tsx:751,768,777","authored *.feedback flows through src/lib/evaluate.ts's per-widget-type switch into a single {feedback} string set as st.feedback, then rendered by LessonPlayer.tsx via MathProse with includeArithmetic (also QuizShell.tsx equivalents, same mode)."
steps[].widget.fallbackFeedback,542,MATHPROSE_ARITH,evaluate.ts feedback resolver -> LessonPlayer StatusBanner,"src/lib/evaluate.ts (per-widget-type feedback resolution) -> src/components/LessonPlayer.tsx:751,768,777","authored *.feedback flows through src/lib/evaluate.ts's per-widget-type switch into a single {feedback} string set as st.feedback, then rendered by LessonPlayer.tsx via MathProse with includeArithmetic (also QuizShell.tsx equivalents, same mode)."
steps[].widget.options[].feedback,541,MATHPROSE_ARITH,evaluate.ts feedback resolver -> LessonPlayer StatusBanner,"src/lib/evaluate.ts (per-widget-type feedback resolution) -> src/components/LessonPlayer.tsx:751,768,777","authored *.feedback flows through src/lib/evaluate.ts's per-widget-type switch into a single {feedback} string set as st.feedback, then rendered by LessonPlayer.tsx via MathProse with includeArithmetic (also QuizShell.tsx equivalents, same mode)."
steps[].widget.successFeedback,465,MATHPROSE_ARITH,evaluate.ts feedback resolver -> LessonPlayer StatusBanner,"src/lib/evaluate.ts (per-widget-type feedback resolution) -> src/components/LessonPlayer.tsx:751,768,777","authored *.feedback flows through src/lib/evaluate.ts's per-widget-type switch into a single {feedback} string set as st.feedback, then rendered by LessonPlayer.tsx via MathProse with includeArithmetic (also QuizShell.tsx equivalents, same mode)."
steps[].hints[],367,MATHPROSE_ARITH,LessonPlayer hints list,src/components/LessonPlayer.tsx:731,<MathProse text={h} includeArithmetic /> per hint.
remedials[].concept.body,276,MATHPROSE_ARITH,Rich(),src/components/playerChrome.tsx:85 (called from LessonPlayer.tsx:589),Same Rich() path as steps[].body — remedial concept is an injected TStep. remedials[].concept and remedials[].check are TStep objects injected verbatim into the step queue (src/lib/lessonState.ts:79-82 stepIndex()); they render through the exact same code path as the corresponding steps[].* shape.
remedials[].check.explanationVariants[],202,MATHPROSE_ARITH,LessonPlayer explanation block,src/components/LessonPlayer.tsx:837,Same site as steps[].explanationVariants[] — remedial check is an injected TStep. remedials[].concept and remedials[].check are TStep objects injected verbatim into the step queue (src/lib/lessonState.ts:79-82 stepIndex()); they render through the exact same code path as the corresponding steps[].* shape.
steps[].widget.numericErrors[].feedback,170,MATHPROSE_ARITH,evaluate.ts feedback resolver -> LessonPlayer StatusBanner,"src/lib/evaluate.ts (per-widget-type feedback resolution) -> src/components/LessonPlayer.tsx:751,768,777","authored *.feedback flows through src/lib/evaluate.ts's per-widget-type switch into a single {feedback} string set as st.feedback, then rendered by LessonPlayer.tsx via MathProse with includeArithmetic (also QuizShell.tsx equivalents, same mode)."
steps[].widget.choices[].feedback,155,MATHPROSE_ARITH,evaluate.ts feedback resolver -> LessonPlayer StatusBanner,"src/lib/evaluate.ts (per-widget-type feedback resolution) -> src/components/LessonPlayer.tsx:751,768,777","authored *.feedback flows through src/lib/evaluate.ts's per-widget-type switch into a single {feedback} string set as st.feedback, then rendered by LessonPlayer.tsx via MathProse with includeArithmetic (also QuizShell.tsx equivalents, same mode)."
steps[].widget.commonFractions[].feedback,144,MATHPROSE_ARITH,evaluate.ts feedback resolver -> LessonPlayer StatusBanner,"src/lib/evaluate.ts (per-widget-type feedback resolution) -> src/components/LessonPlayer.tsx:751,768,777","authored *.feedback flows through src/lib/evaluate.ts's per-widget-type switch into a single {feedback} string set as st.feedback, then rendered by LessonPlayer.tsx via MathProse with includeArithmetic (also QuizShell.tsx equivalents, same mode)."
remedials[].check.widget.options[].feedback,142,MATHPROSE_ARITH,evaluate.ts feedback resolver -> LessonPlayer StatusBanner,"src/lib/evaluate.ts (per-widget-type feedback resolution) -> src/components/LessonPlayer.tsx:751,768,777","authored *.feedback flows through src/lib/evaluate.ts's per-widget-type switch into a single {feedback} string set as st.feedback, then rendered by LessonPlayer.tsx via MathProse with includeArithmetic (also QuizShell.tsx equivalents, same mode). remedials[].concept and remedials[].check are TStep objects injected verbatim into the step queue (src/lib/lessonState.ts:79-82 stepIndex()); they render through the exact same code path as the corresponding steps[].* shape."
remedials[].check.widget.commonErrors[].feedback,120,MATHPROSE_ARITH,evaluate.ts feedback resolver -> LessonPlayer StatusBanner,"src/lib/evaluate.ts (per-widget-type feedback resolution) -> src/components/LessonPlayer.tsx:751,768,777","authored *.feedback flows through src/lib/evaluate.ts's per-widget-type switch into a single {feedback} string set as st.feedback, then rendered by LessonPlayer.tsx via MathProse with includeArithmetic (also QuizShell.tsx equivalents, same mode). remedials[].concept and remedials[].check are TStep objects injected verbatim into the step queue (src/lib/lessonState.ts:79-82 stepIndex()); they render through the exact same code path as the corresponding steps[].* shape."
steps[].widget.commonEntries[].feedback,97,MATHPROSE_ARITH,evaluate.ts feedback resolver -> LessonPlayer StatusBanner,"src/lib/evaluate.ts (per-widget-type feedback resolution) -> src/components/LessonPlayer.tsx:751,768,777","authored *.feedback flows through src/lib/evaluate.ts's per-widget-type switch into a single {feedback} string set as st.feedback, then rendered by LessonPlayer.tsx via MathProse with includeArithmetic (also QuizShell.tsx equivalents, same mode)."
steps[].widget.highFeedback,89,MATHPROSE_ARITH,evaluate.ts feedback resolver -> LessonPlayer StatusBanner,"src/lib/evaluate.ts (per-widget-type feedback resolution) -> src/components/LessonPlayer.tsx:751,768,777","authored *.feedback flows through src/lib/evaluate.ts's per-widget-type switch into a single {feedback} string set as st.feedback, then rendered by LessonPlayer.tsx via MathProse with includeArithmetic (also QuizShell.tsx equivalents, same mode)."
steps[].widget.lowFeedback,79,MATHPROSE_ARITH,evaluate.ts feedback resolver -> LessonPlayer StatusBanner,"src/lib/evaluate.ts (per-widget-type feedback resolution) -> src/components/LessonPlayer.tsx:751,768,777","authored *.feedback flows through src/lib/evaluate.ts's per-widget-type switch into a single {feedback} string set as st.feedback, then rendered by LessonPlayer.tsx via MathProse with includeArithmetic (also QuizShell.tsx equivalents, same mode)."
steps[].widget.items[].feedback,70,MATHPROSE_ARITH,evaluate.ts feedback resolver -> LessonPlayer StatusBanner,"src/lib/evaluate.ts (per-widget-type feedback resolution) -> src/components/LessonPlayer.tsx:751,768,777","authored *.feedback flows through src/lib/evaluate.ts's per-widget-type switch into a single {feedback} string set as st.feedback, then rendered by LessonPlayer.tsx via MathProse with includeArithmetic (also QuizShell.tsx equivalents, same mode)."
steps[].takeaways[],69,MATHPROSE_ARITH,LessonPlayer recap list,src/components/LessonPlayer.tsx:707,<MathProse text={t} includeArithmetic /> per takeaway.
remedials[].check.widget.fallbackFeedback,66,MATHPROSE_ARITH,evaluate.ts feedback resolver -> LessonPlayer StatusBanner,"src/lib/evaluate.ts (per-widget-type feedback resolution) -> src/components/LessonPlayer.tsx:751,768,777","authored *.feedback flows through src/lib/evaluate.ts's per-widget-type switch into a single {feedback} string set as st.feedback, then rendered by LessonPlayer.tsx via MathProse with includeArithmetic (also QuizShell.tsx equivalents, same mode). remedials[].concept and remedials[].check are TStep objects injected verbatim into the step queue (src/lib/lessonState.ts:79-82 stepIndex()); they render through the exact same code path as the corresponding steps[].* shape."
steps[].widget.commonBuilds[].feedback,43,MATHPROSE_ARITH,evaluate.ts feedback resolver -> LessonPlayer StatusBanner,"src/lib/evaluate.ts (per-widget-type feedback resolution) -> src/components/LessonPlayer.tsx:751,768,777","authored *.feedback flows through src/lib/evaluate.ts's per-widget-type switch into a single {feedback} string set as st.feedback, then rendered by LessonPlayer.tsx via MathProse with includeArithmetic (also QuizShell.tsx equivalents, same mode)."
steps[].widget.pairErrors[].feedback,27,MATHPROSE_ARITH,evaluate.ts feedback resolver -> LessonPlayer StatusBanner,"src/lib/evaluate.ts (per-widget-type feedback resolution) -> src/components/LessonPlayer.tsx:751,768,777","authored *.feedback flows through src/lib/evaluate.ts's per-widget-type switch into a single {feedback} string set as st.feedback, then rendered by LessonPlayer.tsx via MathProse with includeArithmetic (also QuizShell.tsx equivalents, same mode)."
steps[].widget.commonPlacements[].feedback,27,MATHPROSE_ARITH,evaluate.ts feedback resolver -> LessonPlayer StatusBanner,"src/lib/evaluate.ts (per-widget-type feedback resolution) -> src/components/LessonPlayer.tsx:751,768,777","authored *.feedback flows through src/lib/evaluate.ts's per-widget-type switch into a single {feedback} string set as st.feedback, then rendered by LessonPlayer.tsx via MathProse with includeArithmetic (also QuizShell.tsx equivalents, same mode)."
remedials[].check.widget.choices[].feedback,23,MATHPROSE_ARITH,evaluate.ts feedback resolver -> LessonPlayer StatusBanner,"src/lib/evaluate.ts (per-widget-type feedback resolution) -> src/components/LessonPlayer.tsx:751,768,777","authored *.feedback flows through src/lib/evaluate.ts's per-widget-type switch into a single {feedback} string set as st.feedback, then rendered by LessonPlayer.tsx via MathProse with includeArithmetic (also QuizShell.tsx equivalents, same mode). remedials[].concept and remedials[].check are TStep objects injected verbatim into the step queue (src/lib/lessonState.ts:79-82 stepIndex()); they render through the exact same code path as the corresponding steps[].* shape."
steps[].widget.missFeedback,14,MATHPROSE_ARITH,evaluate.ts feedback resolver -> LessonPlayer StatusBanner,"src/lib/evaluate.ts (per-widget-type feedback resolution) -> src/components/LessonPlayer.tsx:751,768,777","authored *.feedback flows through src/lib/evaluate.ts's per-widget-type switch into a single {feedback} string set as st.feedback, then rendered by LessonPlayer.tsx via MathProse with includeArithmetic (also QuizShell.tsx equivalents, same mode)."
steps[].widget.commonResults[].feedback,10,MATHPROSE_ARITH,evaluate.ts feedback resolver -> LessonPlayer StatusBanner,"src/lib/evaluate.ts (per-widget-type feedback resolution) -> src/components/LessonPlayer.tsx:751,768,777","authored *.feedback flows through src/lib/evaluate.ts's per-widget-type switch into a single {feedback} string set as st.feedback, then rendered by LessonPlayer.tsx via MathProse with includeArithmetic (also QuizShell.tsx equivalents, same mode)."
steps[].widget.misorderFeedback[].feedback,10,MATHPROSE_ARITH,evaluate.ts feedback resolver -> LessonPlayer StatusBanner,"src/lib/evaluate.ts (per-widget-type feedback resolution) -> src/components/LessonPlayer.tsx:751,768,777","authored *.feedback flows through src/lib/evaluate.ts's per-widget-type switch into a single {feedback} string set as st.feedback, then rendered by LessonPlayer.tsx via MathProse with includeArithmetic (also QuizShell.tsx equivalents, same mode)."
remedials[].check.widget.successFeedback,9,MATHPROSE_ARITH,evaluate.ts feedback resolver -> LessonPlayer StatusBanner,"src/lib/evaluate.ts (per-widget-type feedback resolution) -> src/components/LessonPlayer.tsx:751,768,777","authored *.feedback flows through src/lib/evaluate.ts's per-widget-type switch into a single {feedback} string set as st.feedback, then rendered by LessonPlayer.tsx via MathProse with includeArithmetic (also QuizShell.tsx equivalents, same mode). remedials[].concept and remedials[].check are TStep objects injected verbatim into the step queue (src/lib/lessonState.ts:79-82 stepIndex()); they render through the exact same code path as the corresponding steps[].* shape."
steps[].widget.eqFeedback,6,MATHPROSE_ARITH,evaluate.ts feedback resolver -> LessonPlayer StatusBanner,"src/lib/evaluate.ts (per-widget-type feedback resolution) -> src/components/LessonPlayer.tsx:751,768,777","authored *.feedback flows through src/lib/evaluate.ts's per-widget-type switch into a single {feedback} string set as st.feedback, then rendered by LessonPlayer.tsx via MathProse with includeArithmetic (also QuizShell.tsx equivalents, same mode)."
remedials[].check.widget.numericErrors[].feedback,5,MATHPROSE_ARITH,evaluate.ts feedback resolver -> LessonPlayer StatusBanner,"src/lib/evaluate.ts (per-widget-type feedback resolution) -> src/components/LessonPlayer.tsx:751,768,777","authored *.feedback flows through src/lib/evaluate.ts's per-widget-type switch into a single {feedback} string set as st.feedback, then rendered by LessonPlayer.tsx via MathProse with includeArithmetic (also QuizShell.tsx equivalents, same mode). remedials[].concept and remedials[].check are TStep objects injected verbatim into the step queue (src/lib/lessonState.ts:79-82 stepIndex()); they render through the exact same code path as the corresponding steps[].* shape."
steps[].widget.gtFeedback,5,MATHPROSE_ARITH,evaluate.ts feedback resolver -> LessonPlayer StatusBanner,"src/lib/evaluate.ts (per-widget-type feedback resolution) -> src/components/LessonPlayer.tsx:751,768,777","authored *.feedback flows through src/lib/evaluate.ts's per-widget-type switch into a single {feedback} string set as st.feedback, then rendered by LessonPlayer.tsx via MathProse with includeArithmetic (also QuizShell.tsx equivalents, same mode)."
steps[].widget.ltFeedback,4,MATHPROSE_ARITH,evaluate.ts feedback resolver -> LessonPlayer StatusBanner,"src/lib/evaluate.ts (per-widget-type feedback resolution) -> src/components/LessonPlayer.tsx:751,768,777","authored *.feedback flows through src/lib/evaluate.ts's per-widget-type switch into a single {feedback} string set as st.feedback, then rendered by LessonPlayer.tsx via MathProse with includeArithmetic (also QuizShell.tsx equivalents, same mode)."
steps[].widget.rowFeedback,4,MATHPROSE_ARITH,evaluate.ts feedback resolver -> LessonPlayer StatusBanner,"src/lib/evaluate.ts (per-widget-type feedback resolution) -> src/components/LessonPlayer.tsx:751,768,777","authored *.feedback flows through src/lib/evaluate.ts's per-widget-type switch into a single {feedback} string set as st.feedback, then rendered by LessonPlayer.tsx via MathProse with includeArithmetic (also QuizShell.tsx equivalents, same mode)."
steps[].widget.colFeedback,4,MATHPROSE_ARITH,evaluate.ts feedback resolver -> LessonPlayer StatusBanner,"src/lib/evaluate.ts (per-widget-type feedback resolution) -> src/components/LessonPlayer.tsx:751,768,777","authored *.feedback flows through src/lib/evaluate.ts's per-widget-type switch into a single {feedback} string set as st.feedback, then rendered by LessonPlayer.tsx via MathProse with includeArithmetic (also QuizShell.tsx equivalents, same mode)."
steps[].widget.hotspots[].feedback,3,MATHPROSE_ARITH,evaluate.ts feedback resolver -> LessonPlayer StatusBanner,"src/lib/evaluate.ts (per-widget-type feedback resolution) -> src/components/LessonPlayer.tsx:751,768,777","authored *.feedback flows through src/lib/evaluate.ts's per-widget-type switch into a single {feedback} string set as st.feedback, then rendered by LessonPlayer.tsx via MathProse with includeArithmetic (also QuizShell.tsx equivalents, same mode)."
steps[].widget.commonLandings[].feedback,3,MATHPROSE_ARITH,evaluate.ts feedback resolver -> LessonPlayer StatusBanner,"src/lib/evaluate.ts (per-widget-type feedback resolution) -> src/components/LessonPlayer.tsx:751,768,777","authored *.feedback flows through src/lib/evaluate.ts's per-widget-type switch into a single {feedback} string set as st.feedback, then rendered by LessonPlayer.tsx via MathProse with includeArithmetic (also QuizShell.tsx equivalents, same mode)."
steps[].widget.commonPairs[].feedback,3,MATHPROSE_ARITH,evaluate.ts feedback resolver -> LessonPlayer StatusBanner,"src/lib/evaluate.ts (per-widget-type feedback resolution) -> src/components/LessonPlayer.tsx:751,768,777","authored *.feedback flows through src/lib/evaluate.ts's per-widget-type switch into a single {feedback} string set as st.feedback, then rendered by LessonPlayer.tsx via MathProse with includeArithmetic (also QuizShell.tsx equivalents, same mode)."
steps[].widget.fractionErrors[].feedback,2,MATHPROSE_ARITH,evaluate.ts feedback resolver -> LessonPlayer StatusBanner,"src/lib/evaluate.ts (per-widget-type feedback resolution) -> src/components/LessonPlayer.tsx:751,768,777","authored *.feedback flows through src/lib/evaluate.ts's per-widget-type switch into a single {feedback} string set as st.feedback, then rendered by LessonPlayer.tsx via MathProse with includeArithmetic (also QuizShell.tsx equivalents, same mode)."
steps[].widget.partialFeedback,2,MATHPROSE_ARITH,evaluate.ts feedback resolver -> LessonPlayer StatusBanner,"src/lib/evaluate.ts (per-widget-type feedback resolution) -> src/components/LessonPlayer.tsx:751,768,777","authored *.feedback flows through src/lib/evaluate.ts's per-widget-type switch into a single {feedback} string set as st.feedback, then rendered by LessonPlayer.tsx via MathProse with includeArithmetic (also QuizShell.tsx equivalents, same mode)."
steps[].widget.positionFeedback,1,MATHPROSE_ARITH,evaluate.ts feedback resolver -> LessonPlayer StatusBanner,"src/lib/evaluate.ts (per-widget-type feedback resolution) -> src/components/LessonPlayer.tsx:751,768,777","authored *.feedback flows through src/lib/evaluate.ts's per-widget-type switch into a single {feedback} string set as st.feedback, then rendered by LessonPlayer.tsx via MathProse with includeArithmetic (also QuizShell.tsx equivalents, same mode)."
steps[].widget.moreZoomFeedback,1,MATHPROSE_ARITH,evaluate.ts feedback resolver -> LessonPlayer StatusBanner,"src/lib/evaluate.ts (per-widget-type feedback resolution) -> src/components/LessonPlayer.tsx:751,768,777","authored *.feedback flows through src/lib/evaluate.ts's per-widget-type switch into a single {feedback} string set as st.feedback, then rendered by LessonPlayer.tsx via MathProse with includeArithmetic (also QuizShell.tsx equivalents, same mode)."
steps[].widget.wrongVerdictFeedback,1,MATHPROSE_ARITH,evaluate.ts feedback resolver -> LessonPlayer StatusBanner,"src/lib/evaluate.ts (per-widget-type feedback resolution) -> src/components/LessonPlayer.tsx:751,768,777","authored *.feedback flows through src/lib/evaluate.ts's per-widget-type switch into a single {feedback} string set as st.feedback, then rendered by LessonPlayer.tsx via MathProse with includeArithmetic (also QuizShell.tsx equivalents, same mode)."
steps[].narration,36,UNKNOWN,Narration (Web Speech API),src/lib/speech.ts:126-133; src/components/playerChrome.tsx:32-79,"Traced to src/lib/speech.ts narrationFor()/speakableMath() — spoken via the Web Speech API when the learner taps 'Listen', never rendered as on-screen text and never passed through MathProse/MathDisplay. speakableMath() does its own ad hoc symbol->word substitution, so this is a genuine 5th pathway outside the defined taxonomy; marked UNKNOWN rather than forced into RAW/MATHPROSE because neither honestly describes an audio-only surface."
