# sourceSeal=f24bfc6 — S242/ACC-01 §5(f). SVG colour chosen by a ternary between PALETTE.leaf/berry.
# correctness = the condition names a comparison against the step's target, not a phenomenon.
# toneGated = a `tone === "info"` guard appears within 14 lines above. Every row is hand-read;
# the verdict column is a suggestion and the true-positive rate is reported separately.
file,line,component,colourProp,correctnessDerived,toneGated,condition
src/components/widgets.tsx,11685,BinomialAreaLabW,fill,false,false,aNeg
src/components/widgets.tsx,11687,BinomialAreaLabW,stroke,false,false,aNeg
src/components/widgets.tsx,11691,BinomialAreaLabW,fill,false,false,aNeg
src/components/widgets.tsx,11705,BinomialAreaLabW,fill,false,false,bNeg
src/components/widgets.tsx,11707,BinomialAreaLabW,stroke,false,false,bNeg
src/components/widgets.tsx,11711,BinomialAreaLabW,fill,false,false,bNeg
src/components/widgets.tsx,11726,BinomialAreaLabW,fill,false,false,mine.constant < 0
src/components/widgets.tsx,11728,BinomialAreaLabW,stroke,false,false,mine.constant < 0
src/components/widgets.tsx,11731,BinomialAreaLabW,fill,false,false,mine.constant < 0
src/components/widgets.tsx,11923,ExtraneousRootLabW,fill,false,false,st.pick === x
src/components/widgets.tsx,11924,ExtraneousRootLabW,stroke,false,false,isPhantom
src/components/widgets.tsx,12524,BarBuilderW,fill,false,false,done
src/components/widgets.tsx,13047,NumberLinePlaceW,stroke,false,false,tone ===  success 
src/components/widgets.tsx,13048,NumberLinePlaceW,fill,false,false,tone ===  success 
src/components/widgets.tsx,13345,UnitCircleExploreW,stroke,false,false,wall === (i === 0
src/components/widgets.tsx,13442,UnitCircleExploreW,fill,false,false,detached
src/components/widgets.tsx,13969,SystemsExploreW,fill,false,false,on1 && on2
src/components/widgets.tsx,14787,LineExploreW,fill,false,false,<circle className= le-dot  data-morph-actor={LE_ACTOR_INTERCEPT} cx={sx(n(plot.intercept
src/components/widgets.tsx,16420,HopSizeW,stroke,false,false,hits(t)
src/components/widgets.tsx,16421,HopSizeW,fill,false,false,hits(t)
src/components/widgets.tsx,16424,HopSizeW,fill,false,false,hits(t)
src/components/widgets.tsx,18545,TriangleConstraintLabW,stroke,false,false,ambiguous
src/components/widgets.tsx,18548,TriangleConstraintLabW,fill,false,false,unique
src/components/widgets.tsx,18549,TriangleConstraintLabW,stroke,false,false,model.midsegment.isMidpoints
src/components/widgets.tsx,18668,SamplingBiasLabW,stroke,false,false,<div className= rounded-2xl border border-ink/10 bg-white p-3 ><div className= mb-2 flex
src/components/widgets.tsx,18672,SamplingBiasLabW,fill,false,false,Math.abs(n-50)>12
src/components/widgets.tsx,18726,UnitRulerW,stroke,false,false,const start=(st.zeroAligned
src/components/widgets.tsx,19036,RelatedRatesGrowthW,fill,false,false,sphere
src/components/widgets.tsx,19070,RelatedRatesLadderW,stroke,false,false,<svg viewBox= 0 0 390 250  className= w-full rounded-2xl border border-ink/10 bg-white  
src/components/widgets.tsx,8369,GeometricConstraintDiagram,stroke,false,true,m.segments
src/components/widgets.tsx,9986,DistributionCompareLabW,stroke,false,true,tone ===  error 
src/components/widgets.tsx,9987,DistributionCompareLabW,stroke,false,true,tone ===  error 
src/components/widgets.tsx,9988,DistributionCompareLabW,stroke,false,true,tone ===  error 
src/components/widgets.tsx,9989,DistributionCompareLabW,fill,false,true,tone ===  error 
src/components/widgets.tsx,9992,DistributionCompareLabW,fill,false,true,tone ===  error 
src/components/widgets.tsx,18706,ShapeHierarchyLabW,fill,false,true,const relationDiagram=verdict?<svg viewBox= 0 0 420 210  className= w-full  role= img  a
src/components/widgets.tsx,18712,ShapeFamilyBuilderW,fill,false,true,done
