# sourceSeal=54b505e — S242/MCQ-01. Authored mcq items whose prompt AND option set are identical.
# `withinLesson` means the same question is asked twice in one sitting: two independent 'correct'
# attempts recorded against one remembered item.
placements,withinLesson,prompt,where
"3","true","A drawing shows two bars: a 40 cm bar, and under it a 25 cm bar plus a mystery piece reaching the same end. What is the mystery piece?","g2p-02-03#k3 g2p-03-01#k1 g2p-03-01#k3"
"3","false","Exactly 9 same-size cubes cover a ribbon with no gaps and no overlaps. How long is the ribbon in cubes?","g1m-02-01#k1 g1m-02-03#k2 g1m-03-01#k1"
"3","false","Converting 5 kilograms into grams, do you multiply or divide by 1,000?","g4v-01-03#k3 g4v-01-04#k2 g4v-02-02#k3"
"3","true","Dividing 936 ÷ 3, why do you start with the hundreds?","g4m-02-03#k1 g4m-02-03#k3 g4m-02-05#k3"
"3","true","Before computing 3,612 ÷ 6, which estimate helps most?","g4m-03-01#k2 g4m-03-04#k1 g4m-03-04#k3"
"3","true","A student computes 7 × 68 − 90 and gets 386. Estimating gives 7 × 70 − 90 = 400. What follows?","g4s-02-03#k1 g4s-02-03#k3 g4s-03-01#k3"
"3","false","A pattern follows the rule ""add 6"", starting at 4: 4, 10, 16, 22. What comes next?","g4p-03-01#k3 g4p-03-02#k2 g4p-03-03#k2"
"3","false","A square is turned upside down. What is it now?","kgb-01-05#k3 kgb-02-02#k1 kgb-03-02#k3"
"3","false","A square — how many sides and how many corners?","kgb-01-05#ch1 kgb-02-03#k1 kgb-02-04#ch1"
"3","true","A shape has 7 sides. What is it called?","ssg2-01-01#i2 ssg2-01-01#ch1 ssg2-01-03#k2"
"3","false","Which pair is NOT a split of 18?","knb-02-02#ch1 knb-02-03#k1 knb-03-04#ch1"
"3","true","Estimating 7/8 + 1/12 with benchmarks, which is closest?","g5u-03-01#k1 g5u-03-01#ch1 g5u-03-02#ch1"
"3","true","Before computing 7 × 48 − 96, what is the most useful estimate?","g3w-02-04#k1 g3w-02-04#k3 g3w-03-02#ch1"
"2","false","While solving with 256, a student trades ten ones for a ten. Why is that allowed?","g2b-01-03#k3 g2b-02-04#k3"
"2","true","To add 298 + 145 mentally, Sam adds 300 + 145 = 445 first. What must Sam do next?","g3a-02-03#k1 g3a-02-03#k3"
"2","true","You compute 632 − 178 = 454. Which check confirms it WITHOUT redoing the subtraction?","g3a-03-01#k1 g3a-03-01#ch1"
"2","true","Which is fastest for 245 + 398, and why?","g3a-03-03#k1 g3a-03-03#k3"
"2","false","To add 4 + 6 + 7, which two should you group first?","g1t-01-02#k3 g1t-02-03#k1"
"2","false","7 + 3 = ? Which value makes this equation true?","g1a-03-01#k3 g1e-01-01#k1"
"2","false","A 2-by-8 array and a 4-by-4 array both use 16 dots. What does that show?","g2a-02-03#k3 g2a-03-02#k1"
"2","false","There are 8 stars and 7 hearts. Which statement is true?","kcm-01-01#k1 kcm-01-03#k1"
"2","false","How does pairing one to one settle which group is bigger?","kcm-01-01#k2 kcm-01-04#k3"
"2","false","There are 8 stars and 8 hearts. Which statement is true?","kcm-01-02#ch1 kcm-02-01#ch1"
"2","false","When can your eyes alone compare two groups safely?","kcm-01-03#k2 kcm-02-02#k1"
"2","false","There are 8 stars and 10 hearts. Which statement is true?","kcm-01-03#ch1 kcm-01-04#k1"
"2","false","There are 8 stars and 6 hearts. Which statement is true?","kcm-01-04#ch1 kcm-02-02#ch1"
"2","false","Compare 4 and 4. Which statement is true?","kcm-02-01#k2 khm-02-02#ch1"
"2","false","Which number comes between 5 and 7?","kcm-02-03#ch1 khm-03-01#ch1"
"2","false","Why is 8 greater than 6, just from the counting song?","kcm-02-04#k1 kcm-03-01#k3"
"2","false","What makes a shape a square?","g1s-01-01#k2 g1s-03-03#ch1"
"2","false","Which of these can change WITHOUT a triangle stopping being a triangle?","g1s-01-02#k1 g1s-01-03#k3"
"2","false","What new shape do two triangles make when joined?","g1s-02-01#k1 g1s-02-03#k1"
"2","false","What new shape do two squares make when joined?","g1s-02-01#k3 g1s-02-02#k2"
"2","true","Is a sphere a flat (2D) shape or a solid (3D) shape?","g1s-03-01#k1 g1s-03-01#k3"
"2","true","How can a rectangle be taken apart?","g1s-03-02#k1 g1s-03-02#k3"
"2","false","Counting by tens — what comes after 30?","k100-02-01#k2 k100-02-04#k1"
"2","false","Counting by tens — what comes after 80?","k100-02-02#k2 k100-02-04#k3"
"2","false","You are sorting by color. Where does a red apple belong?","dgr1-01-01#k2 dgr1-01-02#ch1"
"2","false","Votes: Cats 6, Dogs 3, Fish 5. Which got the MOST votes?","dgr1-02-01#k1 dgr1-02-03#k2"
"2","false","Votes: Red 7, Blue 4, Green 2. Which got the MOST votes?","dgr1-02-01#ch1 dgr1-03-03#k1"
"2","false","The class voted for a field-trip spot among four choices. Which display fits the votes?","g2g-02-01#k3 g2g-03-03#k2"
"2","false","You measured 20 ribbons to the nearest centimeter and want to see which lengths repeat. Which display fits?","g2g-02-03#k3 g2g-03-03#k1"
"2","true","Why does 3 + 4 × 5 equal 23 rather than 35?","g5e-01-01#k1 g5e-01-01#k3"
"2","true","What do the brackets change in (3 + 4) × 5?","g5e-01-02#k1 g5e-01-02#k3"
"2","true","In 2 × [3 + (4 × 2)], which part is computed first?","g5e-01-03#k1 g5e-01-03#k3"
"2","true","How should 3 × (12 + 5) be read aloud so a listener could rewrite it exactly?","g5e-02-02#k1 g5e-02-02#k3"
"2","true","Without computing, how does 4 × (37 + 15) compare with (37 + 15)?","g5e-02-03#k1 g5e-02-03#k3"
"2","true","Why does ""add 6"" always give terms twice those of ""add 3"" from the same start?","g5e-03-05#k1 g5e-03-05#ch1"
"2","true","Why does a ÷ b equal a/b?","g5f-01-02#k1 g5f-01-02#k3"
"2","true","13 ÷ 4 gives 3 remainder 1. When is the answer 3 1/4 rather than ""3 remainder 1""?","g5f-01-03#k1 g5f-01-03#ch1"
"2","false","2/5 + 2/5 + 2/5 written as multiplication is…","g4x-01-01#k2 g4x-01-03#k3"
"2","true","On a number line marked in fifths, how do you show 3 × 2/5?","g4x-02-01#k1 g4x-02-01#k3"
"2","true","An area model for 4 × 3/8 shows four rows, each with 3 of 8 parts shaded. What does the shading total?","g4x-02-02#k1 g4x-02-02#k3"
"2","true","A runner covers 3/8 mile per lap and runs 6 laps. Which computes the distance?","g4x-03-03#k1 g4x-03-03#k3"
"2","true","Roughly how big is 7 × 5/6, without computing exactly?","g4x-03-04#k1 g4x-03-04#k3"
"2","true","A circle is cut into 3 pieces, but one piece is much larger than the others. Are these thirds?","g3f-01-01#k1 g3f-01-01#k3"
"2","true","A pizza is split into 3 equal parts. What do you call each slice?","g3f-01-02#k1 g3f-01-02#k3"
"2","false","Which is bigger: a half or a third?","g3f-02-02#k1 ssg2-03-03#ch1"
"2","true","Maya eats 1/2 of a small pizza. Ben eats 1/4 of a giant pizza. Ben's piece is bigger. Does that mean 1/4 > 1/2?","g3f-03-02#k1 g3f-03-02#k3"
"2","false","Kai counts her blocks: 1, 2, 3. How many blocks does she have?","khm-01-03#k1 kcw-01-01#ch1"
"2","false","Mina counts her blocks: 1, 2, 3, 4, 5. How many blocks does she have?","khm-01-03#ch1 khm-03-04#ch1"
"2","false","Kai counts her blocks: 1, 2, 3, 4, 5, 6, 7, 8, 9. How many blocks does she have?","khm-01-04#ch1 kcw-03-01#k3"
"2","true","Tally counts her blocks: 1, 2, 3, 4, 5, 6, 7, 8. How many blocks does she have?","khm-01-05#k1 khm-01-05#ch1"
"2","false","The stickers are scattered everywhere. What is the best counting plan?","khm-01-05#k2 khm-02-05#k1"
"2","true","What number comes right after 15?","khm-03-02#k2 khm-03-02#ch1"
"2","false","To show a 34 cm piece joined to a 20 cm piece on a number line, what is the drawing?","g2p-02-01#k3 g2p-03-02#k1"
"2","false","Maggie computes that a pencil measured from the 3 cm mark to the 11 cm mark is 14 cm long. Reasonable?","g2p-02-02#k3 g2p-03-03#k3"
"2","false","In partial quotients, why may you take 20 groups of 24 before taking 3 more?","g5l-02-01#k1 g5l-02-02#k3"
"2","true","You try 4 as a digit, but 4 × 24 = 96 exceeds the 88 available. What now?","g5l-03-01#k1 g5l-03-01#ch1"
"2","false","Which question does a seesaw answer, and which does a ruler answer?","kmd-01-01#k3 kmd-01-04#ch1"
"2","false","A tower is TALL and a snake is LONG. What do the two words share?","kmd-01-02#k1 kmd-02-04#k2"
"2","false","A toy bear sits on a seesaw and its side goes down. What does that show about the bear?","kmd-01-03#k1 kmd-02-02#ch1"
"2","false","A big balloon and a small stone — which is heavier?","kmd-01-03#k3 kmd-02-02#k3"
"2","false","A toy bear sits on a seesaw and its side goes up. What does that show about the bear?","kmd-01-03#ch1 kmd-02-02#k2"
"2","false","Two runners race, but one starts ahead. Is the race a fair length test?","kmd-02-01#k3 kmd-02-03#k2"
"2","false","What makes a sort a SORT, instead of just piles?","kmd-03-01#k2 kmd-03-02#k1"
"2","false","After sorting shapes into groups, what does counting each group add?","kmd-03-03#k3 kmd-03-04#ch1"
"2","false","Exactly 8 same-size cubes cover a ribbon with no gaps and no overlaps. How long is the ribbon in cubes?","g1m-02-01#k3 g1m-03-03#k3"
"2","false","A child lays 4 cubes along a stick but leaves small spaces between them. What is true of the count?","g1m-02-02#k1 g1m-03-01#k3"
"2","false","A stick measures 12 small cubes. Measured with units twice as long, will the count be more or fewer?","g1m-03-02#k1 g1m-03-03#k1"
"2","true","The same rope is measured in meters and in centimeters. Which measurement has the LARGER number?","g4v-01-01#k1 g4v-01-01#k3"
"2","false","""A crew works 5 shifts of 30 minutes, then converts the total to hours."" What is the correct ORDER?","g4v-02-04#k2 g4v-03-03#k2"
"2","true","Before computing 38 × 52, which estimate is most useful?","g4m-02-01#k1 g4m-02-01#k3"
"2","true","A student computes 47 × 6 = 2,822. The estimate says about 50 × 6 = 300. What follows?","g4m-02-02#k1 g4m-02-02#k3"
"2","true","Finding successive chunks in 852 ÷ 4, a student takes 200 fours first. Why is that allowed?","g4m-02-04#k1 g4m-02-04#k3"
"2","true","You compute 852 ÷ 4 = 213. Which check confirms it?","g4m-03-05#k1 g4m-03-05#k3"
"2","false","""6 boxes of 9 pencils, 14 given away, then 20 more bought."" What is the correct order?","g4s-01-02#k2 g4s-03-02#k3"
"2","true","A line shows marks at 40, 50, 60, 70. Where does 70 sit?","g2l-01-01#k1 g2l-01-01#k3"
"2","true","One line has marks at 20, 30, 40, 50. Another has marks at 20, 25, 40, 50. Which line is drawn correctly?","g2l-01-02#k1 g2l-01-02#k3"
"2","true","From 40 to 72: which jump plan is fastest to run?","g2l-02-03#k1 g2l-02-03#ch1"
"2","false","A group shows 6 dots. Which numeral names that amount?","kcw-01-02#k2 kcw-03-04#k2"
"2","false","Kai counts her blocks: 1, 2, 3, 4, 5, 6. How many blocks does she have?","kcw-01-02#ch1 kcw-02-01#k1"
"2","false","A group shows 7 dots. Which numeral names that amount?","kcw-01-03#k2 kcw-01-05#ch1"
"2","false","Why does writing ten take TWO marks — 1 and 0?","kcw-01-04#k2 kcw-02-05#ch1"
"2","false","A group shows 8 dots. Which numeral names that amount?","kcw-01-04#ch1 kcw-02-01#k2"
"2","false","What do the numerals 13 through 19 all share?","kcw-02-02#k1 kcw-02-04#k3"
"2","false","A group shows 12 dots. Which numeral names that amount?","kcw-02-03#k3 kcw-03-01#ch1"
"2","false","A group shows 13 dots. Which numeral names that amount?","kcw-02-04#k1 kcw-03-01#k1"
"2","false","Is 11 prime or composite?","g4p-02-01#ch1 g4p-02-02#ch1"
"2","true","In a sieve you cross out multiples of 2, then 3, then 5. Why is 4 never used as a crossing-out number?","g4p-02-02#k1 g4p-02-02#k3"
"2","true","A shape pattern adds 3 squares each step: 3, 6, 9, 12 squares. Which describes step 6?","g4p-03-02#k1 g4p-03-02#ch1"
"2","true","The rule is ""add 3"", starting at 3: 3, 6, 9, 12, 15. Which feature does the rule NOT state, but the pattern shows?","g4p-03-03#k1 g4p-03-03#ch1"
"2","true","Extending a pattern, why is stating the RULE better than just writing the next number?","g4p-03-04#k1 g4p-03-04#ch1"
"2","true","Why does making ten help with 8 + 6?","g1p-03-04#k2 g1p-03-04#ch1"
"2","false","The cup sits ABOVE the shelf and BELOW the lamp. How can both be true?","kgb-01-02#ch1 kgb-01-03#k1"
"2","false","What is a SIDE of a flat shape?","kgb-01-04#k2 kgb-02-01#k1"
"2","false","A triangle is turned upside down. What is it now?","kgb-02-01#k3 kgb-02-04#k2"
"2","false","Two triangles build one square. How many triangles build 5 squares?","kgb-03-03#k1 kgb-03-04#k2"
"2","false","Four small equal triangles slide together. What can they build?","kgb-03-03#ch1 kgb-03-04#ch1"
"2","false","A shape has 8 sides. What is it called?","ssg2-01-01#i3 ssg2-01-03#i2"
"2","true","Which is smaller: a third or a fourth?","ssg2-03-03#k1 ssg2-03-03#k3"
"2","false","What does the numeral 14 secretly say?","knb-01-01#k2 knb-01-04#k2"
"2","false","A group shows 12 dots. Which numeral names that amount?","knb-01-01#ch1 knb-01-04#k1"
"2","false","A group shows 14 dots. Which numeral names that amount?","knb-01-02#ch1 knb-02-01#k2"
"2","false","A group shows 16 dots. Which numeral names that amount?","knb-01-03#k2 knb-03-03#k2"
"2","false","17 dots fill one ten-frame with some left outside. How many are left over?","knb-02-03#k2 knb-03-01#k1"
"2","false","A frame shows a full ten and 3 outside. Which teen is it?","knb-03-01#ch1 knb-03-03#k1"
"2","true","Why can 1/2 + 1/3 not be added by adding the tops and the bottoms?","g5u-01-01#k1 g5u-01-01#k3"
"2","true","For 1/4 + 1/6, both 24 and 12 are common denominators. Why prefer 12?","g5u-01-03#k1 g5u-01-03#k3"
"2","true","Subtracting 4 1/8 − 1 5/8, the fraction parts give 1/8 − 5/8. What is the legal move?","g5u-02-04#k1 g5u-02-04#ch1"
"2","true","A student computes 1/2 + 1/3 and gets 5/6. Is that reasonable?","g5u-03-02#k1 g5u-03-02#k3"
"2","true","Why does counting unit cubes measure volume?","g5v-01-01#k1 g5v-01-01#k3"
"2","true","A box has a base of 12 cubes and is 4 layers tall. How does the height act?","g5v-01-02#k1 g5v-01-02#k3"
"2","true","What advantage does V = B × h have over V = l × w × h?","g5v-02-02#k1 g5v-02-02#k3"
"2","true","A solid is a 5-by-6 block with a notch of 8 cubes cut out. How do you find its volume?","g5v-03-01#k1 g5v-03-01#k3"
"2","true","""A box holds 6 pencils. Mia buys 4 boxes and gives away 5 pencils. How many does she keep?"" What must you find FIRST?","g3w-01-01#k1 g3w-01-01#k3"
"2","false","""18 apples split evenly into 3 bags, then 2 more apples go in each bag."" Which equation gives one bag's count?","g3w-01-03#k2 g3w-01-04#k2"
"2","true","A bar model shows 4 equal parts of 7, with 6 crossed off. What does the model say?","g3w-02-03#k1 g3w-02-03#k3"
"2","true","A student computes 6 × 39 + 21 and gets 255. Rounding says about 6 × 40 + 20 = 260. What should they conclude?","g3w-03-01#k1 g3w-03-01#k3"
"2","true","""8 crates hold 9 apples each. 12 apples are eaten."" A student answers 150 apples left. Why is that unreasonable?","g3w-03-02#k1 g3w-03-02#k3"
"2","true","""Sam has 3 red bags and 4 blue bags. Each blue bag holds 6 marbles. How many marbles are in the blue bags?"" Which number is NOT needed?","g3w-03-03#k1 g3w-03-03#k3"
"2","true","You want to write a two-step problem answered by (5 × 6) + 4. Which story fits?","g3w-03-04#k1 g3w-03-04#k3"
