# sourceSeal=66ac01f minReuse=3 — S242/MCQ-01. A distractor SHAPE (label with numbers,
# punctuation and function words stripped, words stemmed and sorted) that recurs and is NEVER the
# correct answer. A learner who notices the pattern eliminates an option without understanding the
# item. Shapes that are sometimes correct are excluded: those are recurring ideas, not filler.
shape,uses,courses,scope,exampleLabel,lessons
"matter start where","3","1","one course","It does not matter where you start","g4m-02-03#k1 g4m-02-03#k3 g4m-02-05#k3"
"even number","3","1","one course","Because 40 is an even number","mult-05-03#k1 g3w-03-02#k1 g3w-03-02#k3"
"gap shrink","3","1","one course","26, because the gap shrinks","g4p-03-01#k3 g4p-03-02#k2 g4p-03-03#k2"
"doubl pattern","3","1","one course","44, because the pattern doubles","g4p-03-01#k3 g4p-03-02#k2 g4p-03-03#k2"
"alway positive","3","1","one course","Because t² is always positive","pp-04-01#k3 rf-04-01#k1 sc-02-02#k3"
"chang number rounder total","3","1","one course","It changes the total to a rounder number","g1p-03-04#k2 g1p-03-04#k3 g1p-03-04#ch1"
"addend bigger both ten","3","1","one course","Ten is bigger than both addends","g1p-03-04#k2 g1p-03-04#k3 g1p-03-04#ch1"
"add leftover skip","3","1","one course","It skips adding the leftover","g1p-03-04#k2 g1p-03-04#k3 g1p-03-04#ch1"
"co sin","3","1","one course","sin²θ + cos²θ = 1","rt-05-04#i2 ti-02-03#k1 ti-05-02#k2"
"both equally reliable","3","1","one course","Both are equally reliable","sp-01-02#k1 sp-01-02#k2 sp-01-03#i3"
"divid tell without","3","1","one course","Can't tell without dividing","rns-01-02#i2 rns-01-02#i3 rns-01-02#ch1"
"about both fraction","3","1","one course","About 2, since both are fractions","g5u-03-01#k1 g5u-03-01#ch1 g5u-03-02#ch1"
"about add bottom top","3","1","one course","About 8/20, by adding tops and bottoms","g5u-03-01#k1 g5u-03-01#ch1 g5u-03-02#ch1"
"about about","3","1","one course","About 7 × 48 = 336, so about 336","g3w-02-04#k1 g3w-02-04#k3 g3w-03-02#ch1"
"about below zero","3","1","one course","About 7 + 48 − 96, so below zero","g3w-02-04#k1 g3w-02-04#k3 g3w-03-02#ch1"
"cannot estimate problem step two","3","1","one course","You cannot estimate a two-step problem","g3w-02-04#k1 g3w-02-04#k3 g3w-03-02#ch1"
