# sourceSeal=66ac01f+inputs.e3761fe8ab55 generatedBy=scripts/audit/math-presentation-indexes.mts
# sourceInputSha256=e3761fe8ab55ba740dde5fc152343290c9ca48c9fcd040bb2c0c0bc6b94e043d sourceInputFiles=2011
# authoredCoverage=mainSteps:15653,remedialSteps:3394,explanationVariants:17154,mainExplanationVariants:13760,remedialExplanationVariants:3394,takeaways:5100,teasers:1701,narrations:1650,mainNarrations:1100,remedialNarrations:550,strings:153708
# A symbol that is part of an EXPRESSION which failed to tokenize — not a symbol used as a word.
# Measured as the PROSE RESIDUE after authoredMathParts removes every island — what the learner reads, not what the author wrote.
# Surface is derived from the call sites: widget spec strings render with arithmetic OFF, lesson body/hints/feedback with arithmetic ON.
# One row per (source, owner, unit, field, shape); a generator emitting the same shape at every seed appears once, with one representative seed.
source,owner,unit,field,surface,shape,seed,residue,text
authored,cr-05-02,r1,takeaways[0],arithmetic-on,expression with π left untokenized,,Sector area = (θ/360) · πr² — the degree share of the whole pie.,Sector area = (θ/360) · πr² — the degree share of the whole pie.
authored,cr-05-02,rem-cr-sector-area-c,body,arithmetic-on,expression with π left untokenized,,A sector (pie slice between two radii) claims the fraction θ/360 of the circle's whole area πr²: sector = (θ/360)πr². In radians the same formula reads ½r²θ = ½,A sector (pie slice between two radii) claims the fraction θ/360 of the circle's whole area πr²: sector = (θ/360)πr². In radians the same formula reads ½r²θ = ½ · radius · arc. Note the contrast with arc length: area is
authored,cr-06-01,c1,body,arithmetic-on,expression with π left untokenized,,"For similarity, most shapes need conditions checked — matching angles, proportional sides. A circle needs none of that. Every circle's circumference is r and ev","For similarity, most shapes need conditions checked — matching angles, proportional sides. A circle needs none of that. Every circle's circumference is 2πr and every circle's area is πr² — the SAME two formulas, for ever"
authored,cr-06-01,c2,body,arithmetic-on,expression with π left untokenized,,"Area's formula is πr² — built from r SQUARED, not r alone. That one difference changes everything about how it scales: double the radius and the '2r' piece doub","Area's formula is πr² — built from r SQUARED, not r alone. That one difference changes everything about how it scales: double the radius and the '2r' piece doubles, but the 'r²' piece quadruples. Circumference and area a"
authored,cr-06-01,i2,widget.prompt,arithmetic-off,expression with π left untokenized,,"A circle has radius 4. In A = πr², what does r² equal?","A circle has radius 4. In A = πr², what does r² equal?"
authored,cr-06-01,i2,widget.successFeedback,arithmetic-off,expression with π left untokenized,,"16. Area is always πr² — the 'r²' piece grows by the SQUARE of whatever the radius does, a fundamentally different rule from circumference's straight multiple.","16. Area is always πr² — the 'r²' piece grows by the SQUARE of whatever the radius does, a fundamentally different rule from circumference's straight multiple."
authored,cr-06-01,i3,widget.prompt,arithmetic-off,expression with π left untokenized,,"The radius doubles from 4 to 8. In A = πr², what does r² equal now?","The radius doubles from 4 to 8. In A = πr², what does r² equal now?"
authored,cr-06-01,i3,widget.fallbackFeedback,arithmetic-off,expression with π left untokenized,,"Square the new radius on its own: A = πr² takes r², and r is 8.","Square the new radius on its own: A = πr² takes r², and r is 8."
authored,cn-01-02,r1,takeaways[2],arithmetic-on,expression with ± left untokenized,,"x = −b/2 ± — two roots, symmetric around −b/2.","x = −b/2 ± √k — two roots, symmetric around −b/2."
authored,cn-03-01,r1,takeaways[0],arithmetic-on,expression with ± left untokenized,,(a + bi) ± i.,(a + bi) ± (c + di) = (a ± c) + (b ± d)i.
authored,cn-04-02,k1,widget.missFeedback,arithmetic-off,expression with ± left untokenized,,The formula gives (4 ± )/2 — halve BOTH the 4 and the 6i.,The formula gives (4 ± √(−36))/2 — halve BOTH the 4 and the 6i.
authored,cn-04-02,k2,widget.missFeedback,arithmetic-off,expression with ± left untokenized,,(−2 ± )/2 — halve both parts: −1 i.,(−2 ± √(−16))/2 — halve both parts: −1 ± 2i.
authored,cn-04-02,k3,explanationVariants[0],arithmetic-on,expression with ± left untokenized,,"The ± in the formula flips only the imaginary sign, so the partner of is .","The ± in the formula flips only the imaginary sign, so the partner of 3 + 5i is 3 − 5i."
authored,cn-04-02,k3,explanationVariants[1],arithmetic-on,expression with ± left untokenized,,Real-coefficient quadratics give complex roots as conjugate pairs: a ± bi.,Real-coefficient quadratics give complex roots as conjugate pairs: a ± bi.
authored,cn-04-02,ch1,widget.missFeedback,arithmetic-off,expression with ± left untokenized,,(6 ± )/2 — halve both the 6 and the 8i.,(6 ± √(−64))/2 — halve both the 6 and the 8i.
authored,cn-04-02,r1,takeaways[2],arithmetic-on,expression with ± left untokenized,,x = −b/(2a) ± (/(2a))i — center and spread.,x = −b/(2a) ± (√|D|/(2a))i — center and spread.
authored,cn-05-01,c2,body,arithmetic-on,expression with ± left untokenized,,The product uses the conjugate pattern: ()(2 − 3i) = 4 + 9 = 13 = c. ✓ In general a ± bi sums to 2a (the imaginary parts cancel) and multiplies to a² + b² (alwa,The product uses the conjugate pattern: (2 + 3i)(2 − 3i) = 4 + 9 = **13** = c. ✓ In general a ± bi sums to **2a** (the imaginary parts cancel) and multiplies to **a² + b²** (always real — which is exactly why c is real).
authored,cn-05-01,r1,takeaways[0],arithmetic-on,expression with ± left untokenized,,a ± bi sums to 2a and multiplies to a² + b².,a ± bi sums to 2a and multiplies to a² + b².
authored,cn-05-01,rem-cn0501-k,explanationVariants[1],arithmetic-on,expression with ± left untokenized,,Sum of a ± bi is always 2a — here .,Sum of a ± bi is always 2a — here 2·2 = 4.
authored,co-01-01,ch1,hints[1],arithmetic-on,expression with √ left untokenized,,√(()² + ()²) = .,√((4−0)² + (4−1)²) = √(16 + 9).
authored,co-01-01,ch1,widget.commonErrors[1].feedback,arithmetic-off,expression with √ left untokenized,,"Distance to the focus (0,1) is √((4)² + (3)²) = 5, not 4.","Distance to the focus (0,1) is √((4)² + (3)²) = 5, not 4."
authored,co-03-02,c1,body,arithmetic-on,expression with ± left untokenized,,"Far from center, each branch races toward a straight-line asymptote. For the asymptotes are y = ±(b/a)x. Draw the a-by-b guiding box ( wide, tall); its diagonal","Far from center, each branch races toward a straight-line **asymptote**. For x²/a² − y²/b² = 1 the asymptotes are y = ±(b/a)x. Draw the a-by-b **guiding box** (±a wide, ±b tall); its diagonals ARE the asymptotes. The bra"
authored,co-03-02,i1,widget.options[0].label,arithmetic-off,expression with ± left untokenized,,y = ±()x,y = ±(4/3)x
authored,co-03-02,i1,widget.options[1].label,arithmetic-off,expression with ± left untokenized,,y = ±()x,y = ±(3/4)x
authored,co-03-02,i1,widget.options[2].label,arithmetic-off,expression with ± left untokenized,,y = ±()x,y = ±(4/9)x
authored,co-03-02,r1,takeaways[0],arithmetic-on,expression with ± left untokenized,,Asymptotes: y = ±(b/a)x — the diagonals of the a-by-b guiding box.,Asymptotes: y = ±(b/a)x — the diagonals of the a-by-b guiding box.
authored,co-03-02,rem-co0302-c,body,arithmetic-on,expression with ± left untokenized,,"Hyperbola asymptotes: y = ±(b/a)x (diagonals of the a-by-b box). Focus rule ADDS: c² = a² + b², so foci lie beyond the vertices.","Hyperbola asymptotes: y = ±(b/a)x (diagonals of the a-by-b box). Focus rule ADDS: c² = a² + b², so foci lie beyond the vertices."
authored,cp-01-02,k1,explanationVariants[1],arithmetic-on,expression with ≤ left untokenized,,The arcs meet only when each reaches past the midpoint. Radius ≤ half means they fall short and miss.,The arcs meet only when each reaches past the midpoint. Radius ≤ half means they fall short and miss.
authored,cx-01-01,c2,body,arithmetic-on,expression with √ left untokenized,,"In general: d = √((x₂ − x₁)² + (y₂ − y₁)²). The squares erase every sign worry — measuring from B to A negates both differences, but (−6)² = 6², so the distance","In general: **d = √((x₂ − x₁)² + (y₂ − y₁)²)**. The squares erase every sign worry — measuring from B to A negates both differences, but (−6)² = 6², so the distance comes out identical. Distance is unsigned, a pure lengt"
authored,cx-01-01,k2,explanationVariants[0],arithmetic-on,expression with Δ left untokenized,,Δ and Δy = −4 − 4 = −8: d = = 10.,Δx = 3 − (−3) = 6 and Δy = −4 − 4 = −8: d = √(36 + 64) = 10.
authored,cx-01-01,k2,widget.commonErrors[1].feedback,arithmetic-off,expression with √ left untokenized,,2 subtracts coordinates casually (like 3 − (−3) minus something) — run the formula: √(6² + (−8)²) = 10.,2 subtracts coordinates casually (like 3 − (−3) minus something) — run the formula: √(6² + (−8)²) = 10.
authored,cx-01-01,k2,widget.fallbackFeedback,arithmetic-off,expression with √ left untokenized,,√(6² + (−8)²) = = 10.,√(6² + (−8)²) = √100 = 10.
authored,cx-01-01,ch,hints[0],arithmetic-on,expression with √ left untokenized,,Set up the formula with the unknown: √(()² + ()²) = 10.,Set up the formula with the unknown: √((k − 1)² + (8 − 2)²) = 10.
authored,cx-01-01,r1,takeaways[0],arithmetic-on,expression with √ left untokenized,,d = √((Δx)² + (Δy)²) — Pythagoras on the run-rise triangle.,d = √((Δx)² + (Δy)²) — Pythagoras on the run-rise triangle.
authored,cx-01-01,r1,takeaways[2],arithmetic-on,expression with ± left untokenized,,Shared axis ⇒ just the coordinate gap; unknowns ⇒ square both sides and mind the ±.,Shared axis ⇒ just the coordinate gap; unknowns ⇒ square both sides and mind the ±.
authored,cx-01-01,rem-cx-distance-c,body,arithmetic-on,expression with √ left untokenized,,"The distance between (x₁, y₁) and (x₂, y₂) is d = √((x₂ − x₁)² + (y₂ − y₁)²): the run and rise are the legs of a right triangle and the segment is its hypotenus","The distance between (x₁, y₁) and (x₂, y₂) is d = √((x₂ − x₁)² + (y₂ − y₁)²): the run and rise are the legs of a right triangle and the segment is its hypotenuse (Pythagoras, from Grade 8). Squaring erases sign, so the o"
authored,cx-01-03,i2,widget.options[1].feedback,arithmetic-off,expression with Δ left untokenized,,It has length 6 — it's just that the formula collapses to a single subtraction when Δy = 0.,It has length 6 — it's just that the formula collapses to a single subtraction when Δy = 0.
authored,cx-01-03,i2,widget.options[3].feedback,arithmetic-off,expression with Δ left untokenized,,The origin is irrelevant — sharing a y-coordinate is what collapses the formula to |Δx|.,The origin is irrelevant — sharing a y-coordinate is what collapses the formula to |Δx|.
authored,cx-02-02,k2,widget.commonErrors[2].feedback,arithmetic-off,expression with Δ left untokenized,,"8 reuses Δx as the rise — the slope scales it: rise = ()(8) = 6, so y = 7.","8 reuses Δx as the rise — the slope scales it: rise = (3/4)(8) = 6, so y = 7."
authored,cx-02-03,k3,widget.options[1].feedback,arithmetic-off,expression with ≠ left untokenized,,"The product is UNDEFINED, not ≠ −1 — and the lines visibly cross at a right angle at (3, −2).","The product is UNDEFINED, not ≠ −1 — and the lines visibly cross at a right angle at (3, −2)."
authored,cx-02-03,ch,hints[1],arithmetic-on,expression with Δ left untokenized,,Ride it to : Δx = −6.,Ride it to x = 0: Δx = −6.
authored,cx-02-03,ch,explanationVariants[0],arithmetic-on,expression with Δ left untokenized,,Δ(−6) = +9: .,Δy = (−3/2)(−6) = +9: y = 4 + 9 = 13.
authored,cx-03-02,k2,widget.options[1].feedback,arithmetic-off,expression with ≠ left untokenized,,Looks don't testify; diagonals do: ≠ 5. Not a rectangle — parallelogram only.,Looks don't testify; diagonals do: √61 ≠ 5. Not a rectangle — parallelogram only.
authored,cx-03-03,k1,explanationVariants[0],arithmetic-on,expression with √ left untokenized,,"Diagonal 1: (0,0) to (a,b) — . Diagonal 2: (a,0) to (0,b) — √((−a)² + b²), the same.","Diagonal 1: (0,0) to (a,b) — √(a² + b²). Diagonal 2: (a,0) to (0,b) — √((−a)² + b²), the same."
authored,cx-05-01,i2,widget.options[0].feedback,arithmetic-off,expression with √ left untokenized,,"√((x−h)² + (y−k)²) = r squares into the clean form — every check is add-and-compare, as chapter 3's d² discipline promised.","√((x−h)² + (y−k)²) = r squares into the clean form — every check is add-and-compare, as chapter 3's d² discipline promised."
authored,cx-05-02,ch,hints[0],arithmetic-on,expression with ≤ left untokenized,,"The zone is ()² + ()² ≤ r², and it must JUST include (10, 11).","The zone is (x − 4)² + (y − 3)² ≤ r², and it must JUST include (10, 11)."
authored,ca-03-03,k2,explanationVariants[0],arithmetic-on,expression with ≤ left untokenized,,"MVT: f′ for some c. If f′ ≤ 3 everywhere, then f, so f.","MVT: f(5) − f(1) = f′(c)·4 for some c. If f′ ≤ 3 everywhere, then f(5) − f(1) ≤ 12, so f(5) ≤ 2 + 12 = 14."
authored,ca-03-03,ch1,hints[1],arithmetic-on,expression with ≤ left untokenized,,"You are told ′ ≤ 4, so the gain is between and .","You are told 2 ≤ f′ ≤ 4, so the gain is between 2×3 = 6 and 4×3 = 12."
authored,ca-03-03,ch1,widget.fallbackFeedback,arithmetic-off,expression with ≥ left untokenized,,"Minimum gain = 2 × 3 = 6, so f(3) ≥ 1 + 6 = 7.","Minimum gain = 2 × 3 = 6, so f(3) ≥ 1 + 6 = 7."
authored,dm-01-01,i2,widget.orderFeedback,arithmetic-off,expression with ≤ left untokenized,,Keep the five handles in order: min ≤ Q1 ≤ median ≤ Q3 ≤ max.,Keep the five handles in order: min ≤ Q1 ≤ median ≤ Q3 ≤ max.
authored,dm-02-02,k3,explanationVariants[0],arithmetic-on,expression with √ left untokenized,,r = [nΣxy − ] / √([n][n]) = [5(25)] / √([5][5]) = = 0.8.,r = [nΣxy − ΣxΣy] / √([nΣx² − (Σx)²][nΣy² − (Σy)²]) = [5(83) − 15(25)] / √([5(55) − 225][5(135) − 625]) = 40/50 = 0.8.
authored,dm-02-02,k3,widget.prompt,arithmetic-off,expression with √ left untokenized,,"For 5 points: , , Σxy=83, , . Compute r using r = [nΣxy−] / √([n][n]). (2 decimals)","For 5 points: Σx=15, Σy=25, Σxy=83, Σx²=55, Σy²=135. Compute r using r = [nΣxy−ΣxΣy] / √([nΣx²−(Σx)²][nΣy²−(Σy)²]). (2 decimals)"
authored,dm-02-02,k3,widget.fallbackFeedback,arithmetic-off,expression with √ left untokenized,,Numerator 5(83)−15(25)=40. Denominator √([5(55)−225][5(135)−625])==50. r==0.8.,Numerator 5(83)−15(25)=40. Denominator √([5(55)−225][5(135)−625])=√(50×50)=50. r=40/50=0.8.
authored,dd-04-01,k2,widget.choices[2].feedback,arithmetic-off,expression with ± left untokenized,,"Tempting, since the first set bunches within 6 ± something — but range is defined off the full endpoints: 10 − 2 = 8 for both. Measuring the bunched middle need","Tempting, since the first set bunches within 6 ± something — but range is defined off the full endpoints: 10 − 2 = 8 for both. Measuring the bunched middle needs a better tool (next lesson)."
authored,dd-04-02,e1,widget.orderFeedback,arithmetic-off,expression with ≤ left untokenized,,Keep them ordered: min ≤ Q1 ≤ median ≤ Q3 ≤ max. One handle is out of sequence.,Keep them ordered: min ≤ Q1 ≤ median ≤ Q3 ≤ max. One handle is out of sequence.
authored,dd-04b-01,i1,widget.orderFeedback,arithmetic-off,expression with ≤ left untokenized,,Keep them in order: min ≤ Q1 ≤ median ≤ Q3 ≤ max. One handle has jumped its neighbour.,Keep them in order: min ≤ Q1 ≤ median ≤ Q3 ≤ max. One handle has jumped its neighbour.
authored,dd-04b-02,i2,widget.orderFeedback,arithmetic-off,expression with ≤ left untokenized,,Keep the order min ≤ Q1 ≤ median ≤ Q3 ≤ max; one handle has passed its neighbour.,Keep the order min ≤ Q1 ≤ median ≤ Q3 ≤ max; one handle has passed its neighbour.
authored,dd-05-01,i1,widget.orderFeedback,arithmetic-off,expression with ≤ left untokenized,,The five markers must be in order: min ≤ Q1 ≤ median ≤ Q3 ≤ max.,The five markers must be in order: min ≤ Q1 ≤ median ≤ Q3 ≤ max.
authored,g2g-01-05,k3,explanationVariants[1],arithmetic-on,expression with ≠ left untokenized,,Most common ≠ largest.,Most common ≠ largest.
authored,dr-01-03,k2,explanationVariants[0],arithmetic-on,expression with ± left untokenized,,"A corner (two one-sided slopes), a cusp (slopes running to ±∞ in opposite directions), a vertical tangent (slope infinite), and any discontinuity — all kill f′.","A corner (two one-sided slopes), a cusp (slopes running to ±∞ in opposite directions), a vertical tangent (slope infinite), and any discontinuity — all kill f′."
authored,dr-04-02,c1,body,arithmetic-on,expression with √ left untokenized,,"Nothing changes when the chain gets longer. Peel one layer at a time, from the outside in, and multiply everything you collect. For √(()³): the outside is a squ","Nothing changes when the chain gets longer. Peel one layer at a time, from the outside in, and multiply everything you collect. For √((2x + 1)³): the outside is a square root, then a cube, then a linear bracket. Three la"
authored,dr-04-02,k1,widget.prompt,arithmetic-off,expression with √ left untokenized,,How many factors will the derivative of √((2x + 1)³) have?,How many factors will the derivative of √((2x + 1)³) have?
authored,dc-02-01,k1,widget.prompt,arithmetic-off,expression with π left untokenized,,A circle's area is A = πr². Differentiate with respect to TIME.,A circle's area is A = πr². Differentiate with respect to TIME.
authored,dc-02-01,k1,widget.options[2].label,arithmetic-off,expression with π left untokenized,, = πr²,dA/dt = πr²
authored,dc-02-01,k3,widget.prompt,arithmetic-off,expression with π left untokenized,,"A circle's radius grows at = 2 cm/s. Find when r = 3, as a multiple of π (give just the number).","A circle's radius grows at dr/dt = 2 cm/s. Find dA/dt when r = 3, as a multiple of π (give just the number)."
authored,dc-02-01,ch1,hints[0],arithmetic-on,expression with π left untokenized,,The relation is the volume of a sphere: πr³.,The relation is the volume of a sphere: V = (4/3)πr³.
authored,dc-02-01,ch1,widget.prompt,arithmetic-off,expression with π left untokenized,,"A spherical balloon's radius grows at 2 cm/s. Find when r = 3, as a multiple of π (give just the number).","A spherical balloon's radius grows at 2 cm/s. Find dV/dt when r = 3, as a multiple of π (give just the number)."
authored,dc-02-01,ch1,widget.commonErrors[0].feedback,arithmetic-off,expression with π left untokenized,,"36 is a coincidence of two different slips at r = 3: r² without the ×() factor, or the volume ()πr³ misread as the rate. Either way, = r²() = (2) = .","36 is a coincidence of two different slips at r = 3: 4πr² without the ×(dr/dt) factor, or the volume (4/3)πr³ misread as the rate. Either way, dV/dt = 4πr²(dr/dt) = 4π(9)(2) = 72π."
authored,dc-02-03,i1,widget.panels[0].body,arithmetic-off,expression with π left untokenized,,Water fills a cone. The volume depends on BOTH the radius of the surface and the depth: V = ()πr²h. Two unknowns and one equation is not enough.,Water fills a cone. The volume depends on BOTH the radius of the surface and the depth: V = (1/3)πr²h. Two unknowns and one equation is not enough.
authored,dc-02-03,i1,widget.panels[1].body,arithmetic-off,expression with π left untokenized,,"The cone's shape is fixed, so r and h are locked in proportion — say r = h/2. Substituting gives V in terms of h ALONE: V = ()πh³.","The cone's shape is fixed, so r and h are locked in proportion — say r = h/2. Substituting gives V in terms of h ALONE: V = (1/12)πh³."
authored,dc-02-03,i1,widget.panels[2].body,arithmetic-off,expression with π left untokenized,," = ()πh²·(). One equation, one unknown rate. The similar triangles were not a trick — they were the step that made the problem solvable at all.","dV/dt = (1/4)πh²·(dh/dt). One equation, one unknown rate. The similar triangles were not a trick — they were the step that made the problem solvable at all."
authored,dc-02-03,k3,explanationVariants[0],arithmetic-on,expression with π left untokenized,,"With , ²h = ()πh³ — one variable, ready to differentiate.","With r = h/2, V = (1/3)π(h/2)²h = (1/3)π(h²/4)h = (1/12)πh³ — one variable, ready to differentiate."
authored,dc-02-03,k3,explanationVariants[1],arithmetic-on,expression with π left untokenized,,"Differentiating πr²h directly would leave both and in the answer, and you would be stuck.","Differentiating V = (1/3)πr²h directly would leave both dr/dt and dh/dt in the answer, and you would be stuck."
authored,dc-02-03,k3,widget.prompt,arithmetic-off,expression with π left untokenized,,"V = ()πr²h, and the cone's shape forces r = h/2. What should you differentiate?","V = (1/3)πr²h, and the cone's shape forces r = h/2. What should you differentiate?"
authored,dc-02-03,k3,widget.options[0].label,arithmetic-off,expression with π left untokenized,,"V = ()πh³ — substitute r = h/2 FIRST, so only h remains.","V = (1/12)πh³ — substitute r = h/2 FIRST, so only h remains."
authored,dc-02-03,k3,widget.options[1].label,arithmetic-off,expression with π left untokenized,,"V = ()πr²h, keeping both variables.","V = (1/3)πr²h, keeping both variables."
authored,dc-02-03,k3,widget.options[3].label,arithmetic-off,expression with π left untokenized,,V = πr²h,V = πr²h
authored,dc-03-02,k2,explanationVariants[1],arithmetic-on,expression with π left untokenized,,dA/A = r·dr / πr² = 2(dr/r). The π cancels and the exponent survives.,dA/A = 2πr·dr / πr² = 2(dr/r). The π cancels and the exponent survives.
authored,dc-03-02,ch1,hints[2],arithmetic-on,expression with ≤ left untokenized,,"The side is 10 cm, so ds ≤ 0.01 × 10.","The side is 10 cm, so ds ≤ 0.01 × 10."
authored,dc-03-02,ch1,explanationVariants[0],arithmetic-on,expression with ≤ left untokenized,,"3 gives ds/, and with that means ds ≤ 0.1 cm.","3(ds/s) ≤ 0.03 gives ds/s ≤ 1%, and with s = 10 that means ds ≤ 0.1 cm."
authored,dc-03-02,ch1,widget.fallbackFeedback,arithmetic-off,expression with ≤ left untokenized,,3 → ds/ → ds ≤ 0.1 cm.,3(ds/s) ≤ 0.03 → ds/s ≤ 1% → ds ≤ 0.1 cm.
authored,dc-03-02,ch1,widget.successFeedback,arithmetic-off,expression with ≤ left untokenized,,3 → ds/ → ds ≤ 0.1 cm.,3(ds/s) ≤ 0.03 → ds/s ≤ 1% → ds ≤ 0.1 cm.
authored,dc-03-02,rk1,widget.prompt,arithmetic-off,expression with π left untokenized,,"A = πr². With r = 5 and dr = 0.1, estimate dA, to two decimals.","A = πr². With r = 5 and dr = 0.1, estimate dA, to two decimals."
authored,dc-04-01,c2,body,arithmetic-on,expression with ∞ left untokenized,,"Two warnings, and both are earned: Check the form FIRST. L'Hôpital applies only to or ∞/∞. Apply it to anything else and it produces confident nonsense. It is n","Two warnings, and both are earned: **Check the form FIRST.** L'Hôpital applies only to 0/0 or ∞/∞. Apply it to anything else and it produces confident nonsense. **It is not the quotient rule.** You differentiate the top"
authored,dc-04-01,rc1,body,arithmetic-on,expression with ∞ left untokenized,,"Substitute first. If you get or ∞/∞ — and ONLY then — differentiate the top and the bottom separately and try again. If you get any ordinary number, you already","Substitute first. If you get 0/0 or ∞/∞ — and ONLY then — differentiate the top and the bottom **separately** and try again. If you get any ordinary number, you already have the limit and the rule must not be touched."
authored,dc-04-01,rk1,explanationVariants[1],arithmetic-on,expression with ∞ left untokenized,,Only and ∞/∞ open the door.,Only 0/0 and ∞/∞ open the door.
authored,dc-04-02,c1,body,arithmetic-on,expression with ∞ left untokenized,,"L'Hôpital speaks only two languages: and ∞/∞. But other forms are indeterminate too — 0·∞, ∞ − ∞, — and every one of them can be rewritten as a quotient, and th","L'Hôpital speaks only two languages: **0/0** and **∞/∞**. But other forms are indeterminate too — 0·∞, ∞ − ∞, 1^∞ — and every one of them can be **rewritten as a quotient**, and then handed over. The skill is not the rul"
authored,dc-04-02,k1,body,arithmetic-on,expression with ∞ left untokenized,,∞/∞ needs no adjustment.,∞/∞ needs no adjustment.
authored,dc-04-02,k1,explanationVariants[0],arithmetic-on,expression with ∞ left untokenized,,"As x → ∞, x/eˣ is ∞/∞. Differentiate top and bottom: 1/eˣ → 0. The exponential wins outright.","As x → ∞, x/eˣ is ∞/∞. Differentiate top and bottom: 1/eˣ → 0. The exponential wins outright."
authored,dc-04-02,k1,explanationVariants[1],arithmetic-on,expression with ∞ left untokenized,,The rule applies to ∞/∞ verbatim — no modification at all.,The rule applies to ∞/∞ verbatim — no modification at all.
authored,dc-04-02,k2,body,arithmetic-on,expression with ∞ left untokenized,,Turn 0·∞ into a quotient.,Turn 0·∞ into a quotient.
authored,dc-04-02,c2,body,arithmetic-on,expression with ∞ left untokenized,,"For ∞ − ∞, put it over a common denominator. For , take logarithms — the log turns an exponent into a product, and the product into a quotient. In every case th","For **∞ − ∞**, put it over a common denominator. For **1^∞**, take logarithms — the log turns an exponent into a product, and the product into a quotient. In every case the move is the same: **manufacture a quotient**, c"
authored,dc-04-02,r1,takeaways[0],arithmetic-on,expression with ∞ left untokenized,,The rule speaks only and ∞/∞. Every other indeterminate form must be REWRITTEN into one of them.,The rule speaks only 0/0 and ∞/∞. Every other indeterminate form must be REWRITTEN into one of them.
authored,dc-04-02,r1,takeaways[1],arithmetic-on,expression with ∞ left untokenized,,0·∞ becomes a quotient by pushing one factor downstairs; yields to logarithms.,0·∞ becomes a quotient by pushing one factor downstairs; 1^∞ yields to logarithms.
authored,esn-02-01,k1,widget.missFeedback,arithmetic-off,expression with ± left untokenized,,Square roots come in ± pairs: both 7² and (−7)² equal 49.,Square roots come in ± pairs: both 7² and (−7)² equal 49.
