# sourceSeal=53da787 generatedBy=scripts/audit/math-presentation-indexes.mts
# Right value, wrong shape: machine ordering and redundant coefficients.
# Measured as the PROSE RESIDUE after authoredMathParts removes every island — what the learner reads, not what the author wrote.
# Surface is derived from the call sites: widget spec strings render with arithmetic OFF, lesson body/hints/feedback with arithmetic ON.
# One row per (source, owner, unit, field, shape); a generator emitting the same shape at every seed appears once, with one representative seed.
source,owner,unit,field,surface,shape,seed,residue,text
authored,se-01-02,k1,widget.lines[1].sourceText,arithmetic-off,redundant unit coefficient (1x),,-1x + 1y = 1,-1x + 1y = 1
authored,se-01-02,k2,widget.lines[0].sourceText,arithmetic-off,redundant unit coefficient (1x),,-3x + 1y = -4,-3x + 1y = -4
authored,se-01-02,k2,widget.lines[1].sourceText,arithmetic-off,redundant unit coefficient (1x),,-1x + 1y = 2,-1x + 1y = 2
authored,se-01-02,ch1,widget.lines[0].sourceText,arithmetic-off,redundant unit coefficient (1x),,-2x + 1y = 1,-2x + 1y = 1
authored,se-01-02,ch1,widget.lines[1].sourceText,arithmetic-off,redundant unit coefficient (1x),,1x + 1y = 7,1x + 1y = 7
authored,se-02-03,k1,widget.lines[0].sourceText,arithmetic-off,redundant unit coefficient (1x),,2x + 1y = 7,2x + 1y = 7
authored,se-02-03,k1,widget.lines[1].sourceText,arithmetic-off,redundant unit coefficient (1x),,-1x + 1y = -2,-1x + 1y = -2
authored,se-02-03,k2,widget.lines[0].sourceText,arithmetic-off,redundant unit coefficient (1x),,1x + 1y = 6,1x + 1y = 6
authored,se-02-03,k2,widget.lines[1].sourceText,arithmetic-off,redundant unit coefficient (1x),,-2x + 1y = 0,-2x + 1y = 0
authored,se-02-03,ch1,widget.lines[0].sourceText,arithmetic-off,redundant unit coefficient (1x),,1x + 2y = 12,1x + 2y = 12
authored,se-02-03,ch1,widget.lines[1].sourceText,arithmetic-off,redundant unit coefficient (1x),,-1x + 1y = -3,-1x + 1y = -3
authored,se-03-01,k1,widget.lines[0].sourceText,arithmetic-off,redundant unit coefficient (1x),,1x + 1y = 8,1x + 1y = 8
authored,se-03-01,k1,widget.lines[1].sourceText,arithmetic-off,redundant unit coefficient (1x),,1x + -1y = 2,1x + -1y = 2
authored,se-03-01,k2,widget.lines[0].sourceText,arithmetic-off,redundant unit coefficient (1x),,3x + 1y = 10,3x + 1y = 10
authored,se-03-01,k2,widget.lines[1].sourceText,arithmetic-off,redundant unit coefficient (1x),,1x + -1y = 2,1x + -1y = 2
authored,se-03-01,k3,widget.lines[0].sourceText,arithmetic-off,redundant unit coefficient (1x),,4x + 1y = 14,4x + 1y = 14
authored,se-03-01,k3,widget.lines[1].sourceText,arithmetic-off,redundant unit coefficient (1x),,2x + 1y = 8,2x + 1y = 8
authored,se-03-01,ch1,widget.lines[0].sourceText,arithmetic-off,redundant unit coefficient (1x),,1x + 2y = 11,1x + 2y = 11
authored,se-03-01,ch1,widget.lines[1].sourceText,arithmetic-off,redundant unit coefficient (1x),,1x + -2y = -5,1x + -2y = -5
authored,se-03-02,k1,widget.lines[0].sourceText,arithmetic-off,redundant unit coefficient (1x),,2x + 1y = 7,2x + 1y = 7
authored,se-03-02,k1,widget.lines[1].sourceText,arithmetic-off,redundant unit coefficient (1x),,1x + 3y = 11,1x + 3y = 11
authored,se-03-02,k2,widget.lines[1].sourceText,arithmetic-off,redundant unit coefficient (1x),,1x + 1y = 6,1x + 1y = 6
authored,se-03-02,k3,widget.lines[0].sourceText,arithmetic-off,redundant unit coefficient (1x),,1x + 1y = 5,1x + 1y = 5
authored,se-03-02,ch1,widget.lines[1].sourceText,arithmetic-off,redundant unit coefficient (1x),,1x + -1y = 1,1x + -1y = 1
authored,tse-01b-02,c1,body,arithmetic-on,redundant unit coefficient (1x),,"Raise a price a by 5% and the natural way to write it is two moves: the price, plus 5% of the price. That is a. But a is really 1a, so a is a — like terms. Comb","Raise a price *a* by 5% and the natural way to write it is two moves: the price, plus 5% of the price. That is a + 0.05a. But a is really 1a, so a + 0.05a is 1a + 0.05a — like terms. Combined, they are **1.05a**. Same va"
authored,tse-01b-02,k1,widget.fallbackFeedback,arithmetic-off,redundant unit coefficient (1x),,"a is 1a, so a + 0.08a = 1.08a.","a is 1a, so a + 0.08a = 1.08a."
authored,tse-01b-02,k3,widget.fallbackFeedback,arithmetic-off,redundant unit coefficient (1x),,"b is 1b, so b − 0.15b = 0.85b.","b is 1b, so b − 0.15b = 0.85b."
generated,a1-linear-functions,standard-form__mcq,widget.prompt,arithmetic-off,redundant unit coefficient (1x),a1-linear-functions|standard-form__mcq|stretch|2,What is the slope of 2x + 1y = 14?,What is the slope of 2x + 1y = 14?
generated,a1-linear-functions,standard-form__numeric,widget.prompt,arithmetic-off,redundant unit coefficient (1x),a1-linear-functions|standard-form__numeric|support|0,"For 5x + 1y = 20, find the x-intercept.","For 5x + 1y = 20, find the x-intercept."
generated,a1-systems,eliminate-add-subtract__numeric,widget.lines[0].sourceText,arithmetic-off,redundant unit coefficient (1x),a1-systems|eliminate-add-subtract__numeric|support|0,1x + 5y = 36,1x + 5y = 36
generated,a1-systems,eliminate-add-subtract__numeric,widget.prompt,arithmetic-off,redundant unit coefficient (1x),a1-systems|eliminate-add-subtract__numeric|stretch|2,Solve 4x + 1y = 17 and 3x + 4y = 3. What is y?,Solve 4x + 1y = 17 and 3x + 4y = 3. What is y?
generated,a1-systems,eliminate-add-subtract__numeric,widget.lines[1].sourceText,arithmetic-off,redundant unit coefficient (1x),a1-systems|eliminate-add-subtract__numeric|core|4,1x + 5y = 3,1x + 5y = 3
generated,a1-systems,eliminate-scale-both__numeric,widget.prompt,arithmetic-off,redundant unit coefficient (1x),a1-systems|eliminate-scale-both__numeric|support|0,Solve 2x + 5y = 26 and 3x + 1y = 0. What is x?,Solve 2x + 5y = 26 and 3x + 1y = 0. What is x?
generated,a1-systems,eliminate-scale-both__numeric,widget.lines[1].sourceText,arithmetic-off,redundant unit coefficient (1x),a1-systems|eliminate-scale-both__numeric|support|0,3x + 1y = 0,3x + 1y = 0
generated,a1-systems,eliminate-scale-both__numeric,widget.lines[0].sourceText,arithmetic-off,redundant unit coefficient (1x),a1-systems|eliminate-scale-both__numeric|support|3,1x + 5y = 40,1x + 5y = 40
generated,a1-systems,eliminate-scale-one__numeric,widget.lines[0].sourceText,arithmetic-off,redundant unit coefficient (1x),a1-systems|eliminate-scale-one__numeric|support|0,1x + 4y = 7,1x + 4y = 7
generated,a1-systems,eliminate-scale-one__numeric,widget.lines[1].sourceText,arithmetic-off,redundant unit coefficient (1x),a1-systems|eliminate-scale-one__numeric|core|1,1x + 4y = 29,1x + 4y = 29
generated,a1-systems,solve-by-graphing__numeric,widget.lines[0].sourceText,arithmetic-off,redundant unit coefficient (1x),a1-systems|solve-by-graphing__numeric|support|0,3x + 1y = -6,3x + 1y = -6
generated,a1-systems,solve-by-graphing__numeric,widget.lines[1].sourceText,arithmetic-off,redundant unit coefficient (1x),a1-systems|solve-by-graphing__numeric|support|0,2x + 1y = -2,2x + 1y = -2
generated,a1-systems,substitution-solve__numeric,widget.lines[0].sourceText,arithmetic-off,redundant unit coefficient (1x),a1-systems|substitution-solve__numeric|support|0,-3x + 1y = -4,-3x + 1y = -4
generated,a1-systems,substitution-solve__numeric,widget.lines[1].sourceText,arithmetic-off,redundant unit coefficient (1x),a1-systems|substitution-solve__numeric|support|0,1x + 1y = -16,1x + 1y = -16
generated,a1-systems,system-solution__numeric,widget.lines[0].sourceText,arithmetic-off,redundant unit coefficient (1x),a1-systems|system-solution__numeric|support|0,-2x + 1y = -5,-2x + 1y = -5
generated,a1-systems,system-solution__numeric,widget.lines[1].sourceText,arithmetic-off,redundant unit coefficient (1x),a1-systems|system-solution__numeric|support|0,-3x + 1y = -9,-3x + 1y = -9
generated,a2-series,sr-convert__mcq,widget.prompt,arithmetic-off,redundant unit coefficient (1x),a2-series|sr-convert__mcq|support|0,"Convert a₁=1, a_n=1a_(n−1) to explicit form.","Convert a₁=1, a_n=1a_(n−1) to explicit form."
