# S242 / MPB-05 before-and-after sweep. Generated by scripts/audit/derivative-island-sweep.mts
# `before`/`after` list the island SOURCES separated by U+22C2; a string is listed only if they differ.
source,owner,unit,field,surface,verdict,before,after,text
"authored","dc-02-01","k3","widget.commonErrors[0].feedback","arithmetic-off","gained-derivative","2π ⟂ 2π(3) ⟂ 12π","2π ⟂ dr/dt ⟂ 2π(3) ⟂ 12π","That is 2πr at r = 3 without the dr/dt = 2. The chain rule multiplies by the rate: 2π(3)(2) = 12π."
"authored","dc-02-01","k3","widget.commonErrors[2].feedback","arithmetic-off","gained-derivative","2π ⟂ 2π(3) ⟂ 12π","dA/dt ⟂ 2π ⟂ dr/dt ⟂ 2π(3) ⟂ 12π","Check: dA/dt = 2πr·(dr/dt) = 2π(3)(2) = 12π."
"authored","dc-02-01","k3","widget.fallbackFeedback","arithmetic-off","gained-derivative","2π ⟂ 2π(3) ⟂ 12π","dA/dt ⟂ 2π ⟂ dr/dt ⟂ 2π(3) ⟂ 12π","dA/dt = 2πr·(dr/dt) = 2π(3)(2) = 12π cm²/s."
"authored","dc-02-01","i3","widget.prompt","arithmetic-off","gained-derivative","","dr/dt","Inflate the balloon from radius 1 to 5 with dr/dt held at 1. The area's rate grew LIKE r — watch how much faster the volume's rate grows."
"authored","dc-02-01","i3","widget.successFeedback","arithmetic-off","gained-derivative","100π ⟂ 4π","100π ⟂ dV/dt ⟂ 4π ⟂ dr/dt","At r = 5 the volume runs at 100π per second — twenty-five times the rate at r = 1. dV/dt = 4πr²·dr/dt: the SQUARE in the rate is why late inflation feels so slow."
"authored","dc-02-01","i3","widget.explorationFeedback","arithmetic-off","gained-derivative","2π","dV/dt ⟂ 2π","Stop at a few radii and read dV/dt each time — compare how it climbs against the disc's 2πr."
"authored","dc-02-01","ch1","hints[1]","arithmetic-on","gained-derivative","4π","dV/dt = 4π ⟂ dr/dt","Differentiate with respect to t: dV/dt = 4πr² · (dr/dt)."
"authored","dc-02-01","ch1","hints[2]","arithmetic-on","gained-derivative","r = 3","r = 3 ⟂ dr/dt = 2","Now substitute r = 3 and dr/dt = 2."
"authored","dc-02-01","ch1","widget.prompt","arithmetic-off","gained-derivative","","dV/dt","A spherical balloon's radius grows at 2 cm/s. Find dV/dt when r = 3, as a multiple of π (give just the number)."
"authored","dc-02-01","ch1","widget.commonErrors[0].feedback","arithmetic-off","gained-derivative","4π ⟂ 4/3 ⟂ 4π ⟂ 4π(9) ⟂ 72π","4π ⟂ dr/dt ⟂ 4/3 ⟂ dV/dt ⟂ 4π ⟂ dr/dt ⟂ 4π(9) ⟂ 72π","36 is a coincidence of two different slips at r = 3: 4πr² without the ×(dr/dt) factor, or the volume (4/3)πr³ misread as the rate. Either way, dV/dt = 4πr²(dr/dt) = 4π(9)(2) = 72π."
"authored","dc-02-01","ch1","widget.commonErrors[1].feedback","arithmetic-off","gained-derivative","4/3 ⟂ 4π ⟂ 36π ⟂ 72π","d/dr[(4/3)πr³] ⟂ 4π ⟂ 36π ⟂ 72π","Check the derivative: d/dr[(4/3)πr³] = 4πr², which is 36π at r = 3, and then × 2 = 72π."
"authored","dc-02-01","ch1","widget.fallbackFeedback","arithmetic-off","gained-derivative","4π ⟂ 4π(9) ⟂ 72π","dV/dt ⟂ 4π ⟂ dr/dt ⟂ 4π(9) ⟂ 72π","dV/dt = 4πr²(dr/dt) = 4π(9)(2) = 72π cm³/s."
"authored","dc-02-02","k1","widget.options[0].label","arithmetic-off","gained-derivative","","dx/dt ⟂ dy/dt","2x(dx/dt) + 2y(dy/dt) = 0"
"authored","dc-02-02","k1","widget.options[1].feedback","arithmetic-off","gained-derivative","","d/dt","Each variable owes a d/dt. Without them you have differentiated with respect to x and y, not with respect to time."
"authored","dc-02-02","k1","widget.options[2].label","arithmetic-off","gained-derivative","","dx/dt ⟂ dy/dt","2x(dx/dt) + 2y(dy/dt) = 100"
"authored","dc-02-02","k1","widget.options[3].feedback","arithmetic-off","gained-derivative","","d/dt","Nothing has been differentiated at all — the d/dt has not been applied."
"authored","dc-02-02","i1","predict.reveal","arithmetic-on","gained-derivative","","dy/dt ⟂ dx/dt","The fixed-length relation gives dy/dt = −(x/y)dx/dt, so the vertical rate changes as the ladder's position changes."
"authored","dc-02-02","i1","widget.prompt","arithmetic-off","gained-derivative","","dx/dt","Slide a 10-foot ladder through several positions, then place its foot at x = 6 while dx/dt = 2 ft/s."
"authored","dc-02-02","i1","widget.successFeedback","arithmetic-off","gained-derivative","","dy/dt","At x = 6, y = 8 and dy/dt = −1.5 ft/s. The top descends faster as x/y grows, even though the foot speed is constant."
"authored","dc-02-02","i1","widget.explorationFeedback","arithmetic-off","gained-derivative","","dy/dt","Move through several positions and compare how y and dy/dt respond before checking."
"authored","dc-02-02","i1","widget.positionFeedback","arithmetic-off","gained-derivative","","dy/dt","Set the foot at x = 6; the fixed-length invariant then determines y and dy/dt."
"authored","dc-02-02","c2","body","arithmetic-on","gained-derivative","","dy/dt ⟂ dx/dt ⟂ dx/dt ⟂ dy/dt","Solve for what you want, and read the **sign**.

dy/dt = −(x/y)·(dx/dt)

With x, y and dx/dt all positive, dy/dt comes out **negative** — the top is sliding DOWN. The minus sign is not an accident of algebra; it is the physics, reported honestly."
"authored","dc-02-02","k3","widget.prompt","arithmetic-off","gained-derivative","","dx/dt ⟂ dy/dt","x = 6, y = 8, dx/dt = 2. Find dy/dt, in ft/s (include the sign)."
"authored","dc-02-02","k3","widget.commonErrors[0].feedback","arithmetic-off","gained-derivative","6/8","dy/dt ⟂ dx/dt ⟂ 6/8","The magnitude is right but the SIGN is wrong. dy/dt = −(x/y)(dx/dt) = −(6/8)(2) = −1.5: the top is going DOWN."
"authored","dc-02-02","k3","widget.commonErrors[1].feedback","arithmetic-off","gained-derivative","8/6 ⟂ 6/8","dx/dt ⟂ 8/6 ⟂ dx/dt ⟂ 6/8","That is −(y/x)(dx/dt) = −(8/6)(2). The formula is −(x/y)(dx/dt) = −(6/8)(2) = −1.5."
"authored","dc-02-02","k3","widget.commonErrors[2].feedback","arithmetic-off","gained-derivative","","dx/dt ⟂ dy/dt","That is dx/dt with a minus sign. Solve 24 + 16(dy/dt) = 0."
"authored","dc-02-02","k3","widget.fallbackFeedback","arithmetic-off","gained-derivative","","dy/dt ⟂ dy/dt","24 + 16(dy/dt) = 0 → dy/dt = −1.5 ft/s (downward)."
"authored","dc-02-02","ch1","hints[1]","arithmetic-on","gained-derivative","8/6","dy/dt ⟂ dx/dt ⟂ 8/6","dy/dt = −(x/y)(dx/dt) = −(8/6)(2)."
"authored","dc-02-02","ch1","widget.prompt","arithmetic-off","gained-derivative","","dx/dt ⟂ dy/dt","Same ladder, same dx/dt = 2. Find dy/dt when x = 8, to three decimals."
"authored","dc-02-02","ch1","widget.commonErrors[0].feedback","arithmetic-off","gained-derivative","8/6","dy/dt ⟂ 8/6","That was the answer at x = 6. At x = 8 the height is only 6, so dy/dt = −(8/6)(2) ≈ −2.667: the top is falling FASTER."
"authored","dc-02-02","ch1","widget.commonErrors[2].feedback","arithmetic-off","gained-derivative","8/6","dx/dt ⟂ 8/6","That is −(x/y)(dx/dt) with the fraction inverted or the rate dropped. It is −(8/6)(2) ≈ −2.667."
"authored","dc-02-02","ch1","widget.fallbackFeedback","arithmetic-off","gained-derivative","8/6 ⟂ 8/3","dy/dt ⟂ 8/6 ⟂ 8/3","y = 6, so dy/dt = −(8/6)(2) = −8/3 ≈ −2.667 ft/s — faster than before, with the foot moving at the same speed."
"authored","dc-02-03","k2","widget.missFeedback","arithmetic-off","gained-derivative","","d/dt","Ask of each quantity: is it different a second later? If yes, it varies and owes a d/dt."
"authored","dc-02-03","k2","widget.successFeedback","arithmetic-off","gained-derivative","","d/dt","Only the ladder's length is fixed. Everything else owes a d/dt — and that is exactly why the equation differentiates to zero."
"authored","dc-02-03","i1","widget.panels[2].body","arithmetic-off","gained-derivative","1/4","dV/dt ⟂ 1/4 ⟂ dh/dt","dV/dt = (1/4)πh²·(dh/dt). One equation, one unknown rate. The similar triangles were not a trick — they were the step that made the problem solvable at all."
"authored","dc-02-03","k3","widget.options[0].feedback","arithmetic-off","gained-derivative","","dr/dt ⟂ dh/dt","Right. Differentiating the two-variable version leaves both dr/dt and dh/dt in your answer, and you cannot finish."
"authored","dc-02-03","ch1","hints[2]","arithmetic-on","gained-derivative","x = 30 ⟂ y = 40 ⟂ z = 50 ⟂ (dz/dt) = 2x ⟂ (dx/dt) + 2y","x = 30 ⟂ y = 40 ⟂ z = 50 ⟂ (dz/dt) = 2x ⟂ (dx/dt) + 2y ⟂ dy/dt","At the instant asked: x = 30, y = 40, so z = 50. Then 2z(dz/dt) = 2x(dx/dt) + 2y(dy/dt)."
"authored","dc-02-03","ch1","widget.commonErrors[2].feedback","arithmetic-off","gained-derivative","2500/50","dz/dt ⟂ 2500/50","That is the average of the two speeds. The correct relation gives dz/dt = 2500/50 = 50 mph."
"authored","dc-02-03","ch1","widget.fallbackFeedback","arithmetic-off","gained-derivative","","dz/dt ⟂ dz/dt","z = 50, and 50(dz/dt) = 30(30) + 40(40) = 2500 → dz/dt = 50 mph."
"authored","de-01-01","c1","body","arithmetic-on","gained-derivative","","dy/dx","A differential equation does not tell you what y IS. It tells you, at every point, **which way to go**.

dy/dx = f(x, y) is an instruction: *at this point, leave with this slope.*

Draw a tiny segment at every point with the prescribed slope and you have a **slope field** — a set of instructions. A solution is any curve that obeys them everywhere."
"authored","de-01-01","i1","predict.prompt","arithmetic-on","gained-derivative","","dy/dx = x","dy/dx = x — the slope depends on x alone. Start two curves at different heights. Compared with each other they will be…"
"authored","de-01-01","i1","widget.prompt","arithmetic-off","gained-derivative","","dy/dx","dy/dx = x. Drag the starting value to y = 5, and watch the curve thread through the field."
"authored","de-01-01","k1","widget.prompt","arithmetic-off","gained-derivative","","dy/dx","For dy/dx = x, what is the slope of the field at the point (2, 7)?"
"authored","de-01-01","k1","widget.commonErrors[0].feedback","arithmetic-off","gained-derivative","","dy/dx","That is the y-coordinate. The equation says dy/dx = x, and it never mentions y at all."
"authored","de-01-01","k1","widget.commonErrors[2].feedback","arithmetic-off","gained-derivative","","dy/dx","That is xy. Read the equation literally: dy/dx = x."
"authored","de-01-01","k1","widget.fallbackFeedback","arithmetic-off","gained-derivative","","dy/dx","Read dy/dx = x literally: the slope equals the x-coordinate, so at x = 2 it is 2."
"authored","de-01-01","i1b","widget.prompt","arithmetic-off","gained-derivative","","dy/dx","dy/dx = 0.5y. Drag the starting value up to 6, and read the slope marks in each row you pass on the way."
"authored","de-01-01","k3","widget.prompt","arithmetic-off","gained-derivative","","dy/dx","For dy/dx = 0.5y, what happens to the field as you move upward (larger y)?"
"authored","de-01-01","ch1","hints[2]","arithmetic-on","gained-derivative","","dy/dx = 2","dy/dx = 2 gives the same slope everywhere: a field of parallel segments."
"authored","de-01-01","ch1","widget.left[0].label","arithmetic-off","gained-derivative","","dy/dx","dy/dx = 2"
"authored","de-01-01","ch1","widget.left[1].label","arithmetic-off","gained-derivative","","dy/dx","dy/dx = x"
"authored","de-01-01","ch1","widget.left[2].label","arithmetic-off","gained-derivative","","dy/dx","dy/dx = y"
"authored","de-01-01","ch1","widget.pairErrors[0].feedback","arithmetic-off","gained-derivative","","dy/dx","dy/dx = x depends on x, so it is the COLUMNS that are identical — the slope changes as you move right, not as you move up."
"authored","de-01-01","ch1","widget.pairErrors[1].feedback","arithmetic-off","gained-derivative","","dy/dx","dy/dx = y depends on y, so it is the ROWS that match — the slope changes with HEIGHT."
"authored","de-01-02","c1","body","arithmetic-on","gained-derivative","(x, y) = 0","dy/dx ⟂ (x, y) = 0","Some fields have a line along which **every segment is flat**.

Start there and the instruction says: *do not move.* So the solution is a horizontal line — forever. That is an **equilibrium solution**, and it is found by setting the whole right-hand side to zero:

**dy/dx = 0 ⟹ solve f(x, y) = 0 for y.**

It is not a curve that happens to be flat. It is the one curve the instructions forbid from going anywhere."
"authored","de-01-02","i1","widget.prompt","arithmetic-off","gained-derivative","","dy/dx","dy/dx = 1.8y(1 − y/4) — a population with a ceiling. Drag the starting value to the one place where the curve NEVER MOVES."
"authored","de-01-02","k1","widget.prompt","arithmetic-off","gained-derivative","","dy/dt","dy/dt = 1.8y(1 − y/4). How many equilibrium solutions does it have?"
"authored","de-01-02","k3","widget.prompt","arithmetic-off","gained-derivative","","dP/dt","dP/dt = 1.8P(1 − P/4). At what population is the growth RATE greatest?"
"authored","de-01-02","ch1","widget.prompt","arithmetic-off","gained-derivative","","dP/dt","A population obeying dP/dt = 1.8P(1 − P/4) starts at P = 6. What does it settle on in the long run?"
"authored","de-02-01","c1","body","arithmetic-on","gained-derivative","∫(1/y) dy = ∫2x dx ⟂ |y| = x","dy/dx ⟂ ∫(1/y) dy = ∫2x dx ⟂ |y| = x","Some differential equations can be **untangled**: get every y on one side, every x on the other, and integrate both.

dy/dx = 2xy → **(1/y) dy = 2x dx** → ∫(1/y) dy = ∫2x dx → ln|y| = x² + C

The dy and the dx are being treated like quantities you can move about — and the chain rule is what makes that legal. Substitution earned it for you in C4."
"authored","de-02-01","k1","widget.prompt","arithmetic-off","gained-derivative","","dy/dx","Separate dy/dx = 2xy."
"authored","de-02-01","i1","predict.prompt","arithmetic-on","gained-derivative","","dy/dx = 0.5","dy/dx = 0.5y — here the slope depends on y instead. Two curves started at different heights will…"
"authored","de-02-01","i1","widget.prompt","arithmetic-off","gained-derivative","Ae^(0.5x)","dy/dx ⟂ Ae^(0.5x)","dy/dx = 0.5y, whose solutions are y = Ae^(0.5x). Drag the starting value to 3 — and watch which member of the family you have selected."
"authored","de-02-01","k3","widget.prompt","arithmetic-off","gained-derivative","3e^(x²)","dy/dx ⟂ 3e^(x²)","dy/dx = 2xy with y(0) = 3, so y = 3e^(x²). Find y(1), to three decimals."
"authored","de-02-01","ch1","hints[0]","arithmetic-on","gained-derivative","","dy/dx = 2","To separate dy/dx = 2xy you divided by y. What did that step assume?"
"authored","de-02-01","ch1","widget.prompt","arithmetic-off","gained-derivative","","dy/dx","Separating dy/dx = 2xy required dividing by y. Which solution did that step lose?"
"authored","de-03-01","c1","body","arithmetic-on","gained-derivative","e^(kt)","dy/dt ⟂ e^(kt) ⟂ dy/dt","In Algebra 1 you were HANDED exponential growth as a fact: some things grow like bˣ, and that is that.

Here is where it comes from.

**dy/dt = ky** — *the rate of growth is proportional to how much you already have.*

Separate and integrate: (1/y)dy = k dt → ln|y| = kt + C → **y = y₀e^(kt)**.

Exponential growth is not a species of function. It is what dy/dt = ky *forces*."
"authored","de-03-01","k1","widget.options[0].label","arithmetic-off","gained-derivative","","dP/dt","dP/dt = kP"
"authored","de-03-01","k1","widget.options[1].label","arithmetic-off","gained-derivative","","dP/dt","dP/dt = k"
"authored","de-03-01","k1","widget.options[2].label","arithmetic-off","gained-derivative","","dP/dt","dP/dt = kt"
"authored","de-03-01","i1","predict.prompt","arithmetic-on","gained-derivative","","dy/dt = 0.5","dy/dt = 0.5y. Move straight up the page — same t, larger y. The slope marks there will be…"
"authored","de-03-01","i1","widget.prompt","arithmetic-off","gained-derivative","","dy/dt","dy/dt = 0.5y. Drag the starting value to 2, and look at what the field does as you move UP the page."
"authored","de-03-01","k2","widget.prompt","arithmetic-off","gained-derivative","","dP/dt","A colony has dP/dt = 0.1P and P(0) = 200. Find P(10), to one decimal."
"authored","de-03-01","c2","body","arithmetic-on","gained-derivative","y = y ⟂ e^(−kt) ⟂ e^(−kT)","dy/dt ⟂ y = y ⟂ e^(−kt) ⟂ e^(−kT)","Make k **negative** and the same equation becomes decay:

**dy/dt = −ky** → y = y₀e^(−kt)

Radioactive atoms, cooling coffee, drugs leaving the bloodstream — all obey *the rate of loss is proportional to what is left*. And the **half-life** is the time to fall by half:

y₀/2 = y₀e^(−kT) → **T = ln2 / k**

One equation, two behaviours, and the sign of k decides which."
"authored","de-03-01","i2","widget.prompt","arithmetic-off","gained-derivative","","dy/dt","dy/dt = −0.5y. Drag the starting value to 6, then back down to 2, and each time follow the curve until it has fallen to HALF of where it began."
