# sourceSeal=cebeed5 — S242/VIS-03. Placements that RENDER (isFigureTextAligned passes) where the
# figure's own <title> asserts a numeric relationship and NONE of its numbers appear in the prose
# beside it. The three already-guarded fixed exemplars are excluded — those are the alignment
# gate's business. This is the same defect class as count-on-hops, on figures nothing guards.
lesson,step,figure,titleNumbers,proseNumbers,title,prose
"fg-02-02","c2","similar-triangles-slope","1 1 3 3","0 4 8 2","Two right triangles of different sizes sit under the same straight line. The small triangle has rise 1 over run 1 and the big triangle has rise 3 over run 3 — b","This is why you can compute a line's slope from ANY two points on it and always get the same answer. On the line through (0,0) and (4,8), a small step gives 2, "
"mb-01-02","c1","mb-times-compare","9 3 3","4","Three times as many: 9 is 3 × 3.","Every times-as-many sentence hides an equation. 'Maya has 4 times as many as Leo' is **Maya = 4 × Leo** — the bigger pile equals the copy count times the smalle"
"mb-03-01","c1","pv3-times-tens","4 60 4 6 240","3 40 4 12 120","4 times 60 is 4 times 6 tens = 240.","Multiplying by a whole ten is a fact you already know, wearing a bigger coat. **3 × 40** is 3 × 4 *tens* — that's 12 tens, which is 120. Multiply the small fact"
"mb-03-01","c2","pv3-times-tens","4 60 4 6 240","40 4 10 3 12 120 0","4 times 60 is 4 times 6 tens = 240.","Here's why the zero rides along: 40 is 4 × 10. So 3 × 40 = 3 × 4 × 10 = 12 × 10 = 120. Multiplying by 10 slides every digit up one place, and the ones slot open"
"mb-03-02","c1","mb-break-area","4 27 80 28 108","6 34 30 4 180 24 204","Break apart: 4 × 27 = 80 + 28 = 108.","To multiply a big number, break it apart — the same trick you used for area. **6 × 34** splits 34 into 30 + 4, making two rectangles: 6 × 30 and 6 × 4. Multiply"
"mb-04-01","c2","mb-remainder","13 4 3 1","6 7","13 ÷ 4 = 3 remainder 1.","One rule keeps a remainder honest: **it must always be smaller than the divisor.** If you divide by 6 and get a remainder of 7, that's a red flag — 7 is bigger "
"ns-02-03","c1","dop-count-places","1.2 0.5 0.6","2.5 1.4 25 14 350 2 3.5","Count decimal places: 1.2 × 0.5 = 0.60.","Multiplying decimals: ignore the points, multiply the whole numbers, then **count total decimal places** and place the point. 2.5 × 1.4: 25 × 14 = 350; both fac"
"ns-03-03","c2","ns-factor-distribute","12 18 6 2 3","5 3 4 15 20","Factor out the GCF: 12 + 18 = 6(2 + 3).","Always **verify by expanding back** — multiply the GCF across the parentheses and confirm you land on the original sum. 5 × (3 + 4) = 5 × 3 + 5 × 4 = 15 + 20. ✓"
"ns-05-01","c2","absolute-value-arcs","3 3 3 3","5 0","A number line showing negative 3 and positive 3, each the same distance — 3 units — from zero; the absolute value of both is 3.","Because it's a distance, absolute value is **always zero or positive** — never negative. And **opposites share the same absolute value**: |−5| and |5| both equa"
"ns-05-02","c1","ns-abs-compare","5 3","2 8","Order versus size: −5 is less than 3, but its distance is greater.","Two different questions can be asked about the same numbers. **""Which is greater?""** looks at position on the line: −2 > −8, because −2 is farther right. **""Whi"
"pv-01-02","c1","pv3-expanded","342 300 40 2","452 400 50 2","Expanded form: 342 equals 300 plus 40 plus 2.","Every number can **explode into its worth-pieces**: 452 = 400 + 50 + 2. That's called expanded form. Building goes the other way — snap the pieces back together"
"pv-01-02","c2","pv3-expanded","342 300 40 2","452 30 50 80 400 2 482","Expanded form: 342 equals 300 plus 40 plus 2.","Why explode numbers at all? **Pieces let you work on one spot at a time.** For 452 + 30, only the tens piece changes: 50 + 30 = 80, so the answer is 400 + 80 + "
"pv-03-02","c2","pv3-regroup","7 5 12 1 2","9 10 41 23 1 3 4","Regrouping: 7 + 5 = 12 ones = 1 ten 2 ones.","When does the trade fire? **Only on overflow.** Check each spot's sum: 9 or less, write it and move on; 10 or more, trade ten of them up and keep the rest. 41 +"
"pv-03-03","c1","pv3-borrow-zero","305 128","52 27 2 7 1 10 4 12","Subtracting across a zero: 305 minus 128.","Try 52 − 27: the ones spot has 2 but must give 7 — it's short! The trading post runs **downhill**: break 1 ten into 10 ones. Now 52 is 4 tens and 12 ones (still"
"pr-04-01","c2","pr-percent-shortcut","50 1.08 54","1 100 20 1.15 23","One step: $50 × 1.08 = $54.","The shortcut: multiply the price by (1 + percent/100) in one step. $20 × 1.15 = $23 — the same answer, done in one multiplication. "
"rad-01-03","c1","radical-factor","72 72 36 2 36 6 6 2","12 2 3","Simplifying the square root of 72 by splitting 72 into 36 times 2: the square root of the perfect square 36 is 6, which comes out in front, leaving 6 times the ","A radical is **fully simplified** when the radicand has no perfect-square factors left. √12 = 2√3 is done, since 3 is square-free. √3 is already simplified. Alw"
"rad-03-01","c1","radical-factor","72 72 36 2 36 6 6 2","1 2 3 16 4 27","Simplifying the square root of 72 by splitting 72 into 36 times 2: the square root of the perfect square 36 is 6, which comes out in front, leaving 6 times the ","A fractional exponent is a root: a^(1/n) means the n-th root of a. So a^(1/2) = √a and a^(1/3) = ∛a. For example, 16^(1/2) = 4 because 4² = 16, and 27^(1/3) = 3"
"rad-03-02","c1","radical-factor","72 72 36 2 36 6 6 2","8 2 3 4","Simplifying the square root of 72 by splitting 72 into 36 times 2: the square root of the perfect square 36 is 6, which comes out in front, leaving 6 times the ","A^(m/n) means take the n-th root, then raise to the m-th power: a^(m/n) = (ⁿ√a)^m. For 8^(2/3): ∛8 = 2, then 2² = 4. Take the root first — it keeps the numbers "
"rad-03-03","c1","radical-factor","72 72 36 2 36 6 6 2","1 8 3 2","Simplifying the square root of 72 by splitting 72 into 36 times 2: the square root of the perfect square 36 is 6, which comes out in front, leaving 6 times the ","A negative exponent means **reciprocal**: a^(−1/n) = 1/(ⁿ√a). So 8^(−1/3) = 1/∛8 = 1/2. Take the root as usual, then flip the result to make it a fraction below"
"rt-01-04","c2","rt-30-60-90","30 60 90","3 9 5.2 6 10.39","In a 30-60-90 triangle, every conversion routes through the short leg: hypotenuse is twice the short leg, and the long leg is the short leg times root three.","Every conversion routes through the short leg. **Hypotenuse → short leg: halve it.** **Short leg → long leg: multiply by √3.** **Long leg → short leg: divide by"
"sp-02b-01","c1","sp-mad-ruler","12 18","6 2 3","Two group means marked on a number line at 12 and 18, six units apart. Below them a short bar of length two is shown as a measuring unit labelled one MAD. Three","You have been judging overlap by eye. Now measure it. Each group has a typical wobble — the **mean absolute deviation**, the average distance of its values from"
"sp-02b-03","c2","sp-mad-ruler","12 18","3","Two group means marked on a number line at 12 and 18, six units apart. Below them a short bar of length two is shown as a measuring unit labelled one MAD. Three","One more habit: check whether the difference **matters**, not only whether it is measurable. A delivery service whose vans arrive 3 MADs earlier than a rival's "
"sr-03-01","c1","gauss-pairing","1 8 1 8 2 7 3 6 4 5 9 9 36","1 100 2 99 3 98 101 50 5050","Eight bars form a staircase of heights 1 through 8. Curved brackets pair the outermost bars inward: 1 with 8, 2 with 7, 3 with 6, 4 with 5. Every pair adds to 9","Legend says young Gauss was told to add 1 through 100 as busywork — and answered in seconds. His move: **pair the ends inward**. 1 + 100, 2 + 99, 3 + 98, … ever"
"tm-03-03","c2","angle-types","90 90 90","180","Three angle families: acute is under 90 degrees, right is exactly 90 degrees shown with a square corner mark, obtuse is over 90 degrees.","Why does two force the third? Because the three must total 180°. If two triangles share two angles, their third angles are both 180 minus the same sum — so thos"
"tf-03-01","c1","unit-circle-reference","150 30 30","90 1","A unit circle with x and y axes. A point at 150 degrees is marked in berry red at coordinates negative square root of three over two, one half. Its reference an","Right triangles cap θ below 90° — the unit circle removes the cap. Draw a circle of radius 1 and rotate a point θ from the positive x-axis: **cos θ is the point"
"vm-05-02","c2","l-solid-cuts","20 8 16 12 28","2 4 3","An L-shaped solid cut two ways: a horizontal cut gives pieces of 20 and 8 cubic units; a vertical cut gives 16 and 12. Both totals are 28.","Here's the satisfying part: **a different cut gives the same answer**. Slice the same L straight down at the block's edge instead. Now the pieces are a tall box"
