portfolio_id,portfolio_class,portfolio_key,queue_rows,p0,p1,p2,unique_lessons,unique_sources,workstreams,exact_code_contract_count,exact_code_contracts,exact_code_microbatches,generator_tag_contract_count,generator_tag_contracts,generator_tag_microbatches,owner,batch,qa_contract
COURSE_PORTFOLIO-27390ceeff08,COURSE_PORTFOLIO,linear-functions,5,0,5,0,5,5,LESSON_PROGRESSION_AND_DUPLICATION,0,,0,0,,0,Terra High assessor -> Terra Medium/High implementer,One complete course per assessor; implementation split only at hot-file or shared-engine boundaries.,One immutable course contract; full schema/pedagogy/CML plus focused semantic and rendered checks; independent verdict before closure.
COURSE_PORTFOLIO-0a9acfecfc34,COURSE_PORTFOLIO,arrays-even-odd-g2,4,0,4,0,4,4,LESSON_PROGRESSION_AND_DUPLICATION,0,,0,0,,0,Terra High assessor -> Terra Medium/High implementer,One complete course per assessor; implementation split only at hot-file or shared-engine boundaries.,One immutable course contract; full schema/pedagogy/CML plus focused semantic and rendered checks; independent verdict before closure.
COURSE_PORTFOLIO-bd84f563a260,COURSE_PORTFOLIO,length-problems-g2,4,0,4,0,4,4,LESSON_PROGRESSION_AND_DUPLICATION,0,,0,0,,0,Terra High assessor -> Terra Medium/High implementer,One complete course per assessor; implementation split only at hot-file or shared-engine boundaries.,One immutable course contract; full schema/pedagogy/CML plus focused semantic and rendered checks; independent verdict before closure.
COURSE_PORTFOLIO-039c5d491999,COURSE_PORTFOLIO,long-division-g5,4,0,4,0,4,4,LESSON_PROGRESSION_AND_DUPLICATION,0,,0,0,,0,Terra High assessor -> Terra Medium/High implementer,One complete course per assessor; implementation split only at hot-file or shared-engine boundaries.,One immutable course contract; full schema/pedagogy/CML plus focused semantic and rendered checks; independent verdict before closure.
COURSE_PORTFOLIO-e020a4d0eb96,COURSE_PORTFOLIO,number-line-g2,4,0,4,0,4,4,LESSON_PROGRESSION_AND_DUPLICATION,0,,0,0,,0,Terra High assessor -> Terra Medium/High implementer,One complete course per assessor; implementation split only at hot-file or shared-engine boundaries.,One immutable course contract; full schema/pedagogy/CML plus focused semantic and rendered checks; independent verdict before closure.
COURSE_PORTFOLIO-57f81d5ba098,COURSE_PORTFOLIO,radical-functions,4,0,4,0,4,4,LESSON_PROGRESSION_AND_DUPLICATION,0,,0,0,,0,Terra High assessor -> Terra Medium/High implementer,One complete course per assessor; implementation split only at hot-file or shared-engine boundaries.,One immutable course contract; full schema/pedagogy/CML plus focused semantic and rendered checks; independent verdict before closure.
COURSE_PORTFOLIO-bf4d269731fa,COURSE_PORTFOLIO,sampling-and-probability,3,0,3,0,3,3,LESSON_PROGRESSION_AND_DUPLICATION,0,,0,0,,0,Terra High assessor -> Terra Medium/High implementer,One complete course per assessor; implementation split only at hot-file or shared-engine boundaries.,One immutable course contract; full schema/pedagogy/CML plus focused semantic and rendered checks; independent verdict before closure.
COURSE_PORTFOLIO-ff43c5f84893,COURSE_PORTFOLIO,shapes-measure-g1,3,0,3,0,3,3,LESSON_PROGRESSION_AND_DUPLICATION,0,,0,0,,0,Terra High assessor -> Terra Medium/High implementer,One complete course per assessor; implementation split only at hot-file or shared-engine boundaries.,One immutable course contract; full schema/pedagogy/CML plus focused semantic and rendered checks; independent verdict before closure.
COURSE_PORTFOLIO-d0cb13991e49,COURSE_PORTFOLIO,shapes-shares-g2,3,0,3,0,3,3,LESSON_PROGRESSION_AND_DUPLICATION,0,,0,0,,0,Terra High assessor -> Terra Medium/High implementer,One complete course per assessor; implementation split only at hot-file or shared-engine boundaries.,One immutable course contract; full schema/pedagogy/CML plus focused semantic and rendered checks; independent verdict before closure.
STANDARD_FAMILY_PORTFOLIO-94380b06885f,STANDARD_FAMILY_PORTFOLIO,CCSS-MATH|K.OA.A,2,0,2,0,1,2,STANDARDS_VERIFICATION,2,CCSS-MATH|K.OA.A.1:1|CCSS-MATH|K.OA.A.2:1,2,0,,0,Sol High standards assessor,One authoritative parent family; retain every exact-code subgroup and split each subgroup above 40 edges.,"Exact official text/source per code subgroup, full-intent comparison, signed edge-level approve/reject/partial; no family-level verdict inference."
COURSE_PORTFOLIO-b8fe79bf0d4a,COURSE_PORTFOLIO,counting-to-20-k,2,0,2,0,2,2,LESSON_PROGRESSION_AND_DUPLICATION,0,,0,0,,0,Terra High assessor -> Terra Medium/High implementer,One complete course per assessor; implementation split only at hot-file or shared-engine boundaries.,One immutable course contract; full schema/pedagogy/CML plus focused semantic and rendered checks; independent verdict before closure.
COURSE_PORTFOLIO-ebe47220dd1c,COURSE_PORTFOLIO,exponents-scientific-notation,2,0,2,0,2,2,LESSON_PROGRESSION_AND_DUPLICATION,0,,0,0,,0,Terra High assessor -> Terra Medium/High implementer,One complete course per assessor; implementation split only at hot-file or shared-engine boundaries.,One immutable course contract; full schema/pedagogy/CML plus focused semantic and rendered checks; independent verdict before closure.
COURSE_PORTFOLIO-e9261f756121,COURSE_PORTFOLIO,geometry-foundations,2,0,2,0,2,2,LESSON_PROGRESSION_AND_DUPLICATION,0,,0,0,,0,Terra High assessor -> Terra Medium/High implementer,One complete course per assessor; implementation split only at hot-file or shared-engine boundaries.,One immutable course contract; full schema/pedagogy/CML plus focused semantic and rendered checks; independent verdict before closure.
COURSE_PORTFOLIO-1d8ab93eb944,COURSE_PORTFOLIO,trig-identities-equations,2,0,2,0,2,2,LESSON_PROGRESSION_AND_DUPLICATION,0,,0,0,,0,Terra High assessor -> Terra Medium/High implementer,One complete course per assessor; implementation split only at hot-file or shared-engine boundaries.,One immutable course contract; full schema/pedagogy/CML plus focused semantic and rendered checks; independent verdict before closure.
COURSE_PORTFOLIO-63daedba1309,COURSE_PORTFOLIO,division-fluency-g3,1,1,0,0,1,1,QUESTION_DIVERSITY_AND_TRANSFER,0,,0,0,,0,Terra High assessor -> Terra Medium/High implementer,One complete course per assessor; implementation split only at hot-file or shared-engine boundaries.,One immutable course contract; full schema/pedagogy/CML plus focused semantic and rendered checks; independent verdict before closure.
COURSE_PORTFOLIO-d3b306628914,COURSE_PORTFOLIO,add-subtract-100,1,0,1,0,1,1,LESSON_PROGRESSION_AND_DUPLICATION,0,,0,0,,0,Terra High assessor -> Terra Medium/High implementer,One complete course per assessor; implementation split only at hot-file or shared-engine boundaries.,One immutable course contract; full schema/pedagogy/CML plus focused semantic and rendered checks; independent verdict before closure.
COURSE_PORTFOLIO-e03a684f3126,COURSE_PORTFOLIO,add-subtract-20,1,0,1,0,1,1,LESSON_PROGRESSION_AND_DUPLICATION,0,,0,0,,0,Terra High assessor -> Terra Medium/High implementer,One complete course per assessor; implementation split only at hot-file or shared-engine boundaries.,One immutable course contract; full schema/pedagogy/CML plus focused semantic and rendered checks; independent verdict before closure.
COURSE_PORTFOLIO-692979954683,COURSE_PORTFOLIO,area-surface-volume,1,0,1,0,1,1,LESSON_PROGRESSION_AND_DUPLICATION,0,,0,0,,0,Terra High assessor -> Terra Medium/High implementer,One complete course per assessor; implementation split only at hot-file or shared-engine boundaries.,One immutable course contract; full schema/pedagogy/CML plus focused semantic and rendered checks; independent verdict before closure.
COURSE_PORTFOLIO-01b3dddcee7b,COURSE_PORTFOLIO,complex-numbers,1,0,1,0,1,1,LESSON_PROGRESSION_AND_DUPLICATION,0,,0,0,,0,Terra High assessor -> Terra Medium/High implementer,One complete course per assessor; implementation split only at hot-file or shared-engine boundaries.,One immutable course contract; full schema/pedagogy/CML plus focused semantic and rendered checks; independent verdict before closure.
COURSE_PORTFOLIO-23ffd685b1ac,COURSE_PORTFOLIO,expressions-equations,1,0,1,0,1,1,LESSON_PROGRESSION_AND_DUPLICATION,0,,0,0,,0,Terra High assessor -> Terra Medium/High implementer,One complete course per assessor; implementation split only at hot-file or shared-engine boundaries.,One immutable course contract; full schema/pedagogy/CML plus focused semantic and rendered checks; independent verdict before closure.
COURSE_PORTFOLIO-8a4b3607fdad,COURSE_PORTFOLIO,function-analysis,1,0,1,0,1,1,LESSON_PROGRESSION_AND_DUPLICATION,0,,0,0,,0,Terra High assessor -> Terra Medium/High implementer,One complete course per assessor; implementation split only at hot-file or shared-engine boundaries.,One immutable course contract; full schema/pedagogy/CML plus focused semantic and rendered checks; independent verdict before closure.
COURSE_PORTFOLIO-139e7c0e1f56,COURSE_PORTFOLIO,linear-equations-systems,1,0,1,0,1,1,LESSON_PROGRESSION_AND_DUPLICATION,0,,0,0,,0,Terra High assessor -> Terra Medium/High implementer,One complete course per assessor; implementation split only at hot-file or shared-engine boundaries.,One immutable course contract; full schema/pedagogy/CML plus focused semantic and rendered checks; independent verdict before closure.
COURSE_PORTFOLIO-1e00f8573691,COURSE_PORTFOLIO,patterns-factors-g4,1,0,1,0,1,1,LESSON_PROGRESSION_AND_DUPLICATION,0,,0,0,,0,Terra High assessor -> Terra Medium/High implementer,One complete course per assessor; implementation split only at hot-file or shared-engine boundaries.,One immutable course contract; full schema/pedagogy/CML plus focused semantic and rendered checks; independent verdict before closure.
COURSE_PORTFOLIO-870dbd9b7c53,COURSE_PORTFOLIO,polar-parametric,1,0,1,0,1,1,LESSON_PROGRESSION_AND_DUPLICATION,0,,0,0,,0,Terra High assessor -> Terra Medium/High implementer,One complete course per assessor; implementation split only at hot-file or shared-engine boundaries.,One immutable course contract; full schema/pedagogy/CML plus focused semantic and rendered checks; independent verdict before closure.
COURSE_PORTFOLIO-a9a89a70b6b5,COURSE_PORTFOLIO,systems-equations,1,0,1,0,1,1,LESSON_PROGRESSION_AND_DUPLICATION,0,,0,0,,0,Terra High assessor -> Terra Medium/High implementer,One complete course per assessor; implementation split only at hot-file or shared-engine boundaries.,One immutable course contract; full schema/pedagogy/CML plus focused semantic and rendered checks; independent verdict before closure.
COURSE_PORTFOLIO-abb5ad2a7339,COURSE_PORTFOLIO,trig-functions,1,0,1,0,1,1,LESSON_PROGRESSION_AND_DUPLICATION,0,,0,0,,0,Terra High assessor -> Terra Medium/High implementer,One complete course per assessor; implementation split only at hot-file or shared-engine boundaries.,One immutable course contract; full schema/pedagogy/CML plus focused semantic and rendered checks; independent verdict before closure.
COURSE_PORTFOLIO-297076fa7ee9,COURSE_PORTFOLIO,trig-graphs-inverses,1,0,1,0,1,1,LESSON_PROGRESSION_AND_DUPLICATION,0,,0,0,,0,Terra High assessor -> Terra Medium/High implementer,One complete course per assessor; implementation split only at hot-file or shared-engine boundaries.,One immutable course contract; full schema/pedagogy/CML plus focused semantic and rendered checks; independent verdict before closure.
COURSE_PORTFOLIO-e9a2680b9a38,COURSE_PORTFOLIO,two-step-equations,1,0,1,0,1,1,LESSON_PROGRESSION_AND_DUPLICATION,0,,0,0,,0,Terra High assessor -> Terra Medium/High implementer,One complete course per assessor; implementation split only at hot-file or shared-engine boundaries.,One immutable course contract; full schema/pedagogy/CML plus focused semantic and rendered checks; independent verdict before closure.
